Modulo nnlm-es-dim128-with-normalization-2
Topicos : favor gracias mensaje cuentanos escribirnos detalles dm directo ayudarte 
 colcapital so happy to have our special guest ralphsimon1 in our annual assembly colcapital with th; j : 1. Sim : 0.18957023; No similar. 
 nayibsk8 hola juan permitenos ayudarte escribenos favor dm revisar caso area encargada quedamos ate; j : 38. Sim : 0.6087021; Baja. 
 sarahtoroe hola sarah gracias escribirnos envianos datos dm gestionar caso area encaragada quedamos; j : 39. Sim : 0.61379665; Baja. 
 jvsalaz cuentanos dm detalles caso envianos datos contacto validarlos area encargada quedamos atent; j : 40. Sim : 0.65435404; Baja. 
 cforeroo hola boris escribenos favor dm alli solicitaremos datos adicionales revisar caso quedamos ; j : 41. Sim : 0.60368013; Baja. 
 sarahtoroe hola sarah gracias escribirnos envianos datos dm gestionar caso area encaragada quedamos; j : 42. Sim : 0.61379665; Baja. 
 jacorame javier gracias escribirnos favor cuentanos detalle caso dm poder ayudarte quedamos atentos; j : 43. Sim : 0.8345278; Alta. 
 jforero2 sfcsupervisor hola jimmy permitenos ayudarte envianos caso datos contacto dm colaborarte q; j : 44. Sim : 0.6113831; Baja. 
 estepar97 hola esteban permitenos ayudarte escribenos favor dm revisar caso area encargada quedamos; j : 45. Sim : 0.64446783; Baja. 
 julianazpt sfcsupervisor juliana gracias escribirnos envianos caso datos contacto dm ayudarte queda; j : 46. Sim : 0.72945327; Media. 
 camilobolanos10 juan camilo gracias escribirnos envianos caso dm gestionarlo area encargada quedamo; j : 47. Sim : 0.6354061; Baja. 
 mricardoangel favor envianos mensaje directo datos contactarte nombre completo telefono cedula qued; j : 48. Sim : 0.7417349; Media. 
 krakenm22 hola karen permitenos ayudarte envianos favor detalles caso dm revisarlo area encargada s; j : 49. Sim : 0.67557627; Media. 
 imhenry sfcsupervisor hola henry permitenos ayudarte envianos caso dm revisarlo area encargada qued; j : 50. Sim : 0.59848756; Baja. 
 merrui hola maria mercedes permitenos colaborarte envianos caso dm gestionarlo area encargada queda; j : 51. Sim : 0.4923909; No similar. 
 fiajeniffer permitenos ayudarte envianos caso datos contacto dm revisar caso area encargada saludos; j : 52. Sim : 0.566664; Baja. 
 carlcat17 sfcsupervisor carlos permitenos ayudarte envianos datos contacto dm revisar caso area enc; j : 53. Sim : 0.5365582; Baja. 
 eebedoya buenas tardes edward envianos caso datos contacto dm revisarlo area encargada saludos  ; j : 54. Sim : 0.58773476; Baja. 
 hectorcham buenos dias hector envianos caso numero contacto enviarlo area encargada quedamos atento; j : 55. Sim : 0.5106021; Baja. 
 ajuliansh hola julian favor envianos datos nombre completo cedula telefono comunicarnos contigo que; j : 56. Sim : 0.7433272; Media. 
 jack01287 jorge favor envianos datos personales dm revisar caso area encargada quedamos atentos  ; j : 57. Sim : 0.6400433; Baja. 
 jhonmera jhon permitenos ayudarte envianos dm caso junto datos contacto colaborarte quedamos atento; j : 58. Sim : 0.57914644; Baja. 
 alrola hola alvaro gracias escribirnos envianos dm caso junto datos contacto colaborarte quedamos a; j : 59. Sim : 0.67500573; Media. 
 erimarcor buenos dias erica permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 60. Sim : 0.5612426; Baja. 
 juliabad89 juliana amplianos favor informacion acerca ocurrido dm validar podemos ayudarte quedamos; j : 61. Sim : 0.53674847; Baja. 
 divagandoando buenos dias envianos datos contacto dm validar caso area encargada quedamos atentos  ; j : 62. Sim : 0.5760546; Baja. 
 kaka1255 buenos dias daniel permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 63. Sim : 0.6379834; Baja. 
 nstriana buenos dias nayhua permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 64. Sim : 0.5543809; Baja. 
 jeantmedrano buenos dias jeant permitenos ayudarte envianos caso datos contacto dm quedamos atentos; j : 65. Sim : 0.5616607; Baja. 
 andresmunozaym buenos dias permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos; j : 66. Sim : 0.57065773; Baja. 
 vamosandrey andrey favor envianos dm detalles caso pantallazo si poder colaborarte quedamos atentos; j : 67. Sim : 0.61767894; Baja. 
 rabedo86 buenas tardes rabedo86 contactanos via mensaje directo poder atender solicitud atentos sal; j : 68. Sim : 0.5763326; Baja. 
 rubenlopezs buenas tardes rubenlopezs favor contactanos via mensaje directo atender solicitud atent; j : 69. Sim : 0.6281354; Baja. 
 gydoar buenos dias andres permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 70. Sim : 0.59090817; Baja. 
 feliperesrrepo buenos dias felipe cuentanos detalle experiencia dm reportarla area encargada quedam; j : 71. Sim : 0.63731647; Baja. 
 oamaldonados hola andres lamentamos situacion favor envianos datos nombre cedula telefono dm quedam; j : 72. Sim : 0.6865771; Media. 
 cmauricio1978 buenos dias favor contactanos via mensaje directo atender solicitud poder ayudarte at; j : 73. Sim : 0.69696605; Media. 
 jorgearmandoo buenos dias jorge permitenos colaborarte envianos caso datos contacto dm quedamos ate; j : 74. Sim : 0.50293124; Baja. 
 cmauricio1978 buenos dias favor contactanos via mensaje directo atender solicitud poder ayudarte at; j : 75. Sim : 0.69696605; Media. 
 dfmguerrero buenos dias fernando cuentanos detalle caso dm enviarlo area encargada quedamos atentos; j : 76. Sim : 0.6176705; Baja. 
 buenos dias dorisal96262141 envianos caso datos contacto dm revisar caso area encargada saludos  ; j : 77. Sim : 0.56127834; Baja. 
 hildismaru bancosaval maru gracias escribirnos cuentanos detalles caso dm poder colaborarte quedamo; j : 78. Sim : 0.6902782; Media. 
 pverasalazar favor envianos datos personales via dm gusto escalaremos caso area encargada saludos  ; j : 79. Sim : 0.6784585; Media. 
 henryluisp buenos dias henry permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 80. Sim : 0.54462135; Baja. 
 alarcontiago hola santiago permitenos ayudarte si caso puntual escribenos favor mensaje interno que; j : 81. Sim : 0.6288805; Baja. 
 ximenapiraneque sfcsupervisor hola ximena favor cuentanos caso via dm datos personales poder colabo; j : 82. Sim : 0.6222171; Baja. 
 activistajovenm pverasalazar unimagdalena hola david favor cuentanos caso via dm datos personales c; j : 83. Sim : 0.6063281; Baja. 
 lfmaguin hola luis fernando permitenos colaborarte cuentanos caso dm gestionarlo area encargada que; j : 84. Sim : 0.51442; Baja. 
 yubertsanchez buenos dias yubert favor cuentanos dm caso envianos datos personales colaborarte salu; j : 85. Sim : 0.66142356; Baja. 
 hola golf991 gustaria conocer mas detalles caso favor enviarnos datos via dm validar informacion gr; j : 86. Sim : 0.69070333; Media. 
 jrobertoj84 sfcsupervisor buen dia escribenos mensaje interno contandonos caso poder asesorarte que; j : 87. Sim : 0.5744898; Baja. 
 katiasie hola katia lamentamos leer favor envianos mensaje interno poder ayudarte caso quedamos ate; j : 88. Sim : 0.67562497; Media. 
 hola roshybarrera29 interesa darle solucion caso puedes favor darnos datos via dm gracias sfcsuperv; j : 89. Sim : 0.66640687; Baja. 
 dariovelasquez buenos dias si podemos asesorarte necesites dudes escribirnos mensaje interno ayudar; j : 90. Sim : 0.6970851; Media. 
 hola sveralopez lamentamos molestias gustaria conocer detalle caso darte soluciones puedes escribir; j : 91. Sim : 0.6266671; Baja. 
 elchynoo hola francisco cuentanos favor si solucionaste inconveniente si escribenos favor dm quedam; j : 92. Sim : 0.6392583; Baja. 
 hola juanauribep interesa conocer caso darte soluciones puedes escribirnos via dm contarnos mas det; j : 93. Sim : 0.6626554; Baja. 
 elsemblante celso gracias escribirnos favor envianos caso datos contacto dm gestionarlo area encarg; j : 94. Sim : 0.72741693; Media. 
 araacuna sfcsupervisor hola alvaro favor envianos numero cedula via dm procesar solicitud quedamos ; j : 95. Sim : 0.62375283; Baja. 
 fabiands24 bancosaval hola fabiands24 favor amplianos caso via mensaje directo poder atenderte feli; j : 96. Sim : 0.61019737; Baja. 
 otorresc1 orlando permitenos ayudarte envianos dm ubicacion oficina demas detalles colaborarte qued; j : 97. Sim : 0.53292865; Baja. 
 jypulido hola jypulido gracias escribirnos atendimos solicitud via mensaje directo revisa favor fel; j : 98. Sim : 0.7667122; Media. 
 eltapaman hola si deseas envianos datos contacto dm enviar caso area encargada quedamos atentos  ; j : 99. Sim : 0.5904471; Baja. 
 kalejapb alejandra permitenos ayudarte envianos numero contacto dm migrarte extracto digital queada; j : 100. Sim : 0.56904095; Baja. 
 carlosjaimesl buen dia favor envianos datos nombre cedula celular dm contactarte quedamos atentos  ; j : 101. Sim : 0.6551957; Baja. 
 f8af hola favor envianos datos dm nombre cedula celular poder comunicarnos contigo buen dia  ; j : 102. Sim : 0.6453764; Baja. 
 kevhdz97 hola kevin cuentanos favor si lograste comunicarte si favor escribenos dm quedamos atentos; j : 103. Sim : 0.6567679; Baja. 
 rochydaza hola rochy cuentanos favor si lograste comunicarte si escribenos favor dm quedamos atento; j : 104. Sim : 0.684138; Media. 
 ceasmu1 buen dia contactanos favor medio mensaje interno comentarte situacion requerimiento feliz d; j : 105. Sim : 0.5517141; Baja. 
 lorespitia gracias reporte lorena pasaremos area encargada arreglen danos mas pronto posible feliz ; j : 106. Sim : 0.52287114; Baja. 
 auditoriagrupo buen dia favor escribenos mensaje interno gestionar caso mejor manera quedamos atent; j : 107. Sim : 0.5663308; Baja. 
 camilomonroyp buen dia favor contactanos via mensaje interno poder asesorarte mejor manera saludos ; j : 108. Sim : 0.61360586; Baja. 
 eduardpajaro sfcsupervisor buen dia eduardo escribenos mensaje interno poder ayudarte mejor manera ; j : 109. Sim : 0.56566346; Baja. 
 lopeztelar u2 andres permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atent; j : 110. Sim : 0.55226666; Baja. 
 camilopub hola favor cuentanos banco perteneces envianos datos dm nombre cedula celular quedamos at; j : 111. Sim : 0.65585715; Baja. 
 lugar evento cambiado realizara hotel radisson avenida 60 2299 salon ar total bogota d labelurl  ; j : 112. Sim : 0.21661179; No similar. 
 colombiapilotos formula enla piloto colombiana tatiana calderon participara test formula marrakechl; j : 113. Sim : 0.25981557; No similar. 
 uribeduber buenos dias pedimos favor cuentes caso detallado via mensaje interno datos person labelu; j : 114. Sim : 0.6024858; Baja. 
 ginamarce hola gigi permitenos ayudarte envianos caso dm revisarlo area encargada quedamos atentos ; j : 115. Sim : 0.5566349; Baja. 
 izifer hola iza permitenos ayudarte escribenos caso dm revisarlo area encargada quedamos atentos  ; j : 116. Sim : 0.53614336; Baja. 
 isabelitarh isabel permitenos ayudarte envianos caso dm gestionarlo area encargada quedamos atentos; j : 117. Sim : 0.5535262; Baja. 
 isabelitarh sfcsupervisor hola isabel permitenos ayudarte envianos favor detalles caso dm quedamos ; j : 118. Sim : 0.6874324; Media. 
 kamuifx citicolombia buenas tardes permitenos ayudarte envianos detalles caso dm quedamos atentos  ; j : 119. Sim : 0.56067604; Baja. 
 jeroale hola monica cuentanos favor dm detalles caso revisarlo area encargada quedamos atentos  ; j : 120. Sim : 0.6779128; Media. 
 anovasa albert permitenos colaborarte envianos caso datos contacto dm ayudarte quedamos atentos  ; j : 121. Sim : 0.5626513; Baja. 
 lufeviga83 lupe permitenos colaborarte envianos caso datos contacto dm colaborarte quedamos atentos; j : 122. Sim : 0.41408435; No similar. 
 pibegeek hola pablo gracias escribirnos cuentanos experiencia dm gestionarla area encargada quedamo; j : 123. Sim : 0.6742922; Media. 
 natalita62 natalia favor cuentanos caso dm envianos datos contacto colaborarte quedamos atentos  ; j : 124. Sim : 0.676663; Media. 
 jdtato hola juan david escribenos favor dm revisar caso area encargada quedamos atentos  ; j : 125. Sim : 0.5775207; Baja. 
 alvaradolucia hola nadia permitenos colaborarte envianos caso datos contacto dm gestionarlo area en; j : 126. Sim : 0.504836; Baja. 
 namontanop nelson permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atentos ; j : 127. Sim : 0.5436773; Baja. 
 pilpintutintaya latamco hola angelica envianos caso datos contacto mensaje interno colaborarte qued; j : 128. Sim : 0.6197403; Baja. 
 pipiule sfcsupervisor hola carlos favor escribenos dm revisar caso area encargada quedamos atentos ; j : 129. Sim : 0.5764113; Baja. 
 juanchatoo hola juan david permitenos ayudarte escribenos favor dm detalles caso alli pediremos u l; j : 130. Sim : 0.5985916; Baja. 
 jennifergutiers hola jennifer gracias escribirnos envianos caso datos contacto dm colaborarte queda; j : 131. Sim : 0.7006784; Media. 
 edwardrico68 hola edward permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos a; j : 132. Sim : 0.6260771; Baja. 
 johdaz19 hola john permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atentos; j : 133. Sim : 0.5560164; Baja. 
 jsant84 jennifer permitenos ayudarte envianos caso dm datos contacto colaborarte quedamos atentos  ; j : 134. Sim : 0.521179; Baja. 
 linapiedrahita5 lina cuentanos detalle caso dm envianos soportes datos contacto quedamos atentos  ; j : 135. Sim : 0.66951025; Baja. 
 jorgearmandoo jorge gracias escribirnos cuentanos detalles caso dm poder colaborarte quedamos atent; j : 136. Sim : 0.694089; Media. 
 aspirinna buenas tardes permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 137. Sim : 0.58251727; Baja. 
 marthabarbieri lamentamos inconveniente presentas favor cuentanos caso dm poder ayudarte quedamos a; j : 138. Sim : 0.68666244; Media. 
 pepar1950 pedro envianos caso datos contacto dm revisarlo area encargada quedamos atentos  ; j : 139. Sim : 0.59677476; Baja. 
 carito2012ley carolina permitenos colaborarte envianos caso datos contacto dm colaborarte quedamos ; j : 140. Sim : 0.4333476; No similar. 
 raulfdrodriguez hola raul permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos ; j : 141. Sim : 0.5660639; Baja. 
 diarionocturno nicolas permitenos colaborarte envianos caso datos contacto dm colaborarte quedamos ; j : 142. Sim : 0.42945853; No similar. 
 lhr7 tuitbdb hola lhr7 queremos ayudarte favor compartenos numero cedula mensaje directo cu labelur; j : 143. Sim : 0.6183225; Baja. 
 menitadevia superfinanciera hola gracias escribirnos envianos caso datos contacto dm colaborarte qu; j : 144. Sim : 0.67396426; Media. 
 jacorame hola javier permitenos ayudarte cuentanos caso dm envianos datos contacto quedamos atentos; j : 145. Sim : 0.6941048; Media. 
 fcohennessey hola francisco cuentanos detalles caso dm envianos datos contacto enviarlos area encar; j : 146. Sim : 0.63653034; Baja. 
 pipiule sfcsupervisor hola carlos poderte ayudar favor escribenos dm mensaje interno quedamos atent; j : 147. Sim : 0.6970918; Media. 
 gloriai4 curramberillo gloria poder colaborarte necesitamos envy datos contacto dm quedamos atentos; j : 148. Sim : 0.53820515; Baja. 
 diegosar7 hola diego permitenos ayudarte amplianos favor informacion acerca ocurrido dm quedamos at; j : 149. Sim : 0.6153894; Baja. 
 alesarca hola alejandra amplianos favor informacion acerca ocurrido dm revisar caso quedamos atento; j : 150. Sim : 0.5705343; Baja. 
 joselvilladiego jose permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atent; j : 151. Sim : 0.56607616; Baja. 
 notcarlosperez carlos gracias escribirnos envianos caso datos contacto dm colaborarte quedamos aten; j : 152. Sim : 0.6511378; Baja. 
 cavendish09 hola walter permitenos ayudarte envianos caso datos contacto dm quedamos atentos saludo; j : 153. Sim : 0.6740967; Media. 
 solucionatico hola permitenos colaborarte envianos caso datos contacto dm verificar sucedio quedamo; j : 154. Sim : 0.5188527; Baja. 
 pilitarojas hola pilar permitenos colaborarte envianos caso datos contacto dm colaborarte quedamos ; j : 155. Sim : 0.5095587; Baja. 
 jamankind hola jose permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atento; j : 156. Sim : 0.6398866; Baja. 
 maocastillope mauricio permitemos ayudarte envianos caso dm gestionarlo area encargada quedamos ate; j : 157. Sim : 0.58932394; Baja. 
 mauxwell hola mauricio permitenos ayudarte cuentanos favor mensaje interno detalles sucedido quedam; j : 158. Sim : 0.76393694; Media. 
 n0tamental hola andres gracias escribirnos amplianos favor informacion acerca ocurrido dm quedamos ; j : 159. Sim : 0.72612065; Media. 
 anjulkas hola andres julian gracias escribirnos procederemos validar comentas area encargada quedam; j : 160. Sim : 0.62258106; Baja. 
 luzkamiranda lalibertadco buenos dias permitenos ayudarte envianos dm caso colaborarte quedamos ate; j : 161. Sim : 0.47123203; No similar. 
 sebasea buenos dias sebas envianos comentas dm revisarlo area encargada quedamos atentos  ; j : 162. Sim : 0.51532114; Baja. 
 natipatilla hola gracias escribirnos envianos dm caso junto datos contacto colaborarte quedamos ate; j : 163. Sim : 0.6395483; Baja. 
 paulandreab hola paula permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos ate; j : 164. Sim : 0.57670695; Baja. 
 sinlogos buenos dias escribenos favor dm detalle ocurrido revisar caso area encargad labelurl  ; j : 165. Sim : 0.5479133; Baja. 
 almehandrag hola aleja permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos ate; j : 166. Sim : 0.6125183; Baja. 
 antoniohdezj hola antonio perrmitenos ayudarte escribenos favor dm validar podemos ayudarte quedamo; j : 167. Sim : 0.65290767; Baja. 
 adeurr alegra saludarte adeurr envianos mensaje directo numero cedula podremos resolver tod labelur; j : 168. Sim : 0.5777949; Baja. 
 henryluisp hola henry permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos aten; j : 169. Sim : 0.5336471; Baja. 
 jdua67 hola juan david gracias escribirnos cuentanos dm operacion fallando colaborarte quedamos ate; j : 170. Sim : 0.602957; Baja. 
 jblasdoxt buenos dias diana envianos caso dm revisarlo area encargada quedamos atentos  ; j : 171. Sim : 0.51347613; Baja. 
 mariosmejia hola mario comunicaremos mensaje directo contigo verificar datos favor siguenos poder c; j : 172. Sim : 0.75950164; Media. 
 andresjgomez hola andres amplianos favor informacion ocurrido dm validar podemos ayudarte quedamos ; j : 173. Sim : 0.6151251; Baja. 
 morineira sfcsupervisor buenos dias permitenos ayudarte escribenos favor dm detalles ocurrido par l; j : 174. Sim : 0.5762512; Baja. 
 mariaantoniay buenos dias maria antonia cuentanos dm caso poder colaborarte quedamos atentos  ; j : 175. Sim : 0.48900288; No similar. 
 oscarevivasa sfcsupervisor hola oscar quedamos atentos amplies informacion dm poder revisar caso sa; j : 176. Sim : 0.56079155; Baja. 
 qfandrestero hola andres podemos ayudarte canal cuentanos mensaje interno podemos ayudarte quedamos; j : 177. Sim : 0.66716075; Baja. 
 hollmanmorris asi quedaron ayer pasillos universidad cauca templos saber llenos represion dictadura; j : 178. Sim : 0.14221585; No similar. 
 carloswaltherr carlos gracias reportarnos caso revisaremos area encargada poder darte respuesta sal; j : 179. Sim : 0.5840038; Baja. 
 hollmanmorris asi quedaron ayer pasillos universidad cauca templos saber llenos represion dictadura; j : 180. Sim : 0.14221585; No similar. 
 luischereno cccentromayor hola luis gracias escribirnos cuentanos favor detalles ocurrido dm quedam; j : 181. Sim : 0.75165373; Media. 
 destacan ediciones lituano persa tartaro turco vietnames yugoeslavo eston croata danes esloveno b l; j : 182. Sim : 0.03311852; No similar. 
 mgp290260 diarionocturno actualidadpanam hola mgregoria interesa colaborarte favor escribenos via d; j : 183. Sim : 0.53912777; Baja. 
 srjhonj buenos dias gracias escribirnos envianos detalle inconformidad dm colaborarte quedamos aten; j : 184. Sim : 0.6399561; Baja. 
 tovi0507 hola victor permitenos ayudarte escribenos favor dm ocurrido podemos ayudarte quedamos ate; j : 185. Sim : 0.6194522; Baja. 
 hola teresamortiz interesa conocer detalle caso favor envianos datos via dm validar gracias  ; j : 186. Sim : 0.69340456; Media. 
 diarionocturno favor envianos caso via dm remitirlo area encargada poder colaborarte pendientes  ; j : 187. Sim : 0.46147478; No similar. 
 queridodiario80 hola favor envianos datos contacto via dm gusto comunicaremos contigo colaborarte s; j : 188. Sim : 0.75996745; Media. 
 esoestalento buenos dias favor amplianos informacion acerca ocurrido dm revisar caso encarg labelur; j : 189. Sim : 0.4537155; No similar. 
 rebullendo buenas tardes rebullendo deseamos amplies comentario via dm colaborarte atentos saludos ; j : 190. Sim : 0.50387114; Baja. 
 diarionocturno pibegeek sfcsupervisor atentos colaborarte caso via dm necesitamos datos personales ; j : 191. Sim : 0.5441877; Baja. 
 arqaya hola luis amplianos favor informacion requerimiento dm poder validar ayudarte quedamos atent; j : 192. Sim : 0.6772309; Media. 
 santijaramilloj hola santiago si caso puntual favor escribenos detalles caso dm quedamos atentos  ; j : 193. Sim : 0.5775076; Baja. 
 allejjo hola alejandro cuentanos dm producto refieres envianos datos contacto ayudarte quedamos ate; j : 194. Sim : 0.7367668; Media. 
 jusemohe hola juan sebastian permitenos ayudarte escribenos favor dm alli pediremos datos adi label; j : 195. Sim : 0.61331576; Baja. 
 iardilap andrea podrias regalar datos mensaje directo nombre completo cedula ciudadania telefon lab; j : 196. Sim : 0.5985888; Baja. 
 hedbot edwin permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 197. Sim : 0.57036954; Baja. 
 diariodecas ninos escuela porfia recibieron kit escolares parte secretaria educacion yopal gloria f; j : 198. Sim : 0.06343662; No similar. 
 julianhdez julian favor envianos datos dm remitir comentas area encargada quedamos atentos  ; j : 199. Sim : 0.640802; Baja. 
 acanon11 lamentamos maletar favor siguenos podernos comunicar dm mas pronto posible poder colaborar; j : 200. Sim : 0.48549226; No similar. 
 hola fabiandevia interesa conocer motivo comentario puedes escribirnos via dm conocer detalle caso ; j : 201. Sim : 0.6387648; Baja. 
 acanon11 lamentamos maletar favor siguenos podernos comunicar dm mas pronto posible poder colaborar; j : 202. Sim : 0.48549226; No similar. 
 fraruiz21 buenos dias francisco envianos datos contacto dm asesores comunique contigo saludos  ; j : 203. Sim : 0.6078162; Baja. 
 hola lorenzopinto puedes favor compartirnos via inbox pantallazos visualizando gracias escribiremos; j : 204. Sim : 0.656356; Baja. 
 iris9112 hola isa permitenos colaborarte envianos datos personales caso via dm pendientes saludos  ; j : 205. Sim : 0.4821052; No similar. 
 lmaf12 sfcsupervisor sicsuper hola lmaf12 gracias escribirnos respondiendo consulta mensaje directo; j : 206. Sim : 0.6768424; Media. 
 mariacbayona hola mariacbayona favor amplianos comentario via mensaje directo poder atenderte feliz; j : 207. Sim : 0.6556168; Baja. 
 danielneirarios hola danielneirarios favor amplianos comentario via mensaje directo poder atenderte; j : 208. Sim : 0.65256757; Baja. 
 mariacbayona hola mariacbayona favor amplianos comentario via mensaje directo poder atenderte feliz; j : 209. Sim : 0.6556168; Baja. 
 carito2012ley carolina area encargada informan comunicaron contigo estan gestionando caso darte sol; j : 210. Sim : 0.5138178; Baja. 
 alvaradolucia nadia envianos datos contacto dm enviar caso area encargada quedamos atentos  ; j : 211. Sim : 0.57929856; Baja. 
 hectrperz supersalud minsaludcol lanuevaeps hector envianos mensaje directo datos afiliado verifica; j : 212. Sim : 0.5549294; Baja. 
 icpaoc hola icpaoc gracias escribirnos contamos gestionando consulta traves mensaje directo feliz d; j : 213. Sim : 0.6874245; Media. 
 lauggon hola laura favor escribenos dm alli pediremos datos adicionales revisar caso co labelurl  ; j : 214. Sim : 0.63360167; Baja. 
