Modulo nnlm-es-dim128-with-normalization-2
Topicos : noticiaun via colombia uniandes unisabana unimedios mas comsabana hoy 2016 estudiantes anos 
 rt iptigeneva you have to sell peace be clear about why one might want to obtain it tpaffenholz at ; j : 1. Sim : 0.11988956; No similar. 
 erradicacion resistencia social mas dificil manejar armada vice mindefensa anibal fernandez soto fo; j : 48. Sim : 0.43266258; No similar. 
 rt oaduniandes enlamemoria jorge zapp glauser colombo aleman profesor dpto ingeneria mecanica ingun; j : 49. Sim : 0.36149967; No similar. 
 hoy propone van der hammen 700 1400 hectareas vuelvan parte reserva publica enriquepenalosa  ; j : 50. Sim : 0.22670601; No similar. 
 carrera 10 5k uniandes quiere crear beca deportistas labelurl mepongolostenis inscribete apoya idrd; j : 51. Sim : 0.26724878; No similar. 
 rt ccoceano calm juan manuel soltau secretario ejecutivo ccoceano habla apropiacion territorio colo; j : 52. Sim : 0.053186227; No similar. 
 cada ano 8 millones toneladas desecho van mar vivimos mundo lleno basura karla barrientos labelurl ; j : 53. Sim : 0.24070516; No similar. 
 rt jrestrp bienvenidos profesores andreas von hirsch klaus gunther jornadas intnales derecho penal ; j : 54. Sim : 0.2466026; No similar. 
 rt cpoliticasus hora prof rodriguez iturbe presenta libro gatos pardos stand unisabana filbogota ht; j : 55. Sim : 0.37258488; No similar. 
 rt comsabana cada vez falta menos tiempo primer viaje trenusabana haga realidad rumbo unisabana lab; j : 56. Sim : 0.24221085; No similar. 
 rt comsabana colombia alta cocina provoca hastio genera ninguna emocion igmedna ahora eicea unisaba; j : 57. Sim : 0.3911495; No similar. 
 necesidad gente buena sana quiera colaborar cada vez tener sociedad mas participativa ep  ; j : 58. Sim : 0.16562988; No similar. 
 suba va quedar interconectada transmilenio alo avenida ciudad cali mas eficiente complementar metro; j : 59. Sim : 0.3009681; No similar. 
 momento politico confusion crisis podamos superarlo mejor manera posible traves palabra concertacio; j : 60. Sim : 0.3904586; No similar. 
 cobrar mas viven mas lejos castigar mas pobres acabo cobro adicional transbordo enriquepenalosa  ; j : 61. Sim : 0.37368578; No similar. 
 pasan anos ninos crecen van pasa vida juan miramos jaime jaramillo comparte fragment labelurl  ; j : 62. Sim : 0.3238256; No similar. 
 abogado rosarista recibio colombia transport aviation lawyer of the year conoce mas historia labelu; j : 63. Sim : 0.29554617; No similar. 
 rt jrestrp hoy hace 363 anos historia urosarionews reitera mas fuerza compromiso aportarle nacionla; j : 64. Sim : 0.30099645; No similar. 
 clase media mayor pobres 32 vs 28 convirtiendo indices economicos mas altos bancomundial labelurl  ; j : 65. Sim : 0.48032075; No similar. 
 rt econurosario segun victoriabxe educacionbogota bogota busca incluir temas red2016 temas educacio; j : 66. Sim : 0.42800608; No similar. 
 rt culturauniandes pedaleando llega sala musica ernesto martin agrupacion jazz triciclo jueves 2 fe; j : 67. Sim : 0.3433283; No similar. 
 rt editorialur hablamos ebook vs libro impreso urosarioradio pierdas charla ambientada buena musica; j : 68. Sim : 0.11359027; No similar. 
 rt jrestrp segun confirmacion autoridades expresada medios agradecemos ayuda permitio encontrar est; j : 69. Sim : 0.3824188; No similar. 
 rt unisabanaradio empieza cuenta regresiva 4 dias cumplir ano mas emisora universitaria van ser 8 a; j : 70. Sim : 0.54473805; Baja. 
 isacio serna estudiante medicinasabana serpilopaga logra beca martin luther king jr fellowship prog; j : 71. Sim : 0.30471325; No similar. 
 rt obsdemocracia diapaiz cometimos error haber aclarado mejor varias part acuerdo mariopuertao jorn; j : 72. Sim : 0.20650402; No similar. 
 rt oaduniandes ayeryhoy entrada bloque g edificio roberto franco actualmente facultad ciencias soci; j : 73. Sim : 0.32382864; No similar. 
 rt tecnnovauee lineas investigacion tecnnova2017 10 11 agosto medio ambiente materiales mineria ene; j : 74. Sim : 0.46012333; No similar. 
 hace 50 anos hernando groot nombrado miembro comite mundial expertos enfermedades causadas virus la; j : 75. Sim : 0.25833568; No similar. 
 eafit invita descargar app turno facil tiempos matricula podran aprovechar tiempo mientras espe lab; j : 76. Sim : 0.35887092; No similar. 
 rt oaduniandes ayeryhoy bloque t parte campito uniandes antiguo asilo enfermos psiquiatricos throwb; j : 77. Sim : 0.34430534; No similar. 
 rt urosarioradio opinionespoderosasur inicia 2da temporada invitado lujo cgrcolombia sr contralor e; j : 78. Sim : 0.18593185; No similar. 
 rt urosarioradio 39 mil millones pesos dpto cordoba sabe estan cgrcolombia edgardo maya labelurl  ; j : 79. Sim : 0.25257903; No similar. 
 rt usembassybogota mision promesacontinua2017 realizara trabajo humanitario proveera cuidado medico; j : 80. Sim : 0.1974678; No similar. 
 rt coninsaramonh alturas finales puente vez construido estaran 532m 604m cumpliendo norma estableci; j : 81. Sim : 0.12325781; No similar. 
 rt usembassybogota mision promesacontinua2017 realizara trabajo humanitario proveera cuidado medico; j : 82. Sim : 0.20937662; No similar. 
 rt danielpa partimos mocoa compromiso uniandes colombia uniandesicya inguniandes behrentz uniandino; j : 83. Sim : 0.46026796; No similar. 
 rt obsdemocracia estudios miden intencion voto plebiscito procesodepaz deberian reducir proyeccione; j : 84. Sim : 0.18692522; No similar. 
 rt biologiaeafit paula figueroa alexandra catano primeras estud biologiaeafit sustentan trabajo gra; j : 85. Sim : 0.13576645; No similar. 
 rt oaduniandes enlamemoria bertha eugenia laserna brando secretaria general facultad ingenieria ing; j : 86. Sim : 0.26180086; No similar. 
 andes subio 16 puestos escalafon global qs hace parte 1 superior universidades mundo labelurl  ; j : 87. Sim : 0.3440502; No similar. 
 rt upbcolombia decalogo sosporelaire distancias medianas deben recorrerse vehiculos motorizados pue; j : 88. Sim : 0.29758847; No similar. 
 andes subio 16 puestos escalafon global qs hace parte 1 superior universidades mundo labelurl  ; j : 89. Sim : 0.3440502; No similar. 
 sundaymorning happy we be ready go colombia vamos usingenieria unisabana shellecomarathon shellecom; j : 90. Sim : 0.40013242; No similar. 
 foro contrabandodecigarrillo colombia presenta precios mas bajos paquete latinoamerica nigar nargis; j : 91. Sim : 0.4641397; No similar. 
 hace imperativo consumo droga aborde perspectiva salud publica bo mathiasen unodc foroungasscol  ; j : 92. Sim : 0.101660386; No similar. 
 gastronomia chef carlos gaviria profesor eicea presenta obra tecnicas profesionales cocina colombia; j : 93. Sim : 0.2660238; No similar. 
 rt memoriauniandes ayeryhoy estudiantes profesores convirtieron estatua san alberto magno elementos; j : 94. Sim : 0.30762747; No similar. 
 rt memoriauniandes ayeryhoy nuevo bloque c edificio facultad arquituniandes throwbackthursday logro; j : 95. Sim : 0.3798409; No similar. 
 descriminalizacion reserva medida paises niveles consumo elevados general r jose leonardo gallego f; j : 96. Sim : 0.17573288; No similar. 
 rt bienestarsabana hoy equipo rugby partio pereira representar unisabana juegos universitarios naci; j : 97. Sim : 0.48856598; No similar. 
 libro chef gaviria acaba ser galardonado mejor mundo gourmand world cookbook award labelurl  ; j : 98. Sim : 0.09416492; No similar. 
 chef carlos gaviria profesor gastronomia eicea presenta hoy libro comida colombiana filbo2017 label; j : 99. Sim : 0.31833354; No similar. 
 rt inguniandes conoce ingeniero industrial detras multinacional 3m enrique turk egresado destacado ; j : 100. Sim : 0.13256584; No similar. 
 medio crisis esperanza queda luz sale gente joven doctor benjamin rodriguez iturbe labelurl  ; j : 101. Sim : 0.20814066; No similar. 
 idea ensayo libro estrecha vida cotidiana nueve cartas postulan relacion efren giraldo  ; j : 102. Sim : 0.18349986; No similar. 
 profesor john mario gonzalez nuevo miembro academia colombiana ciencias exactas fisicas naturales l; j : 103. Sim : 0.32973602; No similar. 
 hablamos mitos leyendas agueros hacen parte folclor estan asociados medio ambiente vallenato  ; j : 104. Sim : 0.17773926; No similar. 
 rt inguniandes casos exitosos implant corazon artificial viii sem ingenieria biomedica bio uniandes; j : 105. Sim : 0.35783157; No similar. 
 rt memoriauniandes ayeryhoy cafeteria central uniandes buen lugar compartir disfrutar vida universi; j : 106. Sim : 0.31087893; No similar. 
 constitucion 91 incluyo contexto declara pertenece mundo cabemos habla conflicto clara atehortua  ; j : 107. Sim : 0.06620191; No similar. 
 rt mineducacion nochedelosmejores entrega distincion andres bello reconoce puntajes mas altos prueb; j : 108. Sim : 0.2166714; No similar. 
 opinion manipular precios colombia volvio costumbre nancy rivera profesora eicea labelurl via eltie; j : 109. Sim : 0.42521438; No similar. 
 ser adulto mayor colombia karma pobreza abandono exclusion informe posmedunisabana via revistaseman; j : 110. Sim : 0.36247355; No similar. 
 unisabana universidad privada mejor reputacion pais segun rank merco 2016 via canalcapital labelurl; j : 111. Sim : 0.6199322; Baja. 
 escucha donkristobal the warriors concierto ser pilo paga universidad ces 6 octubre 100 p labelurl ; j : 112. Sim : 0.2528401; No similar. 
 rt unisabanaradio asi desarrollo lanzamiento tecnicas profesionales cocina colombiana chef carlos g; j : 113. Sim : 0.35006198; No similar. 
 tan facil va ser resocializacion menores farc analisis neila diaz via eltiempo labelurl  ; j : 114. Sim : 0.4133144; No similar. 
 rt jeronimorivera manana tendre invitada lujo direcciondeactores unisabana buena amiga gran actriz ; j : 115. Sim : 0.3265875; No similar. 
 recuerden manana recital piano cuatro manos teresita gomez andres gomez bravo falten labelurl  ; j : 116. Sim : 0.324106; No similar. 
 rt chechecifuentes almorzando yarumal tierra natal ilustre octavio arismendi qepd ex gobantioquia f; j : 117. Sim : 0.25431448; No similar. 
 rt bibliotecaur despierta creatividad expoinvisble conoce diccionario dudas ilustrado sala general ; j : 118. Sim : 0.00029861098; No similar. 
 rt oaduniandes san alberto magno elementos mas representativos uniandes celebra hoy fiesta anual la; j : 119. Sim : 0.3938861; No similar. 
 rt usingenieria despues fracasar muchas veces llega grandes resultados edgar helou google cloud lab; j : 120. Sim : 0.37171325; No similar. 
 uniandes quiere consolidar beca deportiva inscribete carrera 10 5k labelurl mepongolostenis bogota ; j : 121. Sim : 0.35135934; No similar. 
 obdulio habla revistasemana serpilopaga mas palo programa ser pilo paga labelurl educacion colombia; j : 122. Sim : 0.3569225; No similar. 
 rt inguniandes manana 21 abril tres grandes conferencias nuevas tecnologias semanasistemasieee 2016; j : 123. Sim : 0.52336425; Baja. 
 iniciativas voto obligatorio seria manera forzar gente romperia derecho libre eleccion cv  ; j : 124. Sim : 0.11966013; No similar. 
 rt facisouniandes comienza diapaiz desafios eticos politicos metodologicos trabajo psicosocial acom; j : 125. Sim : 0.4695718; No similar. 
 departamento lenguas culturas extranjeras gana segunda vez premio mejor proyecto uso tecnologia lab; j : 126. Sim : 0.20222628; No similar. 
 rt ccykcolombia lasabanaabroad unisabana present the opportunities for collaboration with northern ; j : 127. Sim : 0.2641962; No similar. 
 rt hernanolano primer nivel foro precedente icesi unisabana derechousabana sofaunisabana trenusaban; j : 128. Sim : 0.20718351; No similar. 
 rt apgguzman 100 kg asientos ergonomicos alta resistencia mibicipostobon entregan 90 estudiantes un; j : 129. Sim : 0.20550296; No similar. 
 sinfonicaeafit momentos pasiones convertidos musica viaje ser humano traves vida mientras tr labelu; j : 130. Sim : 0.3848446; No similar. 
 noticiaun edificio matematicas recibe nombre yu takecuhi homenaje maestro fisico labelurl via unime; j : 131. Sim : 0.41311747; No similar. 
 disminuir tensiones primer reto nuevo presidente unidos opinion diego cediel via elpaiscali labelur; j : 132. Sim : 0.28875384; No similar. 
 ies lider pais alcanzando posicion 254 nivel mundial rank qs somosorgulloun topunis labelurl  ; j : 133. Sim : 0.39817768; No similar. 
 lenguas indigenas oficiales segun constitucion territorio decir estan cerradas resto selnich vivas ; j : 134. Sim : 0.35837048; No similar. 
 ciudadanos estan invitados formar parte nuevo proyecto ley incentivar uso vehiculos electrico  ; j : 135. Sim : 0.26776707; No similar. 
 rt sfcsupervisor informacion cierta suficiente clara oportuna consumidores tomen decisiones adecuad; j : 136. Sim : 0.08405569; No similar. 
 modelo buscamos integracion zonas produccion red nacional prepararnos temporadas lluvia lf andrade ; j : 137. Sim : 0.33104953; No similar. 
 comsabana cada monitor vemos posible futuro profesor apgguzman ahora ceremonia monitor unisabana  ; j : 138. Sim : 0.26559955; No similar. 
 rt vmanriquezul solo guajira crisis alimentaria afirma contralor general foro universidad rosario u; j : 139. Sim : 0.2004007; No similar. 
 rt consejoech asi vive urfestival2016 ritmo 33 urosarionews urosarioradio csuperioreur jrestrp dmuu; j : 140. Sim : 0.24262786; No similar. 
 hoy segundo dia cibecom fpradori presenta momento informe country rep track reputacion labelurl  ; j : 141. Sim : 0.28367862; No similar. 
 rt editorialur hoy termina filbo2017 libros destacados debes ir buscar descuentos especiales lee  ; j : 142. Sim : 0.21187307; No similar. 
 rt unisabanaradio estan cordialmente invitados celebrar renovacion sitio web unisabana radio usrser; j : 143. Sim : 0.3895912; No similar. 
 rt apgguzman lucia fraca barrera universidad pedagogica experimental libertador ahora seminario per; j : 144. Sim : 0.31844962; No similar. 
 rt discuniandes invitamos 3er foro ingenieria software proximo 16 agosto forosisis uniandes ingunia; j : 145. Sim : 0.39051336; No similar. 
 mananas gran parte vemos contaminacion emitimos logra salir despues 10 be ca labelurl  ; j : 146. Sim : 0.3308891; No similar. 
 despues 10 anos marisa martins regresa cautivar publico lirica voz junto sinfonicaeafit labelurl  ; j : 147. Sim : 0.3591221; No similar. 
 valor ayudar demas 17 dias diego sierra cirujano clinunisabana realizo cirugias kenia labelurl  ; j : 148. Sim : 0.41460228; No similar. 
 rt consejoech animate participa viernes narracion cuentos taller munecas quitapenas urosarioradio d; j : 149. Sim : 0.2875241; No similar. 
 rt behrentz duda pendiente transmilenio carreraseptima manejo estaciones 200 metros ojo impacto urb; j : 150. Sim : 0.09301229; No similar. 
 libros historia memoria hoy recordamos comunidad hace 68 anos 1949 u dio primera labelurl  ; j : 151. Sim : 0.22589926; No similar. 
 tan facil va ser resocializacion menores farc neila diaz psicosabana1 via eltiempo labelurl  ; j : 152. Sim : 0.3874218; No similar. 
 comunicadores deben tener vision 360 decidir mejor canal transmitir mensaje juan segarra labelurl  ; j : 153. Sim : 0.16885076; No similar. 
 todas herramientas economista van lograr existan medidas sostenibles sociedad maria clara ar labelu; j : 154. Sim : 0.12011334; No similar. 
 rt comsabana acaba arrancar trenusabana rumbo unisabana tiempo estimado recorrido unisabana 59 minu; j : 155. Sim : 0.36938095; No similar. 
 rt tciceu summer school comunita sviluppo locale pronti partire eafitsocial oecdcfe sumschool17 lab; j : 156. Sim : 0.28480527; No similar. 
 articulo eric quintane seleccionado best paper proceed academy of management unidos labelurl  ; j : 157. Sim : 0.112474956; No similar. 
 rt inguniandes directo periscope daniel cadena luisguzman corredores 5to lugar carrerademodossemana; j : 158. Sim : 0.39552087; No similar. 
 rt discuniandes orgullo uniandino articulo seleccionado best paper cibse 2017 inguniandes uniandes ; j : 159. Sim : 0.18732153; No similar. 
 noticiaun reserva van der hammen valiosa joya ambiental gonzaloandradec labelurl via unimedios  ; j : 160. Sim : 0.2525304; No similar. 
 felicitaciones paula andrea roa sanchez geraldine bustos zamora dissertum revistavirtual estudiante; j : 161. Sim : 0.42524916; No similar. 
 hora almorzar visite fopre cafe disfrute variedad platos apoye talento yoapoyoalfopre labelurl  ; j : 162. Sim : 0.046654504; No similar. 
 rt oaduniandes ultimo ayeryhoy ano capilla campito san jose throwbackthursday tbt felizjueves label; j : 163. Sim : 0.37124723; No similar. 
 alturas finales puente vez construido estaran 532m 604 m cumpliendo norma establecida 4  ; j : 164. Sim : 0.19527125; No similar. 
 pregunta parece justificable subirle tarifa tm 10 sitp 17 minimo subio 7  ; j : 165. Sim : 0.15337002; No similar. 
 rt hernanolano recordando viajes pontifexes america elpapacol episcopadocol aleteiaes unisabana cri; j : 166. Sim : 0.37783074; No similar. 
 estudiantes usingenieria construyen carro electrico amigable medio ambiente proximo destino detroit; j : 167. Sim : 0.3911564; No similar. 
 hora almuerzo visite fopre cafe disfrute variedad platos apoye talento yoapoyoalfopre labelurl  ; j : 168. Sim : 0.047202; No similar. 
 hace 10 anos impensables alcances videojuego comunidad global jaime h borja mediosdigitalesur  ; j : 169. Sim : 0.38464925; No similar. 
 rt usembassybogota promesacontinua2017 realizara trabajo humanitario proveera cuidado medico dental; j : 170. Sim : 0.12557182; No similar. 
 rt usembassybogota agregado militar eeuu colombia agradece apoyo estudiantes universidades mision p; j : 171. Sim : 0.43607882; No similar. 
 subsidiando sistema tm sitp mas 700 mil millones pesos ano enriquepenalosa  ; j : 172. Sim : 0.30522242; No similar. 
 noticiaun manizales red bibliotecas amplia inventario nuevas publicaciones unmanizales labelurl via; j : 173. Sim : 0.40081236; No similar. 
 sabor pais filbo2017 mano chef carlos gaviria autor tecnicas profesionales coci labelurl  ; j : 174. Sim : 0.29678917; No similar. 
 rt mineducacion nochedelosmejores 16 estudiantes bogota 14 estudiantes cali 4 floridablanca mejores; j : 175. Sim : 0.45554987; No similar. 
 rt serpilopaga dudas programa serpilopaga mineducacion dispuesto do lineas telefonicas resuelvas ht; j : 176. Sim : 0.31400898; No similar. 
 rt usingenieria hoy detroit estudiantes visitan thehenryford asisten conferencias automatizacion en; j : 177. Sim : 0.3742993; No similar. 
 articulo unperiodico especial san andres tres anos fallo problematico labelurl uncaribe unimedios  ; j : 178. Sim : 0.47524324; No similar. 
 rt culturauniandes alosandesenbici concierto trio jazz triciclo sala ernesto martin hoy 100pm label; j : 179. Sim : 0.21733083; No similar. 
 caso pobreza extrema reduccion ano 2016 paso 143 141 piedad retrepo labelurl  ; j : 180. Sim : 0.44281527; No similar. 
 felices equipo usingenieria supera 10 pruebas tecnicas clasifica pruebas pista colombia labelurl  ; j : 181. Sim : 0.25977898; No similar. 
 rt juanmansantos revoluciondelainfraestructura genera empleo ampliacion accesos norte bogota creara; j : 182. Sim : 0.35301802; No similar. 
 trabajo investigativo geometria algebraica otorga premio jose fernando escobar profesor matematicas; j : 183. Sim : 0.15362561; No similar. 
 paris estudiantes eicea summer program fashion business ieseg school of management labelurl  ; j : 184. Sim : 0.26423928; No similar. 
 trabajo investigativo geometria algebraica otorga premio jose fernando escobar profesor matematicas; j : 185. Sim : 0.15362561; No similar. 
 dia mundial tabaco 2017 cigarrillo adiccion deja cada ano 7 millones muertes labelurl  ; j : 186. Sim : 0.3004721; No similar. 
 rt comsabana alguno comaudiovisual comsocial estrenara hoy trenusabana camino unisabana faltan 2 ho; j : 187. Sim : 0.38690838; No similar. 
 trabajo investigativo geometria algebraica otorga premio jose fernando escobar profesor matematicas; j : 188. Sim : 0.15362561; No similar. 
 rt jrestrp reconocimiento biciparqueaderos urosarionews sello oro secretariamovdc compromiso medio ; j : 189. Sim : 0.059356224; No similar. 
 constitucion 91 vemos hoy gente pudo retomar espacio politico clara atehortua labelurl  ; j : 190. Sim : 0.3195406; No similar. 
 carlos gaviria profesor gastronomia eicea presenta libro tecnicas profesionales cocina colombiana l; j : 191. Sim : 0.30711648; No similar. 
 rt hernanolano hace minuto salimos itinerario trenusabana trensuburbano unisabana derechousabana tu; j : 192. Sim : 0.23686956; No similar. 
 rt unisabanaradio empieza hacer literatura ficcion naufragar intento historia galeon nelson f pad  ; j : 193. Sim : 0.19830076; No similar. 
 rt oaduniandes bloque ayeryhoy hogar hermanas buen pastor hoy cienbiolandes uniandes throwbackthurs; j : 194. Sim : 0.31784585; No similar. 
 si genera empleo vamos ser capaces pais reducir pobreza brucemacmaster andicolombia labelurl  ; j : 195. Sim : 0.20302552; No similar. 
 libro tecnicas cocina colombiana galardonado mejor libro cocina mundial labelurl via eltiempo  ; j : 196. Sim : 0.2205181; No similar. 
 medida disminuido intensidad lucha incrementado cultivos general r jose leonardo gallego foroungass; j : 197. Sim : 0.12311622; No similar. 
 migremos sistema medicion permita tener menos subjetividad natalia ruiz rodgers vicemineducacion la; j : 198. Sim : 0.27862972; No similar. 
 comsabana sigabienpueda recuerden hoy empezamos elaboracion horarios comsabana siguiendo turnos asi; j : 199. Sim : 0.41759902; No similar. 
 rt monsieurjournal sabana universidad privada mejor reputacion colombia segun rank merco 2016 label; j : 200. Sim : 0.5802867; Baja. 
 torre seneca 628 cupos 243 apartamentos inicio funcionamiento cuenta primeros habitante labelurl  ; j : 201. Sim : 0.11116842; No similar. 
 rt behrentz raza grandes niveles resiliencia adaptabilidad enormes deseos superacion mas pesimismo ; j : 202. Sim : 0.21434607; No similar. 
 accion vehiculo carga derribo parte estructura provisional puente registraran lesiones personales 4; j : 203. Sim : 0.18899126; No similar. 
 noticiaun viviendas espacio publico activan entorno estacion metro labelurl via unimedios territori; j : 204. Sim : 0.3825947; No similar. 
 dia mundial tabaco 2017 cada ano cigarrillo deja siete millones muertes labelurl labelurl  ; j : 205. Sim : 0.2599919; No similar. 
 rt comsabana felicidades alumnos comsocial comaudiovisual hoy graduan unisabana inician vida alumn ; j : 206. Sim : 0.47959402; No similar. 
 dia mundial tabaco 2017 cada ano cigarrillo deja siete millones muertes labelurl labelurl  ; j : 207. Sim : 0.2599919; No similar. 
 rt comsabana tercerfiafest gracias hicieron posible fiafest ultimo reto encuentre logos fiafest  ; j : 208. Sim : 0.242006; No similar. 
 analistas representantes gobierno eeuu hablaron uniandes enfoque trump hacia medio oriente labelurl; j : 209. Sim : 0.22164701; No similar. 
 2015 2016 disminucion inversion vivienda pasando 24 16 2016 piedad retrepo labelurl  ; j : 210. Sim : 0.4905206; No similar. 
 rt uocpsicoedu revista ethe editada uoc uniandes referente mundial educacion labelurl cc uocunivers; j : 211. Sim : 0.24605888; No similar. 
 rumbo espana karen campos enfermeria zeury gelves fisioterapia ganaron beca santander labelurl  ; j : 212. Sim : 0.385719; No similar. 
 rt fasecoldaoficia unisabana hace lanzamiento cuarta edicion libro seguros temas esenciales labelur; j : 213. Sim : 0.29718187; No similar. 
 rt usembassybogota equipo ccykcolombia listo mas 10 mil asistentes educacion superior nafsa16 label; j : 214. Sim : 0.3748598; No similar. 
 noticiaun disenan sistema palmira vuelva ser ciudad bicicletas unpalmira labelurl via unimedios  ; j : 215. Sim : 0.4310173; No similar. 
