Modulo nnlm-es-dim128-with-normalization-2
Topicos : eafit hoy paz rector universidad pm manana via be colombia esperamos juan 
 rt biblioeafit ser lectores comic ven manana miercoles eafit sabras aula fabricato bloque 27 primer; j : 1. Sim : 0.5156634; Baja. 
 jenny dussan recibio distincion gran cruz orden merito social ambiental baron alexander von humbold; j : 36. Sim : 0.39845917; No similar. 
 hoy hace 68 anos 29 marzo 1949 dio primera clase universidad recuerdas primera clas labelurl  ; j : 37. Sim : 0.4049794; No similar. 
 manana cine foro sistema penal control social trae pelicula misterio von bulow esperamos partir lab; j : 38. Sim : 0.37821433; No similar. 
 hoyeneafit nueva jornada donacion sangre esperamos 900 be 500 pm lugar placa cubierta teni labelurl; j : 39. Sim : 0.47869837; No similar. 
 hoy manana realizara eafit mision rectores region occidente plan nacional colegio 10 tic 36 labelur; j : 40. Sim : 0.6318506; Baja. 
 permanecer silencio si america latina migracion crece 17 anual rector jrestrp congreso internaciona; j : 41. Sim : 0.49094173; No similar. 
 rt findeter ficogutierrez rector eafit pte lfarboledag inauguracion bloque idiomas eafit proyecto f; j : 42. Sim : 0.5140873; Baja. 
 consecuencia existe texto original poema canto antioqueno basa himno antioqueno juan luis mejia  ; j : 43. Sim : 0.39245912; No similar. 
 hoyeneafit cine club universidad eafit ascensor cadalso bloque 38 aula 110 partir 600 p labelurl  ; j : 44. Sim : 0.40751812; No similar. 
 ungass2016 reconocio ddhh componente interpretacion lucha drogas yesid reyes ex min justicia foroun; j : 45. Sim : 0.34860453; No similar. 
 eafit dara catedra multilatinas chilenas proximo jueves 27 auditorio fabricato 27 101 partir labelu; j : 46. Sim : 0.58754885; Baja. 
 rt cienciaseafit miraalcielo dejate atrapar historia galaxias proximo miercoles 9 agosto 600 pm aud; j : 47. Sim : 0.48781645; No similar. 
 rt areametropol rector eafit juan luis mejia reflexiona necesidad humanizar traves cultura acuerdos; j : 48. Sim : 0.6391194; Baja. 
 hoyeneafit catedra flip eafit comunicacion politica libertad prensa 900 be 1230 pm esperam labelurl; j : 49. Sim : 0.62067145; Baja. 
 rt educaunisabana manana partir 7 be vi congreso internacional pedagogia infancia yoconstruyopaz au; j : 50. Sim : 0.5455335; Baja. 
 rt lowcarboncity acompananos proximo viernes foro acceso energia renovable perspectivas social econ; j : 51. Sim : 0.5207938; Baja. 
 rt udistrital siembraton cada arbol siembras garantizas agua 3 personas unete sabado15 julio 7am jo; j : 52. Sim : 0.36577582; No similar. 
 rt ciscomobility how be cisco help eafit transform classroom learn read labelurl via dohnjoe edtech; j : 53. Sim : 0.38028458; No similar. 
 manana evento conmemorativo 25 anos constitucion politica examen promesas 800 be bloque 38 1 labelu; j : 54. Sim : 0.5741919; Baja. 
 manana pierdan segunda sesion catedra flipeafit esperamos entrada libre bloque 38101 830 be labelur; j : 55. Sim : 0.58453923; Baja. 
 mundo construyo politica actual drogas existe yesid reyes alvarado ex ministro justicia foroungassc; j : 56. Sim : 0.40416157; No similar. 
 momento ingreso campus eafit solo realiza porterias ubicadas via servicio avenida regional 11  ; j : 57. Sim : 0.3855959; No similar. 
 manana 900 pm nuevo capitulo lapazenfoco institucionaltv tema construccion paz partidos politicos u; j : 58. Sim : 0.51651645; Baja. 
 invitacion 25 anos constitucion politica examen promesas 25 octubre 800 be auditorio 381 labelurl  ; j : 59. Sim : 0.615749; Baja. 
 creo constitucion 91 salvo part puntuales si sirve construir pais paz aida avella  ; j : 60. Sim : 0.45461646; No similar. 
 manana pierdan tercera sesion catedra flipeafit esperamos entrada libre bloque 38101 900 be labelur; j : 61. Sim : 0.59434104; Baja. 
 rt capoliticoeafit juan luis rector eafit curso parte construccion colectiva diaria pro ciudad urba; j : 62. Sim : 0.64696634; Baja. 
 rt uninoseafit juan luis mejia rector eafit vacabad cofundadora uninoseafit reciben nuevos particip; j : 63. Sim : 0.5058075; Baja. 
 rector eafit juan luis mejia arango inicia seminario triptico hablando nuevo mundo recorrido labelu; j : 64. Sim : 0.6729931; Media. 
 rt areametropol partir hoy siatamedellin proyecta aun mas instrumento calidaddelaire juan luis meji; j : 65. Sim : 0.6522374; Baja. 
 rt mcalle87 si preguntan futuro creo debe parecerse verlo cerca solo ir eafit ceibaso  ; j : 66. Sim : 0.30465665; No similar. 
 recuerden jueves tercera sesion catedra flipeafit falten entrada libre bloque 38101 900 be labelurl; j : 67. Sim : 0.50578445; Baja. 
 manana foro publico transformacion medellin nuevos retos ciudadregion 600 pm bloque 38 125 labelurl; j : 68. Sim : 0.55870533; Baja. 
 conferencia innovar arte competir hoy 29 marzo 600 pm hotel cosmos 100 inscribete labelurl  ; j : 69. Sim : 0.27417597; No similar. 
 hoyeneafit invita hacer parte cineclub chaplin obra vida perro bloque 38 auditorio 110 labelurl  ; j : 70. Sim : 0.28107658; No similar. 
 si articulan fomentan alianzas largo plazo universidad empresa gana pais yanethgiha foro universida; j : 71. Sim : 0.38915083; No similar. 
 lfarboledag seguimos impulsando educacion pais 240 empleos 13000 estudiantes nuevo centro idiomas e; j : 72. Sim : 0.48822376; No similar. 
 rt apgguzman continuacion luis carlos bravo inalde presenta bondades metodo caso colombia universid; j : 73. Sim : 0.5059253; Baja. 
 hoyeneafit atrevanse innovar caso bonem bloque 38 auditorio 101 entrada libre previa inscripcion la; j : 74. Sim : 0.3293479; No similar. 
 rt cathyjuvinao acceso universal agua potable habra reduccion pobreza experto inguniandes wdsa2016 ; j : 75. Sim : 0.34008235; No similar. 
 rt otraparte otraparte editorial eafit invita jueves 15 junio presentacion sexo saxofon casa muse  ; j : 76. Sim : 0.4306375; No similar. 
 hoyeneafit 730 be recibimos fiscal general nacion nestor humberto martinez primer foro re labelurl ; j : 77. Sim : 0.6041359; Baja. 
 rt jrestrp recibiendo urosarionews hoy certificacion entidad familiarmente responsable dando valor ; j : 78. Sim : 0.2666569; No similar. 
 comenzo eafit xvii encuentro epemti conmemora 20 anos red media tecnica informatica antio labelurl ; j : 79. Sim : 0.51836544; Baja. 
 incorporar enfoque salud publica principales inter colombia yesid reyes ex min justicia foroungassc; j : 80. Sim : 0.34540913; No similar. 
 eafit inicia taller internacionalizacion 10 agosto 800 be 500 pm auditorio 19 501 labelurl  ; j : 81. Sim : 0.38976634; No similar. 
 manana primer foro regional nestor humberto martinez fiscal general nacion auditorio fundadores 730; j : 82. Sim : 0.57900673; Baja. 
 hoy vemos sector floricultor consciente desarrollo depende agenda sostenibilidad manuel acevedo ods; j : 83. Sim : 0.35039824; No similar. 
 si rebelion farc ceso va pasar operadores justicia fiscal nestor humberto martinez lapazesposible  ; j : 84. Sim : 0.58775795; Baja. 
 reto capitales sera 8 agosto eafit invitamos participar 200 pm bloque 17 primer piso labelurl  ; j : 85. Sim : 0.41563782; No similar. 
 hoy gente muere mas calidad aire calidad agua alejandro alvarez docente eafit sosporelaire  ; j : 86. Sim : 0.44459632; No similar. 
 rt economicasudea pocos minutos gcanavire profesor eafit habla innovacion infraestructura transport; j : 87. Sim : 0.45294738; No similar. 
 proximo 27 marzo sera eafit foro fulbright deberia ser usado espacio call esper labelurl  ; j : 88. Sim : 0.5412133; Baja. 
 rt economiauandes viernes 23 junio conferencia desarrollo largo plazo instituciones politica histor; j : 89. Sim : 0.43631; No similar. 
 rt apgguzman 70 mil empresas emprendedoras nacen cada ano colombia buscan nuevas oportunidades minc; j : 90. Sim : 0.31888515; No similar. 
 llego hora justicia hable medio acuerdos politicos fiscal nestor humberto martinez fiscaliacol lapa; j : 91. Sim : 0.61025226; Baja. 
 rt comfama fabiola saavedra docente eafit habla pertinencia educacion universitaria colombia efecto; j : 92. Sim : 0.5635751; Baja. 
 bienvenidos willkommen welcome bem vindos bienvenue hoy eafit saluda 142 estudiantes extranjeros ll; j : 93. Sim : 0.4346284; No similar. 
 manana cine foro sistema penal control social trae pelicula secreto ojos esperamos partir labelurl ; j : 94. Sim : 0.377216; No similar. 
 rector juan luis mejia entrega placa homenaje obra poemas ofensa 85 anos vida labelurl  ; j : 95. Sim : 0.53148484; Baja. 
 juan luis mejia rector eafit habla importancia expediciones evolucion botanica lograr avances cient; j : 96. Sim : 0.60394335; Baja. 
 rt igarzonvallejo aca pueden ver foro plebiscito unisabana rafael nieto loaiza jorge ivan cuervo la; j : 97. Sim : 0.50044304; Baja. 
 necesidad gente buena sana quiera colaborar cada vez tener sociedad mas participativa ep  ; j : 98. Sim : 0.26865995; No similar. 
 manana cine foro sistema penal control social trae pelicula enmienda xiii esperamos partir 9 labelu; j : 99. Sim : 0.43869305; No similar. 
 coninsaco cuenta 18 20 febrero habra cierre avenida vegas call 4 sur 12 sur  ; j : 100. Sim : 0.37696865; No similar. 
 colombia consiguio gran mayoria cosas propuso ungass2016 yesid reyes ex min justicia foroungasscol ; j : 101. Sim : 0.5123982; Baja. 
 rt gquinter bruna zani u bolonia simposio paz conflicto 10 anos psicologia emcsurosario urosarionew; j : 102. Sim : 0.52159137; Baja. 
 impulsar desarrollo economico pais si hacemos juntos podemos ir mas mclacouture foro universidadyem; j : 103. Sim : 0.46897233; No similar. 
 rt educaunisabana inicia acto academico 40 anos facultad intervencion senor rector obdulio velasque; j : 104. Sim : 0.6674983; Baja. 
 vias terciariashan sido fuente corrupcion trabajamos modelo evite pierda plata lf andrade anicolomb; j : 105. Sim : 0.43652776; No similar. 
 votaron si sabian mas votaron sabian menos sabian solo parte querian defender n montero  ; j : 106. Sim : 0.3262137; No similar. 
 eafitpereira hoy reunen eafit pereira eafit social empresarios educacion secretaria educacion forma; j : 107. Sim : 0.5787253; Baja. 
 rt behrentz tragedia mocoa natural miles colombianos habiten zonas aptas tal uso via eltiempo label; j : 108. Sim : 0.20302191; No similar. 
 rt jrestrp reunido embajador reino unido colombia buscando fortalecer relacion academica urosarione; j : 109. Sim : 0.5052239; Baja. 
 rt inalde quejas gran regalo reciben empresas ayudan mejorar yago cierva inalde unisabana comsabana; j : 110. Sim : 0.0012243696; No similar. 
 rt jrestrp bienvenidos profesores andreas von hirsch klaus gunther jornadas intnales derecho penal ; j : 111. Sim : 0.28690043; No similar. 
 sostenibilidad incentivo desarrollo empresarial pues ayuda redefinir mision posicion manuel acevedo; j : 112. Sim : 0.41542524; No similar. 
 rt ifaunisabana registrate conferencia virtual gratis familia ciudadania hoy 800 pm inscribete aqui; j : 113. Sim : 0.53354686; Baja. 
 tratamiento diferencial distintos eslabones cadena narcotrafico acogida ungass2016 yesid reyes exmi; j : 114. Sim : 0.13055865; No similar. 
 juan luis mejia arango habla eafit agente transformador ciudad encuentro sistemab emprendimien labe; j : 115. Sim : 0.57124084; Baja. 
 rt proantioquia1 eafit rafael aubad presidente proantioquia1 reflexiona rol sector privado incidir ; j : 116. Sim : 0.31574923; No similar. 
 rt elmundomedellin elmundoevoluciona centro integridad reflexiona elevar nivel moral universidad ju; j : 117. Sim : 0.5070196; Baja. 
 rt alcaldiademed acercate tomes foto 830 be 1100 be 200 pm 430 pm 2  ; j : 118. Sim : 0.3936691; No similar. 
 proximo 11 mayo eafit trae ustedes trueque literario libro abierto esperamos mas informacion  ; j : 119. Sim : 0.56976557; Baja. 
 rt comfama juan luis mejia arango rector eafit habla importancia economia social lacealames16 label; j : 120. Sim : 0.64033484; Baja. 
 rt coninsaramonh medidas provisionales puente eafit vegas norte sur 420 m sur norte 440m labelurl  ; j : 121. Sim : 0.340299; No similar. 
 rt cardenasjorgeh juan fernando vargas u rosario logra articulos mas citados economia 5 prestigiosa; j : 122. Sim : 0.54893684; Baja. 
 manana esperamos debate paz convivencia seguridad codigo policia ciudad medellin auditorio central ; j : 123. Sim : 0.6443338; Baja. 
 ariascarolina garzonarroyave saludos pueden informarnos zona campus presenta problema reportaremos ; j : 124. Sim : 0.1761113; No similar. 
 informamos partir momento restablece movilidad av vegas ambos altura eafit cc sttmed  ; j : 125. Sim : 0.3008276; No similar. 
 conmemoramos 40 anos programa siempre aportado sociedad juan luis mejia arango rector eafit labelur; j : 126. Sim : 0.70519096; Media. 
 seguridad juridica ser objetivo ineludible acuerdo fiscal nestor humberto martinez fiscaliacol lapa; j : 127. Sim : 0.5147977; Baja. 
 rt pactocolombia hoy diplomado empresas derechos humanos paz cfcecartagena participacion victor hug; j : 128. Sim : 0.5593058; Baja. 
 recuerden 27 marzo conferencia medellin espacio publico esperamos bloque 38101 1000 be labelurl  ; j : 129. Sim : 0.54707533; Baja. 
 podemos aceptar aquellos cometieron delitos lesa humanidad vayan hacer politica charoguerra lospres; j : 130. Sim : 0.2778877; No similar. 
 hoyeneafit 25 anos constitucion politica examen promesas 800 be auditorio 38101 invitan  ; j : 131. Sim : 0.64496577; Baja. 
 rt corpovisionario hoy inicia diplomado culturaciudadana conferencia inaugural eafit cargo antanasm; j : 132. Sim : 0.35052282; No similar. 
 adecuado manejo erario publico tema fundamental sociedad universidad juan luis mejia ideaantioquia ; j : 133. Sim : 0.50627375; Baja. 
 esperamos proximo lunes conferencia medellin espacio publico partir 1000 be bloque 381 labelurl  ; j : 134. Sim : 0.6171667; Baja. 
 certezas juridicas pueden ser camino llegar acuerdo politico fiscal nestor humberto martinez fiscal; j : 135. Sim : 0.55611485; Baja. 
 kavaloma saludos dependencia desea comunicarse si desea podemos orientarle traves mensajes directos; j : 136. Sim : 0.3220664; No similar. 
 rafacamargo5 avenida vegas estara cerrada ambos domingo 945 be despues implosion 23  ; j : 137. Sim : 0.40658182; No similar. 
 aspiramos ustedes venir eafit experiencia importante vida rector juan luis mejia arango labelurl  ; j : 138. Sim : 0.6817428; Media. 
 eafit esperamos curso aplique paises aporte cooperacion regional america latina caribe unctad  ; j : 139. Sim : 0.62232894; Baja. 
 rt slondonouribe cambiando normas sino comportamientos rector juan luis mejia eafit centro integrid; j : 140. Sim : 0.5587719; Baja. 
 viernes sera catedra flip eafit comunicacion politica libertad prensa entrada libre registrarse lab; j : 141. Sim : 0.6277942; Baja. 
 mediano plazo mafias vuelven logros desarrollo rural marchitan guillermo garcia unodcesp foroungass; j : 142. Sim : 0.3335841; No similar. 
 hoyeneafit esperamos segunda sesion catedra flipeafit partir 830 be bloque 38101 entrada labelurl  ; j : 143. Sim : 0.5651584; Baja. 
 beneficio modelo busca transferir capacidades localidades hacer acuerdos sector privado luis f andr; j : 144. Sim : 0.2920573; No similar. 
 rt santiagocancion asi lucio leeranaldo thesonicyouth medellin magic poetic gracias eafit postales ; j : 145. Sim : 0.41732997; No similar. 
 recuerden manana primer foro regional fiscal general nacion nestor humberto martinez fiscaliacol  ; j : 146. Sim : 0.6296927; Baja. 
 resultados elca 2010 2017 hogares mujeres cabeza hogar pasaron 35 39 zonas urbanas labelurl  ; j : 147. Sim : 0.07618651; No similar. 
 rt encicla juan fernando ruiz eafit cuenta aprendizajes construccion encicla conjunto areametropol ; j : 148. Sim : 0.54012966; Baja. 
 jueves eafit pierdan tercera sesion catedra flipeafit esperamos partir 900 be bl labelurl  ; j : 149. Sim : 0.6360466; Baja. 
 caminar usar transporte publico realizar revisiones tecnomecanicas respeto educacion puntos decalog; j : 150. Sim : 0.3544185; No similar. 
 rt educaunisabana jesus murillorompe mold habla labor educador infantil consideran reservada mujere; j : 151. Sim : 0.2836701; No similar. 
 rt dagrdmedellin director zapatacamilo socializa plan municipal gestion riesgo desastres eafit herr; j : 152. Sim : 0.31459072; No similar. 
 inicia panel productividad jesus botero garcia rosario cordoba juansrobledo josefina agudelo presid; j : 153. Sim : 0.4622818; No similar. 
 hoyeneafit esperamos tercera sesion catedra flipeafit partir 900 be bloque 38101 entrada labelurl  ; j : 154. Sim : 0.5734219; Baja. 
 rt alcaldiademed escuchamos aun pod tomarte foto leekuanyewworldcityprize veni martes 18 octubre pi; j : 155. Sim : 0.3705625; No similar. 
 queremos ciudadania movilice alrededor tema calidad aire edison neira vicerrector universidad antio; j : 156. Sim : 0.59218174; Baja. 
 eafit invita secuenciacion nanopore 31 julio bloque 38110 500 pm 600 pm labelurl  ; j : 157. Sim : 0.28340864; No similar. 
 hoyeneafit cineclub chaplin obra vida obra charles partir 600 pm entrada libre labelurl  ; j : 158. Sim : 0.33707443; No similar. 
 incremento consumo heroina sera tema decisivo politicas anti drogas franciscocumsi1 cicadoea foroun; j : 159. Sim : 0.21668254; No similar. 
 instalacion taller cargo juan luis mejia rector eafit german jaramillo director ejecutivo  ; j : 160. Sim : 0.6266627; Baja. 
 cruzrojaantioq hace tras implosion controlada eafit simulacro entrenamiento atencion emergencia est; j : 161. Sim : 0.14266622; No similar. 
 opcionhoy grupo escenico eafit presenta hoy manana casateatroep obra vacio hora 8pm  ; j : 162. Sim : 0.53665054; Baja. 
 rosario cordoba juan luis mejia mauricio garcia dialogan momento eafitbogota cultura integracion  ; j : 163. Sim : 0.6529447; Baja. 
 josefina agudelo podemos hacer panorama retador portafolios iniciativas idi ser sostenibles colombi; j : 164. Sim : 0.20675208; No similar. 
 pierdan manana casa museo otraparte presentacion libro sexo saxofon partir 730 pm labelurl  ; j : 165. Sim : 0.46424168; No similar. 
 rt inmotiongroup unimos iniciativa sosporelaire eafit martes deja carro casa aire ciudad nec  ; j : 166. Sim : 0.37129927; No similar. 
 rt upbcolombia pensar problematica calidad aire da espera debemos promover reflexion cadenagaitan s; j : 167. Sim : 0.36631584; No similar. 
 23 25 noviembre pierdan conferencia acceso universal energia america latina ver mas labelurl  ; j : 168. Sim : 0.5598932; Baja. 
 rt elespectador minutos malbarracin generalnietor ficogutierrez general gomez jorge giraldo hablara; j : 169. Sim : 0.52232337; Baja. 
 rt cideruniandes hoy uniandes teorias desarrollo 210 piezas reinvencion concepto luis mauricio cuer; j : 170. Sim : 0.32380003; No similar. 
 rt cesazulce eltiempo unisabana alexandramonto buena conferencia sorprende nivel capacidad conectar; j : 171. Sim : 0.13839784; No similar. 
 hoyeneafit suzanne osullivan conversacion cristian vargas upegui haymedellin17 entrada libre ver ma; j : 172. Sim : 0.50438887; Baja. 
 rt uoclatam finalizamos taller socios redunete uocuniversidad unabonline eafit uniandes uniminutoco; j : 173. Sim : 0.2655363; No similar. 
 lunes antanasmockus hablara cultura ciudadana eafit 500 pm entrada libre cc corpovisionario labelur; j : 174. Sim : 0.31866425; No similar. 
 publico conocimiento manana hoy cerca 720 be presento incidente involucro vehiculo carga 2  ; j : 175. Sim : 0.4791944; No similar. 
 salud publica implica labor orientadas politicas plan construir bienestar rafael tuesta maestriaens; j : 176. Sim : 0.27193138; No similar. 
 enfoque salud publica mas profundo tratamiento personas consumen drogas franciscocumsi1 cicadoea fo; j : 177. Sim : 0.049483757; No similar. 
 cuba fidel castro fallecio isla atesoro bastion socialista occidente labelurl jcmvelandia via eltie; j : 178. Sim : 0.49044013; No similar. 
 hoyeneafit conferencia miguel robles auditorio 19522 600 pm entrada libre invita urbameafit labelur; j : 179. Sim : 0.42724207; No similar. 
 proposito codigo generar confianza sociedad queremos ser policia mas humana generalnietor policiapa; j : 180. Sim : 0.47350886; No similar. 
 eafit invita proximo 31 julio cineclub chaplin vida perro entrada libre esperamos labelurl  ; j : 181. Sim : 0.47342125; No similar. 
 apoyo podemos llegar 10 ahorro energia agua campus activa conciencia dale respiro labelurl  ; j : 182. Sim : 0.33087203; No similar. 
 rt blackboardlatam experto phill miller hablara tedxunisabana lunes 23 mayo stream partir 3pm label; j : 183. Sim : 0.4108394; No similar. 
 desarmados trae memorias conflicto corrido 60 anos pais juan luis mejia arango  ; j : 184. Sim : 0.5600185; Baja. 
 rt bolsamercantil inicia retobolsamercantil rafael mejia pte bolsamercantil hilda arango decana esc; j : 185. Sim : 0.5378996; Baja. 
 rt alcrionegro rionegroaldia programa bici rioes modelo nivel nacionaly cuenta universidad eafitcom; j : 186. Sim : 0.22664802; No similar. 
 expresiones palabras convierten discursos odio violencia juan camilo cardenas decano economiauandes; j : 187. Sim : 0.39529207; No similar. 
 eafit presentara libro filo hoja proximo 31 julio auditorio fabricato 27 101 labelurl  ; j : 188. Sim : 0.4657613; No similar. 
 recuerden hoy casa museo otraparte esperamos presentacion libro fernando gonzalez politica exerior ; j : 189. Sim : 0.60588485; Baja. 
 23 25 noviembre estan invitados conferencia mes2016 acceso universal energia america latin labelurl; j : 190. Sim : 0.5302676; Baja. 
 rt mdpalcol raouf almalki embajador palestina participando conversatorio perspectivas medio oriente; j : 191. Sim : 0.3604835; No similar. 
 rt admonuniandes isdrs2017 open ceremony pablonavasuand rector uniandes walter vermheulen pdte isdr; j : 192. Sim : 0.3915574; No similar. 
 hoy esperamos casa museo otraparte presentacion libro sexo saxofon autor gonzalo arang labelurl  ; j : 193. Sim : 0.46473283; No similar. 
 cristian rojas cpoliticasus si trump gana serian lecciones dejaria eleccion via eltiempo labelurl  ; j : 194. Sim : 0.5141763; Baja. 
 4 30 octubre habra cierres nocturnos av vegas construccion puente peatonal ver mas labelurl  ; j : 195. Sim : 0.48144224; No similar. 
 pierdan proximo lunes 17 julio primer festival musica camara arcos eafit esperamos labelurl  ; j : 196. Sim : 0.57488364; Baja. 
 alejandromllo sttmed saludos ingreso debe ser av regional aun realizan trabajos vegas  ; j : 197. Sim : 0.32504952; No similar. 
 rt orinoquiaceo inicia uniandes foro modelo red empresas sostenibles rede admonuniandes carcundi ba; j : 198. Sim : 0.19747178; No similar. 
 27 31 marzo continua medida pico placa ambiental campus eafit ver mas labelurl  ; j : 199. Sim : 0.39401263; No similar. 
 gran beneficio paz pueblo rural urbano sienta tranquilidad seguridad general edoherrerab beneficios; j : 200. Sim : 0.29732892; No similar. 
 paz colombia foro mujeres detras proceso paz inscribete labelurl manana 730 be audi labelurl  ; j : 201. Sim : 0.62472695; Baja. 
 antioquia debatia texto mejia jorge isaacs antonio jose restrepo juan luis mejia  ; j : 202. Sim : 0.6084844; Baja. 
 proximo lunes 17 julio comienza primer festival musica camara arcos eafit falten labelurl  ; j : 203. Sim : 0.5230611; Baja. 
 esperamos manana encuentro cafe ciudad sos aire amenaza continua partir 400 pm labelurl  ; j : 204. Sim : 0.63184637; Baja. 
 rt jrestrp compartiendo vicepresidentes talento humano distintas empresas educacion cuarta revoluci; j : 205. Sim : 0.3112712; No similar. 
 idrclac juan drestrepo eafit present at resilientcities find proj cartagena watch video  ; j : 206. Sim : 0.5498678; Baja. 
 eafit elegida nuevamente escenario curso unctad espacio alto impacto agenda economica internacional; j : 207. Sim : 0.27778906; No similar. 
 rt casateatroep jueves 16 viernes 17 pierdas vacio grupo escenico eafit eafitartistico escenasur la; j : 208. Sim : 0.36431855; No similar. 
 rt educaunisabana doctor ciroparram saluda padres familia estudiantes primer semestre licenciatura ; j : 209. Sim : 0.38187972; No similar. 
 hoy tarde vivir arte campus educaunisabana 40anos inauguracion edificio k hora 200 pm labelurl  ; j : 210. Sim : 0.5572551; Baja. 
 desarrollo sostenible cada pais debe tener dialogo identificar medidas profundizar josephestiglitz ; j : 211. Sim : 0.1522197; No similar. 
 eafit claudio thieme phd hace recorrido economia educacion chilena muestra casos empresas labelurl ; j : 212. Sim : 0.460663; No similar. 
