Modulo nnlm-es-dim128-with-normalization-2
Topicos : comunidadun dia feliz unparatodos mas conoce semana uncolombia video noche dias actividades programacion 
 feliz noche comunidadun deseamos gran final ano 2015 comienzo 2016 lleno mejor somosun uncolombia  ; j : 1. Sim : 0.6217162; Baja. 
 senal encuentra ubicada metros obra semana pasada coninsa ramon h instalo pasacalles informacion 5 ; j : 28. Sim : 0.5051541; Baja. 
 linagira revistasemana edcouniandes buenos dias mooc gratuitos plataforma cobra obtencion certifica; j : 29. Sim : 0.48414525; No similar. 
 culturaun medellin urbes horas climas nueva exposicion biblioteca efe gomez unmedellin labelurl uni; j : 30. Sim : 0.49350232; No similar. 
 rt antvisible cordial saludo invitamos participar iii foro seguimiento legislativo herramienta rend; j : 31. Sim : 0.28642762; No similar. 
 comunidadun vas salir oficina casa mas 1 hora recuerda apagar computador luces ahorraun  ; j : 32. Sim : 0.4528033; No similar. 
 si propone redactar documento mas confuso comunicado 69 habana consigue guillermobotero fenalconaci; j : 33. Sim : 0.2265644; No similar. 
 rt grupoargos tourtuitero filial cementosargos cuenta equipos alto valor analitico diseno nuevos pr; j : 34. Sim : 0.22603607; No similar. 
 enfoque salud publica mas profundo tratamiento personas consumen drogas franciscocumsi1 cicadoea fo; j : 35. Sim : 0.14027834; No similar. 
 si partir fracturar volver rearmarnos mejor momento ma paulina baena pulla elespectador  ; j : 36. Sim : 0.25407124; No similar. 
 rt seceducacionant guatape ceja cisneros puerto triunfo santo domingo donmatias formacion escuelas ; j : 37. Sim : 0.39810473; No similar. 
 laespira saludos lamentamos error mensaje anterior efectivamente evento jueves 27 gracias contactar; j : 38. Sim : 0.4323424; No similar. 
 fotounisabana gracias grupo gimnasio yumana aspaen neiva visito hoy universidad vuelvan pronto labe; j : 39. Sim : 0.30696356; No similar. 
 emisoraudea ciencia cultura educacion temas permiten construir paz pais mauricioalviar lanzamiento ; j : 40. Sim : 0.26753384; No similar. 
 recuerda programarte eventos uncolombia descargando aplicacion circularun feliz fin semana comunida; j : 41. Sim : 0.66289455; Baja. 
 comunidadun recuerda descargar aplicacion circularun programate eventos actividades unparatodos ios; j : 42. Sim : 0.53873795; Baja. 
 noche dejamos consejos expresatebien comunicate mejor campanaun labelurl feliz noche feliz viernes ; j : 43. Sim : 0.60020554; Baja. 
 buenos dias comunidadun felizlunes deseamos mejor dias excelente semana vacaciones somosun  ; j : 44. Sim : 0.72751755; Media. 
 comunidadun programate actividades eventos uncolombia ano descargando app circularun feliz noche  ; j : 45. Sim : 0.7129161; Media. 
 comunidadun recuerda programarte actividades eventos academicos culturales uncolombia descargando a; j : 46. Sim : 0.4323503; No similar. 
 ingresa circularun programate asistir actividades eventos unparatodos feliz fin semana comunidadun ; j : 47. Sim : 0.5997728; Baja. 
 terminar dia recordemos tener cuenta consejos expresatebien comunicate mejor labelurl feliz noche  ; j : 48. Sim : 0.5825942; Baja. 
 comunidadun terminemos lunes mejor actitud tener gran semana fin ano feliznoche labelurl  ; j : 49. Sim : 0.61770266; Baja. 
 comunidadun despues gran fin semana deseamos mejor tener gran dia felizmartes labelurl  ; j : 50. Sim : 0.5637755; Baja. 
 terminar lunes musica unradio nueva aplicacion disponible ios android feliz noche labelurl  ; j : 51. Sim : 0.65194947; Baja. 
 buenos dias comunidadun deseamos gran jueves hoy dia sentir orgulloun labelurl somosun  ; j : 52. Sim : 0.6873672; Media. 
 comunidadun aproxima semana camilo torres restrepo encuentra aqui programacion asiste labelurl vriu; j : 53. Sim : 0.602711; Baja. 
 terminar dia invitamos conocer prototipo impresora braille unmedellin video labelurl feliz noche  ; j : 54. Sim : 0.5147859; Baja. 
 ivan93707789 buenos dias favor envianos datos mensaje directo proporcionarte informacion solicitada; j : 55. Sim : 0.54025644; Baja. 
 ten cuenta desconectar cargador celular portatil vez termines cargarlos ahorraun conecta labelurl  ; j : 56. Sim : 0.33544594; No similar. 
 feliz noche comunidadun deseamos feliz noche esperamos esten disfrutando vacaciones labelurl somosu; j : 57. Sim : 0.6272592; Baja. 
 felizmiercoles comunidadun bienvenidos nuevo dia mejor deseamos gran dia unparatodos somosun  ; j : 58. Sim : 0.5278275; Baja. 
 revistasemana dialogo patricia engel finalista iii premio biblioteca narrativa colombiana pbnc labe; j : 59. Sim : 0.12283397; No similar. 
 terminemos dia conociendo mas software interactivo museo samoga unmanizales labelurl feliz noche  ; j : 60. Sim : 0.5947034; Baja. 
 dejen escribir siempre seran necesarios cuentos relatos patricia engel pbnc haymedellin17  ; j : 61. Sim : 0.28969473; No similar. 
 rt cerosetenta carmen maura actriz espanola famosa participaciones cintas almodovar paso 070 labelu; j : 62. Sim : 0.23045418; No similar. 
 programateun visita filbo2017 fin semana conoce nuevos productos tiendaun feliz sabado p labelurl  ; j : 63. Sim : 0.5908623; Baja. 
 buenos dias comunidadun bienvenidos nueva semana campus universidad uncolombia somosun felizlunes  ; j : 64. Sim : 0.6313759; Baja. 
 toda personas consumen sustancias ilicitas adictos gran mayoria franciscocumsi1 cicadoea foroungass; j : 65. Sim : 0.17334941; No similar. 
 feliz comienzo semana comunidadun esperamos gran dia mejor semana campus universidad  ; j : 66. Sim : 0.6693807; Baja. 
 comunidadun hoy gran dia ver nuevo consejos campanaun expresatebien comunicate mejor labelurl  ; j : 67. Sim : 0.50171506; Baja. 
 comunidadun fin semana visita filbo2017 conoce stand uncolombia antojate nuevos pr labelurl  ; j : 68. Sim : 0.5289495; Baja. 
 rt orinoquiaceo proposito gira productores maranon entidades apoyo puerto carreno vichada embrapa l; j : 69. Sim : 0.24743323; No similar. 
 comunidadun conoce nueva coleccion tiendaun stand 103 uncolombia feria libro pabellon labelurl  ; j : 70. Sim : 0.34019148; No similar. 
 proxima semana comienza celebracion fiesta primavera ano gallo 2017 ver programacion labelurl  ; j : 71. Sim : 0.68353367; Media. 
 jurado pbnc definio semifinalistas premio mejor libro publicado colombianos ultimo ano labelurl  ; j : 72. Sim : 0.2915531; No similar. 
 terminar dia invitamos conocer mas nueva agenda cultural manizales unmanizales labelurl culturaun  ; j : 73. Sim : 0.51416546; Baja. 
 gustaria aprender competir siglo xxi buena gerenciamanana conferencia ernst pfeifer fr labelurl  ; j : 74. Sim : 0.20332792; No similar. 
 iii premio biblioteca narrativa colombiana mayoria obra vida patricia engel pbnc labelurl  ; j : 75. Sim : 0.21217445; No similar. 
 felizmiercoles comenzar dia gracias toda comunidadun hacer parte rede sociales unparatodos  ; j : 76. Sim : 0.43818468; No similar. 
 rectores g8 solidarizan udea rechazan uso indebido espacios academicos ver mas labelurl  ; j : 77. Sim : 0.24878882; No similar. 
 feliz noche comunidadun esperamos gran miercoles ahora vamos descansar somosun unparatodos  ; j : 78. Sim : 0.60617226; Baja. 
 finalizo entrega iii premio biblioteca narrativa colombiana pbnc manana continuara haymedellin17 la; j : 79. Sim : 0.27179158; No similar. 
 conoce mas cantaora guapi cauca video pacifico sur faustina orobio labelurl untelevision  ; j : 80. Sim : 0.42495638; No similar. 
 hoy filbogota presentacion libros cabos sueltos lectura pecado capital pasos escorpion  ; j : 81. Sim : 0.41452625; No similar. 
 buenos dias unparatodos gracias nuevos seguidores ser parte gran comunidadun somosun  ; j : 82. Sim : 0.4109541; No similar. 
 85 empleos perdidos eua consecuencia maquinas trump mas facil echarle culpa  ; j : 83. Sim : 0.31291133; No similar. 
 felizviernes comunidadun deseamos gran excelente dia mejores deseos hoy vacaciones unparatodos  ; j : 84. Sim : 0.5683802; Baja. 
 stefaherrera saludos gustaria conocer profundidad inquietud puede describirnos caso correo mgomezr2; j : 85. Sim : 0.32265174; No similar. 
 rt facisouniandes capacidad cambiar piel capacidad pasar mundo carlo ginzburg hombreslobo so  ; j : 86. Sim : 0.14843847; No similar. 
 dato segun instituto cervantes espanol hablado 567 millones personas mundo losperiodistasenunisaban; j : 87. Sim : 0.32435706; No similar. 
 queremos contarte vamos receso semanasanta volveremos ver 17 abril feliz semana labelurl  ; j : 88. Sim : 0.50465596; Baja. 
 rt obsdemocracia apoyo procesodepaz depende tan buena aprobacion presidencial segun barometroameric; j : 89. Sim : 0.23001005; No similar. 
 126 participantes tres escritores finalistas iii premio biblioteca narrativa colombiana pbnc labelu; j : 90. Sim : 0.0051833387; No similar. 
 rt ceasiapacifico invitamos fiesta primavera 2017 eafit habra conferencias diferentes actividades c; j : 91. Sim : 0.48167127; No similar. 
 mintieron pais infundieron miedo clase politica enganado pais defender si cv  ; j : 92. Sim : 0.2969486; No similar. 
 preguntaron carl langebaek vicerrector academico cambios traera nueva reforma academica carlrespond; j : 93. Sim : 0.19008146; No similar. 
 estrategias mejoran profundizan aprendizaje motiva mas exito linda b nilson diadelprofesor urosario; j : 94. Sim : 0.31961408; No similar. 
 conferencia pasados ontologias alternativas estudio pasado 23 24 marzo mas informacion labelurl  ; j : 95. Sim : 0.44853064; No similar. 
 rt obsdemocracia obsdemocracia noticia latinoamerica portal infolatam anticipa resultados historico; j : 96. Sim : 0.36927918; No similar. 
 programateun partir proximo lunes semana camilo torres restrepo programacion labelurl circularun vr; j : 97. Sim : 0.58166224; Baja. 
 rectores g8 apoyan medidas adoptadas udea solidarizan comunidad academica ver comunicado labelurl  ; j : 98. Sim : 0.21534868; No similar. 
 gestion marca contexto digital articulo convenio pbsedueafit publicado palermo business revie  ; j : 99. Sim : 0.2822094; No similar. 
 rt admonuniandes ahora fuerzacnn transmite linea fuerzadelmilenio facebook live ingresa ahora label; j : 100. Sim : 0.36731878; No similar. 
 rt grupoargos hoy celebrando apoyo grupoargos centro estudios universidad eafit rodrigo botero labe; j : 101. Sim : 0.39910477; No similar. 
 comunidadun terminar dia conoce mas 100 obras mas importantes pais orgulloun labelurl  ; j : 102. Sim : 0.58656746; Baja. 
 actualmente humanidad libra guerra naturaleza si gana habra perdido hubert reevesdisponibl labelurl; j : 103. Sim : 0.31039062; No similar. 
 rt slondonouribe universidades deben educar justiciaincluyentes equitativas capacidades dice adela ; j : 104. Sim : 0.1931938; No similar. 
 nunca recibido solo centavo hecho vendido bus volvo mentira grotesca enriquepenalosa  ; j : 105. Sim : 0.23407121; No similar. 
 comienza presentacion libros cabos sueltos eduardo escobar pasos escorpion julio cesar  ; j : 106. Sim : 0.51084936; Baja. 
 corrupcion mal insufrible entrevista alberto simpser doctor ciencia politica universidad stanford l; j : 107. Sim : 0.22517662; No similar. 
 x conferencia farc gran ejercicio democratico guerrillerada dedico estudiar lupa acuerdos cv  ; j : 108. Sim : 0.44064984; No similar. 
 lecuyeryoann buenos dias usted podria favor indicarnos medio puso queja fecha labelurl  ; j : 109. Sim : 0.5230704; Baja. 
 vive grupos semana podran asistir plazoleta estudiante conocer 12 grupos estudian labelurl  ; j : 110. Sim : 0.31017414; No similar. 
 rt behrentz raza grandes niveles resiliencia adaptabilidad enormes deseos superacion mas pesimismo ; j : 111. Sim : 0.16170876; No similar. 
 consejos expresatebien comunicate mejor aplicarlos diariamente campanaun labelurl feliz fin semana ; j : 112. Sim : 0.5130121; Baja. 
 descarga aplicacion circularun enterate actividades eventos unparatodos disponible ios android  ; j : 113. Sim : 0.5030357; Baja. 
 comunidadun consejos expresatebien comunicate mejor aplicar dias labelurl feliz noche campanaun  ; j : 114. Sim : 0.64916486; Baja. 
 buenos dias feliz comienzo semana felizlunes toda comunidadun acompana diariamente labelurl  ; j : 115. Sim : 0.71627593; Media. 
 comunidadun feliznoche feliz fin semana proxima semana volvemos mas unparatodos labelurl  ; j : 116. Sim : 0.7169409; Media. 
 feliznoche terminemos semana conociendo repositorio digital metacampusun labelurl feliz fin semana ; j : 117. Sim : 0.5463336; Baja. 
 noche consejos aplicar siempre expresatebien comunicate mejor campanaun labelurl feliz noche  ; j : 118. Sim : 0.5785506; Baja. 
 felizmiercoles unparatodos comenzar gran dia noticias diariamente hacen sentir orgulloun labelurl  ; j : 119. Sim : 0.54589576; Baja. 
 terminar dia recuerda tambien youtube video labelurl feliz noche comunidadun unparatodos  ; j : 120. Sim : 0.75412285; Media. 
 felizmiercoles unparatodos comenzar gran dia noticias diariamente hacen sentir orgulloun labelurl  ; j : 121. Sim : 0.54589576; Baja. 
 terminar dia recuerda tambien youtube video labelurl feliz noche comunidadun unparatodos  ; j : 122. Sim : 0.75412285; Media. 
 feliz noche comunidadun terminemos dia musica unparatodos video playback unmedellin labelurl  ; j : 123. Sim : 0.70295066; Media. 
 comunidadun escucha unradio descargando nueva app disponible ios android 985unradio labelurl  ; j : 124. Sim : 0.34508213; No similar. 
 comunidadun consejos expresatebien comunicate mejor puedes encontrarlos aqui labelurl aplicalos cam; j : 125. Sim : 0.37268132; No similar. 
 comunidadun eventos actividades academicas culturales uncolombia estan aqui labelurl circularun unp; j : 126. Sim : 0.5161202; Baja. 
 comunidadun recuerda tener cuenta consejos expresatebien comunicate mejor labelurl aplicalos campan; j : 127. Sim : 0.293893; No similar. 
 terminar lunes musica unradio emision web labelurl unradioweb feliz noche comunidadun  ; j : 128. Sim : 0.6963463; Media. 
 terminar viernes tener gran fin semana programateun actividades culturales unparatodos labelurl  ; j : 129. Sim : 0.56002265; Baja. 
 guion truhan tilde ortografia espanol lucia fraca guerrera barrera losperiodistasenunisabana  ; j : 130. Sim : 0.2554085; No similar. 
 comunidadun recuerda descargar aplicacion circularun conocer mas eventos actividades unparatodos  ; j : 131. Sim : 0.4764972; No similar. 
 felizmiercoles comencemos gran dia videos hacen parte repositorio digital metacampusun labelurl  ; j : 132. Sim : 0.4362407; No similar. 
 comunidadun comenzamos dia videos musicaun programa playback labelurl feliz viernes unparatodos  ; j : 133. Sim : 0.69493514; Media. 
 felizlunes comenzamos semana celebrando dia mundial radio toda comunidadun 985unradio labelurl  ; j : 134. Sim : 0.63127595; Baja. 
 comunidadun visitaste exposicion museodearteun conoce mas aqui labelurl video divcultural unbogota ; j : 135. Sim : 0.556064; Baja. 
 comenzamos dia videos musicaun programa playback untelevision labelurl feliz miercoles comunidadun ; j : 136. Sim : 0.6908948; Media. 
 feliznoche toda comunidadun diariamente acompana rede sociales gracias unparatodos somosun  ; j : 137. Sim : 0.37881136; No similar. 
 descargaste aplicacion circularun instalala programate eventos actividades tendra 2016 unparatodos ; j : 138. Sim : 0.49548456; No similar. 
 comunidadun terminar jueves conoce agenda actividades trae circularun labelurl feliz noche  ; j : 139. Sim : 0.6421451; Baja. 
 comunidadun perdiste rendicion cuentas 2015 uncolombia encuentra video aqui labelurl launcuenta  ; j : 140. Sim : 0.5250514; Baja. 
 comunidadun terminaron viernes esperamos gran dia mejor fin semana unparatodos  ; j : 141. Sim : 0.66384226; Baja. 
 comunidadun terminar lunes click museo ciencia juego samoga unmanizales video labelurl  ; j : 142. Sim : 0.46449983; No similar. 
 terminar gran dia dejamos unradio programacion cultural musical unparatodos labelurl 985unradio  ; j : 143. Sim : 0.41776174; No similar. 
 buenos dias comunidadun bienvenidos nuevo dia uncolombia deseamos felizjueves unparatodos  ; j : 144. Sim : 0.6366199; Baja. 
 amor espanol literatura bogdan piotrowski academico numero academia colombiana lengua labelurl  ; j : 145. Sim : 0.2843736; No similar. 
 comunidadun deseamos gran semana comencemos dia informacion unparatodos labelurl unimedios felizlun; j : 146. Sim : 0.6897326; Media. 
 santycadavidd buenos dias lamentamos sucedido lista publicara hoy final dia labelurl  ; j : 147. Sim : 0.61861867; Baja. 
 feliz comienzo semana comunidadun gran lunes informacion unparatodos labelurl unimedios somosun  ; j : 148. Sim : 0.67699885; Media. 
 siendo afectados procesos machine learn martha alice losada rectora uantonionarino labelurl  ; j : 149. Sim : 0.13288637; No similar. 
 diosserfmlipais caso favor clic dice active cuenta aqui siga instrucciones  ; j : 150. Sim : 0.3386052; No similar. 
 descubre detalles exposicion mas alla cliche fondo fotografico ernest bourgarel labelurl  ; j : 151. Sim : 0.40177548; No similar. 
 hoy comenzamos dia videos musicaun programa playback labelurl feliz miercoles comunidadun  ; j : 152. Sim : 0.7200942; Media. 
 museosun tambien estan circularun conocelos programa visita labelurl feliz noche unparatodos  ; j : 153. Sim : 0.60002047; Baja. 
 hoy comenzamos dia videos musicaun programa playback labelurl feliz miercoles comunidadun  ; j : 154. Sim : 0.7200942; Media. 
 descargaste nueva app radio escucha programacion celular disponible ios an labelurl  ; j : 155. Sim : 0.4559583; No similar. 
 comunidadun conoces museos uncolombia aqui puedes encontrarlos labelurl programa visita circularun ; j : 156. Sim : 0.39910036; No similar. 
 ayudanos escoger portada cuaderno ur hoy fecha limite votar labelurl suenoser labelurl  ; j : 157. Sim : 0.39560583; No similar. 
 rt astudycare fin viernes feliz fin semana zzzzzzzzz australia studycare colombia labelurl labelurl; j : 158. Sim : 0.5143945; Baja. 
 cabos sueltos 2 aqui meto mas autobiografico lectura eduardo escobar filbo2017  ; j : 159. Sim : 0.3900871; No similar. 
 senek carrera 5k 10k fondos seran dirigidos beca quiero estudiardeportes labelurl labelurl  ; j : 160. Sim : 0.22889404; No similar. 
 falso raiz suspension aspersion area crecido cultivos ilicitos ediazur foroungasscol  ; j : 161. Sim : 0.23411922; No similar. 
 senek carrera 5k 10k fondos seran dirigidos beca quiero estudiardeportes labelurl labelurl  ; j : 162. Sim : 0.22889404; No similar. 
 sabias gran mayoria accidentes uncolombia dan uso bicicletas dirbienestarun cuida labelurl  ; j : 163. Sim : 0.33872688; No similar. 
 buenviernes hoy click obras guillermo botero gutierrez unmanizales video labelurl untelevision  ; j : 164. Sim : 0.4410975; No similar. 
 comundiadun recuerda consultar agenda nacional eventos actividades academicas unparatodos labelurl ; j : 165. Sim : 0.38618922; No similar. 
 encuentra canal oficial youtube conferencia magistral presidente irlanda michael d higgings labelur; j : 166. Sim : 0.3226213; No similar. 
 comundiadun recuerda consultar agenda nacional eventos actividades academicas unparatodos labelurl ; j : 167. Sim : 0.38618922; No similar. 
 paso bojaya duro golpeo fe esperanza padre antun ramos lapazesposible  ; j : 168. Sim : 0.21955825; No similar. 
 leflacguy politicaur buenos dias queremos saber mas inconvenientes favor envianos labelurl  ; j : 169. Sim : 0.42802554; No similar. 
 comunidadun conoces repositorio digital metacampusun descubre nueva ventana mundo labelurl unparato; j : 170. Sim : 0.26887268; No similar. 
 conoces repositorio digital metacampusun descubre nueva ventana mundo video labelurl unparatodos  ; j : 171. Sim : 0.29662722; No similar. 
 feliz lunes comunidadun bienvenidos nueva semana campus universidad unparatodos somosun labelurl  ; j : 172. Sim : 0.52848846; Baja. 
 proxima semana podras conocer logros unbogota ultimo ano enquevamos unbogota labelurl  ; j : 173. Sim : 0.5915548; Baja. 
 felizmartes buenos dias comunidadun bienvenidos nuevo dia campus universidad unparatodos labelurl  ; j : 174. Sim : 0.5828174; Baja. 
 llego filbo2017 nuevos productos tiendaun visita stand 103 uncolombia unparatodos labelurl  ; j : 175. Sim : 0.26991168; No similar. 
 felizmiercoles bienvenidos nuevo dia campus universidad uncolombia deseamos gran dia labelurl  ; j : 176. Sim : 0.53020245; Baja. 
 hoy dia conocer mas saber docentes repositorio digital metacampusun labelurl unparatodos  ; j : 177. Sim : 0.44462994; No similar. 
 conoce mas unimedios conoce red radiofonica escucha unradio 985unradio unradiomedellin labelurl  ; j : 178. Sim : 0.34651932; No similar. 
 comunidadun conoces canal oficial youtube conoce mas unparatodos video labelurl suscibete  ; j : 179. Sim : 0.5214574; Baja. 
 rt obsdemocracia buenviernes invitamos votar nuevo sondeo virtual propuesta refrendacion acuerdopaz; j : 180. Sim : 0.24615744; No similar. 
 espanol colombia bogdan piotrowski nuevo academico numero academia colombiana lengua labelurl  ; j : 181. Sim : 0.33810812; No similar. 
 comunidadun jueves esperamos gran dia manana mas unparatodos feliznoche uncolombia  ; j : 182. Sim : 0.71976334; Media. 
 rt orgulloun centro pensamiento paz lista mundial think tank orgulloun institucionalun labelurl  ; j : 183. Sim : 0.08032188; No similar. 
 findmebyotch buenos dias universidad receso cuentanos si problema persiste saludo  ; j : 184. Sim : 0.51991063; Baja. 
 piedadmaya orgulloun mantillaignacio ramirochm ffchaparro 985unradio unimedios vriun editorialun ci; j : 185. Sim : 0.09310782; No similar. 
 claudia ivonne giraldo jefa editorialeafit dialoga escritores inauguran coleccion letra  ; j : 186. Sim : 0.27251315; No similar. 
 comunidadun extraordinario pasara 24 agosto alista camara parte undiaenlaun info labelurl  ; j : 187. Sim : 0.57330984; Baja. 
 patricia engel gano premio biblioteca narrativa colombiana pbnc obra vida labelurl labelurl  ; j : 188. Sim : 0.19174162; No similar. 
 juanftiti saludos invitamos participar forma voluntaria medida parqueaderos funcionaran pi labelurl; j : 189. Sim : 0.2630998; No similar. 
 enhorabuena bogdan piotrowski tomo posesion academico numero academia colombiana lengua labelurl  ; j : 190. Sim : 0.31433934; No similar. 
 comunidadun salud siempre mas importante cuidala dias dia mundial salud labelurl  ; j : 191. Sim : 0.5791701; Baja. 
 gracias ser parte gran comunidadun feliz fin semana puente somosorgulloun labelurl  ; j : 192. Sim : 0.42275622; No similar. 
 rt grupoargos tourtuitero laboratorio prueban propiedades fisicas nuevos cementos desarrolla filial; j : 193. Sim : 0.18852764; No similar. 
 smoke cessation program experta salud publica rosaria galanti conoce detalles labelurl  ; j : 194. Sim : 0.23385558; No similar. 
 fin semana habra intermitencia servicios informaticos eafit labor mantenimiento solicit labelurl  ; j : 195. Sim : 0.5080109; Baja. 
 conoce tres cartillas fortalecen lucha ataques quimicos colombia publicadas urosario labelurl  ; j : 196. Sim : 0.34012267; No similar. 
 rt donjuancampo sacar pecho trabajas empresa ademas forma mejores personas pais u  ; j : 197. Sim : 0.33288452; No similar. 
 lugares visto alto riesgo actores disuelvan grupos criminales diferentes tpaffenholz  ; j : 198. Sim : 0.11824015; No similar. 
 rt periodiconexos esperamos proxima semana plazoleta estudiante eafit eafitutores sereseafit oeeafi; j : 199. Sim : 0.50735396; Baja. 
 vanessa colmenares beneficiaria beca gabriel vega lara ejemplo trabajo perseverancia labelurl  ; j : 200. Sim : 0.2798431; No similar. 
 base populismo radica existencia enemigos problema miedo desconocido daniel pe labelurl  ; j : 201. Sim : 0.11308635; No similar. 
 orgullorosarista yuli guevara gana medalla plata campeonato centroamericano caribe karate  ; j : 202. Sim : 0.20375723; No similar. 
 rt obsdemocracia 2014 cuales paises america manifestado mas apoyo protestas sociales labelurl label; j : 203. Sim : 0.3165158; No similar. 
 rt obsdemocracia migarcias codirector obsdemocracia presenta resultados barometroamericas2016 comun; j : 204. Sim : 0.21783993; No similar. 
 forma parte encuentro internacional quinto nacional investigaciones asuntos mujer genero labelurl  ; j : 205. Sim : 0.2459916; No similar. 
 gabriel corredor gano premio excelencia college photographer of the year labelurl labelurl  ; j : 206. Sim : 0.09833416; No similar. 
 programateun partir hoy seminario arte duelo reconciliacion conoce programacion aqui labelurl  ; j : 207. Sim : 0.5530451; Baja. 
 buenos dias comunidadun manana invitamos conocer students house unmanizales labelurl unparatodos  ; j : 208. Sim : 0.5944045; Baja. 
 corrupcion mal insufrible conozca analisis alberto simpser experto temas corrupcion labelurl  ; j : 209. Sim : 0.3028289; No similar. 
 rt craiur semana plan consejoech consejocpgdu semana literatura urosarioradio notelopierdas literat; j : 210. Sim : 0.48376867; No similar. 
 codigo mas disciplinario debio tener tambien cuenta voz ciudadanos malbarracin labelurl  ; j : 211. Sim : 0.39157695; No similar. 
 programateun asiste simposio internacional derecho ciudad info labelurl ieuun camaracomerbog unpara; j : 212. Sim : 0.22480866; No similar. 
 eafit implemento diferentes areas juego volcan manuloa adelantar procesos innovadores labelurl  ; j : 213. Sim : 0.36353505; No similar. 
 carlresponde carl langebaek vicerrector academico andes responde dudas reforma academica labelurl  ; j : 214. Sim : 0.18175492; No similar. 
 verificacion internacional paralizo modo cese bilateral fuego hostilidades verificacion c velandia ; j : 215. Sim : 0.26158538; No similar. 
 comenzamos dia unanalisis vivo transmitiendo ori unbogota vicerrector jaime franky labelurl  ; j : 216. Sim : 0.4634142; No similar. 
 abdiel vazquez pianista numero mexico paso uniandes dejo huella talento labelurl  ; j : 217. Sim : 0.28366554; No similar. 
 mas importante visita papa mensaje amor emilia tovar estudiante psicosabana1 labelurl  ; j : 218. Sim : 0.30099344; No similar. 
 paiis programa uniandesderecho desarrolla acciones favor grupos personas discriminadas apoyelo labe; j : 219. Sim : 0.20088135; No similar. 
