Modulo nnlm-es-dim128-with-normalization-2
Topicos : favor gracias mensaje cuentanos detalles escribirnos directo ayudarte ocurrido dm numero informacion sfcsupervisor 
 carlsua carlos favor envianos datos dm nombre completo cedula telefono comunicarnos contigo buen di; j : 1. Sim : 0.72291136; Media. 
 alexramirez02 hola alexramirez02 gustaria brindarte mas informacion favor siguenos poder enviarte m; j : 62. Sim : 0.6928293; Media. 
 anyicastel hola anyi gustaria brindarte mas informacion favor siguenos poder enviarte mensaje direc; j : 63. Sim : 0.7254915; Media. 
 diegorduna hola diego permitenos ayudarte amplianos favor detalles sucedido dm alli pedire labelurl; j : 64. Sim : 0.63006663; Baja. 
 sergioirock alegra saludarte sergioirock envianos mensaje directo numero cedula podremos rev labelu; j : 65. Sim : 0.68458337; Media. 
 soyjfmc hola montes gracias escribirnos amplianos favor informacion acerca ocurrido dm alli labelur; j : 66. Sim : 0.71606225; Media. 
 yakosalazar hola yako permitenos ayudarte amplianos favor informacion acerca ocurrido dm alli label; j : 67. Sim : 0.6699413; Baja. 
 jahzeel1490 hola jahzeel permitenos ayudarte escribenos favor dm detalles ocurrido poder esc labelu; j : 68. Sim : 0.66624266; Baja. 
 hydrocan buen dia favor escribenos mensaje interno contandonos inconveniente presentaste poder labe; j : 69. Sim : 0.5293378; Baja. 
 unsabinero hola mario permitenos ayudarte amplianos favor informacion acerca ocurrido dm alli t lab; j : 70. Sim : 0.64888215; Baja. 
 aqmoncaleano cajerosath buen dia gracias publicacion detectamos inconsistencia informacion mostrada; j : 71. Sim : 0.576609; Baja. 
 hydrocan buen dia favor escribenos mensaje interno contandonos inconveniente presentaste poder labe; j : 72. Sim : 0.5293378; Baja. 
 vivslicious hola vivs permitenos ayudarte amplianos favor informacion acerca ocurrido dm val labelu; j : 73. Sim : 0.66654646; Baja. 
 beleon74 alegra saludarte beleon74 envianos mensaje directo numero cedula podremos resolver labelur; j : 74. Sim : 0.65380466; Baja. 
 bambino0710 hola bambino permitenos ayudarte amplianos favor informacion acerca ocurrido dm all lab; j : 75. Sim : 0.62691903; Baja. 
 jfalvarezr hola pepe gracias escribirnos amplianos favor informacion acerca ocurrido dm all labelur; j : 76. Sim : 0.7216865; Media. 
 carousecher sicsuper hola carolina permitenos ayudarte escribenos favor dm detalles ocurrido par la; j : 77. Sim : 0.64010364; Baja. 
 oscarevivas hola oscar eduardo gracias escribirnos permitenos ayudarte amplianos favor informacion ; j : 78. Sim : 0.642; Baja. 
 cabm1204 sfcsupervisor buen dia gracias publicacion detectamos inconsistencia informacion mostrada ; j : 79. Sim : 0.6575575; Baja. 
 juandavidvr hola juan david amplianos favor informacion acerca ocurrido dm alli pediremos labelurl ; j : 80. Sim : 0.6232038; Baja. 
 morineira sfcsupervisor hola morineira favor escribenos dm mensaje interno poder revisar caso label; j : 81. Sim : 0.6340446; Baja. 
 pachecotito hola jorge permitenos ayudarte amplianos favor informacion acerca ocurrido dm alli labe; j : 82. Sim : 0.635563; Baja. 
 luisfmolina hola luis f permitenos ayudarte amplianos favor informacion acerca ocurrido dm alli lab; j : 83. Sim : 0.6347511; Baja. 
 psychpipe luhegomez hola pippe permitenos ayudarte envianos favor traves mensaje interno detalles l; j : 84. Sim : 0.7074746; Media. 
 psychpipe luhegomez hola jpippe permitenos ayudarte envianos favor traves mensaje interno detalles ; j : 85. Sim : 0.7092674; Media. 
 soyelalejo lamentamos molestias compartenos mensaje directo mas detalles ocurrido tomar reporte ate; j : 86. Sim : 0.6520161; Baja. 
 locorojas hola andres permitenos ayudarte escribenos mensaje interno acerca requerimiento quedamos ; j : 87. Sim : 0.6259356; Baja. 
 soyelalejo lamentamos molestias compartenos mensaje directo mas detalles ocurrido tomar reporte ate; j : 88. Sim : 0.6520161; Baja. 
 al3xloaiza hola alexander gracias escribirnos ampianos favor dm informacion ocurrido quedamos atent; j : 89. Sim : 0.74031585; Media. 
 calmeseviejo hola camilo permitenos ayudarte amplianos favor informacion acerca ocurrido dm all lab; j : 90. Sim : 0.6023149; Baja. 
 pcallej buenas tardes permitenos ayudarte cuentanos favor detalles caso dm revisarlo labelurl  ; j : 91. Sim : 0.68769366; Media. 
 luchoolivares hola luis permitenos ayudarte amplianos favor informacion acerca ocurrido dm all labe; j : 92. Sim : 0.62893575; Baja. 
 luciamontero hola lucia permitenos ayudarte escribenos favor dm detalles sucedido quedamos atentos ; j : 93. Sim : 0.68958026; Media. 
 javifgomez hola javier permitenos ayudarte amplianos favor informacion acerca ocurrido dm alli labe; j : 94. Sim : 0.67985696; Media. 
 johans811 hola johans811 alegra leerte escribenos consulta mensaje directo poder asesorarte qu labe; j : 95. Sim : 0.60996264; Baja. 
 g3rbar hola german permitenos ayudarte amplianos favor detalles sucedido dm revisar caso labelurl  ; j : 96. Sim : 0.6448776; Baja. 
 jennypedraza11 hola jenny permitenos ayudarte cuentanos favor dm detalles ocurrido quedamos atentos; j : 97. Sim : 0.6896395; Media. 
 andresfpadilla hola andres gracias escribirnos amplianos favor detalles ocurrido dm quedamos atento; j : 98. Sim : 0.72327477; Media. 
 yeimylorenaer hola lorena permitenos ayudarte amplianos favor informacion ocurrido dm quedamos aten; j : 99. Sim : 0.64954394; Baja. 
 sinlogos hola logos permitenos ayudarte amplianos favor informacion ocurrido dm quedamos atentos  ; j : 100. Sim : 0.6960183; Media. 
 g3rbar hola german permitenos ayudarte amplianos favor dm detalles ocurrido escalar revisa labelurl; j : 101. Sim : 0.59854126; Baja. 
 andyurreg hola andy gracias escribirnos amplianos favor informacion acerca ocurrido dm alli labelur; j : 102. Sim : 0.7184972; Media. 
 sebasfucks sfcsupervisor sicsuper hola sebastian permitenos ayudarte cuentanos dm detalles caso par; j : 103. Sim : 0.62709904; Baja. 
 yovsor hola sora cuentanos caso presentas mensaje interno poder ayudarte quedamos atentos  ; j : 104. Sim : 0.6281923; Baja. 
 paojoaqui hola paola amplianos favor detalles sucedido dm alli pediremos datos adiciona labelurl  ; j : 105. Sim : 0.6853499; Media. 
 juankramone hola juan camilo permitenos ayudarte amplianos favor informacion acerca ocurrido dm lab; j : 106. Sim : 0.6591767; Baja. 
 luchoman911 sfcsupervisor hola luis enrique permitenos ayudarte amplianos favor detalles sucedido p; j : 107. Sim : 0.6612471; Baja. 
 carloscasa14 hola carlos permitenos ayudarte amplianos favor informacion acerca ocurrido dm all lab; j : 108. Sim : 0.6392778; Baja. 
 yovsor hola sora cuentanos caso presentas mensaje interno poder ayudarte quedamos atentos  ; j : 109. Sim : 0.6281923; Baja. 
 alejocn9 hola alejandro amplianos favor detalles sucedido dm alli pediremos datos adicio labelurl  ; j : 110. Sim : 0.6600068; Baja. 
 dianitag234 sfcsupervisor policiacolombia hola diana amplianos favor detalles ocurrido dm quedamos ; j : 111. Sim : 0.72176015; Media. 
 magicauldron buen doble recuerda puedes participar mas vez sube mas fotos doble fam labelurl  ; j : 112. Sim : 0.4223845; No similar. 
 mariademalas buen doble recuerda puedes participar mas vez sube mas fotos doble fam labelurl  ; j : 113. Sim : 0.4788765; No similar. 
 luisfmolina hola luisefe permitenos ayudarte escribenos favor dm alli pediremos datos adicio labelu; j : 114. Sim : 0.5661984; Baja. 
 danifuckyouu buen doble recuerda puedes participar mas vez sube mas fotos doble fam labelurl  ; j : 115. Sim : 0.45963657; No similar. 
 cebralehit lawneira kimkardashian buen doble recuerda puedes participar mas vez sube mas fotos labe; j : 116. Sim : 0.31997275; No similar. 
 feiiini lawneira buen doble recuerda puedes participar mas vez sube mas fotos dobl labelurl  ; j : 117. Sim : 0.47915575; No similar. 
 ximenota17 buen doble recuerda puedes participar mas vez sube mas fotos doble famos labelurl  ; j : 118. Sim : 0.44637427; No similar. 
 caronovoa7 buen doble recuerda puedes participar mas vez sube mas fotos doble famos labelurl  ; j : 119. Sim : 0.46510923; No similar. 
 manolosnake buen doble recuerda puedes participar mas vez sube mas fotos doble famo labelurl  ; j : 120. Sim : 0.3788848; No similar. 
 mcarzayus hola oniria permitenos ayudarte escribenos favor detalles caso dm quedamos atentos  ; j : 121. Sim : 0.6370779; Baja. 
 kathykampm buen doble recuerda puedes participar mas vez sube mas fotos doble famos labelurl  ; j : 122. Sim : 0.42825928; No similar. 
 jesyjey1822 buen doble recuerda puedes participar mas vez sube mas fotos doble famo labelurl  ; j : 123. Sim : 0.38596982; No similar. 
 timgachupin buen doble recuerda puedes participar mas vez sube mas fotos doble famo labelurl  ; j : 124. Sim : 0.37680435; No similar. 
 colombiainvisi sfcsupervisor hola mencionabamos favor escribenos dm poder ayudartea caso quedamos a; j : 125. Sim : 0.6466114; Baja. 
 cebralehit lawneira dualipa buen doble recuerda puedes participar mas vez sube mas fotos labelurl  ; j : 126. Sim : 0.34408632; No similar. 
 paojoaqui hola paola amplianos favor detalles sucedido dm alli pediremos datos adicional labelurl  ; j : 127. Sim : 0.7065013; Media. 
 timgachupin buen doble recuerda puedes participar mas vez sube mas fotos doble famo labelurl  ; j : 128. Sim : 0.37680435; No similar. 
 emilyslaver buen doble recuerda puedes participar mas vez sube mas fotos doble famo labelurl  ; j : 129. Sim : 0.40982544; No similar. 
 danielsix buen doble recuerda puedes participar mas vez sube mas fotos doble famos labelurl  ; j : 130. Sim : 0.43510914; No similar. 
 aliaskikesin buen doble recuerda puedes participar mas vez sube mas fotos doble fam labelurl  ; j : 131. Sim : 0.5192845; Baja. 
 nathaliecf buen doble recuerda puedes participar mas vez sube mas fotos doble famos labelurl  ; j : 132. Sim : 0.449991; No similar. 
 lamaratorre buen doble recuerda puedes participar mas vez sube mas fotos doble famo labelurl  ; j : 133. Sim : 0.3929488; No similar. 
 colombiainvisi sfcsupervisor hola mencionabamos favor escribenos dm poder ayudartea caso quedamos a; j : 134. Sim : 0.6466114; Baja. 
 leroquiroga buen doble recuerda puedes participar mas vez sube mas fotos doble famo labelurl  ; j : 135. Sim : 0.4272287; No similar. 
 timgachupin buen doble recuerda puedes participar mas vez sube mas fotos doble famo labelurl  ; j : 136. Sim : 0.37680435; No similar. 
 hola caceresroy lamentamos inconveniente favor cuentanos caso dm poder ayudarte quedamos atentos  ; j : 137. Sim : 0.6644215; Baja. 
 juansq1 hola juan sebastian favor amplianos informacion ocurrido traves dm quedamos atentos  ; j : 138. Sim : 0.66342723; Baja. 
 polloapanado hola mauricio gracias escribirnos amplianos favor informacion ocurrido dm quedamos ate; j : 139. Sim : 0.74220794; Media. 
 camilogvillegas hola camilo gracias escribirnos amplianos favor detalles comentas dm quedamos atent; j : 140. Sim : 0.7004234; Media. 
 andresosorio1 hola andres permitenos ayudarte envianos favor solicitud mensaje interno quedamos ate; j : 141. Sim : 0.6911556; Media. 
 andresubaque buen doble recuerda puedes participar mas vez sube mas fotos doble fam labelurl  ; j : 142. Sim : 0.48413673; No similar. 
 soldierspoem buen doble recuerda puedes participar mas vez sube mas fotos doble fa labelurl  ; j : 143. Sim : 0.45699817; No similar. 
 pilarquinche buen doble recuerda puedes participar mas vez sube mas fotos doble fam labelurl  ; j : 144. Sim : 0.50718963; Baja. 
 alejocn9 hola alejandro permitenos ayudarte envianos favor traves mensaje interno detalles caso lab; j : 145. Sim : 0.7576174; Media. 
 mrdavidnight lawneira valdedrama buen doble recuerda puedes participar mas vez sube mas fotos label; j : 146. Sim : 0.46746665; No similar. 
 santisalazar buen doble recuerda puedes participar mas vez sube mas fotos doble fa labelurl  ; j : 147. Sim : 0.43025178; No similar. 
 leidyossa buen doble recuerda puedes participar mas vez sube mas fotos doble famos labelurl  ; j : 148. Sim : 0.45837432; No similar. 
 giovannymelog buen doble recuerda puedes participar mas vez sube mas fotos doble fa labelurl  ; j : 149. Sim : 0.4558498; No similar. 
 pilarquinche buen doble recuerda puedes participar mas vez sube mas fotos doble fam labelurl  ; j : 150. Sim : 0.50718963; Baja. 
 titinasuarez buen doble recuerda puedes participar mas vez sube mas fotos doble fa labelurl  ; j : 151. Sim : 0.46544918; No similar. 
 soldierspoem buen doble recuerda puedes participar mas vez sube mas fotos doble fa labelurl  ; j : 152. Sim : 0.45699817; No similar. 
 gabyatuesta hola gabriela permitenos ayudarte amplianos favor detalles ocurrido dm quedamos atentos; j : 153. Sim : 0.6837905; Media. 
 soldierspoem buen doble recuerda puedes participar mas vez sube mas fotos doble fa labelurl  ; j : 154. Sim : 0.45699817; No similar. 
 munozcesar sicsuper hola cesar escribenos favor mensaje interno revisar caso alli pedirem labelurl ; j : 155. Sim : 0.4755991; No similar. 
 donborji indicanos favor numero cedula traves mensaje directo ayudaremos solicitud est labelurl  ; j : 156. Sim : 0.7129595; Media. 
 hydrocan buen dia favor escribenos mensaje interno datos contandonos inconveniente poder labelurl  ; j : 157. Sim : 0.59265536; Baja. 
 lacamicar hola camila permitenos ayudarte cuentanos favor detalles caso dm quedamos atentos  ; j : 158. Sim : 0.6932241; Media. 
 ceasmu1 buen dia favor escribenos medio mensaje interno inconveniente presentaste pode labelurl  ; j : 159. Sim : 0.50380003; Baja. 
 lennalazaro626 lawneira montanerevaluna buen doble recuerda puedes participar mas vez sube ma label; j : 160. Sim : 0.33204517; No similar. 
 donborji indicanos favor numero cedula traves mensaje directo ayudaremos solicitud est labelurl  ; j : 161. Sim : 0.7129595; Media. 
 40alfredo wzcsg hola luis alfredo amplianos favor detalles sucedido dm quedamos atentos  ; j : 162. Sim : 0.62547755; Baja. 
 jusemohe hola juan sebastian permitenos ayudarte escribenos favor dm alli solicitaremos datos label; j : 163. Sim : 0.6167366; Baja. 
 eli74361125 cuentanos favor detalles ocurrido traves mensaje directo tan pronto escribas labelurl  ; j : 164. Sim : 0.7765431; Media. 
 jatakeh buen dia cuentanos medio mensaje interno inconveniente presentaste poder asesorarte labelur; j : 165. Sim : 0.56892586; Baja. 
 dreamerboyzzz buen doble recuerda puedes participar mas vez sube mas fotos doble fa labelurl  ; j : 166. Sim : 0.4420413; No similar. 
 alejachicar hola alejandra amplianos favor detalles caso dm alli pediremos datos adicio labelurl  ; j : 167. Sim : 0.6136888; Baja. 
 fepepa grupoexito buenas tardes favor amplianos detalles sucedido dm quedamos atentos  ; j : 168. Sim : 0.49478585; No similar. 
 pabloahoyos hola pablo permitenos ayudarte cuentanos favor dm detalles ocurrido quedamos atentos  ; j : 169. Sim : 0.6944451; Media. 
 anacathe sfcsupervisor hola ana cathe permitenos ayudarte amplianos favor informacion acerca ocurri; j : 170. Sim : 0.5890384; Baja. 
 cubicat hola cubicat favor contactanos via mensaje directo poder ayudarte feliz dia  ; j : 171. Sim : 0.6569834; Baja. 
 alejaem12 buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 172. Sim : 0.4275416; No similar. 
 araffan94 buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 173. Sim : 0.40625367; No similar. 
 guapacho buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 174. Sim : 0.4304702; No similar. 
 aikia buen doble recuerda puedes participar mas vez sube mas fotos doble famoso p labelurl  ; j : 175. Sim : 0.3771206; No similar. 
 alejaem12 buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 176. Sim : 0.4275416; No similar. 
 delporvee buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 177. Sim : 0.40490177; No similar. 
 dimeeli buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 178. Sim : 0.40650216; No similar. 
 ccariasdv13 hola claudia permitenos ayudarte envianos favor detalles caso dm quedamos atentos  ; j : 179. Sim : 0.70256853; Media. 
 luigiqaomk hola luigi gracias escribirnos envianos favor detalles caso dm quedamos atentos  ; j : 180. Sim : 0.74292696; Media. 
 aikia buen doble recuerda puedes participar mas vez sube mas fotos doble famoso p labelurl  ; j : 181. Sim : 0.3771206; No similar. 
 adelgadom buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 182. Sim : 0.3636531; No similar. 
 linazapa buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 183. Sim : 0.38363755; No similar. 
 rojakanna buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 184. Sim : 0.42062625; No similar. 
 mamuecas buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 185. Sim : 0.4437715; No similar. 
 linazapa buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 186. Sim : 0.38363755; No similar. 
 alebelg buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 187. Sim : 0.39228842; No similar. 
 vagon2 buenas tardes favor indicanos ocurrio situacion comentas horario quedamos atentos  ; j : 188. Sim : 0.5259809; Baja. 
 oyuela18 buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 189. Sim : 0.44010705; No similar. 
 alebelg buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 190. Sim : 0.39228842; No similar. 
 poligvb buen doble recuerda puedes participar mas vez sube mas fotos doble famoso p labelurl  ; j : 191. Sim : 0.41559282; No similar. 
 mcspaulding cuentanos favor ocurrido traves mensaje directo ayudarte resolver dudas atentos  ; j : 192. Sim : 0.7663303; Media. 
 estigma buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 193. Sim : 0.4071395; No similar. 
 wolroots buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 194. Sim : 0.42478508; No similar. 
 mcspaulding cuentanos favor ocurrido traves mensaje directo ayudarte resolver dudas atentos  ; j : 195. Sim : 0.7663303; Media. 
 periodistastone ricardo30225751 buenos dias favor escribenos mensaje interno asesorarte poder darl ; j : 196. Sim : 0.55845356; Baja. 
 lapicasa buenas tardes lapicasanos importante ayudarte favor contactanos via dm ge labelurl  ; j : 197. Sim : 0.56285554; Baja. 
 periodistastone ricardo30225751 buenos dias favor escribenos mensaje interno asesorarte poder darl ; j : 198. Sim : 0.55845356; Baja. 
 lapicasa buenas tardes lapicasanos importante ayudarte favor contactanos via dm ge labelurl  ; j : 199. Sim : 0.56285554; Baja. 
 lorddaven buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 200. Sim : 0.44744906; No similar. 
 lapidasinnombre buenos dias amplianos favor informacion acerca ocurrido dm alli solicitaremos label; j : 201. Sim : 0.6152064; Baja. 
 snjuanerita buenos dias amplianos favor informacion sucedido dm alli pediremos dat labelurl  ; j : 202. Sim : 0.6100929; Baja. 
 betomin buen doble recuerda puedes participar mas vez sube mas fotos doble famoso p labelurl  ; j : 203. Sim : 0.40435272; No similar. 
 jagargon2010 hola jaime favor escribenos mensaje interno poder ayudarte necesitas quedamos atentos ; j : 204. Sim : 0.6239122; Baja. 
 alejomendezdiaz hola alejandro permitenos ayudarte favor envianos detalles caso dm quedamos atentos; j : 205. Sim : 0.7026711; Media. 
 jagargon2010 hola jaime favor escribenos mensaje interno poder ayudarte necesitas quedamos atentos ; j : 206. Sim : 0.6239122; Baja. 
 afmoram hola andres permitenos ayudarte envianos favor caso detalle dm quedamos atentos  ; j : 207. Sim : 0.69109523; Media. 
 juantbh hola juan amplianos favor informacion acerca ocurrido dm alli solicitaremos dato labelurl  ; j : 208. Sim : 0.7045237; Media. 
 andresteologia sfcsupervisor minhacienda sicsuper andres favor escribenos mensaje interno alli so l; j : 209. Sim : 0.505272; Baja. 
 hola camicruzraad lamentamos molestias gustaria conocer mas detalle puedes contarnos via dm gracias; j : 210. Sim : 0.6374283; Baja. 
 sants1988 hola favor envianos datos contactarte nombre completo telefono cedula quedamos atentos  ; j : 211. Sim : 0.74975353; Media. 
 seilyed hola favor envianos datos dm poder ayudarte solucionar problema buen dia  ; j : 212. Sim : 0.6901679; Media. 
