Modulo nnlm-es-dim128-with-normalization-2
Topicos : informe diario inconvenientes 2018 2017 eeuu ofrecemos disculpas 2016 2014 2015 inflacion marzo 
 informe diario mayo 26 2015 ordenes bienes durables eeuu caen 05 mm abril revierten alza marzo labe; j : 1. Sim : 0.61689544; Baja. 
 informe diario diciembre 21 2015 deficit comercial colombia subio 159 mil millones dolares octubren; j : 33. Sim : 0.547646; Baja. 
 informe diario abril 29 2015 primera estimacion pib 1t15 crecio moderadamente eeuu 02 tt labelurl  ; j : 34. Sim : 0.62007403; Baja. 
 informe diario noviembre 23 2015 pmi manufacturero noviembre eeuu registro menor nivel do anosnlabe; j : 35. Sim : 0.5753224; Baja. 
 informe diario febrero 15 2016 mario draghi anuncia esfuerzos politica enfrentar retos eurozona nla; j : 36. Sim : 0.55231625; Baja. 
 informe diario julio 30 2015 economia eeuu crecio 23 segundo trimestre vs expectativa 25nlabelurl  ; j : 37. Sim : 0.64595366; Baja. 
 festereopicnic fep2018 fep2018 fep2018 fep2018 fep2018 fep2018 fep2018 fep2018 fep2018 fep2018 fep2; j : 38. Sim : 0.11714442; No similar. 
 informe diario febrero 22 2016 pmi manufacturero eeuu 51 puntos febrero nivel mas bajo 3 anos label; j : 39. Sim : 0.5621323; Baja. 
 informe diario julio 15 2014 yellen reitera politica monetaria eeuu sera laxa tiempo prolongado lab; j : 40. Sim : 0.5463909; Baja. 
 informe diario febrero 25 2015 venta vivienda nueva eeuu confirma tendencia positiva presente 2011 ; j : 41. Sim : 0.5275513; Baja. 
 informe diario abril 30 2014 feed recorta qe crecimiento economico eeuu baja 01 1t14 labelurl  ; j : 42. Sim : 0.5955653; Baja. 
 cancela seminario semanal economia num 546 monetary policy surprise and monetary policy uncertainty; j : 43. Sim : 0.30314088; No similar. 
 informe diario diciembre 16 2015 feed anuncio hoy aumento tasa referencia 25 pbs nlabelurl  ; j : 44. Sim : 0.5102747; Baja. 
 informe diario julio 22 2015 venta vivienda usada eeuu junio mas alta ultimos ocho anos labelurl  ; j : 45. Sim : 0.57126856; Baja. 
 informe diario marzo 28 2016 inflacion pce eeuu disminuyo medio reduccion precios energia nlabelurl; j : 46. Sim : 0.63549984; Baja. 
 publicacion dtseru 261 jaime alfredo bonet moron gerson javier perez valbuena diana ricciulli marin; j : 47. Sim : 0.34180617; No similar. 
 rodrigouprimny aordonezm nombro esposa bustos procuradora judicial ii luego hizo corte suprema bust; j : 48. Sim : 0.0994016; No similar. 
 informe diario marzo 2 2016 reporte adp indico crearon 214 mil empleos privados agricolas eeuu labe; j : 49. Sim : 0.6334758; Baja. 
 informe diario enero 26 2016 pmi compuesto eeuu 537 enero reflejando deterioro pmi servicios labelu; j : 50. Sim : 0.4663738; No similar. 
 informe diario marzo 29 2016 segun yellen feed debera tomar decisiones tasas inter cautela labelurl; j : 51. Sim : 0.51421434; Baja. 
 informe diario mayo 27 2015 solicitudes credito hipotecario eeuu cayeron 16 semana 22 mayo labelurl; j : 52. Sim : 0.63302076; Baja. 
 monitor banquero central junio 21 2016 esperamos banrep suba tasa manana 725 750 nlabelurl  ; j : 53. Sim : 0.38059598; No similar. 
 informe diario julio 28 2015 pmi compuesto eeuu crecio julio ubico 552 puntosnlabelurl  ; j : 54. Sim : 0.5813525; Baja. 
 informe diario septiembre 25 2014 ordenes bienes durables registraron decrecimiento 182 mm agosto l; j : 55. Sim : 0.54336417; Baja. 
 informe diario noviembre 10 2015 eeuu inventarios ventas mayoristas crecieron 05 mm septiembrenlabe; j : 56. Sim : 0.5468026; Baja. 
 informe diario agosto 18 2015 inflacion reino unido 02 mm 01 aa julio labelurl  ; j : 57. Sim : 0.5337978; Baja. 
 informe diario abril 23 2014 pmi manufacturero china eurozona eeuu permanecen estables abril labelu; j : 58. Sim : 0.5209675; Baja. 
 informe diario noviembre 25 2015 inflacion pce total nucleo eeuu permanecieron estables octubre lab; j : 59. Sim : 0.6734424; Media. 
 informe diario noviembre 29 2017 eeuu pib revisado alza 33 tt anualizado 3t17nlabelurl  ; j : 60. Sim : 0.6537025; Baja. 
 informe diario agosto 26 2014 ordenes bienes durables eeuu crecieron 226 mm julio labelurl  ; j : 61. Sim : 0.5677969; Baja. 
 informe diario septiembre 28 2015 inflacion pce total nucleo eeuu permanecieron estables agosto lab; j : 62. Sim : 0.6609616; Baja. 
 informe diario agosto 20 2014 indices bursatiles resultados mixtos tras minutas feed boe labelurl  ; j : 63. Sim : 0.56317675; Baja. 
 informe diario septiembre 30 2015 inflacion eurozona vuelve negativo ubico 01 aa septiembre labelur; j : 64. Sim : 0.59205496; Baja. 
 informe diario octubre 10 2017 reino unido produccion industrial crecio 16 aa agostonlabelurl  ; j : 65. Sim : 0.45258987; No similar. 
 informe diario septiembre 15 2015 eeuu produccion industrial continuo contrayendose 04 mm agostonla; j : 66. Sim : 0.546004; Baja. 
 informe diario abril 14 2014 mercados cierran alza despues conocerse resultados positivos eeuu labe; j : 67. Sim : 0.6158953; Baja. 
 informe diario julio 22 2014 inflacion eeuu junio 21 aa linea expectativas mercado labelurl  ; j : 68. Sim : 0.6431273; Baja. 
 informe diario noviembre 21 2017 eeuu ventas vivienda usada crecieron 20 mm octubrenlabelurl  ; j : 69. Sim : 0.563787; Baja. 
 informe diario junio 29 2017 eeuu pib 1t17 revisado alza estimacion final nlabelurl  ; j : 70. Sim : 0.65772164; Baja. 
 informe diario abril 15 2015 produccion industrial eeuu registro peor caida mediados 2009 labelurl ; j : 71. Sim : 0.5750753; Baja. 
 informe diario diciembre 16 2014 construccion nuevas viviendas eeuu contrajo 16 mm noviembre labelu; j : 72. Sim : 0.57370555; Baja. 
 monitor banquero central julio 30 2015 esperamos tasa politica monetaria mantenga 45 nlabelurl  ; j : 73. Sim : 0.30187905; No similar. 
 informe diario junio 2 2015 inflacion eurozona mayo ubico terreno positivo tras 5 meses negativos l; j : 74. Sim : 0.55518603; Baja. 
 monitor banquero central mayo 21 2015 esperamos tasa politica monetaria mantenga 45 nlabelurl  ; j : 75. Sim : 0.3154595; No similar. 
 monitor banquero central marzo 19 2015 esperamos tasa politica monetaria mantenga 45 nlabelurl  ; j : 76. Sim : 0.2849229; No similar. 
 informe diario junio 24 2015 banrep mantuvo inalterada tasa politica monetaria 45 junio labelurl  ; j : 77. Sim : 0.5906767; Baja. 
 informe diario septiembre 15 2014 industria ventas menor colombia crecieron 16 52 julio labelurl  ; j : 78. Sim : 0.5063773; Baja. 
 informe diario marzo 1 2016 ism manufacturero eeuu mostro contraccion sector quinto mes consecutivo; j : 79. Sim : 0.56573653; Baja. 
 informe renta variable julio 14 2015 expectativa resultados 2t15 eeuu afecta mercado local labelurl; j : 80. Sim : 0.44072124; No similar. 
 informe diario mayo 14 2015 colombia ventas minoristas aumentan produccion industrial cae marzo lab; j : 81. Sim : 0.60445756; Baja. 
 informe diario marzo 22 2016 pmi manufacturero eeuu continua mostrando crecimiento moderado sector ; j : 82. Sim : 0.51228565; Baja. 
 informe diario abril 14 2015 colombia ventas minoristas moderan produccion industrial cae febrero l; j : 83. Sim : 0.5870424; Baja. 
 informe diario junio 25 2014 revision final revelo economia eeuu contrajo 29 1t14 labelurl  ; j : 84. Sim : 0.6366548; Baja. 
 informe diario septiembre 2 2015 adp eeuu mostro contrataciones 190 mil agosto menor expectativasnl; j : 85. Sim : 0.64055395; Baja. 
 informe diario febrero 21 2019 ventas vivienda usada eeuu tocan minimos tres anosnlabelurl  ; j : 86. Sim : 0.48341206; No similar. 
 informe diario febrero 26 2018 ventas vivienda nueva eeuu cayeron 78 mm eneronlabelurl  ; j : 87. Sim : 0.5427097; Baja. 
 informe diario octubre 26 2015 eeuu ventas viviendas nuevas registraron fuerte caida septiembre lab; j : 88. Sim : 0.6035395; Baja. 
 informe diario febrero 21 2019 ventas vivienda usada eeuu tocan minimos tres anosnlabelurl  ; j : 89. Sim : 0.48341206; No similar. 
 informe diario agosto 23 2017 eeuu ventas vivienda nueva cayeron 937 mm julionlabelurl  ; j : 90. Sim : 0.5324783; Baja. 
 informe diario octubre 26 2016 eeuu ventas vivienda nueva crecen 31 mm septiembre labelurl  ; j : 91. Sim : 0.54233336; Baja. 
 informe diario abril 14 2016 produccion industrial colombia mantuvo crecimiento 82 aa febrero label; j : 92. Sim : 0.6005115; Baja. 
 informe diario septiembre 24 2014 ventas vivienda nueva eeuu aumentaron 18 mm agosto labelurl  ; j : 93. Sim : 0.58064455; Baja. 
 informe diario febrero 26 2014 mercados expectantes segunda revision crecimiento pib 2013 eeuu labe; j : 94. Sim : 0.56817156; Baja. 
 informe diario septiembre 23 2014 pmi manufacturero eeuu mantiene nivel mas alto abril 2010 labelur; j : 95. Sim : 0.5600284; Baja. 
 informe diario mayo 25 2015 deficit balanza comercial japon inferior esperado mercado abril labelur; j : 96. Sim : 0.5575731; Baja. 
 informe diario marzo 27 2014 economia eeuu crecio 19 2013 26 anualizado 4t13 labelurl  ; j : 97. Sim : 0.5927315; Baja. 
 monitor banquero central abril 27 2016 esperamos banrep suba tasa intervencion 65 675 labelurl  ; j : 98. Sim : 0.34791163; No similar. 
 informe diario mayo 19 2015 ventas vivienda nueva permisos construccion eeuu aumentan abril labelur; j : 99. Sim : 0.6024118; Baja. 
 informe diario abril 20 2016 ventas vivienda existente eeuu crecieron 51 mm marzo labelurl  ; j : 100. Sim : 0.59455746; Baja. 
 bbancorepublica 25 mayo fecha limite envio ensayos concurso banca escolar banca central ini  ; j : 101. Sim : 0.26979655; No similar. 
 informe diario julio 8 2015 minutas feed revelan menos optimismo mayor incertidumbre dentro comite ; j : 102. Sim : 0.4949126; No similar. 
 informe diario noviembre 9 2017 indicador inversion obras civiles crecio 86 aa 3t17 nlabelurl  ; j : 103. Sim : 0.5349031; Baja. 
 informe diario septiembre 29 2014 gasto consumo personal eeuu crece 05 mm agosto labelurl  ; j : 104. Sim : 0.56880444; Baja. 
 informe diario abril 29 2014 mercados expectativa dato pib eeuu 1t14 reunion feed labelurl  ; j : 105. Sim : 0.65092677; Baja. 
 informe diario febrero 3 2016 pmi compuesto eeuu refleja menor expansion economica octubre 2013 lab; j : 106. Sim : 0.5695228; Baja. 
 informe diario marzo 30 2015 gasto consumo personal eeuu crece debajo expectativas febrero labelurl; j : 107. Sim : 0.5683318; Baja. 
 informe diario mayo 24 2016 ventas vivienda nueva eeuu disparan ritmo historicamente alto labelurl ; j : 108. Sim : 0.53582174; Baja. 
 informe diario agosto 27 2014indices bursatiles mixtos expectantes primera revision pib 2t14 eeuu l; j : 109. Sim : 0.5486566; Baja. 
 informe diario marzo 17 2015 economia colombiana crecio 35 aa cuarto trimestre 2014 labelurl  ; j : 110. Sim : 0.60927427; Baja. 
 informe diario mayo 21 2014 medio publicacion minutas feed boe mercados cierran alza labelurl  ; j : 111. Sim : 0.56750804; Baja. 
 informe diario agosto 25 2016 eeuu ordenes durables julio crecen despues do caidasnlabelurl  ; j : 112. Sim : 0.7100885; Media. 
 informe diario febrero 23 2015 cifra venta vivienda usada eeuu mas baja abril pasado labelurl  ; j : 113. Sim : 0.5317892; Baja. 
 informe diario septiembre 16 2014 pib colombia crecio 43 aa segundo trimestre 2014 labelurl  ; j : 114. Sim : 0.57100844; Baja. 
 informe diario febrero 24 2016 pmi servicios eeuu refleja primera contraccion sector 2013nlabelurl ; j : 115. Sim : 0.5491606; Baja. 
 informe diario enero 13 2016 adjudico 5761 tenia minhacienda isagen sa fondo brookfield labelurl  ; j : 116. Sim : 0.53363675; Baja. 
 informe diario marzo 20 2014 economia colombiana crecio 43 2013 linea expectativa 42 labelurl  ; j : 117. Sim : 0.55102295; Baja. 
 2017 economia nal habria terminado proceso ajuste caida precio petroleo registrada 2014 vea labelur; j : 118. Sim : 0.46360803; No similar. 
 monitor banquero central septiembre 25 2014 esperamos banrep deje tasa politica monetaria 45 labelu; j : 119. Sim : 0.2825708; No similar. 
 informe diario enero 16 2014 datos macroeconomicos mixtos eeuu eurozona influyen indices bursatiles; j : 120. Sim : 0.5867807; Baja. 
 monitor banquero central febrero 19 2015 esperamos tasa politica monetaria mantenga hoy 45 labelurl; j : 121. Sim : 0.30872834; No similar. 
 informe diario febrero 26 2015 inflacion eeuu ubico terreno negativo primera vez 2009 labelurl  ; j : 122. Sim : 0.5673899; Baja. 
 informe diario julio 15 2015 janet yellen ratifico expectativa incremento tasas presente ano labelu; j : 123. Sim : 0.63475525; Baja. 
 informe diario septiembre 7 2015 tes cayeron mayor inflacion colombia llego agosto 474 aa labelurl ; j : 124. Sim : 0.5803567; Baja. 
 monitor banquero central julio 30 2014 hoy esperamos tasa politica monetaria aumente 425 labelurl  ; j : 125. Sim : 0.35417947; No similar. 
 bbanrepeduca banca escolar banca central concursaron 4182 estudiantes grados 10 11 12 prove labelur; j : 126. Sim : 0.15503712; No similar. 
 encuesta clima negocios alemania cae 1083 1062 brexit mayor caida mes mes 2012 labelurl  ; j : 127. Sim : 0.44906554; No similar. 
 monitor banquero central agosto 28 2014 hoy esperamos tasa politica monetaria aumente 45 labelurl  ; j : 128. Sim : 0.32817927; No similar. 
 monitor banquero central noviembre 27 2014 esperamos tasa politica monetaria mantenga hoy 45 labelu; j : 129. Sim : 0.28892386; No similar. 
 monitor banquero central enero 30 2015 esperamos tasa politica monetaria mantenga hoy 45 labelurl  ; j : 130. Sim : 0.33437517; No similar. 
 monitor banquero central junio 19 2014 hoy esperamos tasa politica monetaria aumente 425 labelurl  ; j : 131. Sim : 0.32720217; No similar. 
 monitor banquero central abril 24 2014 hoy esperamos tasa politica monetaria mantenga 325 labelurl ; j : 132. Sim : 0.3042002; No similar. 
 monitor banquero central diciembre 18 2014 esperamos tasa politica monetaria mantenga hoy 45 labelu; j : 133. Sim : 0.30943874; No similar. 
 informe diario julio 14 2014 bce mantendra tasas inter niveles minimos tiempo prolongado labelurl  ; j : 134. Sim : 0.5483267; Baja. 
 monitor banquero central marzo 20 2014 hoy esperamos tasa politica monetaria mantenga 325 labelurl ; j : 135. Sim : 0.32592806; No similar. 
 informe diario julio 11 2016 bonos holandeses 10 anos caen terreno negativo nlabelurl  ; j : 136. Sim : 0.4994564; No similar. 
 informe diario mayo 7 2015 mercados eeuu responden alza tras bajas peticiones subsidio desempleo la; j : 137. Sim : 0.62143576; Baja. 
 monitor banquero central julio 27 2016 esperamos banrep mantenga tasa inter 75 viernes labelurl  ; j : 138. Sim : 0.2948893; No similar. 
 informe diario marzo 30 2016 reporte empleo adp sugiere dinamismo mercado laboral eeuu labelurl  ; j : 139. Sim : 0.59794325; Baja. 
 informe diario agosto 21 2014indices bursatiles positivos medio datos mixtos eeuu eurozona china la; j : 140. Sim : 0.4945088; No similar. 
 informe diario enero 19 2015 mercados europeos alza anticipacion nuevas medidas estimulo semana lab; j : 141. Sim : 0.5133014; Baja. 
 informe diario julio 23 2014 indices bursatiles resultados mixtos medio escasa publicacion datos la; j : 142. Sim : 0.5303275; Baja. 
 informe diario septiembre 17 2014 feed eeuu reitero mantendra tasas bajas tiempo considerable label; j : 143. Sim : 0.6349834; Baja. 
 informe diario diciembre 28 2016 eeuu ventas pendientes vivienda cayeron 25 mm nlabelurl  ; j : 144. Sim : 0.61498857; Baja. 
 informe diario julio 16 2014 indices bursatiles alza medio publicacion datos mixtos eeuu labelurl  ; j : 145. Sim : 0.61741346; Baja. 
 monitor banquero central mayo 29 2014 hoy esperamos tasa politica monetaria aumente 375 labelurl  ; j : 146. Sim : 0.3045497; No similar. 
 informe diario julio 21 2014 mercados cierran cifras negativas medio escasa publicacion datos label; j : 147. Sim : 0.5709902; Baja. 
 informe diario febrero 20 2014 indices bursatiles alza medio datos mixtos actividad economica label; j : 148. Sim : 0.53803676; Baja. 
 mediamaratonbog miguel amador carolina tabares integrantes equipo porvenir coronaron campeones carr; j : 149. Sim : 0.067333475; No similar. 
 informe diario febrero 12 2018 banrep tasa repo bajaria si inflacion sigue cayendonlabelurl  ; j : 150. Sim : 0.55942917; Baja. 
 informe diario mayo 26 2014 jornada enmarcada bajos volumenes mercado dia feriado eeuu labelurl  ; j : 151. Sim : 0.5511697; Baja. 
 carlos caballero argaez presenta libro tres banqueros centrales perfiles profesionales ultimos tres; j : 152. Sim : 0.10997804; No similar. 
 informe diario junio 28 2017 eeuu inventarios mayoristas aumentaron 03 mm mayonlabelurl  ; j : 153. Sim : 0.6300738; Baja. 
 informe diario mayo 30 2017 inflacion pce disminuyo 2 pbs abril 17 aanlabelurl  ; j : 154. Sim : 0.6968257; Media. 
 informe diario septiembre 12 2017 inflacion reino unido acelero agosto 29 aanlabelurl  ; j : 155. Sim : 0.58320224; Baja. 
 informe diario diciembre 12 2018 inflacion ipc eeuu aumento 22 aa noviembrenlabelurl  ; j : 156. Sim : 0.7223694; Media. 
 informe diario julio 31 2017 inflacion nucleo eurozona aumenta 12 aa julionlabelurl  ; j : 157. Sim : 0.59869605; Baja. 
 informe diario octubre 13 2015 inflacion reino unido ubico 01 aa septiembrenlabelurl  ; j : 158. Sim : 0.5437648; Baja. 
 informe diario abril 9 2015 ventas mayoristas eeuu rebotan febrero incremento ventas petroleo label; j : 159. Sim : 0.5829489; Baja. 
 informe diario diciembre 12 2017 ipc reino unido aumento 31 aa noviembrenlabelurl  ; j : 160. Sim : 0.54597324; Baja. 
 informe diario octubre 30 2017 eeuu inflacion pce acelero 16 aa septiembrenlabelurl  ; j : 161. Sim : 0.6588428; Baja. 
 informe diario febrero 13 2018 ipc reino unido mantuvo 30 aa eneronlabelurl  ; j : 162. Sim : 0.5403443; Baja. 
 informe diario diciembre 12 2018 inflacion ipc eeuu aumento 22 aa noviembrenlabelurl  ; j : 163. Sim : 0.7223694; Media. 
 informe diario junio 9 2015 ventas mayoristas eeuu rebotan abril incremento ventas petroleo labelur; j : 164. Sim : 0.5816178; Baja. 
 informe diario marzo 6 2018 eeuu ordenes bienes durables cayeron 36 mm eneronlabelurl  ; j : 165. Sim : 0.5377609; Baja. 
 informe diario julio 18 2016 deficit comercial redujo minimo junio 2014 nlabelurl  ; j : 166. Sim : 0.6490742; Baja. 
 informe diario agosto 28 2017 eeuu deficit balanza comercial bienes aumento julionlabelurl  ; j : 167. Sim : 0.6274674; Baja. 
 informe diario octubre 9 2014 exportaciones alemania caen 58 mm maximo descenso 2009 labelurl  ; j : 168. Sim : 0.49876222; No similar. 
 informe diario octubre 14 2014 produccion industrial eurozona cayo 19 aa agosto labelurl  ; j : 169. Sim : 0.5600939; Baja. 
 informe diario septiembre 7 2016 produccion industrial reino unido crecio 21 aa julionlabelurl  ; j : 170. Sim : 0.46276507; No similar. 
 informe diario noviembre 15 2018 linea estimacion pib crecio 27 aa 3t18nlabelurl  ; j : 171. Sim : 0.5762558; Baja. 
 informe inflacion junio 11 2014 esperamos inflacion junio 030 mm 30 aalabelurl  ; j : 172. Sim : 0.5704556; Baja. 
 informe diario noviembre 15 2018 linea estimacion pib crecio 27 aa 3t18nlabelurl  ; j : 173. Sim : 0.5762558; Baja. 
 informe diario abril 22 2014 mercados expectativa pmi manufacturero china eurozona eeuu labelurl  ; j : 174. Sim : 0.51039475; Baja. 
 informe diario octubre 7 2015 produccion industrial reino unido expandio 19 aa agostonlabelurl  ; j : 175. Sim : 0.41017646; No similar. 
 informe diario noviembre 29 2018 inflacion nucleo pce eeuu debajo objetivo 2nlabelurl  ; j : 176. Sim : 0.65160847; Baja. 
 informe diario febrero 27 2017 eeuu ordenes bienes durables superan expectativas nlabelurl  ; j : 177. Sim : 0.5956625; Baja. 
 informe diario mayo 12 2014 exportaciones fob colombia disminuyeron 45 aa marzo labelurl  ; j : 178. Sim : 0.56727207; Baja. 
 informe diario diciembre 13 2016 reino unido inflacion alcanza maximo octubre 2014nlabelurl  ; j : 179. Sim : 0.64939106; Baja. 
 informe diario junio 13 2017 inflacion reino unido alcanza maximo nivel 2013nlabelurl  ; j : 180. Sim : 0.5869197; Baja. 
 informe diario enero 14 2016 indices bursatiles eeuu registran valorizaciones repunte crudo labelur; j : 181. Sim : 0.6116947; Baja. 
 informe inflacion febrero 12 2014 esperamos inflacion febrero 060 mm 229 aa labelurl  ; j : 182. Sim : 0.54539293; Baja. 
 informe diario mayo 23 2017 eurozona pmi manufacturero alcanzo maximo seis anosnlabelurl  ; j : 183. Sim : 0.54170316; Baja. 
 informe diario mayo 16 2017 eeuu produccion industrial expandio 10 mm abrilnlabelurl  ; j : 184. Sim : 0.59392124; Baja. 
 informe diario agosto 11 2014 exportaciones fob colombia disminuyeron 41 aa junio labelurl  ; j : 185. Sim : 0.57839334; Baja. 
 informe diario noviembre 29 2016 eeuu corrigen alza pib 3t16 32 ttnlabelurl  ; j : 186. Sim : 0.7044682; Media. 
 informe diario enero 11 2018 eeuu precios productor cayeron 01 mm diciembrenlabelurl  ; j : 187. Sim : 0.549439; Baja. 
 informe diario marzo 9 2016 eeuu caida ventas mayoristas enero refleja debilitamiento demanda label; j : 188. Sim : 0.60340387; Baja. 
 informe diario noviembre 12 2014 produccion industrial eurozona crecio 06 aa septiembre labelurl  ; j : 189. Sim : 0.5710114; Baja. 
 informe diario noviembre 25 2014 pib eeuu 3t14 crecio 39 segunda estimacion labelurl  ; j : 190. Sim : 0.6311434; Baja. 
 informe diario agosto 8 2016 balanza comercial china julio reflejo debil demanda globalnlabelurl  ; j : 191. Sim : 0.5028159; Baja. 
 informe diario junio 17 2014 inflacion eeuu 21 aa mayo superando expectativas labelurl  ; j : 192. Sim : 0.70255405; Media. 
 informe inflacion abril 10 2014 esperamos inflacion abril 035 mm 261 aa labelurl  ; j : 193. Sim : 0.53142637; Baja. 
 informe diario octubre 12 2017 eeuu precios productor aumentaron 26 aa septiembrenlabelurl  ; j : 194. Sim : 0.57021606; Baja. 
 informe diario mayo 23 2016 pmi manufacturero eeuu registro nivel mas bajo 2009 labelurl  ; j : 195. Sim : 0.49934208; No similar. 
 informe diario diciembre 22 2016 eeuu corrigen alza pib 3t16 35 ttnlabelurl  ; j : 196. Sim : 0.6915942; Media. 
 informe diario noviembre 22 2016 eeuu ventas vivienda usada alcanzan maximo 2007 labelurl  ; j : 197. Sim : 0.5623208; Baja. 
 informe diario septiembre 22 2015 icc eurozona cayo septiembre ubico 71 puntos labelurl  ; j : 198. Sim : 0.5138441; Baja. 
 monitor banquero central noviembre 26 2015 esperamos tasa politica monetaria aumente 575nlabelurl  ; j : 199. Sim : 0.36253437; No similar. 
 monitor banquero central enero 25 2017 esperamos reduccion tasa intervencion 25pbs 725nlabelurl  ; j : 200. Sim : 0.36325923; No similar. 
 monitor banquero central septiembre 24 2015 esperamos tasa politica monetaria mantenga 45 labelurl ; j : 201. Sim : 0.31507042; No similar. 
 informe semanal diciembre 15 2014 tormenta expectativa pib 3t14 esperamos crecimiento 47 labelurl  ; j : 202. Sim : 0.44147265; No similar. 
 informe diario abril 6 2015 pmi compuesto servicios eeuu registro maximo 7 meses marzo labelurl  ; j : 203. Sim : 0.5208166; Baja. 
 informe diario noviembre 16 2016 reino unido tasa desempleo alcanza minimo 2005 labelurl  ; j : 204. Sim : 0.51493156; Baja. 
 informe diario marzo 14 2016 produccion industrial colombia crecio 82 aa enero labelurl  ; j : 205. Sim : 0.5937849; Baja. 
