Modulo nnlm-es-dim128-with-normalization-2
Topicos : andrespardoa colombia analisis portafolioco sistema bancorepublica invitamos tasa hoy corficolombiana inflacion economia via 
 andrespardoa decline in gdp growth or more pressure on external accountsbeyond our baseline scenari; j : 1. Sim : 0.3442866; No similar. 
 andrespardoa oferta record bonos globales corrido 2014 financialtimes fastft colombia join em bond ; j : 15. Sim : 0.51125413; Baja. 
 andrespardoa colombia demanda interna crecio 87 1er trimestre vs 54 4to trimestre superando ampliam; j : 16. Sim : 0.4688211; No similar. 
 andrespardoa oferta neta bonos tesoro cae fuerte ano apoyando estimacion tasas bajas 2016mi analisi; j : 17. Sim : 0.52567005; Baja. 
 andrespardoa colombia encuesta datexco eltiempo wradiocolombia 1a vuelta santos 277 zuluaga 256 2a ; j : 18. Sim : 0.35836434; No similar. 
 andrespardoa brasil economia cayo 06 trimestral 09 anual 2do trimestre crecimiento trimestral 1er t; j : 19. Sim : 0.57794493; Baja. 
 andrespardoa sondeo reuters expectativas inflacionarias colombia cierre 2014 subieron 302 vs 299 me; j : 20. Sim : 0.442352; No similar. 
 andrespardoa colombia hoy 11 be publica pib 4to trimestre 2013 esperamos crecimiento 5 analisis aqu; j : 21. Sim : 0.68295944; Media. 
 andrespardoa colombia manana 11 be publica pib 4to trimestre 2013 esperamos crecimiento 5 analisis ; j : 22. Sim : 0.6843029; Media. 
 andrespardoa colombia ventas minoristas crecieron 65 personal ocupado crecio 3 ventas vehiculos cre; j : 23. Sim : 0.35284862; No similar. 
 andrespardoa colombia gobierno anuncia 126mil nuevos cupos subsidios tasas creditos vivienda media ; j : 24. Sim : 0.5643747; Baja. 
 andrespardoa inflacion 050 mensual abril esperabamos 075 inflacion anual bajo 798 793 respiro tempo; j : 25. Sim : 0.46382955; No similar. 
 culturaet mercedes barcha viuda nobel literatura dono biblioteca luis angel arango coleccion privad; j : 26. Sim : 0.370882; No similar. 
 binvestigacionesbanrep borrador 1049 an auctionbased test of private information in an interdealer ; j : 27. Sim : 0.37563726; No similar. 
 andrespardoa colombia pib habria crecido cerca 48 1er trimestre bancorepublica via larepublicaco es; j : 28. Sim : 0.7323926; Media. 
 andrespardoa insisto lenguaje d feed implica tasas bajas tiempo considerable afecta tasa d cambio a; j : 29. Sim : 0.43180498; No similar. 
 andrespardoa cuanto crecio economia colombiana 1er trimestre manana sabra 9 be pronostico 53 analis; j : 30. Sim : 0.6959061; Media. 
 andrespardoa colombia jueves conocera dato crecimiento pib 1er trimestre 2014 esperamos 53 analisis; j : 31. Sim : 0.64907336; Baja. 
 andrespardoa cuanto crecio economia colombiana 1er trimestre manana publica 9 be pronostico 53 anal; j : 32. Sim : 0.6887606; Media. 
 andrespardoa dato pib 2do trimestre podria sorprender requerir nuevo aumento tasa bancorepublica an; j : 33. Sim : 0.6173825; Baja. 
 hoy 10 be 430 pm economista jefe andrespardoa hablara inflacion bancorepublica cara sello cablenoti; j : 34. Sim : 0.5310192; Baja. 
 andrespardoa banco central europeo anuncia nuevas medidas estimulo monetario segun anticipamos exce; j : 35. Sim : 0.4137275; No similar. 
 andrespardoa minhacienda bancorepublica creen tener claro q calculo flujos usd x alza colombia indi; j : 36. Sim : 0.6076847; Baja. 
 valdedrama oye bebe dono teleton2018 elfotis dona pues alguien sumar 3000 pesos movamonosporteleton; j : 37. Sim : -0.0045275083; No similar. 
 andrespardoa tsunami euros anuncio hoy banco central europeo puede ser mayor futuro cercano norma  ; j : 38. Sim : 0.26877943; No similar. 
 roberto junguito antonio hernandez armando montenegro hugo palacios leonardo villar olga lucia acos; j : 39. Sim : 0.29561976; No similar. 
 andrespardoa datos 4to trim sugieren menor desaceleracion consumo privado gasto publico tasa bancor; j : 40. Sim : 0.5815768; Baja. 
 andrespardoa argentina juego gallina deuda publica argentina in game of chicken over debt labelurl ; j : 41. Sim : 0.3100414; No similar. 
 andrespardoa colombia analisis cifras crecimiento economico 4to trimestre 2013 reveladas semana pas; j : 42. Sim : 0.58809507; Baja. 
 andrespardoa colombia hueco 125 billones columna opinion mariaisabel rueda eltiempo reforma tributa; j : 43. Sim : 0.50866044; Baja. 
 andrespardoa mala deflacionno mejor q precios bajen xa aumentar capacidad gastolo explico portafoli; j : 44. Sim : 0.46978155; No similar. 
 andrespardoa fmi recorta prevision crecimiento economia china imf cut china growth forecast labelur; j : 45. Sim : 0.631644; Baja. 
 andrespardoa video resumen charla bvccolombia liquidez global turbulencia emergentes dolar tasa int; j : 46. Sim : 0.51853096; Baja. 
 andrespardoa amplia liquidez global mas tiempo significa q col mantendra tasas bajas mitad 2014deta; j : 47. Sim : 0.46959984; No similar. 
 andrespardoa colombia aceleracion consumo privado 1er trimestre debe principalmente fuerte repunte ; j : 48. Sim : 0.48502588; No similar. 
 andrespardoa colombia 2si fuerte caida trm dio principalmente x aumento ponderacion bonos locales i; j : 49. Sim : 0.5022894; Baja. 
 andrespardoa comparto columna hoy portafolioco bancorepublica vera forzado seguir subiendo tasa ref; j : 50. Sim : 0.50738746; Baja. 
 economiaunab invitados manana simposio economia agricola aud menor unabonline 830 be mgafarog leona; j : 51. Sim : 0.49960944; No similar. 
 andrespardoa colombia pib construccion principal motor economia 2do trimestre crecer 102 esperabamo; j : 52. Sim : 0.6483758; Baja. 
 economiaunab invitados manana simposio economia agricola aud menor unabonline 830 be mgafarog leona; j : 53. Sim : 0.49960944; No similar. 
 mloreguti hoy hotelesestelar inauguracion 51 sky bar cartagena unico bar colombia cartagena region ; j : 54. Sim : 0.4978332; No similar. 
 publication read the second edition of the governorsreport new quarterly publication by jjechavarri; j : 55. Sim : 0.26824266; No similar. 
 andrespardoa manana publicara crecimiento economia colombiana 2do trimestre 2014 esperamos 49 anali; j : 56. Sim : 0.6436042; Baja. 
 andrespardoa colombia produccion industrial cayo 06 nov13 mal dato contraccion moderando menor q ca; j : 57. Sim : 0.56748545; Baja. 
 andrespardoa nuevos pronosticos crecimiento economico mundial regiones fmi mejor europa empeora lat; j : 58. Sim : 0.5691013; Baja. 
 andrespardoa hoy publicara crecimiento economia colombiana 2do trimestre 2014 esperamos 49 analisis; j : 59. Sim : 0.6358027; Baja. 
 andrespardoa normalizacion monetaria global eurozona japon estan ampliar liquidez proximos 6 meses ; j : 60. Sim : 0.58222234; Baja. 
 hollmanmorris asi quedaron ayer pasillos universidad cauca templos saber llenos represion dictadura; j : 61. Sim : 0.3532562; No similar. 
 andrespardoa bancorepublica dio entender podria hacer nuevos ajustes alza tasa inter analisis http ; j : 62. Sim : 0.5913115; Baja. 
 hollmanmorris asi quedaron ayer pasillos universidad cauca templos saber llenos represion dictadura; j : 63. Sim : 0.3532562; No similar. 
 andrespardoa amplia liquidez global x mas tiempo inglaterra anuncio tasas bajas x mas tiempo mesdet; j : 64. Sim : 0.48699984; No similar. 
 andrespardoa tasas bonos eeuu dicen mercado what mr bond be tell the market labelurl v  ; j : 65. Sim : 0.4725303; No similar. 
 andrespardoa economia colombia desacelera 2do trimestre banco central frenaria alza tasa labelurl v; j : 66. Sim : 0.7153151; Media. 
 andrespardoa mayor fortaleza euro impulsa necesidad estimulo coeure bce labelurl via reuters fin am; j : 67. Sim : 0.56472456; Baja. 
 andrespardoa colombia cierre dolar 1883 pesos mas bajo mas 7 meses tal retiro liquidez financiera g; j : 68. Sim : 0.42398223; No similar. 
 frasedeldia reunirse comienzo permanecer juntos progreso trabajar juntos exito henry ford empresari; j : 69. Sim : 0.21662614; No similar. 
 bfdbedout pildorita memoriael jefe daspor ser departamento administrativo solo recibia ordenes daba; j : 70. Sim : 0.2664611; No similar. 
 blas curvas laffer senalan siempre do tasas impositivas producen mismos ingresos fiscales bor label; j : 71. Sim : 0.40896198; No similar. 
 andrespardoa inflacion baja parece ser positivo demasiado baja vuelve problema aqui explicacion htt; j : 72. Sim : 0.42531806; No similar. 
 andrespardoa colombia 1 habiamos anticipado fuerte caida trm porq vendria diferenciacion economias ; j : 73. Sim : 0.5857222; Baja. 
 andrespardoa banco central europeo aumenta monto compra mensual activos 60 80 mil millones  ; j : 74. Sim : 0.24711476; No similar. 
 andrespardoa japon lleva 15 anos deflacion economia solo crecido 08 anual explico portafolioco labe; j : 75. Sim : 0.5670085; Baja. 
 andrespardoa porquenosubirtasas 5a mayoria codirectores cree q alza previas sido importantes puede ; j : 76. Sim : 0.331281; No similar. 
 juego identidad dia negros personas pintan cara cosmetico negro dia blancos cubren talco  ; j : 77. Sim : 0.11445814; No similar. 
 andrespardoa banco central europeo recorta tasa inter referencia 005 0 tasa depositos 03 04  ; j : 78. Sim : 0.49966893; No similar. 
 moveconcertsco sabianque show roger water contara sonido envolvente 11 puntos relevo 7 graderia 4 c; j : 79. Sim : 0.11157646; No similar. 
 andrespardoa recomendado reporte estabilidad financiera global fmi impulso mercados pasa liquidez c; j : 80. Sim : 0.4848148; No similar. 
 moveconcertsco sabianque show roger water contara sonido envolvente 11 puntos relevo 7 graderia 4 c; j : 81. Sim : 0.16877477; No similar. 
 andrespardoa crecimiento eurozona debil generar mas empleos eurozone growth too weak to lift job la; j : 82. Sim : 0.49288672; No similar. 
 frasedeldia darle inicio unnuevocomienzo reto futuro sigue siendo rapidez andy grove cofundador int; j : 83. Sim : 0.15008624; No similar. 
 sediceyaak ser aprobado congreso seria 5 centavos 10 centavos 20 centavos 50 centavos respectivamen; j : 84. Sim : 0.25273538; No similar. 
 andrespardoa colombia publicara mes recomendaciones xa reformar rentabilidad minima d fondos pensio; j : 85. Sim : 0.4831139; No similar. 
 andrespardoa porquenosubirtasas 2a crecimiento indice ise desestacionalizado proxy mensual pib cayo; j : 86. Sim : 0.5841553; Baja. 
 petrogustavo cierto bajando impuestos gran capital crece empleo hecho ultimas decadas todas dere  ; j : 87. Sim : 0.30935544; No similar. 
 andrespardoa colombia aunque bancorepublica sorprendio elevando tasa inter creemos debia hacerlo an; j : 88. Sim : 0.6623351; Baja. 
 andrespardoa colombia gobierno realiza operacion manejo deuda tesoro nacional 134 billones via minh; j : 89. Sim : 0.6167926; Baja. 
 blaudestereo mauricio pena jefe seccion musica biblioteca luis angel arango banrepcultural habla pr; j : 90. Sim : 0.45190388; No similar. 
 claucarizas dijo infraestructura ah si haciendo puentes desploman dejando vias medias leydivillamiz; j : 91. Sim : 0.38587695; No similar. 
 top 2 impacto economico inflacion japon mantuvo estable bce considera prematuro dar senales camb la; j : 92. Sim : 0.46038684; No similar. 
 banrepcultural biblioteca gabriel garcia marquez inaugurada 2001 cuenta sala general sala lectura p; j : 93. Sim : 0.34755373; No similar. 
 andrespardoa si economia colombiana casi potencial cree bancorepublica tasa referencia debe seguir ; j : 94. Sim : 0.6042685; Baja. 
 andrespardoa experiencia qe1 qe2 muestra q puede descartar caida tasa d tesoros feed reduzca qe3l  ; j : 95. Sim : 0.43298197; No similar. 
 andrespardoa analisis deuda publica 2probabilidad mas estimulo monetario europa japon positivo tes ; j : 96. Sim : 0.60066956; Baja. 
 andrespardoa ojo poner esperanzas d devaluacion desaceleracion chinaeso determinando precio d petro; j : 97. Sim : 0.4316565; No similar. 
 top 3 impacto economico confianza consumidor zona euro retrocedio desempleo uk subio lige labelurl ; j : 98. Sim : 0.45634955; No similar. 
 andrespardoa eurozona anuncio mas estimulo monetario q genera mas presion revaluacion peso colombia; j : 99. Sim : 0.5793422; Baja. 
 andrespardoa ojo poner esperanzas devaluacion retiro liquidez paises avanzadoseso pasando columna h; j : 100. Sim : 0.4920729; No similar. 
 andrespardoa aumenta riesgo d deflacion europa d mas liquidezmas presion d revaluacion peso colombi; j : 101. Sim : 0.5517736; Baja. 
 andrespardoa tasa cambio colombia operandose 1842 pesos dolar tal comenzado normalizacion monetari ; j : 102. Sim : 0.5188638; Baja. 
 top 3 impacto economico gobierno japones vuelve nombrar kuroda jefe confianza consumidor co labelur; j : 103. Sim : 0.34174165; No similar. 
 andrespardoa manana esperen analisis explicando pronostico 53 crecimiento pib colombia 1er trim  ; j : 104. Sim : 0.6284884; Baja. 
 andrespardoa colombia jpmorgan anuncia q ponderacion tes aumentara sustancialmente indices globales; j : 105. Sim : 0.58003837; Baja. 
 eventosclavedelajornadademananan zona euro 400 markit pmi manufactureron eeuu 845 markit pmi manufa; j : 106. Sim : 0.2758296; No similar. 
 eventosclavedelajornadademanana zona euro 400 markit pmi manufactureron eeuu 845 markit pmi manufac; j : 107. Sim : 0.33114648; No similar. 
 andrespardoa aunque bancorepublica sorprendio elevando tasa inter creemos hora analisis portafolioc; j : 108. Sim : 0.6444569; Baja. 
 andrespardoa analisis medidas aumento liquidez europa mayor presion revaluacion peso colombiano htt; j : 109. Sim : 0.5304999; Baja. 
 andrespardoa analisis semana 1 nuevas medidas estimulo monetario eurozona apreciacion peso colombia; j : 110. Sim : 0.50327796; Baja. 
 andrespardoa significan cifras fiscales plan financiero 20142015 titulos deuda publica analisis htt; j : 111. Sim : 0.5187948; Baja. 
 andrespardoa 1 fmi bajo pronostico crecimiento pib mundial 36 34 esperabamos bajaran 33  ; j : 112. Sim : 0.47017202; No similar. 
 andrespardoa amplia liquidez global x mas tiempola feed discutio posibilidad d pausar desmonte d es; j : 113. Sim : 0.44482085; No similar. 
 andrespardoa porquenosubirtasas 5bmayoria d codirectores dijo q alza 75 apuntalar convergencia meta; j : 114. Sim : 0.26985562; No similar. 
 andrespardoa dada crisis ucraniarusia vale pena resaltar importancia rusia mercado mundial petroleo; j : 115. Sim : 0.3939035; No similar. 
 andrespardoa bancorepublica reconoce qu fuerte caida confianza consumidor genera mayor incertidumbr; j : 116. Sim : 0.35729447; No similar. 
 andrespardoa sondeo reuters pib colombia habria expandido 5 primer trimestre 2014 via bocanegranels; j : 117. Sim : 0.61052626; Baja. 
 andrespardoa venezuela agrisanti bcv seguira financiando gobierno pdvsa empresas publicas escenario; j : 118. Sim : 0.60720617; Baja. 
 andrespardoa colombia ventas x menor crecieron 53 nov13 87 vehiculosconfirma expectativa mayor recu; j : 119. Sim : 0.4180847; No similar. 
 eventosclavedelajornadademananan zona euro reunion politica monetaria bcen zona euro 400 pmi markit; j : 120. Sim : 0.46732113; No similar. 
 andrespardoa crisis ucraniarusia resalto importancia rusia suministro gas europa mitad pasa ucrania; j : 121. Sim : 0.45433605; No similar. 
 andrespardoa analisis peligro deflacion europa corficolombiana infsemanalene 20 2014 profesion peli; j : 122. Sim : 0.6187297; Baja. 
 eventosclavedelajornadademananan zona euro 400 markit pmi servicios n eeuu 945 markit pmi servicios; j : 123. Sim : 0.38048527; No similar. 
 andrespardoa colombia 6 jpmorgan simplemente dio empujon decision reflejo solidez colombia dentro m; j : 124. Sim : 0.5628533; Baja. 
 andrespardoa pensamos reciente devaluacion peso colombiano turbulencia mercados emergentes lealo aq; j : 125. Sim : 0.4998842; No similar. 
 banrepcultural biblioteca gabriel garcia marquez edificio 5000 m alberga coleccion 40000 ejemplares; j : 126. Sim : 0.3153362; No similar. 
 andrespardoa colombia 3pero ajuste bonos locales indices jpmorgan dio mejoras fundamentales regulat; j : 127. Sim : 0.4095418; No similar. 
 andrespardoa ver revaluacion peso colombiano ultimas medidas banco central europeo analisis htt  ; j : 128. Sim : 0.46856752; No similar. 
 andrespardoa inflacion eurozona cae 05 labelurl via ft viene mas estimulo monetario jueves retiro  ; j : 129. Sim : 0.6059204; Baja. 
 andrespardoa coincido argumento principal revistadinero bancorepublica debe seguir elevando tasa in; j : 130. Sim : 0.4614708; No similar. 
 andrespardoa analisis portafolioco medidas aumento liquidez europalas cuales presionan revaluacion ; j : 131. Sim : 0.42673638; No similar. 
 top 3 impacto economico bce mantendria tasa inter estable proxima reunion politica monetaria labelu; j : 132. Sim : 0.6280628; Baja. 
 andrespardoa colombia esperamos bancorepublica revise alza pronostico crecimiento pib 2014 hoy 43  ; j : 133. Sim : 0.6802863; Media. 
 presidente china xi xinping discurso dado foro economico boao asia prometio acelerar labelurl  ; j : 134. Sim : 0.4342897; No similar. 
 alpuntojl tasas mercado venido bajando empresas bajado mismo ritmo creditos consumo muc  ; j : 135. Sim : 0.41490716; No similar. 
 top 3 impacto economico congreso eeuu voto medida gasto evitar cierre administrativo aumenta d labe; j : 136. Sim : 0.42509377; No similar. 
 manana partir 510 pm siga facebook live vea lanzamiento libro ensayos crecimien labelurl  ; j : 137. Sim : 0.2798989; No similar. 
 andrespardoa elespectador anif preve alza tasas inter labelurl corficolombiana preve alza 375 mayo ; j : 138. Sim : 0.5686826; Baja. 
 ministros economia finanzas zona euro eligieron ministro espanol economia luis guindos pa labelurl ; j : 139. Sim : 0.579094; Baja. 
 imassmco pleno lecciones empresariales uniandinos ravilapinto mhcolombia miguel largacha silvia esc; j : 140. Sim : 0.40004724; No similar. 
 andrespardoa colombia inflacion marzo 039 251 anual vs expectativas 028 esperabamos 027  ; j : 141. Sim : 0.57893956; Baja. 
 jaocampo desaceleracion economica choque petrolero terminado crecimiento esperado sigue siendo infe; j : 142. Sim : 0.32544407; No similar. 
 andrespardoa inflacion zona euro desacelera 04 anual nivel mas bajo 5 anos aleja mas meta 2  ; j : 143. Sim : 0.44734555; No similar. 
 fondosdepension carolina gonzalezvelosa especialista division mercados laborales elbid colombia hab; j : 144. Sim : 0.35645428; No similar. 
 manten deudas dia evita report centrales riesgo conociendo valor exacto fechas oportunas labelurl  ; j : 145. Sim : 0.24777481; No similar. 
 fondosdepension carolina gonzalezvelosa especialista division mercados laborales elbid colombia hab; j : 146. Sim : 0.34029976; No similar. 
 andrespardoa mas liquidez proveniente eurozona implica mayor presion revaluacion peso colombiano an; j : 147. Sim : 0.5330166; Baja. 
 andrespardoa eurozona inflacion cae 05 mayo viene mas estimulo monetario jueves mas presion revalua; j : 148. Sim : 0.5533884; Baja. 
 andrespardoa sondeo reuters inflacion colombia abril avanzaria 032 mensual via bocanegranelson espe; j : 149. Sim : 0.69222474; Media. 
 bogeldorado muestra busca nacionales extranjeros aprecien riqueza arte colombiano minutos gran inau; j : 150. Sim : 0.20305759; No similar. 
 banrepeduca marzo 1923 presidente pedro nel ospina contrato grupo expertos presidido profes labelur; j : 151. Sim : 0.20787998; No similar. 
 fdbedout quiera explicar significado termino borrachera poder solo necesita ensenar video noticiasu; j : 152. Sim : 0.18882556; No similar. 
 acuerdo ultimo reporte mercado laboral economia anadio 155 mil nuevos puestos trabajo labelurl  ; j : 153. Sim : 0.45165202; No similar. 
 andrespardoa colombia tarifa impuesto patrimonio subiria 15 225 grandes capitales confirmo mauricio; j : 154. Sim : 0.53430533; Baja. 
 banco inglaterra mantuvo estable jueves tipos inter reino unido 075 mientras anuncio labelurl  ; j : 155. Sim : 0.27823845; No similar. 
 gustavobolivar dado batallas duras faltan muchas q darlas altura aunq mortifique sabor amargo d i  ; j : 156. Sim : 0.099987; No similar. 
 andrespardoa porquenosubirtasas 2d crecimiento produccion cemento concreto trimestre movil mayo neg; j : 157. Sim : 0.34596053; No similar. 
 exito significa siempre ver lado positivo creer poder hacer situaciones negativas mejor  ; j : 158. Sim : 0.19671138; No similar. 
 bse publicado proyecto regulacion cambiaria reporte saldos operaciones dsifdcin usted puede conoce ; j : 159. Sim : 0.4059424; No similar. 
 imagen libro nina bonita ana maria machado decorara sala infantil nuevo banrepcultural labelurl  ; j : 160. Sim : 0.16604856; No similar. 
 goguiadeocio llega magia creatividad hechas artesania expoartesanias nn14 dias recorrer 5 pabellone; j : 161. Sim : 0.31437263; No similar. 
 andrespardoa datos pib inflacion eurozona aumentado probabilidad mas estimulo monetario proximos 2 ; j : 162. Sim : 0.5754281; Baja. 
 goguiadeocio llega magia creatividad hechas artesania expoartesanias nn14 dias recorrer 5 pabellone; j : 163. Sim : 0.31437263; No similar. 
 mloreguti gusto inaugurar restaurante acento hotel intercontinental cali hotelesestelar acompanaron; j : 164. Sim : 0.2683571; No similar. 
 andrespardoa analisis portafolioco crecimiento economico colombia 4to trimestre 2013 juliocromeroa ; j : 165. Sim : 0.7295612; Media. 
 apartes charla andrespardoa bvccolombia liquidez global turbulencia emergentes dolar tasas inter la; j : 166. Sim : 0.51153785; Baja. 
 andrespardoa apartes charla bvccolombia liquidez global turbulencia emergentes dolar tasas inter la; j : 167. Sim : 0.51153785; Baja. 
 andrespardoa crisis bonos argentinos enciende alarmas mercado global deuda labelurl via wsjamericas; j : 168. Sim : 0.42064822; No similar. 
 eventosclavedelajornadademananan zona euro 500 expectativas encuesta zew n japon 1850 balanza comer; j : 169. Sim : 0.4773966; No similar. 
 top 3 impacto economicoel ministro interior aleman da ultimatum merkelultima encuesta bloomberg lab; j : 170. Sim : 0.31582654; No similar. 
 andrespardoa ojo poner esperanzas devaluacion peso retiro d liquidez paises avanzadosninguno retira; j : 171. Sim : 0.43430877; No similar. 
 eventosclavedelajornadademananan zona euro 500 inflacionn eeuu 830 produccion industrial neeuu 830 ; j : 172. Sim : 0.26541948; No similar. 
 andrespardoa fmi colombia podria aumentar tasa inter recaudo impuestos labelurl via cablenoticias  ; j : 173. Sim : 0.68416876; Media. 
 eventosclavedelajornadademananan eeuu 830 inflacionn japon 1850 pib n zona 500 produccion indu labe; j : 174. Sim : 0.5169912; Baja. 
 eventosclavedelajornadademananan zona euro 500 inflacionn eeuu 830 produccion industrial neeuu 830 ; j : 175. Sim : 0.26541948; No similar. 
 andrespardoa version impresa analisis portafolioco escepticismo q pib potencial mas alto d q cree h; j : 176. Sim : 0.58656496; Baja. 
 andrespardoa resumen charla bvccolombia liquidez global turbulencia emergentes dolar tasas inter la; j : 177. Sim : 0.489092; No similar. 
 seguirle pulso economia recomendamos seguir twitter andrespardoa gerente investigaciones economicas; j : 178. Sim : 0.48514596; No similar. 
 top 3 impacto economico actividad economica zona euro sigue expansion desaceleracion precios labelu; j : 179. Sim : 0.5683175; Baja. 
 seguirle pulso economia recomendamos seguir twitter andrespardoa gerente investigaciones economicas; j : 180. Sim : 0.48514596; No similar. 
 top 3 impacto economicobanco central japon boj mantuvo estable politica monetariameta crecimient la; j : 181. Sim : 0.37651247; No similar. 
 seguirle pulso economia recomendamos seguir twitter andrespardoa gerente investigaciones economicas; j : 182. Sim : 0.48514596; No similar. 
 andrespardoa analisis portafolioco devaluacion peso argentino impacto mercados financieros emergent; j : 183. Sim : 0.47949705; No similar. 
 andrespardoa colombia analisis rebalanceo indices jpmorgan impacto mercado deuda publica http  ; j : 184. Sim : 0.686336; Media. 
 seguirle pulso economia recomendamos seguir twitter andrespardoa gerente investigaciones economicas; j : 185. Sim : 0.48514596; No similar. 
 eventosclavedelajornadademananan zona euro 500 produccion industrial octn eeuu 830 indice preci lab; j : 186. Sim : 0.4615718; No similar. 
 andrespardoa colombia analisis portafolioco pronostico pib 4to trimestre 2013 publica hoy labelurl ; j : 187. Sim : 0.6956875; Media. 
 seguirle pulso economia recomendamos seguir twitter andrespardoa gerente investigaciones economicas; j : 188. Sim : 0.48514596; No similar. 
 eventosclavedelajornadademananan zona euro 500 expectativas encuesta zewn eeuu 900 ordenes fabric l; j : 189. Sim : 0.4061298; No similar. 
 eventosclavedelajornadademanan zona euro 400 confianza consumidor reino unido 700 decision tasa lab; j : 190. Sim : 0.35052773; No similar. 
 andrespardoa analisis portafolioco riesgos baja inflacion peligro deflacion zona euro http  ; j : 191. Sim : 0.5709488; Baja. 
 andrespardoa analisis mayor peso colombia indice jpmorganni bancorepublica claro flujos estima  ; j : 192. Sim : 0.5758102; Baja. 
 andrespardoa ojo poner esperanzas devaluacion peso desaceleracion chinaeso determinando precio petr; j : 193. Sim : 0.41923964; No similar. 
 andrespardoa analisis semana devaluacion peso argentino impacto mercados financieros emergentes htt; j : 194. Sim : 0.44693208; No similar. 
 eventosclavedelajornadademananan zona euro 500 produccion industrialn eeuu 830 ordenes bienes dur l; j : 195. Sim : 0.38829893; No similar. 
 corficolombiana llevo cabo rueda prensa hotel estelar villavicencio mencionaron aspectos im labelur; j : 196. Sim : 0.07053409; No similar. 
 andrespardoa problema inflacion baja europa debe evitarla mas estimulo monetariomi analisis htt  ; j : 197. Sim : 0.60212547; Baja. 
 andrespardoa problema inflacion baja europa debe evitarla mas estimulo monetario analisis http  ; j : 198. Sim : 0.6034847; Baja. 
 corficolombiana llevo cabo rueda prensa hotel estelar villavicencio mencionaron aspectos im labelur; j : 199. Sim : 0.07053409; No similar. 
 eventosclavedelajornadademananan zona euro 500 produccion industrialn eeuu 830 ordenes bienes dur l; j : 200. Sim : 0.38829893; No similar. 
 asi salio publicado analisis version impresa ayer portafolioco tan claro andrespardoa labelurl  ; j : 201. Sim : 0.46443143; No similar. 
 andrespardoa asi salio publicado analisis hoy version impresa portafolioco estimulo ahi labelurl  ; j : 202. Sim : 0.6358144; Baja. 
 frente nina bonita ilustracion emblematica narrativa pacifico sala infantil centro cultur labelurl ; j : 203. Sim : 0.31968674; No similar. 
 top 3 impacto economico solicitudes subsidios desempleo eeuu cayeronventas minoristas reino uni lab; j : 204. Sim : 0.47312668; No similar. 
 andrespardoa asi turbulencia mercados emergentes podria desatar crisis bancaria via qz labelurl  ; j : 205. Sim : 0.5032487; Baja. 
 bse publicado proyecto apoyos transitorios liquidez busca ajustar normas actualizar regulac labelur; j : 206. Sim : 0.19426441; No similar. 
 andrespardoa analisis urgencia combata baja inflacion eurozona solo riesgo deflacion http  ; j : 207. Sim : 0.5764316; Baja. 
 exito contratar personas adecuadas busca gente quiera cambiar mundo marc benloff  ; j : 208. Sim : 0.22130434; No similar. 
 eventosclavedelajornadaneeuu 900 indice manufacturero pmi sepnzona euro 400 tasa desempleo agonco l; j : 209. Sim : 0.39722264; No similar. 
 andrespardoa colombia crecera 5 2014 cepal labelurl via elespectador q une nuesto pronosticoel juev; j : 210. Sim : 0.48518074; No similar. 
 andrespardoa lenguaje feed implica tasas bajas eeuu tiempo considerable analisis portafolioco label; j : 211. Sim : 0.49782336; No similar. 
