Modulo nnlm-es-dim128-with-normalization-2
Topicos : caso dm gracias bancorepublica atentos quedamos datos area colaborarte envianos saludos encargada contacto 
 julianabdiaz lugar evento cambiado realizara hotel radisson avenida 60 2299 salon ar total bogota d; j : 1. Sim : 0.2773951; No similar. 
 alejandroperes hola jorge permitenos colaborarte envianos caso dm datos contacto quedamos atentos  ; j : 98. Sim : 0.76181877; Media. 
 proximos dias ciudadanos quieran radicar peticion queja reclamo pqr bancorepublica po labelurl  ; j : 99. Sim : 0.42543915; No similar. 
 giraldo23 tolstoiocoro navarrowolff bancorepublica vinculo iniciativa r3 busca explorar posibles ap; j : 100. Sim : 0.25767815; No similar. 
 proximos dias ciudadanos quieran radicar peticion queja reclamo pqr bancorepublica po labelurl  ; j : 101. Sim : 0.42543915; No similar. 
 evento bucaramanga hoy asista seminariodeeconomia 9 presentado rafael isidro parrapena entrada libr; j : 102. Sim : 0.2115098; No similar. 
 1butterflygirl hola lina muchas gracias reporte pasaremos area encargada pronta solucion saludos  ; j : 103. Sim : 0.6135888; Baja. 
 bancorepublica miembros junta directiva lamentan profundamente muerte clara isabel botero cuerv lab; j : 104. Sim : 0.15130244; No similar. 
 crislondone4a cristian permitenos colaborarte envianos caso datos contacto dm quedamos atentos  ; j : 105. Sim : 0.7761343; Media. 
 economia nororiente santander boyaca norte santander arauca registro panorama positivo inic labelur; j : 106. Sim : 0.25384235; No similar. 
 eebedoya edward permitenos ayudarte envianos caso soportes dm colaborarte quedamos atentos  ; j : 107. Sim : 0.65830183; Baja. 
 gabolosada buenos dias gracias escribirnos envianos caso dm colaborarte quedamos atentos  ; j : 108. Sim : 0.7634142; Media. 
 lauraporfavor sfcsupervisor laura envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 109. Sim : 0.7890761; Media. 
 marguiomend margarita permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 110. Sim : 0.7477359; Media. 
 nazlycata hola nazly permitenos ayudarte envianos dm caso datos contacto quedamos atentos  ; j : 111. Sim : 0.77371895; Media. 
 cortesmarce marcela permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 112. Sim : 0.7284066; Media. 
 mianca08 hola permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 113. Sim : 0.8034241; Media. 
 carlosochoa1985 hola carlos permitenos ayudarte envianos caso dm envialo siguiente correo serviciob; j : 114. Sim : 0.5484782; Baja. 
 samefa sara gracias escribirnos envianos caso dm colaborarte quedamos atentos saludos  ; j : 115. Sim : 0.77919626; Media. 
 wmatuk jorge permitenos ayudarte envianos dm caso datos contacto quedamos atentos  ; j : 116. Sim : 0.7581118; Media. 
 rubhers13 sfcsupervisor cholovalderrama omargamboa ruben envianos caso dm colaborarte quedamos aten; j : 117. Sim : 0.66354364; Baja. 
 gabrh colpensiones gabriel comunicaremos dm contigo solicitarte datos personales mama porvenirteres; j : 118. Sim : 0.5563255; Baja. 
 pipegomezsan hola felipe permitenos ayudarte envianos dm caso datos contacto quedamos atentos  ; j : 119. Sim : 0.7446022; Media. 
 medios pueden participar rueda prensa dara hoy finalizar reunion junta directiva labelurl  ; j : 120. Sim : 0.28883767; No similar. 
 gabrh colpensiones gabriel comunicaremos dm contigo solicitarte datos personales mama porvenirteres; j : 121. Sim : 0.5563255; Baja. 
 medios comunicacion pueden participar rueda prensa dara hoy finalizar reunion junta labelurl  ; j : 122. Sim : 0.3574965; No similar. 
 damos bienvenida francisco miranda director fundador eme tres comunicaciones conectese siguiente la; j : 123. Sim : 0.3372487; No similar. 
 melbalcardenasb hola melba permitenos ayudarte envianos dm pantallazo comentas envianos datos conta; j : 124. Sim : 0.6664931; Baja. 
 jhonacj hola jhon gracias interesarte productos envianos datos contacto dm brindarte asesoria  ; j : 125. Sim : 0.73553246; Media. 
 macrisgc1 maria cristina permitenos colaborarte cuentanos experiencia dm colaborarte quedamos atent; j : 126. Sim : 0.47219256; No similar. 
 ganancias fijas altas corto tiempo invertir criptomonedas cuidado anda mal informese labelurl  ; j : 127. Sim : 0.15477349; No similar. 
 bquienes pueden participar concurso ensayo corto banca escolar banca central estudiantes labelurl  ; j : 128. Sim : 0.07283862; No similar. 
 ganancias fijas altas corto tiempo invertir criptomonedas cuidado anda mal informese labelurl  ; j : 129. Sim : 0.15477349; No similar. 
 bquienes pueden participar concurso ensayo corto banca escolar banca central estudiantes labelurl  ; j : 130. Sim : 0.07283862; No similar. 
 ganancias fijas altas corto tiempo invertir criptomonedas cuidado anda mal informese labelurl  ; j : 131. Sim : 0.15477349; No similar. 
 monomunozp hola alvaro cuentanos caso dm junto datos aclararte tarifas quedamos atentos  ; j : 132. Sim : 0.68688947; Media. 
 bcual objetivo concurso banca escolar banca central busca motivar estudiantes adqui labelurl  ; j : 133. Sim : 0.106525764; No similar. 
 darcyquinnr caracolbga caracol1170am cadena radial especial dario arismendi tendra retractarse tras; j : 134. Sim : 0.29727304; No similar. 
 juakogallardo jorgearestrepo si usted posee pruebas sustenten afirmacion invitamos utilizar cana la; j : 135. Sim : 0.2947933; No similar. 
 hola catabusta interesa conocer detalle motivo comentario puedes escribirnos via dm gracias  ; j : 136. Sim : 0.6144487; Baja. 
 realice practicas alguna sedes bancorepublica pais bogota medellin cali bucaramanga ma labelurl  ; j : 137. Sim : 0.294821; No similar. 
 inicia rueda prensa reunion junta directiva bancorepublica mes mayo analistas peri labelurl  ; j : 138. Sim : 0.31758696; No similar. 
 angeldeantares norma usura fija articulo 305 codigo penal banco republica colo labelurl  ; j : 139. Sim : 0.19387351; No similar. 
 guerreroisabel buenos dias isabel permitenos ayudarte envianos caso dm quedamos atentos  ; j : 140. Sim : 0.57065624; Baja. 
 workingpaper 1027 by juliana jaramilloecheverri adolfo meiselroca and maria teresa ramirezgiraldo l; j : 141. Sim : 0.15584181; No similar. 
 josevbernalr si usted posee pruebas sustenten afirmacion invitamos utilizar canal denuncia q labelu; j : 142. Sim : 0.3452538; No similar. 
 omaromarbu2015 si usted posee pruebas sustenten afirmacion invitamos utilizar canal denuncia labelu; j : 143. Sim : 0.34523326; No similar. 
 compartir hijos jugando podra ayudarte explicarles manera divertida economia fiananzas globalmoneyw; j : 144. Sim : 0.21202202; No similar. 
 giraldogiraldo7 norma usura fija articulo 305 codigo penal banco republica col labelurl  ; j : 145. Sim : 0.1706785; No similar. 
 banrepeduca colegio champagnat ibague ocupo tercer lugar concurso ensayo corto banca labelurl  ; j : 146. Sim : 0.11700855; No similar. 
 usted debe conocer riesgos expone si decide negociar criptomonedas saberlo puede labelurl  ; j : 147. Sim : 0.07354097; No similar. 
 usted debe conocer riesgos expone si decide negociar criptomonedas saber mas informese labelurl  ; j : 148. Sim : 0.1700724; No similar. 
 frasedeldia activo mas poderoso mente bien entrenada puede crear enormesnriquezas robert kiyosaki  ; j : 149. Sim : 0.20117085; No similar. 
 arranca participacion jaocampo celebracion xxxii dia director comercio exterior evento organizad la; j : 150. Sim : 0.3368355; No similar. 
 karemsuarezv hablemosclaro decisiones toman manera informada escoger regimen pensional convenga esc; j : 151. Sim : 0.19848527; No similar. 
 leindeciso hola cuentanos si comunicaste asesor envianos dm caso colaborarte quedamos atentos  ; j : 152. Sim : 0.7184303; Media. 
 agendese seminariosbanrep n30 mayo bogota cobrame si puedes dinamica multiplicadores fisc labelurl ; j : 153. Sim : 0.2778412; No similar. 
 traves deporte poder transmitir valores construyen paz dinos emoji ultimo deport labelurl  ; j : 154. Sim : 0.17774764; No similar. 
 si colombiano profesional areas afines musica postulese estudiar musica exterior patrocina labelurl; j : 155. Sim : 0.20472436; No similar. 
 mury800 dios gracias 2do lugar 10k circuito caixa brasilporveniroficial equipoporvenir nikerunning ; j : 156. Sim : 0.27612522; No similar. 
 mauriciocard va responder reficar usted miembro junta directiva ordenaban gastos reembo labelurl  ; j : 157. Sim : 0.15492801; No similar. 
 gerente juanjoseechavarria hace balance comite consultivo lugar hoy cali 27 emp labelurl  ; j : 158. Sim : 0.40827364; No similar. 
 empecemos ano pie derecho aprendamosmas realicemos presupuesto compensar gastos diciembre mes  ; j : 159. Sim : 0.17078055; No similar. 
 creemos buenos nuevos vientos trae agosto cuentanos plan favorito mes cometas  ; j : 160. Sim : 0.14525348; No similar. 
 asista evento proximo viernes 20102017 entrada libre conozca agenda inscribase labelurl  ; j : 161. Sim : 0.25542435; No similar. 
 mottafabian hola fabian envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 162. Sim : 0.81628156; Media. 
 jadersilvera deportesboy956 indeportesboy runningcol gobboyaca irdettunja carlosamayar chidonoticia; j : 163. Sim : 0.18220155; No similar. 
 buitragosilvia silvia envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 164. Sim : 0.82764316; Media. 
 asista evento manana viernes 20102017 entrada libre conozca agenda inscribase labelurl  ; j : 165. Sim : 0.2848592; No similar. 
 aleardila alexandra envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 166. Sim : 0.78649443; Media. 
 bmanana santamarta codirector adolfomeisel presenta documento pobreza santa marta estrag labelurl  ; j : 167. Sim : 0.08828039; No similar. 
 banrep ofrece patrocinio estudiar exterior 5 cupos doctorado economia 1 cupo posgrado labelurl  ; j : 168. Sim : 0.09384466; No similar. 
 katharpo hola catalina envianos dm caso datos contacto colaborarte quedamos atentos  ; j : 169. Sim : 0.7913828; Media. 
 banrep ofrece patrocinio estudiar exterior 5 cupos doctorado economia 1 cupo posgrado labelurl  ; j : 170. Sim : 0.09384466; No similar. 
 bancorepublica miembros junta directiva lamentan profundamente muerte cecilia santa maria labelurl ; j : 171. Sim : 0.15889002; No similar. 
 andreavaliente hola andrea envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 172. Sim : 0.80332106; Media. 
 banrep ofrece patrocinio estudiar exterior 5 cupos doctorado economia 1 cupo posgrado labelurl  ; j : 173. Sim : 0.09384466; No similar. 
 saidherrera say envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 174. Sim : 0.8169982; Media. 
 banrep ofrece patrocinio estudiar exterior 5 cupos doctorado economia 1 cupo posgrado labelurl  ; j : 175. Sim : 0.09384466; No similar. 
 interesado invertir criptomonedas informese conozca riesgos estan expuestos usted din labelurl  ; j : 176. Sim : 0.31779042; No similar. 
 cali hoy miembros juntabanrep reunen empresarios valle cauca escuchar discutir s labelurl  ; j : 177. Sim : 0.22410262; No similar. 
 jofema2010 hola jose envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 178. Sim : 0.8010339; Media. 
 banrepeduca conozca comunicado prensa final decima version concurso ensayo corto b labelurl  ; j : 179. Sim : 0.30449745; No similar. 
 feliatlas felipe permitenos servirte envianos caso dm colaborarte quedamos atentos  ; j : 180. Sim : 0.6067868; Baja. 
 jhonxande hola jhon gracias palabras gusto enviaremos recomendacion area encargada saludos  ; j : 181. Sim : 0.5831277; Baja. 
 midazagarcia maria envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 182. Sim : 0.79080915; Media. 
 angienat22 hola aniie regalarias datos dm poder colaborarte inquietudes nombre comp labelurl  ; j : 183. Sim : 0.5985892; Baja. 
 finaliza reunion junta directiva bancorepublica conozca decisiones tomadas traves tran labelurl  ; j : 184. Sim : 0.39457187; No similar. 
 finaliza reunion junta directiva bancorepublica conozca decisiones tomadas traves trans labelurl  ; j : 185. Sim : 0.3840427; No similar. 
 andresmania acciones bvc mas suben 22marzo2019 1nncorficolcf 6134npfcorficol 5241ngrupoaval 3243nbc; j : 186. Sim : 0.20005344; No similar. 
 finaliza reunion junta directiva bancorepublica conozca decisiones tomadas traves tran labelurl  ; j : 187. Sim : 0.39457187; No similar. 
 finaliza reunion junta directiva bancorepublica conozca decisiones tomadas traves trans labelurl  ; j : 188. Sim : 0.3840427; No similar. 
 anabysevilla ruggemyrainbow gracias unirte recuerda mas seguidores don mas sera aporte est labelurl; j : 189. Sim : 0.24837273; No similar. 
 louraxlobos94 sofiaftjustin gracias unirte recuerda mas seguidores don mas sera aporte est labelurl; j : 190. Sim : 0.24694155; No similar. 
 marilynlizeth7 alelovescache gracias unirte recuerda mas seguidores don mas sera aporte est labelur; j : 191. Sim : 0.23097375; No similar. 
 castawayherron irwindarkside gracias unirte recuerda mas seguidores don mas sera aporte est labelur; j : 192. Sim : 0.25623953; No similar. 
 erikavalerialp1 cacheesvidaa gracias unirte recuerda mas seguidores don mas sera aporte est labelur; j : 193. Sim : 0.24630573; No similar. 
 karlix70913202 marbjaramillo gracias unirte recuerda mas seguidores don mas sera aporte est labelur; j : 194. Sim : 0.22266065; No similar. 
 fatima04891491 svmysalvation gracias unirte recuerda mas seguidores don mas sera aporte est labelur; j : 195. Sim : 0.21348514; No similar. 
 ben santamarta codirector adolfomeisel inicia presentacion documento pobreza santa marta l labelurl; j : 196. Sim : 0.18508993; No similar. 
 quiere hacer doctorado economia bancorepublica ofrece cinco patrocinios profesionales pregrado labe; j : 197. Sim : 0.17391503; No similar. 
 finaliza participacion gerente bancorepublica juntabanrep comision iii senado conozca tod labelurl ; j : 198. Sim : 0.30193362; No similar. 
 quiere hacer doctorado economia bancorepublica ofrece cinco patrocinios profesionales pregrado labe; j : 199. Sim : 0.17391503; No similar. 
 muchilon hola andres envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 200. Sim : 0.8014425; Media. 
 quiere hacer doctorado economia bancorepublica ofrece cinco patrocinios profesionales pregrado labe; j : 201. Sim : 0.17391503; No similar. 
 gerardopp hola gerardo regalarias datos dm poder colaborarte inquietudes nombre com labelurl  ; j : 202. Sim : 0.5967779; Baja. 
 quiere hacer doctorado economia bancorepublica ofrece cinco patrocinios profesionales pregrado labe; j : 203. Sim : 0.17391503; No similar. 
 inicia presentacion reporte estabilidad financiera estabilidadfinanciera cargo juan jose echavarria; j : 204. Sim : 0.2696137; No similar. 
 gerardopp hola gerardo regalarias datos dm poder colaborarte inquietudes nombre com labelurl  ; j : 205. Sim : 0.5967779; Baja. 
 quiere hacer doctorado economia bancorepublica ofrece cinco patrocinios profesionales pregrado labe; j : 206. Sim : 0.17391503; No similar. 
 evento bucaramanga asista seminariosbanrep presentado camilo pecha g entrada libre 09022018 labelur; j : 207. Sim : 0.17491533; No similar. 
 asesoriasmlz bancorepublica vinculo iniciativa r3 busca explorar posibles aplicaciones tecnolog lab; j : 208. Sim : 0.32750854; No similar. 
 donconchito diego envianos datos contacto dm poder colaborarte quedamos atentos  ; j : 209. Sim : 0.75807995; Media. 
 evento bucaramanga asista seminariosbanrep presentado camilo pecha g entrada libre 09022018 labelur; j : 210. Sim : 0.17491533; No similar. 
 junta directiva hoy reunion jdbr consulte frecuentemente portal conocer decisiones labelurl  ; j : 211. Sim : 0.35121402; No similar. 
 reportesdelemisor quiere saber region nororiente santander boyaca norte santander arauca labelurl  ; j : 212. Sim : 0.16529945; No similar. 
 johnarleycano hola dado respuesta dm revisa bandeja entrada conocer caso saludos  ; j : 213. Sim : 0.54941845; Baja. 
 junta directiva hoy reunion jdbr consulte frecuentemente portal conocer decisiones labelurl  ; j : 214. Sim : 0.35121402; No similar. 
 banco republica busca estudiantes universitarios pregrado destacados desempeno academico habi label; j : 215. Sim : 0.12893642; No similar. 
 agendese participe seminariosbanrepnbogota 6 marzo basilea iv reformas poscrisis nmayor inform labe; j : 216. Sim : 0.15008509; No similar. 
