Modulo nnlm-es-dim128-with-normalization-2
Topicos : informe diario andrespardoa colombia eeuu inconvenientes 2018 inflacion 2017 2014 ofrecemos disculpas tasa 
 andrespardoa eeuu crearon 175 mil empleos netos febrero vs esperado 149 mil tasa desempleo subio 67; j : 1. Sim : 0.44143924; No similar. 
 eeuu crearon 214 mil empleos agricolas octubre vs esperado 230 mil tasa desempleo baja 58 59  ; j : 15. Sim : 0.39438525; No similar. 
 balanza comercial china retrocede 42b vs 53b esperado causando aversion riesgo expo cae 10 impo 19 ; j : 16. Sim : 0.16905697; No similar. 
 andrespardoa eeuu consumo personal cae 01 mensual abril vs 02 esperado reduce probabilidad fuerte r; j : 17. Sim : 0.3679141; No similar. 
 andrespardoa colombia segun andicolombia produccion industrial crecio 22 ventas total crecieron 32 ; j : 18. Sim : 0.46552175; No similar. 
 andrespardoa colombia consumo hogares acelero crecer 51 1er trimestre 2014 vs 44 4to trimestre 2013; j : 19. Sim : 0.49053678; No similar. 
 informe diario marzo 31 2015 tasa desempleo colombia bajo 99 febrero 2015 vs 107 hace ano labelurl ; j : 20. Sim : 0.5074745; Baja. 
 informe diario junio 30 2015 tasa desempleo colombia subio 89 mayo 2015 vs 88 hace ano labelurl  ; j : 21. Sim : 0.5275704; Baja. 
 pib 3q uk preliminar sale mejor esperado mom 05 vs 03 esperado yoy 23 vs 21 labelurl  ; j : 22. Sim : 0.28860983; No similar. 
 eeuu pib crecio 35 3er trimestre demanda privada solo crecio 16 impulso provino gasto publico expor; j : 23. Sim : 0.52429956; Baja. 
 informe diario octubre 15 2015 inflacion ipc eeuu cayo septiembre 02 mm nucleo 19 aanlabelurl  ; j : 24. Sim : 0.56176955; Baja. 
 informe diario octubre 14 2015 inflacion ipp cayo eeuu ubico 05 mm 11 aa septiembrenlabelurl  ; j : 25. Sim : 0.56781167; Baja. 
 informe diario agosto 12 2015 produccion industrial eurozona cayo 04 mm 12 aa junio nlabelurl  ; j : 26. Sim : 0.3707623; No similar. 
 informe diario marzo 25 2015 ordenes bienes durables febrero cayeron 14 mm revirtiendo alza enero l; j : 27. Sim : 0.39673007; No similar. 
 informe diario septiembre 16 2015 inflacion ipc eeuu mantuvo 01 aa agosto nucleo 18 aa labelurl  ; j : 28. Sim : 0.58475894; Baja. 
 informe diario agosto 19 2015 inflacion ipc eeuu subio 01 aa nucleo mantuvo 18 aa labelurl  ; j : 29. Sim : 0.5922809; Baja. 
 ism servicios eeuu cae 514 555 menor dato ene2010 indice dolar dxy retrocede 08 949 labelurl  ; j : 30. Sim : 0.44961458; No similar. 
 informe diario julio 3 2014 tasa desempleo eeuu disminuyo 61 junio crearon 288 mil nuevos empleos l; j : 31. Sim : 0.52153224; Baja. 
 andrespardoa eurozona economia crecio 02 1er trimestre 2014 vs 04 esperado decepciona aumenta proba; j : 32. Sim : 0.52068263; Baja. 
 andrespardoa colombia demanda interna crecio 87 1er trimestre vs 54 4to trimestre superando ampliam; j : 33. Sim : 0.4602563; No similar. 
 informe diario mayo 12 2015 encuesta jolt eeuu marzo registro leve descenso tras 5 meses mejoras la; j : 34. Sim : 0.4420828; No similar. 
 informe diario octubre 30 2014 pib eeuu 3t14 crecio 35 banrep dejo inalterada tasa 45 labelurl  ; j : 35. Sim : 0.60481733; Baja. 
 andrespardoa colombia produccion industrial crecio 32 ventas total crecieron 39 primeros 4 meses 20; j : 36. Sim : 0.43803048; No similar. 
 informe diario junio 18 2014 feed anuncio recorte 10 mil millones dolares qe3 partir julio labelurl; j : 37. Sim : 0.4049115; No similar. 
 informe diario marzo 19 2015 deficit cuenta corriente eeuu aumento 1481 tt cuarto trimestre 2014 la; j : 38. Sim : 0.4923817; No similar. 
 informe diario agosto 24 2015 lunes negro shanghai composite cayo 85 china mayor descenso 2007 labe; j : 39. Sim : 0.31496322; No similar. 
 informe diario enero 21 2014 colombia coloca bonos globales 2 mil millones dolares tasa corte 5647 ; j : 40. Sim : 0.5163666; Baja. 
 andrespardoa colombia tasa desempleo cayo 111 enero 2014 vs 121 mismo mes 2013 continua recuperacio; j : 41. Sim : 0.54839617; Baja. 
 andrespardoa brasil economia cayo 06 trimestral 09 anual 2do trimestre crecimiento trimestral 1er t; j : 42. Sim : 0.44914526; No similar. 
 informe diario junio 15 2016 feed mantuvo tasas inter inalteradas dio senales menor ritmo alzas lab; j : 43. Sim : 0.3820138; No similar. 
 informe diario julio 27 2015 fmi dice bce podria alargar estimulo modestas perspectivas mediano pla; j : 44. Sim : 0.49744654; No similar. 
 andrespardoa eurozona inflacion cae 05 anual marzo mas baja 4 anos nucleo 07 minimo historico aumen; j : 45. Sim : 0.53543353; Baja. 
 andrespardoa eurozona nuevas proyecciones economicas 2014 equipo tecnico banco central europeo pib ; j : 46. Sim : 0.47571245; No similar. 
 andrespardoa brasil economia crecio 07 trimestral 4to trimestre 2013 19 anual crecimiento 2013 23 m; j : 47. Sim : 0.3984025; No similar. 
 informe diario agosto 20 2015 ventas vivienda usada eeuu aumentaron 103 aa mejor nivel 2007 labelur; j : 48. Sim : 0.4656383; No similar. 
 andrespardoa habra relajamiento cuantitativo eurozona ecb qe will it happen and what next labelurl ; j : 49. Sim : 0.28047115; No similar. 
 andrespardoa menor riesgo inflacion lcvelez fenomeno nino sera debil ultimos meses ano asegura idea; j : 50. Sim : 0.55591255; Baja. 
 informe diario enero 29 2015 tasa desempleo colombia subio 87 diciembre frente 84 hace ano labelurl; j : 51. Sim : 0.5307726; Baja. 
 moveconcertsco drive rain nuevos temas trae slash feat myles kennedy and the conspirators nuevo dis; j : 52. Sim : -0.031400062; No similar. 
 moveconcertsco drive rain nuevos temas trae slash feat myles kennedy and the conspirators nuevo dis; j : 53. Sim : -0.056035142; No similar. 
 intimesias indago quedo quieto pregunta fallecido pizano nestor humberto martinez quieto responde h; j : 54. Sim : 0.30390385; No similar. 
 workingpaper 1024 by luis arango javier pantoja and carlos velasquez labelurl nlet us know what you; j : 55. Sim : 0.27533153; No similar. 
 andrespardoa eeuu economia contrajo 29 1er trimestre revision final estimamos pib crecera solo 15 2; j : 56. Sim : 0.5643149; Baja. 
 informe diario agosto 3 2015 inflacion pce eeuu subio 03 aa mientras nucleo mantuvo 13 aanlabelurl ; j : 57. Sim : 0.64242935; Baja. 
 andrespardoa brasil banco central sube tasa inter referencia tasa selic medio punto porcentual 105 ; j : 58. Sim : 0.33611614; No similar. 
 andrespardoa sorprendido bonos tesoro 10 anos caido 3 diciembre 244 hoy advertimos hace 10 meses ht; j : 59. Sim : 0.3353736; No similar. 
 andrespardoa colombia inversion fija tambien acelero fuertemente crecer 146 1er trimestre esperabam; j : 60. Sim : 0.42063212; No similar. 
 informe diario noviembre 26 2014 ordenes bienes durables eeuu registraron alza 04 mm octubre labelu; j : 61. Sim : 0.50554496; Baja. 
 informe diario mayo 15 2014 crecimiento eurozona 1t14 02 tt inferior expectativa 04 tt labelurl  ; j : 62. Sim : 0.4615337; No similar. 
 informe inflacion septiembre 11 2015 almentos volvio presionar pronostico sep 030 mm 492 aa labelur; j : 63. Sim : 0.36165372; No similar. 
 informe diario octubre 27 2015 pedidos bienes durables continuaron cayendo eeuu 12 mm septiembrenla; j : 64. Sim : 0.50718904; Baja. 
 informe diario enero 30 2014 pib eeuu desacelera 4t13 pmi manufacturero china deteriora enero label; j : 65. Sim : 0.49584356; No similar. 
 informe diario mayo 4 2015 ipp colombia cayo 106 aa abril inferior 232 aa marzo labelurl  ; j : 66. Sim : 0.3706607; No similar. 
 informe diario enero 19 2016 fmi reviso baja proyeccion crecimiento mundial 2016 36 34 labelurl  ; j : 67. Sim : 0.40985414; No similar. 
 informe diario octubre 29 2015 economia eeuu crecio 15 tt 3t15 menor 16 t t esperado labelurl  ; j : 68. Sim : 0.5298362; Baja. 
 informe diario agosto 26 2015 julio pedidos bienes durables crecieron 2 mm inferior mes previo labe; j : 69. Sim : 0.27070704; No similar. 
 informe diario septiembre 8 2015 eurozona crecio 04 tt 15 aa 2t15 levemente superior esperado label; j : 70. Sim : 0.39545995; No similar. 
 informe diario agosto 4 2015 ipp colombia cayo 124 mm julio inferior 205 mm junionlabelurl  ; j : 71. Sim : 0.38218758; No similar. 
 informe diario agosto 27 2015 pib 2t15 eeuu crecio 37 tt superior esperado mercado labelurl  ; j : 72. Sim : 0.5592065; Baja. 
 informe diario abril 30 2014 feed recorta qe crecimiento economico eeuu baja 01 1t14 labelurl  ; j : 73. Sim : 0.53539574; Baja. 
 informe diario octubre 19 2015 pib 3t15 china crecio 69 aa debajo trimestre anterior labelurl  ; j : 74. Sim : 0.43423873; No similar. 
 informe diario junio 19 2014la economia colombia crecio 64 aa 1t14 superando expectativa mercado la; j : 75. Sim : 0.5142253; Baja. 
 informe diario septiembre 17 2015 feed mantiene tasa inter reduce proyecciones tasas 2016 2017 labe; j : 76. Sim : 0.50306004; Baja. 
 informe diario agosto 19 2014 importaciones crecen 149 aa ubicandose 49549 millones dolares juniola; j : 77. Sim : 0.39877546; No similar. 
 informe diario abril 13 2015 superavit comercial china disminuyo 308 mil millones dolares marzo lab; j : 78. Sim : 0.45071217; No similar. 
 informe diario julio 31 2014 banrep eleva tasa inter 425 proyeccion crecimiento pib 2014 5 labelurl; j : 79. Sim : 0.55630684; Baja. 
 alimentos arrastra inflacion baja variacion 154 ago vs 111 jul col ipc yoy 810 labelurl  ; j : 80. Sim : 0.4368697; No similar. 
 informe diario mayo 20 2015 minutas feed revelan baja probabilidad aumento tasas inter junio labelu; j : 81. Sim : 0.4197132; No similar. 
 informe diario enero 28 2016 eeuu pedidos bienes durables registraron caida 51 mm diciembre labelur; j : 82. Sim : 0.4878309; No similar. 
 informe diario noviembre 24 2015 pib 3t15 eeuu crecio 21 tt linea esperado mercado labelurl  ; j : 83. Sim : 0.5715348; Baja. 
 informe diario julio 30 2015 economia eeuu crecio 23 segundo trimestre vs expectativa 25nlabelurl  ; j : 84. Sim : 0.55715895; Baja. 
 informe diario diciembre 21 2015 deficit comercial colombia subio 159 mil millones dolares octubren; j : 85. Sim : 0.5065157; Baja. 
 andrespardoa colombia ventas menor crecieron 83 marzo 2014 vehiculos crecieron 59 vehiculos crecier; j : 86. Sim : 0.35320875; No similar. 
 andrespardoa colombia inflacion mensual 005 septiembre vs pronostico 010 inflacion anual bajo 81 ag; j : 87. Sim : 0.5543348; Baja. 
 informe diario junio 18 2015 inflacion eeuu positiva mayo 003 aa despues 4 meses negativos labelurl; j : 88. Sim : 0.52452666; Baja. 
 informe diario mayo 11 2015 banco central china redujo tasa referencia 25 pbs 510 labelurl  ; j : 89. Sim : 0.36940137; No similar. 
 informe diario enero 26 2016 pmi compuesto eeuu 537 enero reflejando deterioro pmi servicios labelu; j : 90. Sim : 0.2497244; No similar. 
 colombia pib crecio 49 cuarto trimestre 2013 43 2013 linea expectativa esperabamos 5 42 respectivam; j : 91. Sim : 0.48472247; No similar. 
 informe diario enero 28 2014 banco central turquia aumenta 425 pbs tasa inter overnight labelurl  ; j : 92. Sim : 0.50738436; Baja. 
 bandrespardoa pib japon cae 68 segundo trimestre japan gdp shrink 68 labelurl via wsjworld normaliz; j : 93. Sim : 0.3815131; No similar. 
 col ipc ano 727 mensual septiembre 005 vs 032 agosto alimentos continuo bajando 091 labelurl  ; j : 94. Sim : 0.303831; No similar. 
 informe diario febrero 18 2016 ocde redujo pronostico crecimiento mundial 2016 03 pp 30 labelurl  ; j : 95. Sim : 0.46204147; No similar. 
 andrespardoa colombia inflacion anual acelera 213 enero 232 febrero esperabamos 229 sigue correccio; j : 96. Sim : 0.5019032; Baja. 
 andrespardoa eeuu feed revisa baja proyecciones promedio crecimiento pib 4t4t 2014 22 21 2015 3  ; j : 97. Sim : 0.4777674; No similar. 
 informe diario marzo 10 2016 economia colombia crecio 31 2015 menor crecimiento 44 2014 labelurl  ; j : 98. Sim : 0.54918635; Baja. 
 andrespardoa dada crisis ucraniarusia vale pena resaltar importancia ucrania mercado mundial trigo ; j : 99. Sim : 0.25231063; No similar. 
 informe diario abril 29 2015 primera estimacion pib 1t15 crecio moderadamente eeuu 02 tt labelurl  ; j : 100. Sim : 0.5575294; Baja. 
 andrespardoa colombia ventas vehiculos aumentaron 89 anual febrero 2014 sigue recuperacion consumo ; j : 101. Sim : 0.49639747; No similar. 
 informe diario noviembre 20 2014 inflacion eeuu crece 17 aa octubre linea mes anterior labelurl  ; j : 102. Sim : 0.5253365; Baja. 
 andrespardoa colombia ventas minoristas vehiculos crecieron 52 febrero ventas vehiculos crecieron 1; j : 103. Sim : 0.39208555; No similar. 
 informe diario julio 30 2014 pib eeuu 2t14 crecio 4 feed deja inalterada tasa 025 labelurl  ; j : 104. Sim : 0.588376; Baja. 
 informe diario diciembre 16 2015 feed anuncio hoy aumento tasa referencia 25 pbs nlabelurl  ; j : 105. Sim : 0.40810794; No similar. 
 andrespardoa porquenosubirtasas 1c deficit externo 2t16 habria caido mas esperaba banrep pues preci; j : 106. Sim : 0.45721757; No similar. 
 andrespardoa banco central europeo baja tasa referencia 015 005 tasa depositos 01 02 mas estimulo m; j : 107. Sim : 0.3132024; No similar. 
 informe diario septiembre 1 2015 caixin pmi china cayo agosto 473 puntos menor dato 6 anos labelurl; j : 108. Sim : 0.32616562; No similar. 
 andrespardoa andrespardoa banco central europeo mantiene tasa inter 025 euro aprecia nivel mas alto; j : 109. Sim : 0.2989938; No similar. 
 informe diario noviembre 27 2014 opep deja techo produccion petroleo 30 millones barriles diariosla; j : 110. Sim : 0.39925244; No similar. 
 informe diario diciembre 7 2015 petroleo minimo 6 anos empujo dolar maximo historico copusd 3324 nl; j : 111. Sim : 0.54523844; Baja. 
 informe diario noviembre 23 2015 pmi manufacturero noviembre eeuu registro menor nivel do anosnlabe; j : 112. Sim : 0.41721326; No similar. 
 andrespardoa segun encuesta eoic andicolombia produccion ventas total crecieron 36 mayo continua re; j : 113. Sim : 0.4827565; No similar. 
 bbancorepublica menos mes alumnos grados 10 11 12 participen banca escolar banca central juanpab  ; j : 114. Sim : 0.15841603; No similar. 
 informe diario octubre 28 2014 confianza consumidor eeuu aumenta 945 puntos nivel maximo 7 anos lab; j : 115. Sim : 0.54606736; Baja. 
 andrespardoa banco central europeo anuncia nuevas medidas estimulo monetario segun anticipamos exce; j : 116. Sim : 0.34225863; No similar. 
 informe diario enero 28 2015 feed sera paciente subir tasas mayores preocupaciones baja inflacion l; j : 117. Sim : 0.5131172; Baja. 
 monitor banquero central junio 21 2016 esperamos banrep suba tasa manana 725 750 nlabelurl  ; j : 118. Sim : 0.31358778; No similar. 
 informe diario marzo 2 2016 reporte adp indico crearon 214 mil empleos privados agricolas eeuu labe; j : 119. Sim : 0.526067; Baja. 
 informe diario febrero 22 2016 pmi manufacturero eeuu 51 puntos febrero nivel mas bajo 3 anos label; j : 120. Sim : 0.4016477; No similar. 
 andrespardoa advertimos segun agencia nikkei japon podria rebajar prevision economica 2014 viernes ; j : 121. Sim : 0.5546521; Baja. 
 andrespardoa informe mensual coyuntura macro hoy esperamos q tasa politica monetaria colombia aumen; j : 122. Sim : 0.580731; Baja. 
 bandrespardoa moodys sube calificacion riesgo colombia baa3 baa2 segun anticipamos informe anual di; j : 123. Sim : 0.5324484; Baja. 
 culturaet mercedes barcha viuda nobel literatura dono biblioteca luis angel arango coleccion privad; j : 124. Sim : 0.33154547; No similar. 
 eurozona inflacion sube octubre 03 04 nucleo cae 08 07 presion mas estimulo monetario continua  ; j : 125. Sim : 0.48055348; No similar. 
 informe diario agosto 25 2015 banco central china redujo tasas inter quinta vez noviembre labelurl ; j : 126. Sim : 0.32677263; No similar. 
 informe diario febrero 15 2016 mario draghi anuncia esfuerzos politica enfrentar retos eurozona nla; j : 127. Sim : 0.4109422; No similar. 
 binvestigacionesbanrep borrador 1049 an auctionbased test of private information in an interdealer ; j : 128. Sim : 0.13271496; No similar. 
 andrespardoa colombia expectativa pib 2do trimestre 2014 sera revelado manana esperamos crecimiento; j : 129. Sim : 0.59773564; Baja. 
 andrespardoa colombia produccion industrial crecio 2 mayo 25 corrido ano malo personal ocupado sect; j : 130. Sim : 0.38370192; No similar. 
 andrespardoa colombia inflacion sube 25 marzo 27 abril esperamos bancorepublica eleve tasa inter 35; j : 131. Sim : 0.50772935; Baja. 
 rodrigouprimny aordonezm nombro esposa bustos procuradora judicial ii luego hizo corte suprema bust; j : 132. Sim : 0.19448914; No similar. 
 andrespardoa 4 fmi bajo pronostico crecimiento pib paises emergentes 2014 49 46 menos q 2013 espera; j : 133. Sim : 0.5111325; Baja. 
 informe diario julio 22 2015 venta vivienda usada eeuu junio mas alta ultimos ocho anos labelurl  ; j : 134. Sim : 0.4471133; No similar. 
 cancela seminario semanal economia num 546 monetary policy surprise and monetary policy uncertainty; j : 135. Sim : 0.29312408; No similar. 
 informe diario febrero 25 2015 venta vivienda nueva eeuu confirma tendencia positiva presente 2011 ; j : 136. Sim : 0.411278; No similar. 
 informe diario julio 15 2014 yellen reitera politica monetaria eeuu sera laxa tiempo prolongado lab; j : 137. Sim : 0.54390997; Baja. 
 informe diario octubre 27 2014 confianza empresas alemania cae sexta vez 1032 puntos octubre labelu; j : 138. Sim : 0.33177736; No similar. 
 ganadoras categoria femenina mmb 2016 n1 purity rionoripion2 veronica nyaruai n3 amane gobena nsoyl; j : 139. Sim : 0.22914565; No similar. 
 andrespardoa eeuu desacelera crecimientopero aun asiindice caseshiller precios vivienda subio 124 a; j : 140. Sim : 0.5217802; Baja. 
 andrespardoa mexico banco mexico baja sorpresivamente tasa inter medio punto minimo historico 30 ot; j : 141. Sim : 0.43480706; No similar. 
 uriasv espana aumenta salario minimo 22 mexico 16 aqui uribistas razgan vestiduras modesto 6 asi  ; j : 142. Sim : 0.58510226; Baja. 
 andrespardoa colombia produccion industrial crecio 98 marzo 2014 ojo dato sobredimensionado efecto ; j : 143. Sim : 0.45641997; No similar. 
 andrespardoa porquenosubirtasas 1b deficit externo 2t16 habria caido aun mas 1t16 segun sugieren da; j : 144. Sim : 0.50834805; Baja. 
 informe diario agosto 26 2014 ordenes bienes durables eeuu crecieron 226 mm julio labelurl  ; j : 145. Sim : 0.48163295; No similar. 
 informe diario agosto 5 2015 inflacion julio 019 mm 446 aa esperabamos 020 mmnlabelurl  ; j : 146. Sim : 0.43075183; No similar. 
 informe diario julio 28 2015 pmi compuesto eeuu crecio julio ubico 552 puntosnlabelurl  ; j : 147. Sim : 0.41756535; No similar. 
 informe diario abril 23 2014 pmi manufacturero china eurozona eeuu permanecen estables abril labelu; j : 148. Sim : 0.4071759; No similar. 
 informe diario septiembre 25 2014 ordenes bienes durables registraron decrecimiento 182 mm agosto l; j : 149. Sim : 0.40077877; No similar. 
 informe diario febrero 3 2016 pmi compuesto eeuu refleja menor expansion economica octubre 2013 lab; j : 150. Sim : 0.42107317; No similar. 
 informe diario julio 23 2015 dato anticipado confianza consumidor eurozona julio cae fuertemente la; j : 151. Sim : 0.33629823; No similar. 
 informe diario julio 14 2015 dato anticipado ventas minoristas eeuu caen inesperadamente junio labe; j : 152. Sim : 0.45080677; No similar. 
 informe diario septiembre 15 2015 eeuu produccion industrial continuo contrayendose 04 mm agostonla; j : 153. Sim : 0.42435637; No similar. 
 andrespardoa colombia incluso luego incrementos tasa referencia aun nivel expansivo meisel banco ce; j : 154. Sim : 0.41551924; No similar. 
 informe inflacion noviembre 11 2015 aceleracion cedenpronostico noviembre 033 mm 61 aa nlabelurl  ; j : 155. Sim : 0.34296882; No similar. 
 informe diario octubre 10 2017 reino unido produccion industrial crecio 16 aa agostonlabelurl  ; j : 156. Sim : 0.407164; No similar. 
 informe diario agosto 18 2015 inflacion reino unido 02 mm 01 aa julio labelurl  ; j : 157. Sim : 0.39143693; No similar. 
 informe diario marzo 27 2014 economia eeuu crecio 19 2013 26 anualizado 4t13 labelurl  ; j : 158. Sim : 0.5816474; Baja. 
 informe diario noviembre 29 2017 eeuu pib revisado alza 33 tt anualizado 3t17nlabelurl  ; j : 159. Sim : 0.5687032; Baja. 
 informe diario noviembre 10 2015 eeuu inventarios ventas mayoristas crecieron 05 mm septiembrenlabe; j : 160. Sim : 0.47616366; No similar. 
 informe diario septiembre 28 2015 inflacion pce total nucleo eeuu permanecieron estables agosto lab; j : 161. Sim : 0.5703359; Baja. 
 informe diario mayo 25 2015 deficit balanza comercial japon inferior esperado mercado abril labelur; j : 162. Sim : 0.41270292; No similar. 
 informe inflacion enero 9 2015 enero 2015 esperamos inflacion situe 064 mm 381 aa labelurl  ; j : 163. Sim : 0.411656; No similar. 
 colombia inflacion mensual octubre 016 superando pronostico 002 inflacion anual acelero 286 329  ; j : 164. Sim : 0.51028764; Baja. 
 informe inflacion febrero 2015 febrero 2015 esperamos inflacion situe 065 mm 384 aa labelurl  ; j : 165. Sim : 0.41240984; No similar. 
 informe diario abril 14 2016 produccion industrial colombia mantuvo crecimiento 82 aa febrero label; j : 166. Sim : 0.46590373; No similar. 
 informe diario octubre 5 2015 ipp colombia cae 602 aa septiembre 672 aa agosto labelurl  ; j : 167. Sim : 0.34483716; No similar. 
 informe diario mayo 14 2015 colombia ventas minoristas aumentan produccion industrial cae marzo lab; j : 168. Sim : 0.4958122; No similar. 
 informe diario abril 14 2015 colombia ventas minoristas moderan produccion industrial cae febrero l; j : 169. Sim : 0.47661558; No similar. 
 informe diario junio 2 2015 inflacion eurozona mayo ubico terreno positivo tras 5 meses negativos l; j : 170. Sim : 0.3835866; No similar. 
 informe diario marzo 17 2015 economia colombiana crecio 35 aa cuarto trimestre 2014 labelurl  ; j : 171. Sim : 0.51706284; Baja. 
 informe diario noviembre 25 2015 inflacion pce total nucleo eeuu permanecieron estables octubre lab; j : 172. Sim : 0.5829597; Baja. 
 informe diario abril 15 2015 produccion industrial eeuu registro peor caida mediados 2009 labelurl ; j : 173. Sim : 0.51469153; Baja. 
 informe diario abril 29 2014 mercados expectativa dato pib eeuu 1t14 reunion feed labelurl  ; j : 174. Sim : 0.5792111; Baja. 
 informe inflacion marzo 12 2015 presiones transitorias pronostico marzo 065 mm 460 aa labelurl  ; j : 175. Sim : 0.4349419; No similar. 
 informe diario enero 13 2015 moodys rebaja calificacion riesgo soberano venezuela caa1 caa3nlabelur; j : 176. Sim : 0.5615502; Baja. 
 informe diario febrero 26 2014 mercados expectantes segunda revision crecimiento pib 2013 eeuu labe; j : 177. Sim : 0.5357731; Baja. 
 monitor banquero central marzo 19 2015 esperamos tasa politica monetaria mantenga 45 nlabelurl  ; j : 178. Sim : 0.29771495; No similar. 
 monitor banquero central mayo 21 2015 esperamos tasa politica monetaria mantenga 45 nlabelurl  ; j : 179. Sim : 0.32373315; No similar. 
 informe diario septiembre 30 2015 inflacion eurozona vuelve negativo ubico 01 aa septiembre labelur; j : 180. Sim : 0.45101407; No similar. 
 informe diario abril 21 2015 indice zew alemania redujo abril despues 5 meses incrementos labelurl ; j : 181. Sim : 0.4394054; No similar. 
 informe diario septiembre 2 2015 adp eeuu mostro contrataciones 190 mil agosto menor expectativasnl; j : 182. Sim : 0.49599013; No similar. 
 informe diario junio 24 2015 banrep mantuvo inalterada tasa politica monetaria 45 junio labelurl  ; j : 183. Sim : 0.5189412; Baja. 
 informe diario septiembre 15 2014 industria ventas menor colombia crecieron 16 52 julio labelurl  ; j : 184. Sim : 0.46672407; No similar. 
 informe diario septiembre 16 2014 pib colombia crecio 43 aa segundo trimestre 2014 labelurl  ; j : 185. Sim : 0.5917246; Baja. 
 monitor banquero central julio 30 2015 esperamos tasa politica monetaria mantenga 45 nlabelurl  ; j : 186. Sim : 0.31212583; No similar. 
 precios consumidor disminuyeron noviembre situarse 22 aa frente dato previo 25 aa dad labelurl  ; j : 187. Sim : 0.23670404; No similar. 
 informe diario febrero 17 2015 incertidumbre eurozona medidas austeridad vs promesas electorales gr; j : 188. Sim : 0.40748057; No similar. 
 informe diario marzo 16 2016 feed decidio mantener tasa inter inalterada rango 025050 labelurl  ; j : 189. Sim : 0.38285166; No similar. 
 informe diario agosto 20 2014 indices bursatiles resultados mixtos tras minutas feed boe labelurl  ; j : 190. Sim : 0.51130706; Baja. 
 informe diario julio 24 2017 fmi crecimiento mundial seria 35 2017 36 2018nlabelurl  ; j : 191. Sim : 0.44969118; No similar. 
 andrespardoa colombia variacion anual precios productor acelera 022 enero 127 febrero medidas infla; j : 192. Sim : 0.5107441; Baja. 
 informe inflacion agosto 14 2015 presion dolar pronostico agosto 027 mm 453 aa labelurl  ; j : 193. Sim : 0.49366194; No similar. 
 andrespardoa eeuu flojo dato gasto hogares julio cayendo 01 mensual vs expectativa 02  ; j : 194. Sim : 0.4805877; No similar. 
 informe diario noviembre 13 2014 inflacion alemania crece 08 aa quinto mes consecutivo labelurl  ; j : 195. Sim : 0.47973686; No similar. 
 indice precios consumidor zona euro aumento mayo 19 aa encima 12 aa registrado labelurl  ; j : 196. Sim : 0.24009518; No similar. 
 informe diario junio 29 2017 eeuu pib 1t17 revisado alza estimacion final nlabelurl  ; j : 197. Sim : 0.5817568; Baja. 
 informe diario julio 22 2014 inflacion eeuu junio 21 aa linea expectativas mercado labelurl  ; j : 198. Sim : 0.5391627; Baja. 
 andrespardoa colombia inflacion agosto 020 mensual vs pronostico 011 inflacion anual acelero 289  ; j : 199. Sim : 0.58880407; Baja. 
 informe diario octubre 6 2015 exportaciones colombianas cayeron 416 aa agosto mayor caida ano label; j : 200. Sim : 0.41839778; No similar. 
 andrespardoa porquenosubirtasas 2a crecimiento indice ise desestacionalizado proxy mensual pib cayo; j : 201. Sim : 0.52494997; Baja. 
 informe diario junio 25 2014 revision final revelo economia eeuu contrajo 29 1t14 labelurl  ; j : 202. Sim : 0.54098684; Baja. 
