Modulo nnlm-es-dim128-with-normalization-2
Topicos : mas unisabana estudiantes colombia investigacion uniandes educacion urosario programas pregrado inscripciones pais urosarionews 
 rt iptigeneva organize citizen forums all over colombia could give new ownership of the peace proce; j : 1. Sim : 0.23683032; No similar. 
 aceptemos reto desarmar ninos soldados colombia paz colombia neila diaz profesora psicosabana1 labe; j : 68. Sim : 0.5626613; Baja. 
 actualidad desaceleracion economia mundial articulo ana maria olaya economia eicea labelurl via elt; j : 69. Sim : 0.51509374; Baja. 
 aceptemos reto desarmar ninos soldado pais columna neila diaz psicosabana1 via eltiempo labelurl  ; j : 70. Sim : 0.5022054; Baja. 
 rt educaunisabana grata visita estudiante maestria pedagogia guajira laura henriquez bienvenida cas; j : 71. Sim : 0.44449508; No similar. 
 6400000 brutos mal informados bueno sigue pensando respuesta francisco santos interpelacion asisten; j : 72. Sim : 0.26352358; No similar. 
 iniciativa legislativa va implementar va correr prisa hacer ajustes institucionales carlos velandia; j : 73. Sim : 0.15664971; No similar. 
 espacio publico requiere habitantes calidad accesibilidad poder ofrecer interaccion social salud re; j : 74. Sim : 0.37173992; No similar. 
 prepare bolsillo sobrecostos 2017 actualidad maria teresa macias profesora eicea via eltiempo label; j : 75. Sim : 0.29000485; No similar. 
 rt facisouniandes si ingles aun fortalezas pueden mejorarlo mientras disfrutan cafecito miprimerdia; j : 76. Sim : 0.306151; No similar. 
 domingo hablo dolor pais elecciones mas limpias transparentes pesar desequilibrio francisco santos ; j : 77. Sim : 0.38287956; No similar. 
 rt arqdisua viaje traves arquitectura india ruta corbusier profesora invitada maria cecila obyrne l; j : 78. Sim : 0.35575384; No similar. 
 rt crismaciase emocion humor empatia ingredientes conectar nuevas audiencias amelie ferro sipconnec; j : 79. Sim : 0.31814256; No similar. 
 rt educaunisabana profesor johnalba25 cierra jornada avances resultados proyectos institucionales u; j : 80. Sim : 0.41182512; No similar. 
 todas herramientas economista van lograr existan medidas sostenibles sociedad maria clara ar labelu; j : 81. Sim : 0.2278692; No similar. 
 rt educaunisabana ciroparram maestros reto ayudar lograr lapaz pais ustedes estan construyendo pais; j : 82. Sim : 0.550862; Baja. 
 rt cancilleriaur entorno social politico economico china charla market estrategia comercial china u; j : 83. Sim : 0.32048365; No similar. 
 paz etapa posterior mas compleja mas larga humberto calle jefe equipopazgob beneficiosdelapaz  ; j : 84. Sim : 0.27711406; No similar. 
 urosarionews primeros ganadores entradas filbo2016 rtefa lauhcortes vale71389 esperen pronto mas co; j : 85. Sim : 0.36635625; No similar. 
 rt secredistmujer acuerdo 1 oportunidad superar brechas genero violencias mujeres martha ordonez ce; j : 86. Sim : 0.35574695; No similar. 
 rt economiauandes 400pm perspectiva fiscal colombia reforma tributaria estructural gasto publico co; j : 87. Sim : 0.30569395; No similar. 
 senora dice vote ustedes van hacer ustedes arreglan francisco santos exvicepresidente colombia  ; j : 88. Sim : 0.34189993; No similar. 
 primer punto decalogo sospoelaire caminar debe ser primera opcion movilizarse ver mas labelurl  ; j : 89. Sim : 0.24878106; No similar. 
 wenrosal estudiante doctorado biociencias usingenieria harvard stem cell institute ips core facilit; j : 90. Sim : 0.4368337; No similar. 
 rt visionotri articulo elespectador dr juan guillermo ortiz director general clinica universidad un; j : 91. Sim : 0.5359879; Baja. 
 jorgechica saludos puede solicitar informacion telefono 57 4 2619500 ext 9794 correo mafrancoeafite; j : 92. Sim : 0.3407524; No similar. 
 rt lasabanaabroad sabias puedes hacer semestre universidad acreditada colombia unisabana sigueme mo; j : 93. Sim : 0.65980285; Baja. 
 cumbiera intelectual cantante kevin johansen nominado tres veces grammy sono andes labelurl  ; j : 94. Sim : 0.3200109; No similar. 
 congestion autopista altura peaje nortesur carro averiado via tomar vias alternas bogotasemueve  ; j : 95. Sim : 0.070375025; No similar. 
 rt concejodebogota hora ivan dario gomez lee delegado conciliacion administrativa pgncol interviene; j : 96. Sim : 0.3243586; No similar. 
 invitamos comunidad hacer uso adecuado espacio acatar normas movilidad evitar parquear sob labelurl; j : 97. Sim : 0.20606108; No similar. 
 rt cicrco urosarionews arranca panel dih jep danilorojas201 restrepojcamilo juanc foreroalberto fer; j : 98. Sim : 0.1685957; No similar. 
 rt almorsal gracias unisabana probogotaregion asocentrocol uniandes bogota camaracomerbog cundinama; j : 99. Sim : 0.31240043; No similar. 
 rt tciceu summer school comunita sviluppo locale pronti partire eafitsocial oecdcfe sumschool17 lab; j : 100. Sim : 0.3845181; No similar. 
 rt joannaprieto gusto compartir tarima sergiollanoa jjlarrea mauriciojaramil jecubix diplomado unis; j : 101. Sim : 0.2816083; No similar. 
 presidente santos bajo umbral dejo opcion abstenernos obligo ir francisco santos  ; j : 102. Sim : 0.26028746; No similar. 
 ano 1990 logran reducir tasa muertes paises europeos expone mauricio garcia eafit labelurl  ; j : 103. Sim : 0.49286166; No similar. 
 diplomados programas forum mercadeo ventas gerencia estrategia finanzas gestion humana tecnologia l; j : 104. Sim : 0.49939442; No similar. 
 destacamos oscar guillermo garcia rivas alumno distinguido facultad filosofia ciencias humanas labe; j : 105. Sim : 0.57164943; Baja. 
 ayer triunfadores perdedores mensaje entendi tan grande pacto benidorm francisco santos  ; j : 106. Sim : 0.26637593; No similar. 
 rt redpapaz caropineros redpapaz participa panel roles sociales formacion nativos digitales respeto; j : 107. Sim : 0.45337138; No similar. 
 rt elpulso congreso internacional salud tic 30 eafit mayor informacion comunicarse 35305852 salud20; j : 108. Sim : 0.35940558; No similar. 
 colombianos dieron semejante leccion democratica semejante leccion dignidad francisco santos exvice; j : 109. Sim : 0.46697217; No similar. 
 barbara oakley coautora aprendiendo aprender visito uniandes compartio mejores tecnicas estudio lab; j : 110. Sim : 0.4229614; No similar. 
 rt unisabanaradio sintonice hora vocesdelahistoria bajo direccion alba sachica profesora facultad f; j : 111. Sim : 0.36649728; No similar. 
 rt industrialandes recreobog proyecto desarrollado conjunto copa epiandes busca fomentar actividad ; j : 112. Sim : 0.33217496; No similar. 
 munur16 guillermo fernandez representante adjunto oficina colombia naciones unidas dd hh labelurl  ; j : 113. Sim : 0.45826557; No similar. 
 rt alumnisabana asi culmina trilogia encuentros alumni eicea gracias habernos acompanado administra; j : 114. Sim : 0.39365038; No similar. 
 rt medicinasabana campus abierto mundo idiomas asignaturas ingles convenios asi vive internacionali; j : 115. Sim : 0.6362314; Baja. 
 opusdeicolombia gracias labelurl gracias narra tres minutos trazos vida mons javier echevarria  ; j : 116. Sim : 0.07043765; No similar. 
 rt samuelespinal95 asi vivio donaton mocoa urosarionews gracias demostrar significa formacion huma ; j : 117. Sim : 0.41149303; No similar. 
 profesora andes nueva vicepresidenta academy of pavement science and engineer excelenciauniandes la; j : 118. Sim : 0.2550345; No similar. 
 rt gisselleapa claro 1a carrera recuerdo carino vale pena mepongolostenis ayudar uniandes labelurl ; j : 119. Sim : 0.24745171; No similar. 
 rt ceperuniandes estan abiertas preinscripciones curso periodismo campo guaviare cronicas colombia ; j : 120. Sim : 0.59975266; Baja. 
 enfriar atomos obtener reloj mas preciso mundo visita nobelprize wiiliam phillips labelurl  ; j : 121. Sim : 0.13013814; No similar. 
 rt angelamaria29 conversatorio podemos esperar visita papa panelistas unisabana prensaurosario unij; j : 122. Sim : 0.44494182; No similar. 
 labor ximenapena cambio vida varias mujeres pais descubra apoye causa solidaridaduniandes labelurl ; j : 123. Sim : 0.29827505; No similar. 
 llanto colectivo hacia teniamos quiza ayude pensarnos angela robledo representante camara  ; j : 124. Sim : 0.3338669; No similar. 
 serie grandes maestros fals borda intelectual influencio ciencias sociales labelurl via elespectado; j : 125. Sim : 0.35281464; No similar. 
 congresodefamilia mas nineras electronicas mas biberones digitales encargados educar hijos jcdiazbo; j : 126. Sim : 0.4794727; No similar. 
 rt unisabanaradio 10k twitter muchas gracias permitirnos llevarles tantas historias medio radio usr; j : 127. Sim : 0.25346544; No similar. 
 facultad filosofia ciencias humanas recibio visita catedratico filosofia jaime nubiola gracias labe; j : 128. Sim : 0.5173405; Baja. 
 the social dynamics of civil war profesor jeffrey checkel sfu canada labelurl labelurl  ; j : 129. Sim : 0.20935889; No similar. 
 maria camila gallego graduada alumnisabana filosofia beneficiaria colfuturo estudia maestria escoci; j : 130. Sim : 0.47581807; No similar. 
 innovacion infancia educacion vanguardia educacion inicial evelyn diaz posada profesora educaunisab; j : 131. Sim : 0.57174087; Baja. 
 participa conferencia new and reemerging infectious diseases risk responses and consequences labelu; j : 132. Sim : 0.13327074; No similar. 
 haciendo realidad suenos jovenes cuentan proyectos camino recorrido hacerlos realidad unavidamejore; j : 133. Sim : 0.3338393; No similar. 
 terminos general eln querria quedarse territorios gente veo convirtiendose partido c velandia  ; j : 134. Sim : 0.44107485; No similar. 
 servicio empresa asi evento customer phd academy ximena campos estudiantes administracion labelurl ; j : 135. Sim : 0.597277; Baja. 
 hagamos mercadeo entorno capitalismo consciente mercadeo debe ser siempre social davidescobara labe; j : 136. Sim : 0.13982671; No similar. 
 universidad lugar lideres futuro aprenden ser agentes cambio maria emilia correa labelurl  ; j : 137. Sim : 0.38269034; No similar. 
 rt jrestrp felicitaciones jciragorri director maestria periodismo urosarionews premio toda vida ded; j : 138. Sim : 0.41298962; No similar. 
 ofrecemos 22 moocs educacion finanzas mercadeo fisica literatura emprendimiento desarrollo videojue; j : 139. Sim : 0.50657433; Baja. 
 podemos ser agentes criticos cambio decir cosas generen cambio tpaffenholz investigacionesparalapaz; j : 140. Sim : 0.18849955; No similar. 
 correco gracias apoyar iniciativa uniandes tener beca deportistas corre apoya labelurl mepongoloste; j : 141. Sim : 0.3065411; No similar. 
 rt facisouniandes pablo patino ciencias sociales dice mepongolostenis apoyemos carrera senek labelu; j : 142. Sim : 0.42508206; No similar. 
 rt duartepalacios gracias uniandes beneficiario programa oportunidades talento nacionalabuelo quier; j : 143. Sim : 0.33536768; No similar. 
 economista asesor onu jeffrey sachs hablo uniandes centro desarrollo sostenible cre labelurl  ; j : 144. Sim : 0.31841108; No similar. 
 articulo profesora eicea ana maria olaya desaceleracion economia mundial labelurl via eltiempo  ; j : 145. Sim : 0.48633125; No similar. 
 derecho penal trabajo mirada doble via autores ana munoz ricardo posada labelurl investigacionunian; j : 146. Sim : 0.36019802; No similar. 
 manuel sanchez comparte seminariospapaunisabana 7 lecciones pontifex comunicar fe comunicacion abie; j : 147. Sim : 0.40864542; No similar. 
 familia matrimonio hijos primera medicion sondeo termometro familia ifaunisabana via elespectador l; j : 148. Sim : 0.36181843; No similar. 
 preguntaron carl langebaek vicerrector academico si afectara calidad formacion cursos och labelurl ; j : 149. Sim : 0.49465606; No similar. 
 sigue preservar cese hostilidades mas importante cuidarlo guantes seda francisco santos  ; j : 150. Sim : 0.14771074; No similar. 
 rt unisabanaradio dime escuchas dire profesores administrativos plasmaron musica favorita playlists; j : 151. Sim : 0.46792725; No similar. 
 rt fcardioinfantil integrar urosarionews fcardioinfantil unico equipo multidisciplinario podemos lo; j : 152. Sim : 0.3270146; No similar. 
 rt malgorzata2505 excelente participacion comunidad ur lanzamiento crai ur urosarionews jrestrp viv; j : 153. Sim : 0.3390756; No similar. 
 dilema casa debido tareas escolares columna tany fernandez guayana profesora ifaunisabana labelurl ; j : 154. Sim : 0.35318434; No similar. 
 rt javierlopez2014 equipo colombiano uniandes participando torneo fisica suecia agradecen votos htt; j : 155. Sim : 0.34902197; No similar. 
 rt eicea perfect day ecole lesage paris summer course internationalfashionbusinnes ieseg france lab; j : 156. Sim : 0.23589318; No similar. 
 trie edi mulyani exembajadora indonesia colombia hablo eafit empoderamiento mujeres esce labelurl  ; j : 157. Sim : 0.40851742; No similar. 
 rt msftcolombia urosarionews casarinmarco gracias capacidad acceder informacion podemos prevenir pr; j : 158. Sim : 0.2510516; No similar. 
 medellininvestiga 2016 exalta labor investigativa michel hermelin arbaux profesor emerito universi ; j : 159. Sim : 0.37076175; No similar. 
 rt derechousabana invitamos participar ii jornadas internacionales propiedad intelectual cedepi uni; j : 160. Sim : 0.4365816; No similar. 
 ingenieros uniandinos trabajan proyecto lsst large synoptic survey telescope mapear universo labelu; j : 161. Sim : 0.25653327; No similar. 
 asi proceso terminado nombramiento mons fernando ocariz nuevo prelado opus dei labelurl  ; j : 162. Sim : 0.25526717; No similar. 
 rt cideruniandes centro interdisciplinario debe trabajar regiones generando lazos comunidades javie; j : 163. Sim : 0.26585633; No similar. 
 monsenor fernando ocariz brana convirtio prelado opus dei gran canciller unisabana labelurl  ; j : 164. Sim : 0.4036025; No similar. 
 oportunidades riesgos vienen juntos enfocar esfuerzos atacar riesgos puede reducir oportunidades la; j : 165. Sim : 0.026890714; No similar. 
 rt cesepulvedar urosarionews lanzamiento pregrado matematicas aplicadas ciencias computacion gran a; j : 166. Sim : 0.67049426; Media. 
 preguntaron carl langebaek vicerrector academico si uniandes piensa cambiar semestres trimestres la; j : 167. Sim : 0.39944527; No similar. 
 campanas colombia asco situacion desestimula votantes carlos velandia gestor paz eln  ; j : 168. Sim : 0.471514; No similar. 
 rt jrestrp lanzamiento nuevo pregrado urosarionews maccurosario paso adelante innovacion volviendo ; j : 169. Sim : 0.3333797; No similar. 
 noticiaun prototipo colombiano crear panel solares mas eficientes base aguacate mora labelurl  ; j : 170. Sim : 0.21054947; No similar. 
 seminario investigacion fcnm molecular basis of adaptive phenotypes in tropical butterfly labelurl ; j : 171. Sim : 0.21987858; No similar. 
 ricardojllo puede contactar repres telefono 2619500 ext 9020 correo representanteseafiteduco 22  ; j : 172. Sim : 0.2961512; No similar. 
 molecular basis of adaptive phenotypes in tropical butterfly seminario investigacion fcnm labelurl ; j : 173. Sim : 0.21987858; No similar. 
 karemvip alumnisabana tambien puedes mandar datos dm contactaremos gracias inter saludo  ; j : 174. Sim : 0.3405623; No similar. 
 podemos pensar casos burundi proceso lento realmente integrado sola negociacion tpaffenholz  ; j : 175. Sim : 0.21196292; No similar. 
 preparar bolsillo sobrevivir reforma tributaria maria teresa macias eicea labelurl via finanzasp  ; j : 176. Sim : 0.20697756; No similar. 
 guerrilla institucionalidad va poder dar salto calidad necesitamos sergio guarin ideaspaz  ; j : 177. Sim : 0.2159865; No similar. 
 senor rodrigo londono vuelvo decir timochenko haciendo transito sociedad importante f santos  ; j : 178. Sim : 0.40339652; No similar. 
 rt maestriacomdgt maestriacomdgt presencial componente virtual do rutas formacion profundizacion in; j : 179. Sim : 0.45024505; No similar. 
 rt unisabanaradio felicidades pat pauliscs nicolas bello ganar categoria direccion fotografia proye; j : 180. Sim : 0.47590813; No similar. 
 ciudades educadas pais parece votaron miedo prejuicio contrainformacion diego cancino pnud  ; j : 181. Sim : 0.39792547; No similar. 
 huggerisland magico simple gracias eafit eafitegresados compartir sueno lee articulo completo  ; j : 182. Sim : 0.4243265; No similar. 
 rt hernanolano jueves pasadoxv congreso filosofia derecho cidunal derechousabana historiavoces filo; j : 183. Sim : 0.19539125; No similar. 
 carlos arevalo profesor maestriaderintl compartio punto vista decision brexit via bluradioco labelu; j : 184. Sim : 0.35162264; No similar. 
 90 votaron quieren paz paz distinta pido entiendan mensaje francisco santos  ; j : 185. Sim : 0.20083155; No similar. 
 jeffrey checkel sfu urosario conferencia the social dynamics of civil war labelurl labelurl  ; j : 186. Sim : 0.12678814; No similar. 
 15 febrero abren inscripciones semestre 20172 consulta guia paso paso aspirantesun labelurl  ; j : 187. Sim : 0.29673135; No similar. 
 rt paulocepeda siempre mepongolostenis correr 10k quieroestudiar uniandes toda senek uniandinosiemp; j : 188. Sim : 0.25354302; No similar. 
 grupos copa epiandes apoyan proyecto recreovias inteligencia analitica toma decisiones idrd labelur; j : 189. Sim : 0.25672093; No similar. 
 rt hernanolano reunion alumnisabana chile 10 graduados usingenieria usabanamedicina unisabana derec; j : 190. Sim : 0.53435385; Baja. 
 grupos copa epiandes apoyan proyecto recreovias inteligencia analitica toma decisiones idr labelurl; j : 191. Sim : 0.26582262; No similar. 
 paz compromiso social implica conocimiento mas alla manipulacion emociones nicolas montero  ; j : 192. Sim : 0.47443593; No similar. 
 papel ustedes si ven mezquindad pensando 2018 salir movilizarse francisco santos  ; j : 193. Sim : 0.276679; No similar. 
 rt nlincolombia muchas gracias fliporg itmmedellin eafit westwingbz dosorio2011 apoyo organizacion ; j : 194. Sim : 0.4052404; No similar. 
 rt bienestarsabana damos primer paso 2da sesion formacion voluntarios visita pontifexes unisabana l; j : 195. Sim : 0.43054816; No similar. 
 rt eafitpereira hacer curso puedes organizar trabajo tareas datos tomar mejores decisiones labelurl; j : 196. Sim : 0.25491133; No similar. 
 rt bogoshorts miles emociones bajo cielo estrellado pierda bogoshortsbajolaluna plazoleta cai unian; j : 197. Sim : 0.11284651; No similar. 
 macartizaron justicia paz triste quedaron aprendizajes pasaron cosas interesantes francisco santos ; j : 198. Sim : 0.27005208; No similar. 
 rt jrestrp urosarionews comprometida recuperacion embellecimiento espacio publico tan importante pl; j : 199. Sim : 0.3112144; No similar. 
 rt igarzonvallejo letra menuda columna elespectador reacciones fallo cconstitucional fast track htt; j : 200. Sim : 0.07777544; No similar. 
 hora volver aulas luvis ramos amadis guerra estudiantes maestria educaunisabana guajira  ; j : 201. Sim : 0.5042376; Baja. 
 colombia aunque ley consulta previa pais mas avanzado respecto mecanismo problemas  ; j : 202. Sim : 0.37984908; No similar. 
 fracaso colectivo tremendo queriamos hablar racional terminamos condenados voto racional mapatilla ; j : 203. Sim : 0.12323401; No similar. 
 rt comsabana decana apgguzman comparte padres estudiantes admitidos aspectos mas importantes 2 prog; j : 204. Sim : 0.41804314; No similar. 
 rt redcarolinacol acompanando preludio celebracion viii centenario universidad salamanca alma mater; j : 205. Sim : 0.451461; No similar. 
 jimmysiabato hola exposicion abierta publico general ingresar preguntar porteria archivo historico ; j : 206. Sim : 0.43358353; No similar. 
 tambien reconocemos huella eafitenses luz maria martinez dejan ciencia tecnologia investigacion lab; j : 207. Sim : 0.5156882; Baja. 
 rt icetex 5 marzo puedes solicitar credito tueliges posgrado exterior darle giro vida labelurl  ; j : 208. Sim : 0.38470814; No similar. 
 asi asumen futuros doctor reto investigar diferentes universidades pais via colciencias labelurl  ; j : 209. Sim : 0.50382614; Baja. 
 rt oeccuninorte continua ciclo ponencias experiencias innovacion investigacion yasbley segovia unis; j : 210. Sim : 0.5687246; Baja. 
 hablar beneficios paz prediccion increiblemente abstracta humberto calle jefe equipopazgob benefici; j : 211. Sim : 0.3189388; No similar. 
 carlos enrique vimos llevar mensaje vision compartida da humanidad administracion ami labelurl  ; j : 212. Sim : 0.4215751; No similar. 
 rt educaunisabana profesores socializacion analisis intertextual clase seminario investigacion imae; j : 213. Sim : 0.60225654; Baja. 
 rt jimenahurtado mundo virtual mundo tejiendo relaciones mundo mas real diana agudelo d  ; j : 214. Sim : 0.30933014; No similar. 
 dinamica empresarial servicios educativos ubicacion geografica potencial fortalezas region sabanace; j : 215. Sim : 0.5034253; Baja. 
 rt bibliosabana bienvenida mendeleycom nueva herramienta citacion referencia toda comunidad unisaba; j : 216. Sim : 0.28867477; No similar. 
 jcmvelandia listo webcam noticiasrcn viene colombia region tras victoria donald trump labelurl  ; j : 217. Sim : 0.3662583; No similar. 
 ambar resina fosil coniferas puedes encontrar museo paleontologico villa leyva visitalo labelurl  ; j : 218. Sim : 0.17726532; No similar. 
