Modulo nnlm-es-dim128-with-normalization-2
Topicos : comunidadun uncolombia dia conoce unparatodos semana mas feliz video unimedios orgulloun hoy noche 
 rt lacealames2016 if you havent register to lacealames16 just click the link come to learn and inte; j : 1. Sim : 0.021195902; No similar. 
 27 enero invitamos ser parte evento cierre haymedellin17 junto crewpeligrosos ver mas labelurl  ; j : 66. Sim : 0.36566696; No similar. 
 recuerda programarte eventos uncolombia descargando aplicacion circularun feliz fin semana comunida; j : 67. Sim : 0.560494; Baja. 
 comunidadun recuerda descargar aplicacion circularun programate eventos actividades unparatodos ios; j : 68. Sim : 0.36434814; No similar. 
 terminar dia conoce noticias ver leer escuchar boletinun labelurl unparatodos feliz noche  ; j : 69. Sim : 0.55669326; Baja. 
 comunidadun recuerda programarte actividades eventos academicos culturales uncolombia descargando a; j : 70. Sim : 0.23328991; No similar. 
 paz podra traer beneficios supone inversiones importantes permitan cobrar dividendos jrestrp benefi; j : 71. Sim : 0.13038047; No similar. 
 terminar gran dia informacion ver leer escuchar boletinun labelurl feliz noche comunidadun  ; j : 72. Sim : 0.59044504; Baja. 
 noche dejamos consejos expresatebien comunicate mejor campanaun labelurl feliz noche feliz viernes ; j : 73. Sim : 0.60912263; Baja. 
 comunidadun encuentra informacion ver leer escuchar aqui labelurl boletinun unimedios 985unradio un; j : 74. Sim : 0.43628034; No similar. 
 terminamos gran dia coninformacion unparatodos ver leer escuchar labelurl 985unradio unimedios unte; j : 75. Sim : 0.40382755; No similar. 
 terminemos dia informacion unparatodos ver leer escuchar labelurl boletinun unimedios feliz noche  ; j : 76. Sim : 0.6135515; Baja. 
 comunidadun programate actividades eventos uncolombia ano descargando app circularun feliz noche  ; j : 77. Sim : 0.5786756; Baja. 
 buenos dias comunidadun comenzamos dia informacion ver leer escuchar labelurl boletinun unimedios  ; j : 78. Sim : 0.572701; Baja. 
 ingresa circularun programate asistir actividades eventos unparatodos feliz fin semana comunidadun ; j : 79. Sim : 0.4968452; No similar. 
 buenos dias comenzamos dia compartiendo ustedes canal oficial youtube suscribete labelurl somosun  ; j : 80. Sim : 0.44648752; No similar. 
 informacion unparatodos puedes ver leer escuchar boletinun labelurl untelevision 985unradio unimedi; j : 81. Sim : 0.29631063; No similar. 
 comunidadun descubre nueva edicion boletinun ver leer escuchar labelurl unimedios 985unradio untele; j : 82. Sim : 0.37202114; No similar. 
 buenos dias comunidadun felizlunes deseamos mejor dias excelente semana vacaciones somosun  ; j : 83. Sim : 0.6407609; Baja. 
 terminamos dia invitandolos conocer ultima edicion unperiodico leelo aqui labelurl feliz noche  ; j : 84. Sim : 0.6009399; Baja. 
 terminar lunes musica unradio nueva aplicacion disponible ios android feliz noche labelurl  ; j : 85. Sim : 0.6128018; Baja. 
 felizviernes mes llega noticias diariamente hacen sentir orgulloun feliz dia comunidadun labelurl  ; j : 86. Sim : 0.7062126; Media. 
 feliz lunes comunidadun comencemos dia descargando nueva edicion unperiodico labelurl unimedios unp; j : 87. Sim : 0.7201089; Media. 
 encuentra mas informacion uncolombia aqui labelurl ver leer escuchar unimedios untelevision 985unra; j : 88. Sim : 0.46983606; No similar. 
 feliz martes comunidadun comencemos dia descargando nueva edicion unperiodico labelurl unimedios un; j : 89. Sim : 0.7200418; Media. 
 terminar dia recordemos tener cuenta consejos expresatebien comunicate mejor labelurl feliz noche  ; j : 90. Sim : 0.55173093; Baja. 
 comunidadun encuentra nueva edicion boletinun informacion debes ver leer escuchar labelurl unimedio; j : 91. Sim : 0.45391193; No similar. 
 rt seceducacionant guatape ceja cisneros puerto triunfo santo domingo donmatias formacion escuelas ; j : 92. Sim : 0.36761445; No similar. 
 rt urosarioradio cuantos libros lees ano colombia paises indices mas bajos lectura enterate  ; j : 93. Sim : 0.36178845; No similar. 
 comunidadun aproxima semana camilo torres restrepo encuentra aqui programacion asiste labelurl vriu; j : 94. Sim : 0.55988526; Baja. 
 comunidadun informacion cada semana ver leer escuchar encuentras aqui boletinun labelurl unimedios ; j : 95. Sim : 0.5292713; Baja. 
 comunidadun terminemos lunes mejor actitud tener gran semana fin ano feliznoche labelurl  ; j : 96. Sim : 0.63981146; Baja. 
 terminar dia invitamos conocer prototipo impresora braille unmedellin video labelurl feliz noche  ; j : 97. Sim : 0.4406908; No similar. 
 felizjueves comunidadun hoy nueva edicion boletinun labelurl ver leer escuchar unimedios uncolombia; j : 98. Sim : 0.5547417; Baja. 
 terminar dia conoce mas universidad videos uncolombia suscribete canal oficial youtube labelurl  ; j : 99. Sim : 0.51891977; Baja. 
 buenos dias comunidadun deseamos gran jueves hoy dia sentir orgulloun labelurl somosun  ; j : 100. Sim : 0.7540924; Media. 
 feliznoche unparatodos esperamos sido gran comienzo semana linda noche velitas somosun  ; j : 101. Sim : 0.5648477; Baja. 
 dfdelriot hola aqui puedes encontrar videos demas sedes labelurl cuales estan pu labelurl  ; j : 102. Sim : 0.3544825; No similar. 
 comunidadun despues gran fin semana deseamos mejor tener gran dia felizmartes labelurl  ; j : 103. Sim : 0.56248075; Baja. 
 feliz noche comunidadun deseamos feliz noche esperamos esten disfrutando vacaciones labelurl somosu; j : 104. Sim : 0.58285344; Baja. 
 marianabotero13 buenos dias actividades academicas administrativas estan funcionando normalidad gra; j : 105. Sim : 0.38063326; No similar. 
 comunidadun hoy gran dia ver nuevo consejos campanaun expresatebien comunicate mejor labelurl  ; j : 106. Sim : 0.5418885; Baja. 
 hoy gran dia hoy dia afrocolombianidad celebramos toda comunidadun feliz dia labelurl  ; j : 107. Sim : 0.6800208; Media. 
 felizmiercoles comunidadun bienvenidos nuevo dia mejor deseamos gran dia unparatodos somosun  ; j : 108. Sim : 0.5364516; Baja. 
 paulaclondono hola caso dudas puedes comunicarte serviciostecnologicosurosarioeduco 2970200 ext 333; j : 109. Sim : 0.31208646; No similar. 
 feliz noche comunidadun fin semana recuerda poner practica ecotips ahorraun casa labelurl  ; j : 110. Sim : 0.7020153; Media. 
 semana tambien puedes visitar filbo2016 librosun hechos conciencia stand 102 pabellon 3 labelurl  ; j : 111. Sim : 0.44706118; No similar. 
 nuevos 45 libros libros fondo editorial eafit resaltan produccion academica comunidad eafitense lab; j : 112. Sim : 0.093372606; No similar. 
 dejen escribir siempre seran necesarios cuentos relatos patricia engel pbnc haymedellin17  ; j : 113. Sim : 0.23478621; No similar. 
 terminemos dia conociendo mas software interactivo museo samoga unmanizales labelurl feliz noche  ; j : 114. Sim : 0.52775514; Baja. 
 comunidadun deseamos mejor noche jueves manana regresaremos mas unparatodos feliz noche labelurl  ; j : 115. Sim : 0.7363961; Media. 
 comunidadun conoce nueva coleccion tiendaun stand 103 uncolombia feria libro pabellon labelurl  ; j : 116. Sim : 0.24591836; No similar. 
 programateun visitas guiadas puedes hacer casa museo gaitan labelurl circularun casagaitan divcultu; j : 117. Sim : 0.17720297; No similar. 
 comunidadun fin semana visita filbo2017 conoce stand uncolombia antojate nuevos pr labelurl  ; j : 118. Sim : 0.51322424; Baja. 
 buenos dias comunidadun bienvenidos nueva semana campus universidad uncolombia somosun felizlunes  ; j : 119. Sim : 0.60414064; Baja. 
 revistasemana dialogo patricia engel finalista iii premio biblioteca narrativa colombiana pbnc labe; j : 120. Sim : 0.09862511; No similar. 
 edicion 112 eleafitense conozcan primera mujer logra premio biblioteca narrativa colombian labelurl; j : 121. Sim : 0.12801771; No similar. 
 rt grupoargos tourtuitero daniel duque gerente iamp d recorreremos centroargosinnovacion descubrir ; j : 122. Sim : 0.14351155; No similar. 
 felizmiercoles comenzar dia gracias toda comunidadun hacer parte rede sociales unparatodos  ; j : 123. Sim : 0.40292177; No similar. 
 comunidadun despues gran fin semana esperamos felizmartes sigue acompanandonos informacion unparato; j : 124. Sim : 0.59585536; Baja. 
 comunidadun terminamos lunes deseandoles mejor ultima semana ano 2016 felices vacaciones p labelurl; j : 125. Sim : 0.6329504; Baja. 
 terminar dia invitamos conocer mas nueva agenda cultural manizales unmanizales labelurl culturaun  ; j : 126. Sim : 0.43294603; No similar. 
 programateun visita filbo2017 fin semana conoce nuevos productos tiendaun feliz sabado p labelurl  ; j : 127. Sim : 0.5128255; Baja. 
 comunidadun recuerda puedes personalizar rede sociales decir somosorgulloun comparte cuentanos porq; j : 128. Sim : 0.23233122; No similar. 
 angustia vivimos provincia trasladamos ustedes dejen solo padre antun ramos lapazesposible  ; j : 129. Sim : 0.24412821; No similar. 
 feliz comienzo semana comunidadun esperamos gran dia mejor semana campus universidad  ; j : 130. Sim : 0.6778012; Media. 
 rt obsdemocracia datos barometroamericas muestran vicimizacion genero proyectotumaco visibiliza muj; j : 131. Sim : 0.19974715; No similar. 
 comunidadun tal lunes fin semestre esperamos sido gran dia feliznoche unparatodos labelurl  ; j : 132. Sim : 0.5866929; Baja. 
 rt cerosetenta carmen maura actriz espanola famosa participaciones cintas almodovar paso 070 labelu; j : 133. Sim : 0.18025807; No similar. 
 ten cuenta desconectar cargador celular portatil vez termines cargarlos ahorraun conecta labelurl  ; j : 134. Sim : 0.3241932; No similar. 
 conoce 96 libros electronicos descargar gratis biblioteca labelurl via universiacol feliz noche  ; j : 135. Sim : 0.45447597; No similar. 
 buenos dias unparatodos gracias nuevos seguidores ser parte gran comunidadun somosun  ; j : 136. Sim : 0.4040833; No similar. 
 feliz noche comunidadun esperamos sido gran inicio semana universidad unparatodos somosun  ; j : 137. Sim : 0.6624659; Baja. 
 feliz jueves comunidadun gracias ser parte inspiracion diaria deseamos gran dia labelurl  ; j : 138. Sim : 0.61769664; Baja. 
 buenviernes comenzar dia queremos decir gracias acompanarnos 2016 ser parte comunidadun  ; j : 139. Sim : 0.41496512; No similar. 
 comunidadun inscribete curso hplc gc actualizate area control medicamentos info labelurl fcienciasu; j : 140. Sim : 0.28486472; No similar. 
 conoce mas cantaora guapi cauca video pacifico sur faustina orobio labelurl untelevision  ; j : 141. Sim : 0.36850438; No similar. 
 sede mayorca eafitidiomas estrena nuevo programa chino mandarin adultos conozcan mas labelurl  ; j : 142. Sim : 0.24631383; No similar. 
 proceso abierto sabemos mayoria grupos decide disolverse obtener resultados individualmente tp  ; j : 143. Sim : 0.22413865; No similar. 
 iii premio biblioteca narrativa colombiana mayoria obra vida patricia engel pbnc labelurl  ; j : 144. Sim : 0.17289273; No similar. 
 buscando opciones almorzar visite semana fopre cafe yoapoyoalfopre conozca menu restaurantes labelu; j : 145. Sim : 0.3530977; No similar. 
 comunidadun recuerda puedes enviarnos preguntas utilizando ht launcuenta balance social 2015 labelu; j : 146. Sim : 0.24407268; No similar. 
 preguntaron carl langebaek vicerrector academico cambios traera nueva reforma academica carlrespond; j : 147. Sim : 0.107690245; No similar. 
 noticiaun mantillaignacio pide sede bogota firme paz definitiva farc labelurl via radiosantafentc  ; j : 148. Sim : 0.403332; No similar. 
 reconciliacion significa podamos hacer compromiso dirimir diferencias manera constructiva frankpear; j : 149. Sim : 0.13680121; No similar. 
 rt orinoquiaceo proposito gira productores maranon entidades apoyo puerto carreno vichada embrapa l; j : 150. Sim : 0.16111305; No similar. 
 dato segun instituto cervantes espanol hablado 567 millones personas mundo losperiodistasenunisaban; j : 151. Sim : 0.2525762; No similar. 
 imagen puede verse altura final puente actualidad altura temporal mas baja const labelurl  ; j : 152. Sim : 0.40452206; No similar. 
 programateun esperamos bogota 21 oct viene despues habitat iii habitat3followup inscribete labelurl; j : 153. Sim : 0.2737022; No similar. 
 feliznoche comunidadun esperamos sido gran dia manana regresaremos mas universidad unparatodos  ; j : 154. Sim : 0.5322958; Baja. 
 gustaria aprender competir siglo xxi buena gerenciamanana conferencia ernst pfeifer fr labelurl  ; j : 155. Sim : 0.15645993; No similar. 
 rt urosarioradio si pudiste asistir simposioemocionesconflictour relax aca podcast prensaurosario i; j : 156. Sim : 0.30753452; No similar. 
 hora almorzar visite fopre cafe disfrute variedad platos apoye talento yoapoyoalfopre labelurl  ; j : 157. Sim : 0.2704061; No similar. 
 elblackparade buenos dias imagen encuentra progrmacion cine club semestre feliz dia labelurl  ; j : 158. Sim : 0.5784396; Baja. 
 126 participantes tres escritores finalistas iii premio biblioteca narrativa colombiana pbnc labelu; j : 159. Sim : -0.04119914; No similar. 
 estrategias mejoran profundizan aprendizaje motiva mas exito linda b nilson diadelprofesor urosario; j : 160. Sim : 0.18699007; No similar. 
 feliz noche comunidadun esperamos sido gran dia manana esperamos mas unparatodos labelurl  ; j : 161. Sim : 0.65335995; Baja. 
 hora almuerzo visite fopre cafe disfrute variedad platos apoye talento yoapoyoalfopre labelurl  ; j : 162. Sim : 0.2692178; No similar. 
 feliz noche comunidadun esperamos sido gran dia manana esperamos mas unparatodos labelurl  ; j : 163. Sim : 0.65335995; Baja. 
 feliz noche comunidadun esperamos gran miercoles ahora vamos descansar somosun unparatodos  ; j : 164. Sim : 0.6567503; Baja. 
 felizviernes comunidadun deseamos gran excelente dia mejores deseos hoy vacaciones unparatodos  ; j : 165. Sim : 0.5834118; Baja. 
 ser mujer indigena lucha diaria victimas racismo estereotipos natasha kanape haymedellin17  ; j : 166. Sim : 0.13741466; No similar. 
 hoy filbogota presentacion libros cabos sueltos lectura pecado capital pasos escorpion  ; j : 167. Sim : 0.41341367; No similar. 
 marshalcobos buenas tardes queremos conocer mas inconvenientes presentados favor envianos dato labe; j : 168. Sim : 0.31225732; No similar. 
 stefaherrera saludos gustaria conocer profundidad inquietud puede describirnos caso correo mgomezr2; j : 169. Sim : 0.23530786; No similar. 
 rt obsdemocracia apoyo procesodepaz depende tan buena aprobacion presidencial segun barometroameric; j : 170. Sim : 0.15767467; No similar. 
 queremos saber afectan resultados plebiscito negociaciones paz eln horizonte temporal renegociacion; j : 171. Sim : 0.2397725; No similar. 
 alejoa017 buenas tardes actividades academicas administrativas estan funcionando normalidad gracias; j : 172. Sim : 0.35593724; No similar. 
 rt craiur viniste semana literatura crai salas podras leer apasionarte literatura esper  ; j : 173. Sim : 0.26626062; No similar. 
 900000 millones pesos ano primera infancia adultos mayores habitantes calle duplicado recursos  ; j : 174. Sim : 0.16416687; No similar. 
 rectores g8 solidarizan udea rechazan uso indebido espacios academicos ver mas labelurl  ; j : 175. Sim : 0.15589859; No similar. 
 finalizo entrega iii premio biblioteca narrativa colombiana pbnc manana continuara haymedellin17 la; j : 176. Sim : 0.24313806; No similar. 
 queremos contarte vamos receso semanasanta volveremos ver 17 abril feliz semana labelurl  ; j : 177. Sim : 0.46241832; No similar. 
 comunidadun comencemos dia conociendo cuales mejores ies pais investigacion labelurl via revistasem; j : 178. Sim : 0.39398646; No similar. 
 gestion marca contexto digital articulo convenio pbsedueafit publicado palermo business revie  ; j : 179. Sim : 0.19396718; No similar. 
 rt facisouniandes capacidad cambiar piel capacidad pasar mundo carlo ginzburg hombreslobo so  ; j : 180. Sim : 0.15027641; No similar. 
 mito pueda seguir creciendo agricultura sino proceso adecuacion tierras guillermobotero fenalconaci; j : 181. Sim : 0.13233633; No similar. 
 acuerdo mantillaignacio tiempo implementar grado 12 opinion elespectador juanmansantos infopresiden; j : 182. Sim : 0.20687081; No similar. 
 pronto iniciamos nuevo semestre academico cambios cursos ingles universidad debe conocer labelurl  ; j : 183. Sim : 0.30733496; No similar. 
 comunidadun hoy 300 pm festival musica latinoamericana siglo xx info labelurl entr labelurl  ; j : 184. Sim : 0.4086249; No similar. 
 lecuyeryoann buenos dias usted podria favor indicarnos medio puso queja fecha labelurl  ; j : 185. Sim : 0.4979909; No similar. 
 noticiaun centro pensamiento paz lista mundial think tank orgulloun piensapazunal labelurl unimedio; j : 186. Sim : 0.19228968; No similar. 
 domingo mayo saludo mamas unisabana amor ejemplo acompana cada dia felizdiadelamadre labelurl  ; j : 187. Sim : 0.5304613; Baja. 
 conferencia pasados ontologias alternativas estudio pasado 23 24 marzo mas informacion labelurl  ; j : 188. Sim : 0.4282039; No similar. 
 buenos dias miercoles apoyar corounisabana hoy audicion final concurso cantale papa labelurl  ; j : 189. Sim : 0.59027374; Baja. 
 noticiaun universidad nacional pide ser sede firma paz farc labelurl via noticiascaracol  ; j : 190. Sim : 0.2936454; No similar. 
 nunca recibido solo centavo hecho vendido bus volvo mentira grotesca enriquepenalosa  ; j : 191. Sim : 0.27055937; No similar. 
 1era vez sede orinoquia presentan 1998 aspirantes peama launcuenta mantillaignacio admisionesun lab; j : 192. Sim : 0.24450159; No similar. 
 descarga aplicacion circularun enterate actividades eventos unparatodos disponible ios android  ; j : 193. Sim : 0.3088074; No similar. 
 consejos expresatebien comunicate mejor aplicarlos diariamente campanaun labelurl feliz fin semana ; j : 194. Sim : 0.4687116; No similar. 
 rt obsdemocracia obsdemocracia noticia latinoamerica portal infolatam anticipa resultados historico; j : 195. Sim : 0.30189314; No similar. 
 terminar gran dia sintoniza programacion unradio labelurl 985unradio unradioweb feliz noche  ; j : 196. Sim : 0.54496163; Baja. 
 terminemos dia interesantes charlas ver metacampusun video labelurl feliz noche unparatodos  ; j : 197. Sim : 0.62655675; Baja. 
 hoy gran dia hacer deporte amigos sentirte bien dirbienestarun bienestarbogota foto labelurl  ; j : 198. Sim : 0.45281103; No similar. 
 terminemos dia interesantes charlas ver metacampusun video labelurl feliz noche unparatodos  ; j : 199. Sim : 0.62655675; Baja. 
 comunidadun perdiste rendicion cuentas 2015 uncolombia encuentra video aqui labelurl launcuenta  ; j : 200. Sim : 0.50616795; Baja. 
 comunidadun fin semana encuentra documentales aqui video labelurl feliz viernes untelevision  ; j : 201. Sim : 0.7186486; Media. 
 comunidadun consejos expresatebien comunicate mejor aplicar dias labelurl feliz noche campanaun  ; j : 202. Sim : 0.5965522; Baja. 
 rt hernanolano falsas frases bulos atribuidas pontifexes espere elnuevosiglo articulo verdaderos be; j : 203. Sim : 0.14996627; No similar. 
 boletinun ver leer escuchar encuentras aqui labelurl untelevision unimedios 985unradio unparatodos ; j : 204. Sim : 0.3683263; No similar. 
 buenos dias feliz comienzo semana felizlunes toda comunidadun acompana diariamente labelurl  ; j : 205. Sim : 0.685365; Media. 
 comunidadun consejos expresatebien comunicate mejor puedes encontrarlos aqui labelurl aplicalos cam; j : 206. Sim : 0.31733218; No similar. 
 comunidadun escucha unradio descargando nueva app disponible ios android 985unradio labelurl  ; j : 207. Sim : 0.30882108; No similar. 
 comunidadun eventos actividades academicas culturales uncolombia estan aqui labelurl circularun unp; j : 208. Sim : 0.3512959; No similar. 
 comunidadun deseamos gran semana comencemos dia informacion unparatodos labelurl unimedios felizlun; j : 209. Sim : 0.6646367; Baja. 
 terminar lunes musica unradio emision web labelurl unradioweb feliz noche comunidadun  ; j : 210. Sim : 0.6817254; Media. 
 comunidadun feliznoche feliz fin semana proxima semana volvemos mas unparatodos labelurl  ; j : 211. Sim : 0.7170443; Media. 
 terminar dia recuerda tambien youtube video labelurl feliz noche comunidadun unparatodos  ; j : 212. Sim : 0.7243735; Media. 
 comunidadun conode informacion ver leer escuchar boletinun labelurl unimedios 985unradio untelevisi; j : 213. Sim : 0.34390953; No similar. 
 feliznoche terminemos semana conociendo repositorio digital metacampusun labelurl feliz fin semana ; j : 214. Sim : 0.5173912; Baja. 
 feliz comienzo semana comunidadun gran lunes informacion unparatodos labelurl unimedios somosun  ; j : 215. Sim : 0.76530087; Media. 
 feliz noche comunidadun terminemos dia musica unparatodos video playback unmedellin labelurl  ; j : 216. Sim : 0.63213617; Baja. 
 piedadmaya orgulloun mantillaignacio ramirochm ffchaparro 985unradio unimedios vriun editorialun ci; j : 217. Sim : 0.20603386; No similar. 
