Modulo nnlm-es-dim128-with-normalization-2
Topicos : eafit hoy paz rector universidad pm manana via be colombia esperamos juan conferencia 
 rt biblioeafit ser lectores comic ven manana miercoles eafit sabras aula fabricato bloque 27 primer; j : 1. Sim : 0.5276047; Baja. 
 hoyeneafit cine club universidad eafit atlantic city bloque 38 aula 110 partir 600 pm labelurl  ; j : 23. Sim : 0.4610823; No similar. 
 rt urbameafit rector juan luis mejia eafit da bienvenida estudiantes curso urbanismo social gestion; j : 24. Sim : 0.6722212; Media. 
 hoyeneafit cine club universidad eafit ladron paris bloque 38 aula 110 partir 600 pm l labelurl  ; j : 25. Sim : 0.6010639; Baja. 
 proteccion salud bienestar finalidad principal convenciones lucha drogas yesid reyes ex min justici; j : 26. Sim : 0.3383218; No similar. 
 cienciaseafit invitacion terrestres extraterrestres jueves 16 marzo 400 pm auditorio 101 bloque 38 ; j : 27. Sim : 0.48036948; No similar. 
 rt comfama 12 hoy 12m dialogo empresarial paz reto colectivo espacio reflexion rol empresarios cons; j : 28. Sim : 0.44072792; No similar. 
 conferencia inaugural sera eafit 11 agosto auditorio 38 110 900 be 1200 m ver mas labelurl  ; j : 29. Sim : 0.5700572; Baja. 
 rt comsocialeafit jonathan kubben hizo rede social fuente ingreso estara eafit dando tip ser instag; j : 30. Sim : 0.43475315; No similar. 
 inicia lapazenfoco hoy ivan cepeda marco romero antonio navarro construccion paz partidos politicos; j : 31. Sim : 0.57576066; Baja. 
 rt camaraoriente eventoscamara dr juan felipe mejia decano escuela d economiafinanzas d eafit prese; j : 32. Sim : 0.5230639; Baja. 
 eafit invita innovar caso bonem 2 agosto bloque 38 auditorio 101 entrada libre previa inscripcion l; j : 33. Sim : 0.37864915; No similar. 
 rt ueesec dr joaquin hernandez rector uees visita eafit medellin colombia entablar dialogos autorid; j : 34. Sim : 0.68797547; Media. 
 ser honesto exigencia cualquier ciudadano funcionarios deben tener buena formacion academica mauric; j : 35. Sim : 0.38222423; No similar. 
 jenny dussan recibio distincion gran cruz orden merito social ambiental baron alexander von humbold; j : 36. Sim : 0.3891384; No similar. 
 hoy hace 68 anos 29 marzo 1949 dio primera clase universidad recuerdas primera clas labelurl  ; j : 37. Sim : 0.42085183; No similar. 
 manana cine foro sistema penal control social trae pelicula misterio von bulow esperamos partir lab; j : 38. Sim : 0.41338694; No similar. 
 hoyeneafit nueva jornada donacion sangre esperamos 900 be 500 pm lugar placa cubierta teni labelurl; j : 39. Sim : 0.50947386; Baja. 
 hoy manana realizara eafit mision rectores region occidente plan nacional colegio 10 tic 36 labelur; j : 40. Sim : 0.6307284; Baja. 
 permanecer silencio si america latina migracion crece 17 anual rector jrestrp congreso internaciona; j : 41. Sim : 0.5010902; Baja. 
 rt findeter ficogutierrez rector eafit pte lfarboledag inauguracion bloque idiomas eafit proyecto f; j : 42. Sim : 0.5198685; Baja. 
 consecuencia existe texto original poema canto antioqueno basa himno antioqueno juan luis mejia  ; j : 43. Sim : 0.3918833; No similar. 
 hoyeneafit cine club universidad eafit ascensor cadalso bloque 38 aula 110 partir 600 p labelurl  ; j : 44. Sim : 0.4397197; No similar. 
 ungass2016 reconocio ddhh componente interpretacion lucha drogas yesid reyes ex min justicia foroun; j : 45. Sim : 0.3701471; No similar. 
 eafit dara catedra multilatinas chilenas proximo jueves 27 auditorio fabricato 27 101 partir labelu; j : 46. Sim : 0.6003662; Baja. 
 rt cienciaseafit miraalcielo dejate atrapar historia galaxias proximo miercoles 9 agosto 600 pm aud; j : 47. Sim : 0.4987229; No similar. 
 rt areametropol rector eafit juan luis mejia reflexiona necesidad humanizar traves cultura acuerdos; j : 48. Sim : 0.6354243; Baja. 
 hoyeneafit catedra flip eafit comunicacion politica libertad prensa 900 be 1230 pm esperam labelurl; j : 49. Sim : 0.64658403; Baja. 
 rt educaunisabana manana partir 7 be vi congreso internacional pedagogia infancia yoconstruyopaz au; j : 50. Sim : 0.58027434; Baja. 
 rt lowcarboncity acompananos proximo viernes foro acceso energia renovable perspectivas social econ; j : 51. Sim : 0.5579516; Baja. 
 rt udistrital siembraton cada arbol siembras garantizas agua 3 personas unete sabado15 julio 7am jo; j : 52. Sim : 0.3537442; No similar. 
 rt ciscomobility how be cisco help eafit transform classroom learn read labelurl via dohnjoe edtech; j : 53. Sim : 0.3728257; No similar. 
 manana evento conmemorativo 25 anos constitucion politica examen promesas 800 be bloque 38 1 labelu; j : 54. Sim : 0.5992626; Baja. 
 manana pierdan segunda sesion catedra flipeafit esperamos entrada libre bloque 38101 830 be labelur; j : 55. Sim : 0.60232204; Baja. 
 mundo construyo politica actual drogas existe yesid reyes alvarado ex ministro justicia foroungassc; j : 56. Sim : 0.40427786; No similar. 
 momento ingreso campus eafit solo realiza porterias ubicadas via servicio avenida regional 11  ; j : 57. Sim : 0.37603027; No similar. 
 manana 900 pm nuevo capitulo lapazenfoco institucionaltv tema construccion paz partidos politicos u; j : 58. Sim : 0.5502996; Baja. 
 invitacion 25 anos constitucion politica examen promesas 25 octubre 800 be auditorio 381 labelurl  ; j : 59. Sim : 0.636203; Baja. 
 creo constitucion 91 salvo part puntuales si sirve construir pais paz aida avella  ; j : 60. Sim : 0.43081692; No similar. 
 manana pierdan tercera sesion catedra flipeafit esperamos entrada libre bloque 38101 900 be labelur; j : 61. Sim : 0.60824984; Baja. 
 rt capoliticoeafit juan luis rector eafit curso parte construccion colectiva diaria pro ciudad urba; j : 62. Sim : 0.6558675; Baja. 
 rt uninoseafit juan luis mejia rector eafit vacabad cofundadora uninoseafit reciben nuevos particip; j : 63. Sim : 0.50463825; Baja. 
 rector eafit juan luis mejia arango inicia seminario triptico hablando nuevo mundo recorrido labelu; j : 64. Sim : 0.6975742; Media. 
 rt areametropol partir hoy siatamedellin proyecta aun mas instrumento calidaddelaire juan luis meji; j : 65. Sim : 0.6112115; Baja. 
 rt mcalle87 si preguntan futuro creo debe parecerse verlo cerca solo ir eafit ceibaso  ; j : 66. Sim : 0.27862856; No similar. 
 recuerden jueves tercera sesion catedra flipeafit falten entrada libre bloque 38101 900 be labelurl; j : 67. Sim : 0.5310677; Baja. 
 manana foro publico transformacion medellin nuevos retos ciudadregion 600 pm bloque 38 125 labelurl; j : 68. Sim : 0.5862055; Baja. 
 conferencia innovar arte competir hoy 29 marzo 600 pm hotel cosmos 100 inscribete labelurl  ; j : 69. Sim : 0.34904215; No similar. 
 hoyeneafit invita hacer parte cineclub chaplin obra vida perro bloque 38 auditorio 110 labelurl  ; j : 70. Sim : 0.33270764; No similar. 
 si articulan fomentan alianzas largo plazo universidad empresa gana pais yanethgiha foro universida; j : 71. Sim : 0.40869743; No similar. 
 lfarboledag seguimos impulsando educacion pais 240 empleos 13000 estudiantes nuevo centro idiomas e; j : 72. Sim : 0.48102427; No similar. 
 rt apgguzman continuacion luis carlos bravo inalde presenta bondades metodo caso colombia universid; j : 73. Sim : 0.4653972; No similar. 
 hoyeneafit atrevanse innovar caso bonem bloque 38 auditorio 101 entrada libre previa inscripcion la; j : 74. Sim : 0.36711672; No similar. 
 rt cathyjuvinao acceso universal agua potable habra reduccion pobreza experto inguniandes wdsa2016 ; j : 75. Sim : 0.34611502; No similar. 
 rt otraparte otraparte editorial eafit invita jueves 15 junio presentacion sexo saxofon casa muse  ; j : 76. Sim : 0.44422618; No similar. 
 hoyeneafit 730 be recibimos fiscal general nacion nestor humberto martinez primer foro re labelurl ; j : 77. Sim : 0.59610265; Baja. 
 rt jrestrp recibiendo urosarionews hoy certificacion entidad familiarmente responsable dando valor ; j : 78. Sim : 0.26401457; No similar. 
 comenzo eafit xvii encuentro epemti conmemora 20 anos red media tecnica informatica antio labelurl ; j : 79. Sim : 0.5344529; Baja. 
 incorporar enfoque salud publica principales inter colombia yesid reyes ex min justicia foroungassc; j : 80. Sim : 0.36285457; No similar. 
 eafit inicia taller internacionalizacion 10 agosto 800 be 500 pm auditorio 19 501 labelurl  ; j : 81. Sim : 0.4121019; No similar. 
 manana primer foro regional nestor humberto martinez fiscal general nacion auditorio fundadores 730; j : 82. Sim : 0.58538616; Baja. 
 hoy vemos sector floricultor consciente desarrollo depende agenda sostenibilidad manuel acevedo ods; j : 83. Sim : 0.37020367; No similar. 
 si rebelion farc ceso va pasar operadores justicia fiscal nestor humberto martinez lapazesposible  ; j : 84. Sim : 0.5436259; Baja. 
 reto capitales sera 8 agosto eafit invitamos participar 200 pm bloque 17 primer piso labelurl  ; j : 85. Sim : 0.45466402; No similar. 
 hoy gente muere mas calidad aire calidad agua alejandro alvarez docente eafit sosporelaire  ; j : 86. Sim : 0.43596113; No similar. 
 rt economicasudea pocos minutos gcanavire profesor eafit habla innovacion infraestructura transport; j : 87. Sim : 0.47698885; No similar. 
 proximo 27 marzo sera eafit foro fulbright deberia ser usado espacio call esper labelurl  ; j : 88. Sim : 0.56353766; Baja. 
 rt economiauandes viernes 23 junio conferencia desarrollo largo plazo instituciones politica histor; j : 89. Sim : 0.49597213; No similar. 
 rt apgguzman 70 mil empresas emprendedoras nacen cada ano colombia buscan nuevas oportunidades minc; j : 90. Sim : 0.29652435; No similar. 
 llego hora justicia hable medio acuerdos politicos fiscal nestor humberto martinez fiscaliacol lapa; j : 91. Sim : 0.5808021; Baja. 
 rt comfama fabiola saavedra docente eafit habla pertinencia educacion universitaria colombia efecto; j : 92. Sim : 0.55534136; Baja. 
 bienvenidos willkommen welcome bem vindos bienvenue hoy eafit saluda 142 estudiantes extranjeros ll; j : 93. Sim : 0.42541298; No similar. 
 manana cine foro sistema penal control social trae pelicula secreto ojos esperamos partir labelurl ; j : 94. Sim : 0.4098508; No similar. 
 rector juan luis mejia entrega placa homenaje obra poemas ofensa 85 anos vida labelurl  ; j : 95. Sim : 0.55520576; Baja. 
 juan luis mejia rector eafit habla importancia expediciones evolucion botanica lograr avances cient; j : 96. Sim : 0.59912026; Baja. 
 rt igarzonvallejo aca pueden ver foro plebiscito unisabana rafael nieto loaiza jorge ivan cuervo la; j : 97. Sim : 0.48584563; No similar. 
 necesidad gente buena sana quiera colaborar cada vez tener sociedad mas participativa ep  ; j : 98. Sim : 0.25757658; No similar. 
 manana cine foro sistema penal control social trae pelicula enmienda xiii esperamos partir 9 labelu; j : 99. Sim : 0.47676396; No similar. 
 coninsaco cuenta 18 20 febrero habra cierre avenida vegas call 4 sur 12 sur  ; j : 100. Sim : 0.3482963; No similar. 
 colombia consiguio gran mayoria cosas propuso ungass2016 yesid reyes ex min justicia foroungasscol ; j : 101. Sim : 0.4897195; No similar. 
 rt gquinter bruna zani u bolonia simposio paz conflicto 10 anos psicologia emcsurosario urosarionew; j : 102. Sim : 0.5324164; Baja. 
 impulsar desarrollo economico pais si hacemos juntos podemos ir mas mclacouture foro universidadyem; j : 103. Sim : 0.47241902; No similar. 
 rt educaunisabana inicia acto academico 40 anos facultad intervencion senor rector obdulio velasque; j : 104. Sim : 0.67227924; Media. 
 vias terciariashan sido fuente corrupcion trabajamos modelo evite pierda plata lf andrade anicolomb; j : 105. Sim : 0.4034306; No similar. 
 votaron si sabian mas votaron sabian menos sabian solo parte querian defender n montero  ; j : 106. Sim : 0.30175325; No similar. 
 eafitpereira hoy reunen eafit pereira eafit social empresarios educacion secretaria educacion forma; j : 107. Sim : 0.5858271; Baja. 
 rt behrentz tragedia mocoa natural miles colombianos habiten zonas aptas tal uso via eltiempo label; j : 108. Sim : 0.18839775; No similar. 
 rt jrestrp reunido embajador reino unido colombia buscando fortalecer relacion academica urosarione; j : 109. Sim : 0.5059185; Baja. 
 rt inalde quejas gran regalo reciben empresas ayudan mejorar yago cierva inalde unisabana comsabana; j : 110. Sim : -0.025910566; No similar. 
 rt jrestrp bienvenidos profesores andreas von hirsch klaus gunther jornadas intnales derecho penal ; j : 111. Sim : 0.29376757; No similar. 
 sostenibilidad incentivo desarrollo empresarial pues ayuda redefinir mision posicion manuel acevedo; j : 112. Sim : 0.4298959; No similar. 
 rt ifaunisabana registrate conferencia virtual gratis familia ciudadania hoy 800 pm inscribete aqui; j : 113. Sim : 0.5520026; Baja. 
 tratamiento diferencial distintos eslabones cadena narcotrafico acogida ungass2016 yesid reyes exmi; j : 114. Sim : 0.14031264; No similar. 
 juan luis mejia arango habla eafit agente transformador ciudad encuentro sistemab emprendimien labe; j : 115. Sim : 0.5691542; Baja. 
 rt proantioquia1 eafit rafael aubad presidente proantioquia1 reflexiona rol sector privado incidir ; j : 116. Sim : 0.33055496; No similar. 
 rt elmundomedellin elmundoevoluciona centro integridad reflexiona elevar nivel moral universidad ju; j : 117. Sim : 0.498029; No similar. 
 rt alcaldiademed acercate tomes foto 830 be 1100 be 200 pm 430 pm 2  ; j : 118. Sim : 0.4038329; No similar. 
 proximo 11 mayo eafit trae ustedes trueque literario libro abierto esperamos mas informacion  ; j : 119. Sim : 0.5862371; Baja. 
 rt comfama juan luis mejia arango rector eafit habla importancia economia social lacealames16 label; j : 120. Sim : 0.6207118; Baja. 
 rt coninsaramonh medidas provisionales puente eafit vegas norte sur 420 m sur norte 440m labelurl  ; j : 121. Sim : 0.32087436; No similar. 
 rt cardenasjorgeh juan fernando vargas u rosario logra articulos mas citados economia 5 prestigiosa; j : 122. Sim : 0.5084936; Baja. 
 manana esperamos debate paz convivencia seguridad codigo policia ciudad medellin auditorio central ; j : 123. Sim : 0.6590154; Baja. 
 ariascarolina garzonarroyave saludos pueden informarnos zona campus presenta problema reportaremos ; j : 124. Sim : 0.2122328; No similar. 
 informamos partir momento restablece movilidad av vegas ambos altura eafit cc sttmed  ; j : 125. Sim : 0.30347463; No similar. 
 conmemoramos 40 anos programa siempre aportado sociedad juan luis mejia arango rector eafit labelur; j : 126. Sim : 0.68197733; Media. 
 seguridad juridica ser objetivo ineludible acuerdo fiscal nestor humberto martinez fiscaliacol lapa; j : 127. Sim : 0.5013815; Baja. 
 rt pactocolombia hoy diplomado empresas derechos humanos paz cfcecartagena participacion victor hug; j : 128. Sim : 0.5635531; Baja. 
 recuerden 27 marzo conferencia medellin espacio publico esperamos bloque 38101 1000 be labelurl  ; j : 129. Sim : 0.5860602; Baja. 
 podemos aceptar aquellos cometieron delitos lesa humanidad vayan hacer politica charoguerra lospres; j : 130. Sim : 0.26480982; No similar. 
 hoyeneafit 25 anos constitucion politica examen promesas 800 be auditorio 38101 invitan  ; j : 131. Sim : 0.6586481; Baja. 
 rt corpovisionario hoy inicia diplomado culturaciudadana conferencia inaugural eafit cargo antanasm; j : 132. Sim : 0.4338808; No similar. 
 adecuado manejo erario publico tema fundamental sociedad universidad juan luis mejia ideaantioquia ; j : 133. Sim : 0.502173; Baja. 
 esperamos proximo lunes conferencia medellin espacio publico partir 1000 be bloque 381 labelurl  ; j : 134. Sim : 0.6484695; Baja. 
 certezas juridicas pueden ser camino llegar acuerdo politico fiscal nestor humberto martinez fiscal; j : 135. Sim : 0.5268012; Baja. 
 kavaloma saludos dependencia desea comunicarse si desea podemos orientarle traves mensajes directos; j : 136. Sim : 0.3240497; No similar. 
 rafacamargo5 avenida vegas estara cerrada ambos domingo 945 be despues implosion 23  ; j : 137. Sim : 0.40461567; No similar. 
 aspiramos ustedes venir eafit experiencia importante vida rector juan luis mejia arango labelurl  ; j : 138. Sim : 0.6647531; Baja. 
 eafit esperamos curso aplique paises aporte cooperacion regional america latina caribe unctad  ; j : 139. Sim : 0.6270284; Baja. 
 rt slondonouribe cambiando normas sino comportamientos rector juan luis mejia eafit centro integrid; j : 140. Sim : 0.54613084; Baja. 
 viernes sera catedra flip eafit comunicacion politica libertad prensa entrada libre registrarse lab; j : 141. Sim : 0.6488339; Baja. 
 mediano plazo mafias vuelven logros desarrollo rural marchitan guillermo garcia unodcesp foroungass; j : 142. Sim : 0.30402097; No similar. 
 hoyeneafit esperamos segunda sesion catedra flipeafit partir 830 be bloque 38101 entrada labelurl  ; j : 143. Sim : 0.5960193; Baja. 
 beneficio modelo busca transferir capacidades localidades hacer acuerdos sector privado luis f andr; j : 144. Sim : 0.28581005; No similar. 
 rt santiagocancion asi lucio leeranaldo thesonicyouth medellin magic poetic gracias eafit postales ; j : 145. Sim : 0.382438; No similar. 
 recuerden manana primer foro regional fiscal general nacion nestor humberto martinez fiscaliacol  ; j : 146. Sim : 0.6248497; Baja. 
 resultados elca 2010 2017 hogares mujeres cabeza hogar pasaron 35 39 zonas urbanas labelurl  ; j : 147. Sim : 0.0901898; No similar. 
 rt encicla juan fernando ruiz eafit cuenta aprendizajes construccion encicla conjunto areametropol ; j : 148. Sim : 0.5230293; Baja. 
 jueves eafit pierdan tercera sesion catedra flipeafit esperamos partir 900 be bl labelurl  ; j : 149. Sim : 0.64654917; Baja. 
 caminar usar transporte publico realizar revisiones tecnomecanicas respeto educacion puntos decalog; j : 150. Sim : 0.3627437; No similar. 
 rt educaunisabana jesus murillorompe mold habla labor educador infantil consideran reservada mujere; j : 151. Sim : 0.27721626; No similar. 
 rt dagrdmedellin director zapatacamilo socializa plan municipal gestion riesgo desastres eafit herr; j : 152. Sim : 0.33467865; No similar. 
 inicia panel productividad jesus botero garcia rosario cordoba juansrobledo josefina agudelo presid; j : 153. Sim : 0.45346063; No similar. 
 hoyeneafit esperamos tercera sesion catedra flipeafit partir 900 be bloque 38101 entrada labelurl  ; j : 154. Sim : 0.59910107; Baja. 
 rt alcaldiademed escuchamos aun pod tomarte foto leekuanyewworldcityprize veni martes 18 octubre pi; j : 155. Sim : 0.3820061; No similar. 
 queremos ciudadania movilice alrededor tema calidad aire edison neira vicerrector universidad antio; j : 156. Sim : 0.6035804; Baja. 
 eafit invita secuenciacion nanopore 31 julio bloque 38110 500 pm 600 pm labelurl  ; j : 157. Sim : 0.29591808; No similar. 
 hoyeneafit cineclub chaplin obra vida obra charles partir 600 pm entrada libre labelurl  ; j : 158. Sim : 0.38369852; No similar. 
 incremento consumo heroina sera tema decisivo politicas anti drogas franciscocumsi1 cicadoea foroun; j : 159. Sim : 0.25202826; No similar. 
 instalacion taller cargo juan luis mejia rector eafit german jaramillo director ejecutivo  ; j : 160. Sim : 0.62037086; Baja. 
 cruzrojaantioq hace tras implosion controlada eafit simulacro entrenamiento atencion emergencia est; j : 161. Sim : 0.17278214; No similar. 
 opcionhoy grupo escenico eafit presenta hoy manana casateatroep obra vacio hora 8pm  ; j : 162. Sim : 0.5496441; Baja. 
 rosario cordoba juan luis mejia mauricio garcia dialogan momento eafitbogota cultura integracion  ; j : 163. Sim : 0.62438977; Baja. 
 josefina agudelo podemos hacer panorama retador portafolios iniciativas idi ser sostenibles colombi; j : 164. Sim : 0.23653467; No similar. 
 pierdan manana casa museo otraparte presentacion libro sexo saxofon partir 730 pm labelurl  ; j : 165. Sim : 0.49082208; No similar. 
 rt inmotiongroup unimos iniciativa sosporelaire eafit martes deja carro casa aire ciudad nec  ; j : 166. Sim : 0.40285602; No similar. 
 rt upbcolombia pensar problematica calidad aire da espera debemos promover reflexion cadenagaitan s; j : 167. Sim : 0.38597578; No similar. 
 23 25 noviembre pierdan conferencia acceso universal energia america latina ver mas labelurl  ; j : 168. Sim : 0.600844; Baja. 
 rt elespectador minutos malbarracin generalnietor ficogutierrez general gomez jorge giraldo hablara; j : 169. Sim : 0.49543905; No similar. 
 rt cideruniandes hoy uniandes teorias desarrollo 210 piezas reinvencion concepto luis mauricio cuer; j : 170. Sim : 0.31520018; No similar. 
 rt cesazulce eltiempo unisabana alexandramonto buena conferencia sorprende nivel capacidad conectar; j : 171. Sim : 0.16688919; No similar. 
 hoyeneafit suzanne osullivan conversacion cristian vargas upegui haymedellin17 entrada libre ver ma; j : 172. Sim : 0.49582183; No similar. 
 rt uoclatam finalizamos taller socios redunete uocuniversidad unabonline eafit uniandes uniminutoco; j : 173. Sim : 0.27491227; No similar. 
 lunes antanasmockus hablara cultura ciudadana eafit 500 pm entrada libre cc corpovisionario labelur; j : 174. Sim : 0.35141534; No similar. 
 publico conocimiento manana hoy cerca 720 be presento incidente involucro vehiculo carga 2  ; j : 175. Sim : 0.47650832; No similar. 
 salud publica implica labor orientadas politicas plan construir bienestar rafael tuesta maestriaens; j : 176. Sim : 0.2871615; No similar. 
 enfoque salud publica mas profundo tratamiento personas consumen drogas franciscocumsi1 cicadoea fo; j : 177. Sim : 0.0806118; No similar. 
 cuba fidel castro fallecio isla atesoro bastion socialista occidente labelurl jcmvelandia via eltie; j : 178. Sim : 0.45718426; No similar. 
 hoyeneafit conferencia miguel robles auditorio 19522 600 pm entrada libre invita urbameafit labelur; j : 179. Sim : 0.48936215; No similar. 
 proposito codigo generar confianza sociedad queremos ser policia mas humana generalnietor policiapa; j : 180. Sim : 0.45568928; No similar. 
 eafit invita proximo 31 julio cineclub chaplin vida perro entrada libre esperamos labelurl  ; j : 181. Sim : 0.4901698; No similar. 
 apoyo podemos llegar 10 ahorro energia agua campus activa conciencia dale respiro labelurl  ; j : 182. Sim : 0.34089094; No similar. 
 rt blackboardlatam experto phill miller hablara tedxunisabana lunes 23 mayo stream partir 3pm label; j : 183. Sim : 0.43600804; No similar. 
 desarmados trae memorias conflicto corrido 60 anos pais juan luis mejia arango  ; j : 184. Sim : 0.5385784; Baja. 
 rt bolsamercantil inicia retobolsamercantil rafael mejia pte bolsamercantil hilda arango decana esc; j : 185. Sim : 0.5186243; Baja. 
 rt alcrionegro rionegroaldia programa bici rioes modelo nivel nacionaly cuenta universidad eafitcom; j : 186. Sim : 0.24634668; No similar. 
 expresiones palabras convierten discursos odio violencia juan camilo cardenas decano economiauandes; j : 187. Sim : 0.40600798; No similar. 
 eafit presentara libro filo hoja proximo 31 julio auditorio fabricato 27 101 labelurl  ; j : 188. Sim : 0.51056385; Baja. 
 recuerden hoy casa museo otraparte esperamos presentacion libro fernando gonzalez politica exerior ; j : 189. Sim : 0.61478925; Baja. 
 23 25 noviembre estan invitados conferencia mes2016 acceso universal energia america latin labelurl; j : 190. Sim : 0.5773052; Baja. 
 rt mdpalcol raouf almalki embajador palestina participando conversatorio perspectivas medio oriente; j : 191. Sim : 0.3949524; No similar. 
 rt admonuniandes isdrs2017 open ceremony pablonavasuand rector uniandes walter vermheulen pdte isdr; j : 192. Sim : 0.3789903; No similar. 
 hoy esperamos casa museo otraparte presentacion libro sexo saxofon autor gonzalo arang labelurl  ; j : 193. Sim : 0.4863465; No similar. 
 cristian rojas cpoliticasus si trump gana serian lecciones dejaria eleccion via eltiempo labelurl  ; j : 194. Sim : 0.48691583; No similar. 
 4 30 octubre habra cierres nocturnos av vegas construccion puente peatonal ver mas labelurl  ; j : 195. Sim : 0.46677002; No similar. 
 pierdan proximo lunes 17 julio primer festival musica camara arcos eafit esperamos labelurl  ; j : 196. Sim : 0.5854858; Baja. 
 alejandromllo sttmed saludos ingreso debe ser av regional aun realizan trabajos vegas  ; j : 197. Sim : 0.3251407; No similar. 
 rt orinoquiaceo inicia uniandes foro modelo red empresas sostenibles rede admonuniandes carcundi ba; j : 198. Sim : 0.23544951; No similar. 
 27 31 marzo continua medida pico placa ambiental campus eafit ver mas labelurl  ; j : 199. Sim : 0.41193286; No similar. 
 gran beneficio paz pueblo rural urbano sienta tranquilidad seguridad general edoherrerab beneficios; j : 200. Sim : 0.28169435; No similar. 
 paz colombia foro mujeres detras proceso paz inscribete labelurl manana 730 be audi labelurl  ; j : 201. Sim : 0.6278043; Baja. 
 antioquia debatia texto mejia jorge isaacs antonio jose restrepo juan luis mejia  ; j : 202. Sim : 0.56588554; Baja. 
 proximo lunes 17 julio comienza primer festival musica camara arcos eafit falten labelurl  ; j : 203. Sim : 0.5361099; Baja. 
 esperamos manana encuentro cafe ciudad sos aire amenaza continua partir 400 pm labelurl  ; j : 204. Sim : 0.6510367; Baja. 
 rt jrestrp compartiendo vicepresidentes talento humano distintas empresas educacion cuarta revoluci; j : 205. Sim : 0.31718066; No similar. 
 idrclac juan drestrepo eafit present at resilientcities find proj cartagena watch video  ; j : 206. Sim : 0.52870125; Baja. 
 eafit elegida nuevamente escenario curso unctad espacio alto impacto agenda economica internacional; j : 207. Sim : 0.33127722; No similar. 
 rt casateatroep jueves 16 viernes 17 pierdas vacio grupo escenico eafit eafitartistico escenasur la; j : 208. Sim : 0.37963173; No similar. 
 rt educaunisabana doctor ciroparram saluda padres familia estudiantes primer semestre licenciatura ; j : 209. Sim : 0.4055715; No similar. 
 hoy tarde vivir arte campus educaunisabana 40anos inauguracion edificio k hora 200 pm labelurl  ; j : 210. Sim : 0.5803635; Baja. 
 desarrollo sostenible cada pais debe tener dialogo identificar medidas profundizar josephestiglitz ; j : 211. Sim : 0.17971137; No similar. 
 eafit claudio thieme phd hace recorrido economia educacion chilena muestra casos empresas labelurl ; j : 212. Sim : 0.47242713; No similar. 
