Modulo nnlm-es-dim128-with-normalization-2
Topicos : informacion unisabana convocatoria paz mas inscripciones conoce uniandes comunidadun 
 rt admonuniandes isdrs2017 last plenary intersectorial panel academy public sector private sector c; j : 1. Sim : 0.120158084; No similar. 
 rt eicea misionchina eicea dia1 visita universidad uibe charla inversion extranjera comercio intern; j : 60. Sim : 0.27978754; No similar. 
 ambar resina fosil coniferas puedes encontrar museo paleontologico villa leyva visitalo labelurl  ; j : 61. Sim : 0.13242853; No similar. 
 rt conectateu ethejournal coeditada uniandes uocuniversitat recibio calificacion q1 q2 scopus innov; j : 62. Sim : 0.31201822; No similar. 
 laucgm buenas tardes estatua fundador elaborada dionisio renart garcia claustro 1909  ; j : 63. Sim : 0.18711573; No similar. 
 punkriodista talionero buenas tardes siguiente enlace podran encontrar toda informacion siar labelu; j : 64. Sim : 0.3337678; No similar. 
 ambar resina fosil coniferas puedes encontrar museo paleontologico villa leyva uncolombia labelurl ; j : 65. Sim : 0.2123553; No similar. 
 rt epdusabana inscribete 1er simposio abordaje clinico educativo problematicas ninez adolescencia u; j : 66. Sim : 0.36977077; No similar. 
 15 febrero abren inscripciones semestre 20172 consulta guia paso paso aspirantesun labelurl  ; j : 67. Sim : 0.4157606; No similar. 
 fotografias escultura feliza bursztyn homenaje alfonso lopez pumarejo campus sede bogota labelurl  ; j : 68. Sim : 0.42337692; No similar. 
 milton0131 sttmed buenas tardes si restablecida movilidad ambos altura campus universidad  ; j : 69. Sim : 0.22077662; No similar. 
 rt amarantarsula chalocorredor mateomos022 cgurisattintn24 humildes ladrones patria salieron uandes; j : 70. Sim : 0.12996721; No similar. 
 ieco abre convocatoria concurso profesoral2016 encuentra toda informacion aqui labelurl unparatodos; j : 71. Sim : 0.41069126; No similar. 
 rt cpoliticasus invitamos leer analisis prof igarzonvallejo elcolombiano odebrecht financio campana; j : 72. Sim : 0.27988207; No similar. 
 barbaros romanos origenes reino visigodo toledo rosa maria sanz serrano unicomplutense labelurl  ; j : 73. Sim : 0.13139792; No similar. 
 rt deportessabana voleibol masculino clasifica finales cerros girardot comsabana bienestarsabana ei; j : 74. Sim : 0.23902984; No similar. 
 defensa idioma cuidado palabras virus profesor comsabana jairo valderrama via eltiempo labelurl  ; j : 75. Sim : 0.21383508; No similar. 
 rt comsabana cerrando epoca celebraciones navidenas monis unisabana midieron mannequinchallenge mod; j : 76. Sim : 0.29559666; No similar. 
 informacion unparatodos puedes ver leer escuchar boletinun labelurl untelevision 985unradio unimedi; j : 77. Sim : 0.22064376; No similar. 
 tras desmovilizacion arduo camino recorrer alp ozerdem investigador procesos paz analisis labelurl ; j : 78. Sim : 0.31464386; No similar. 
 rt epdusabana hoy realiza 1er simposio abordaje clinico educativo problematicas ninez adolescencia ; j : 79. Sim : 0.34405553; No similar. 
 comunidadun encuentra informacion ver leer escuchar aqui labelurl boletinun unimedios 985unradio un; j : 80. Sim : 0.3589764; No similar. 
 rt bienestarsabana subcampeones futbol masculino torneo universitario cerros final sufrida completa; j : 81. Sim : 0.17393172; No similar. 
 momento presenta congestion variante chia bogota manifestantes caminan hacia retorno peaje  ; j : 82. Sim : 0.18470435; No similar. 
 1era vez sede orinoquia presentan 1998 aspirantes peama launcuenta mantillaignacio admisionesun lab; j : 83. Sim : 0.32412744; No similar. 
 encuentra mas informacion uncolombia aqui labelurl ver leer escuchar unimedios untelevision 985unra; j : 84. Sim : 0.38280928; No similar. 
 laura beltran minsaludcol realiza ejercicios practicos aplicativo linea hago ahora ctc labelurl  ; j : 85. Sim : 0.30920666; No similar. 
 aspirantesun abrimos proceso admision semestre 20181 partir proximo 17 julio admisionesun labelurl ; j : 86. Sim : 0.31355968; No similar. 
 rt cideruniandes 4 noviembre plazo entregar documentos posgrados cider mayor informacion 339 49  ; j : 87. Sim : 0.36521095; No similar. 
 comunidadun encuentra nueva edicion boletinun informacion debes ver leer escuchar labelurl unimedio; j : 88. Sim : 0.43074352; No similar. 
 usted prometio metro suba trazado solo va 127 autopista pregunta asistente  ; j : 89. Sim : -0.023422461; No similar. 
 aspirantesun partir lunes 17 julio abre proceso admision pregrado 20181 info labelurl  ; j : 90. Sim : 0.37749064; No similar. 
 fenixjalb buenas tardes puedes encontrar productos institucionales mas destacados tienda rosarista ; j : 91. Sim : 0.30855572; No similar. 
 sede mayorca eafitidiomas estrena nuevo programa chino mandarin adultos conozcan mas labelurl  ; j : 92. Sim : 0.2126706; No similar. 
 nuevo programa eafitidiomas partir 5 abril sede mayorca ofrecera curso chino mandarin  ; j : 93. Sim : 0.20228681; No similar. 
 duda cualquier cosa ver tema ambiental ver acuerdo paz julio carrizosa  ; j : 94. Sim : 0.32140246; No similar. 
 rt comsabana noticiascomsabana si cursas 4o 9o semestre comsocial unisabana puede interesar labelur; j : 95. Sim : 0.2728769; No similar. 
 aspirantesun uncolombia abre proceso admision 20181 partir proximo 17 julio admisionesun labelurl  ; j : 96. Sim : 0.3674946; No similar. 
 postobon unisabana entregan 90 bicicletas estudiantes becados mejorar acceso campus universitario l; j : 97. Sim : 0.2570992; No similar. 
 museo paleontologico villa leyva centro referencia academica docente historica colombia visi labelu; j : 98. Sim : 0.3668171; No similar. 
 rt onumujerescol alianza concreta acciones conjuntas curso virtual mujeres genero postconflictoprox; j : 99. Sim : 0.28972203; No similar. 
 rt comsabana apasiona periodismo erizamos frente microfono camara tener mano pluma camilor  ; j : 100. Sim : 0.25669307; No similar. 
 rt obsdemocracia datos barometroamericas muestran vicimizacion genero proyectotumaco visibiliza muj; j : 101. Sim : 0.32226348; No similar. 
 rt facueducacion invitamos foro foro educacion valores construimos paz escuela mayor informacion la; j : 102. Sim : 0.55543596; Baja. 
 rt jalexanderg unisabana lamilitar usan tren sabana opcion movilidad estudiantes empleados bien  ; j : 103. Sim : 0.26902133; No similar. 
 vive intercambio cultural academico beca programa lideres emergentes americas conoce mas labelurl  ; j : 104. Sim : 0.4874174; No similar. 
 natyeche1 saludos siguiente enlace puede conocer programa solicitar mas informacion formulario labe; j : 105. Sim : 0.4547152; No similar. 
 haciendo realidad suenos jovenes cuentan proyectos camino recorrido hacerlos realidad unavidamejore; j : 106. Sim : 0.32551652; No similar. 
 comparte fotos hashtag soyrosarista estudiantes suban mas fotos recibiran kit urosario labelurl  ; j : 107. Sim : 0.30297035; No similar. 
 comunidadun descubre nueva edicion boletinun ver leer escuchar labelurl unimedios 985unradio untele; j : 108. Sim : 0.27888462; No similar. 
 idea nacio 2008 actualizacion metodo agiliza hace mas eficiente ejecucion proyectos  ; j : 109. Sim : 0.35691574; No similar. 
 pronto iniciamos nuevo semestre academico cambios cursos ingles universidad debe conocer labelurl  ; j : 110. Sim : 0.3008057; No similar. 
 transformacion fuerzasmilcol nace proceso paz conlleva ninguna disminucion general edoherrerab bene; j : 111. Sim : 0.36462364; No similar. 
 rt bluradioco alaire diego cediel politologo docente unisabana analisis resultados parciales elecci; j : 112. Sim : 0.32001776; No similar. 
 atender efectos lluvias creo brigada emergencia jaime franky vicerrector sede bogota labelurl  ; j : 113. Sim : 0.28227887; No similar. 
 rt sebastiansilvac aunque momento semestre esperanzas humanidad esten casi perdidas gracias unisaba; j : 114. Sim : 0.22265373; No similar. 
 entrar andes toda experiencia hoy podran empezar vivir nuevos admitidos soyuniandino labelurl  ; j : 115. Sim : 0.1981552; No similar. 
 24 noviembre sesion informativa posgrados gerencia gestion empresarial eicea inscribete aqui labelu; j : 116. Sim : 0.39615348; No similar. 
 noticiaun mantillaignacio pide sede bogota firme paz definitiva farc labelurl via radiosantafentc  ; j : 117. Sim : 0.35227996; No similar. 
 va pasar cursos cero creditos nueva reforma academica vea todas respuestas labelurl  ; j : 118. Sim : 0.41664663; No similar. 
 fracaso colectivo tremendo queriamos hablar racional terminamos condenados voto racional mapatilla ; j : 119. Sim : 0.046274457; No similar. 
 quieres vivir experiencia academica internacional hoy charla lasabanaabroad 1200 m salon c106 label; j : 120. Sim : 0.35480705; No similar. 
 rt ceperuniandes estan abiertas preinscripciones curso periodismo campo guaviare cronicas colombia ; j : 121. Sim : 0.40984952; No similar. 
 damos bienvenida sentimos orgullosos haber sido parte construccion plan adriana ga labelurl  ; j : 122. Sim : 0.31003818; No similar. 
 llanto colectivo hacia teniamos quiza ayude pensarnos angela robledo representante camara  ; j : 123. Sim : 0.2573696; No similar. 
 adiosjulio viernes foto camila gil sofia vasquez estudiantes eicea fotocampus arcoiris labelurl  ; j : 124. Sim : 0.28552783; No similar. 
 estan haciendo cosas necesitan hacer paz partidos politicos dedicado destinar mermelada  ; j : 125. Sim : 0.2556383; No similar. 
 rt derechousabana conoce todas implicaciones trae reforma tributaria empresa camaramedellin unisaba; j : 126. Sim : 0.36423486; No similar. 
 rt comsabana convicomsabana ahora alumnas unisabana disfrutan macadamiabosque practican deport alto; j : 127. Sim : 0.12769276; No similar. 
 ten cuenta partir lunes 17 julio abre proceso admision pregrado info labelurl  ; j : 128. Sim : 0.3783357; No similar. 
 rt clinunisabana proximo lunes 25 julio empezara funcionar tren sabana unisabana movilidad labelurl; j : 129. Sim : 0.19614293; No similar. 
 rt utadeoeduco ii encuentro periodismo universitario labelurl comsabana 21 22 julio unisabana perio; j : 130. Sim : 0.3241091; No similar. 
 rt urosarioradio si pudiste asistir simposioemocionesconflictour relax aca podcast prensaurosario i; j : 131. Sim : 0.2795356; No similar. 
 karemvip alumnisabana tambien puedes mandar datos dm contactaremos gracias inter saludo  ; j : 132. Sim : 0.3114074; No similar. 
 luchojacobsen eltiempo jrestrp gracias comunciarte video especial mas destacado foro est labelurl  ; j : 133. Sim : 0.25940478; No similar. 
 si pasion investigar beca colciencias doctorado biociencias cierre convocatoria 31 octubre labelurl; j : 134. Sim : 0.40604106; No similar. 
 continentes merecen respeto explotacion recursos obstaculo pueblos indigenas natasha kanape haymede; j : 135. Sim : 0.33178192; No similar. 
 rt comsabana gracias gisellebortot izq krozo5 der haber hecho enkrretate linacamero lcibogota label; j : 136. Sim : 0.17724708; No similar. 
 asi decimos adiosviernes foto ximena campos directora programa administracion servicio eicea labelu; j : 137. Sim : 0.29964966; No similar. 
 oportunidades riesgos vienen juntos enfocar esfuerzos atacar riesgos puede reducir oportunidades la; j : 138. Sim : 0.084269635; No similar. 
 rt unisabanaradio unisabana modo inducciones da mucha alegria recibirlos campus bienvenidos vez  ; j : 139. Sim : 0.37693954; No similar. 
 noticiaun uncolombia acompano 16 proyectos gobierno electronico regiones ministeriotic unparatodos ; j : 140. Sim : 0.2413255; No similar. 
 noticiaun reserva van der hammen protege bogotanos cambio climatico bogota labelurl vi labelurl  ; j : 141. Sim : 0.12458542; No similar. 
 hoy universidades ofrecen productos diferentes da poderes mercado maria marta ferreyra labelurl  ; j : 142. Sim : 0.26490688; No similar. 
 universidad andes da bienvenida comunidad uniandina hoy inicia labor 2017 desea labelurl  ; j : 143. Sim : 0.25541496; No similar. 
 pasa si cae acuerdo miedo si hace realidad pregunta asistente evento  ; j : 144. Sim : 0.10018252; No similar. 
 rt apgguzman unisabana taller periodismo transforma periodismo construir paz escuelaeltiempo usaidc; j : 145. Sim : 0.31862402; No similar. 
 rt deportessabana exhibicion equitacion 1245pm frente centro medico esperamos unisabana comsabana b; j : 146. Sim : 0.281431; No similar. 
 hogares colombianos inculca obediencia disciplina promover pensamiento critico creatividad lisbeth ; j : 147. Sim : 0.22517674; No similar. 
 circunscripciones paz buscan representar zonas mas afectadas conflicto yannbasset orpoliticaur habl; j : 148. Sim : 0.35082975; No similar. 
 cada vez mas produccion informativa mas necesidad comprenderla jaime alejandro rodriguez labelurl  ; j : 149. Sim : 0.32689187; No similar. 
 antologia nuevo libro editorialeafit refleja emocion poetica escritora maria teresa andruetto label; j : 150. Sim : 0.23781624; No similar. 
 rt cgpatarroyo protagonista proceso paz irlanda norte u rosario lord alderdice habla experiencia p ; j : 151. Sim : 0.21299464; No similar. 
 rt tobonnoticias demo primer paso labelurl via youtube llena alma espiritu felicitaciones unisabana; j : 152. Sim : 0.41902813; No similar. 
 rt comsabana si semestre cursa taller generos informativos esperamos hoy unisabana labelurl cam  ; j : 153. Sim : 0.32583192; No similar. 
 noticiaun dialogos eln paso hacia paz completa piensapazunal alejovargasve labelurl via unimedios  ; j : 154. Sim : 0.25255278; No similar. 
 rt lasabanaabroad estudia idioma exterior esperamos jueves 1200 m salon a108 movilidad2017 unisaban; j : 155. Sim : 0.35687867; No similar. 
 servicio empresa asi evento customer phd academy ximena campos estudiantes administracion labelurl ; j : 156. Sim : 0.30304226; No similar. 
 rt deportessabana bienestar invita curso libre tiro arco unisabana comsabana eicea sicologiasabana ; j : 157. Sim : 0.24589677; No similar. 
 salud marta ximena leon profesora medicinasabana cuidado paliativo apoyo pacientes familias labelur; j : 158. Sim : 0.23075424; No similar. 
 nubia munoz desarrollo estudios clave determinar incidencia cancer causa virus papiloma labelurl  ; j : 159. Sim : 0.20060952; No similar. 
 trata poner centro agenda reto construir pais posconflicto pensando salud menta labelurl  ; j : 160. Sim : 0.14209984; No similar. 
 rt obsdemocracia video 2013 2016 aumento cantidad colombianos creen podemos reconciliarnos perdonar; j : 161. Sim : 0.13030295; No similar. 
 construir opinion publica importa mas emocion razon juliana gonzalez docente campusglobaleafit  ; j : 162. Sim : 0.341544; No similar. 
 cesdelgado buenas tardes siguiente enlace podras encontrar toda informacion programa labelurl  ; j : 163. Sim : 0.3843149; No similar. 
 rt fceunal inscribete cursos diplomados fceunal enero febrero info 3165000 ext12305 labelurl  ; j : 164. Sim : 0.33620858; No similar. 
 sicsuper otorgo patente invencion uniandes coctel virus controlaria salmonella aves labelurl  ; j : 165. Sim : 0.17295876; No similar. 
 elena ambrositurbay pgncol procuradora delegada apoyo victimas conflicto armado desmovil labelurl  ; j : 166. Sim : 0.26775047; No similar. 
 sicsuper otorgo patente invencion uniandes coctel virus controlaria salmonella aves labelurl  ; j : 167. Sim : 0.17295876; No similar. 
 amaciash onumujerescol buenas tardes puedes encontrar toda informacion siguiente enlace labelurl  ; j : 168. Sim : 0.32123357; No similar. 
 aspirantesun conoce guia paso paso proceso admision posgrados 20162 labelurl admisionesun  ; j : 169. Sim : 0.40227687; No similar. 
 mdfaloga sttmed alcaldiademed inviasoficial saludos compartimos plano destacamos alturas puen label; j : 170. Sim : 0.29307836; No similar. 
 conoce guia paso paso proceso admision semestre 12016 uncolombia labelurl admisionesun  ; j : 171. Sim : 0.32643247; No similar. 
 cacturan sujetos facinerosos endefensadelidioma columna profesor comsabana jairo valderrama labelur; j : 172. Sim : 0.12999325; No similar. 
 convocatoria abierta beca rosalynn carter cartercenter comsabana periodismo salud mental labelurl  ; j : 173. Sim : 0.36781338; No similar. 
 boletinun encuentras informacion inter ver leer escuchar unimedios 985unradio untelevision labelurl; j : 174. Sim : 0.3093833; No similar. 
 andes recibio patente invencion coctel virus controlaria salmonella aves orgullouniandes labelurl  ; j : 175. Sim : 0.22980864; No similar. 
 vive navidad delicias navidenas restaurante escuela tambien puedes encontrar productos labelurl  ; j : 176. Sim : 0.23216113; No similar. 
 atencion asi proceso inscripcion asignaturas 2017 programas pregrado consulta informacion  ; j : 177. Sim : 0.59960854; Baja. 
 paz centroamerica relacion honduras salvador guatemala columna jcmvelandia via eltiempo labelurl  ; j : 178. Sim : 0.37281197; No similar. 
 rt minsaludcol 3 meses transicion aplicativo mipres ctc tradicional funcionaran simultaneamente aga; j : 179. Sim : 0.2184468; No similar. 
 aspirantesun partir 1 febrero abre convocatoria admision pregrados 20162 info labelurl admisionesun; j : 180. Sim : 0.50801206; Baja. 
 tedxunisabana rodrigo guerreroel metodo epidemiologico medir violencia stream via eltiempo labelurl; j : 181. Sim : 0.25697497; No similar. 
 oscar acevedo presento album toda costa inspirado vivencias profesor andes labelurl  ; j : 182. Sim : 0.22757323; No similar. 
 comunidadun conoce oferta cursos libres juveniles facultad cienciasun fcienciasun info labelurl  ; j : 183. Sim : 0.4679378; No similar. 
 oscar acevedo presento album toda costa inspirado vivencias profesor andes labelurl  ; j : 184. Sim : 0.22757323; No similar. 
 aspirantesun partir 1 julio abre proceso admisiones 20171 estudiar uncolombia info labelurl  ; j : 185. Sim : 0.3398645; No similar. 
 momento presenta tormenta electrica campus evite cualquier desplazamiento areas abierta labelurl  ; j : 186. Sim : 0.22215913; No similar. 
 encuentra info universidad boletinun ver leer escuchar labelurl unimedios 985unradio untelevision  ; j : 187. Sim : 0.23490584; No similar. 
 momento presenta tormenta electrica campus evite cualquier desplazamiento areas abierta labelurl  ; j : 188. Sim : 0.22215913; No similar. 
 20 abril estan abiertas inscripciones concurso profesoral 2017 unorinoquia info labelurl  ; j : 189. Sim : 0.4109563; No similar. 
 momento presenta tormenta electrica campus evite cualquier desplazamiento areas abierta labelurl  ; j : 190. Sim : 0.22215913; No similar. 
 diabetes mas regresiva impuesto agaviriau minsaludcol foro impuestos bebidas azucaradas labelurl  ; j : 191. Sim : 0.20621705; No similar. 
 contenidos calidadmejoran inteligencia dato victor racionero tedxunisabana stream via eltiempo labe; j : 192. Sim : 0.1539588; No similar. 
 va iniciar semestre si aun buscando vivir conoce oferta viviendauniversitaria labelurl  ; j : 193. Sim : 0.1859606; No similar. 
 partidos politicos podran presentar candidatos circunscripciones paz yannbasset orpoliticaur hablem; j : 194. Sim : 0.34252086; No similar. 
 rt lasabanaabroad si va viajar exterior conozca convenios unisabana guardmeins groupeapril labelurl; j : 195. Sim : 0.28008157; No similar. 
 aspirantesun recuerda partir 1 julio abre proceso admisiones 20171 info labelurl admisionesun  ; j : 196. Sim : 0.322739; No similar. 
 rt comsabana compartimos columna profesor valderrama defensa idioma publicada eltiempo unisabana la; j : 197. Sim : 0.309011; No similar. 
 analisis interrogante usado pedir colombianos refrenden acuerdo paz labelurl via elheraldoco  ; j : 198. Sim : 0.22635151; No similar. 
 encuentra nueva edicion boletinun informacion ver leer escuchar trae unimedios labelurl  ; j : 199. Sim : 0.35242525; No similar. 
 rt caroycuervo cierre convocatoria maestria ensenanza ele2 31 mayo mas informacion labelurl labelur; j : 200. Sim : 0.4640317; No similar. 
 aspirantesun 16 marzo estan abiertas inscripciones ingresar uncolombia periodo 20172 labelurl  ; j : 201. Sim : 0.29862624; No similar. 
 proyectos facil caer tecnicismos quedarse ramas tono acude experiencia humana  ; j : 202. Sim : 0.1749025; No similar. 
 rt derechousabana animate participar concurso nacional ensayo oap 2016 unisabana benvicente labelur; j : 203. Sim : 0.25536957; No similar. 
 boletinun ver leer escuchar regresa 2017 labelurl unparatodos unimedios 985unradio untelevision  ; j : 204. Sim : 0.07318137; No similar. 
 conoce programas academicos sesion informativa posgrados gerencia gestion empresarial eicea labelur; j : 205. Sim : 0.4576636; No similar. 
 conoce nueva edicion boletinun ver leer escuchar labelurl unimedios 98unradio untelevision  ; j : 206. Sim : 0.31686625; No similar. 
 entendamos pasa venezuela pais colapso democratico sebastian bitar profesor egobuniandes labelurl  ; j : 207. Sim : 0.2219767; No similar. 
 ronda preguntas foro hago ahora ctc sede quinta mutis urosario labelurl  ; j : 208. Sim : 0.22900926; No similar. 
 beca estudiantes verano estadosunidos internacionalessabana cursos cortos michigan state university; j : 209. Sim : 0.1964036; No similar. 
 beca antonio rocha alvira base condiciones fechas debes tener cuenta labelurl labelurl  ; j : 210. Sim : 0.3075657; No similar. 
 uniandes mejor desempeno pruebas saber pro 26 programas pregrado excelenciauniandes labelurl  ; j : 211. Sim : 0.40401506; No similar. 
 acercan eleccioneseafit invitamos vivir proceso electoral integridad tolerancia ver mas labelurl  ; j : 212. Sim : 0.34788385; No similar. 
 uniandes mejor desempeno pruebas saber pro 26 programas pregrado excelenciauniandes labelurl  ; j : 213. Sim : 0.40401506; No similar. 
 comunidadun inscribete bogota innova digital 2017 interactua plataformas tecnologicas vivelabbogota; j : 214. Sim : 0.32829085; No similar. 
 conoce mas rutasconflicto proyecto periodistico rosaristas finalista data journalism award labelurl; j : 215. Sim : 0.38923803; No similar. 
 viva video exposicion fotografica memorias territorios escrituras historia hizo campu labelurl  ; j : 216. Sim : 0.383767; No similar. 
