Modulo nnlm-es-dim128-with-normalization-2
Topicos : via noticiaun unisabana unimedios comsabana colombia uniandes mas orgulloun 
 rt iptigeneva you have to sell peace be clear about why one might want to obtain it tpaffenholz at ; j : 1. Sim : 0.13169624; No similar. 
 eafit invita descargar app turno facil tiempos matricula podran aprovechar tiempo mientras espe lab; j : 52. Sim : 0.2619974; No similar. 
 eafit junto gran poeta nadaista jaime jaramillo celebraran 85 anos autor poemas ofensa labelurl  ; j : 53. Sim : 0.16766842; No similar. 
 clase media mayor pobres 32 vs 28 convirtiendo indices economicos mas altos bancomundial labelurl  ; j : 54. Sim : 0.42514768; No similar. 
 rt apgguzman campus escala humana reto grande unisabana albergara aspiraciones solucionara necesida; j : 55. Sim : 0.12482338; No similar. 
 abogado rosarista recibio colombia transport aviation lawyer of the year conoce mas historia labelu; j : 56. Sim : 0.26873598; No similar. 
 rt jrestrp hoy hace 363 anos historia urosarionews reitera mas fuerza compromiso aportarle nacionla; j : 57. Sim : 0.23303913; No similar. 
 lider bogota pueda decir dado cien mil pesos comprar gaseosa reunion enrique penalosa  ; j : 58. Sim : 0.30400494; No similar. 
 hoy sera recordado dia 117 guerrilleros entregaron armas carlos alfonso velasquez via eltiempo labe; j : 59. Sim : 0.35823286; No similar. 
 rt derechousabana jorge ivan cuervo acompana foro contrast plebiscito si unisabana elespectador cpo; j : 60. Sim : 0.33092672; No similar. 
 rt usingenieria carlos mario montes jefe exito academico unisabana habla estrategias graduacion opo; j : 61. Sim : 0.3230636; No similar. 
 rt biologiaeafit paula figueroa alexandra catano primeras estud biologiaeafit sustentan trabajo gra; j : 62. Sim : 0.14963402; No similar. 
 sundaymorning happy we be ready go colombia vamos usingenieria unisabana shellecomarathon shellecom; j : 63. Sim : 0.38464612; No similar. 
 orgulloun do paisas primeras colombianas nado sincronizado rio2016 labelurl unmedellin udea via elt; j : 64. Sim : 0.43469983; No similar. 
 foro contrabandodecigarrillo colombia presenta precios mas bajos paquete latinoamerica nigar nargis; j : 65. Sim : 0.40138966; No similar. 
 rt usembassybogota mision promesacontinua2017 realizara trabajo humanitario proveera cuidado medico; j : 66. Sim : 0.2657603; No similar. 
 libro chef gaviria acaba ser galardonado mejor mundo gourmand world cookbook award labelurl  ; j : 67. Sim : 0.039880153; No similar. 
 rt usembassybogota mision promesacontinua2017 realizara trabajo humanitario proveera cuidado medico; j : 68. Sim : 0.26401317; No similar. 
 rt upbcolombia decalogo sosporelaire distancias medianas deben recorrerse vehiculos motorizados pue; j : 69. Sim : 0.18924077; No similar. 
 noticiaun edificio matematicas recibe nombre yu takecuhi homenaje maestro fisico labelurl via unime; j : 70. Sim : 0.40344104; No similar. 
 rt urosarioradio 39 mil millones pesos dpto cordoba sabe estan cgrcolombia edgardo maya labelurl  ; j : 71. Sim : 0.24477413; No similar. 
 rt bienestarsabana hoy equipo rugby partio pereira representar unisabana juegos universitarios naci; j : 72. Sim : 0.3468319; No similar. 
 noticiaun motivos sentir orgulloun mas 50 invenciones tecnologicas ano produce labelurl via unimedi; j : 73. Sim : 0.62479764; Baja. 
 rt hernanolano primer nivel foro precedente icesi unisabana derechousabana sofaunisabana trenusaban; j : 74. Sim : 0.21311547; No similar. 
 rt urosarioradio opinionespoderosasur inicia 2da temporada invitado lujo cgrcolombia sr contralor e; j : 75. Sim : 0.19568428; No similar. 
 rt mineducacion nochedelosmejores entrega distincion andres bello reconoce puntajes mas altos prueb; j : 76. Sim : 0.23726496; No similar. 
 rt memoriauniandes ayeryhoy estudiantes profesores convirtieron estatua san alberto magno elementos; j : 77. Sim : 0.14641064; No similar. 
 hablamos mitos leyendas agueros hacen parte folclor estan asociados medio ambiente vallenato  ; j : 78. Sim : 0.08157254; No similar. 
 rt mineducacion nochedelosmejores entrega distincion andres bello reconoce puntajes mas altos prueb; j : 79. Sim : 0.23726496; No similar. 
 uniandesenfilbo2017 visite estand 502 pabellon 3 segundo piso fotos alejandro gomez nino direcc lab; j : 80. Sim : 0.3102005; No similar. 
 andes subio 16 puestos escalafon global qs hace parte 1 superior universidades mundo labelurl  ; j : 81. Sim : 0.2542159; No similar. 
 medio crisis esperanza queda luz sale gente joven doctor benjamin rodriguez iturbe labelurl  ; j : 82. Sim : 0.23963948; No similar. 
 andes subio 16 puestos escalafon global qs hace parte 1 superior universidades mundo labelurl  ; j : 83. Sim : 0.2542159; No similar. 
 rt endirectosabana endirecto96 llego edicion 96 directo entramos circulacion cargados buenas histor; j : 84. Sim : 0.29154888; No similar. 
 andes subio 16 puestos escalafon global qs hace parte 1 superior universidades mundo labelurl  ; j : 85. Sim : 0.2542159; No similar. 
 rt danielpa partimos mocoa compromiso uniandes colombia uniandesicya inguniandes behrentz uniandino; j : 86. Sim : 0.466165; No similar. 
 tan facil va ser resocializacion menores farc neila diaz psicosabana1 via eltiempo labelurl  ; j : 87. Sim : 0.41206405; No similar. 
 rt sosuniandes today be the last day of conference in isdrs2017 isdrsociety uniandes  ; j : 88. Sim : 0.15106647; No similar. 
 rt fcompartircol gracias aliados ano tras anos premiocompartir hace posible finalistas 2017 http  ; j : 89. Sim : 0.12297657; No similar. 
 chef carlos gaviria profesor gastronomia eicea presenta hoy libro comida colombiana filbo2017 label; j : 90. Sim : 0.26450753; No similar. 
 rt inguniandes casos exitosos implant corazon artificial viii sem ingenieria biomedica bio uniandes; j : 91. Sim : 0.38266918; No similar. 
 rt jeronimorivera manana tendre invitada lujo direcciondeactores unisabana buena amiga gran actriz ; j : 92. Sim : 0.30411035; No similar. 
 unisabana universidad privada mejor reputacion pais segun rank merco 2016 via canalcapital labelurl; j : 93. Sim : 0.51896924; Baja. 
 escucha donkristobal the warriors concierto ser pilo paga universidad ces 6 octubre 100 p labelurl ; j : 94. Sim : 0.26828784; No similar. 
 unisabana universidad privada mejor reputacion pais segun rank merco 2016 via canalcapital labelurl; j : 95. Sim : 0.51896924; Baja. 
 tan facil va ser resocializacion menores farc analisis neila diaz via eltiempo labelurl  ; j : 96. Sim : 0.41653454; No similar. 
 rt chechecifuentes almorzando yarumal tierra natal ilustre octavio arismendi qepd ex gobantioquia f; j : 97. Sim : 0.2322173; No similar. 
 uniandes quiere consolidar beca deportiva inscribete carrera 10 5k labelurl mepongolostenis bogota ; j : 98. Sim : 0.3601874; No similar. 
 rt ccykcolombia lasabanaabroad unisabana present the opportunities for collaboration with northern ; j : 99. Sim : 0.21228977; No similar. 
 rt oaduniandes enlamemoria arturo infante villarerreal der rector uniandes periodo 19852005 inventa; j : 100. Sim : 0.28384244; No similar. 
 rt urosarioradio cuantos libros lees ano colombia paises indices mas bajos lectura enterate  ; j : 101. Sim : 0.50074226; Baja. 
 rt oaduniandes enlamemoria bertha eugenia laserna brando secretaria general facultad ingenieria ing; j : 102. Sim : 0.29011652; No similar. 
 constitucion 91 incluyo contexto declara pertenece mundo cabemos habla conflicto clara atehortua  ; j : 103. Sim : 0.04917957; No similar. 
 gastronomia chef carlos gaviria profesor eicea presenta obra tecnicas profesionales cocina colombia; j : 104. Sim : 0.2577869; No similar. 
 kathryn clifton recomienda usar google adwords identificar palabras clave hagan atractivos titulos ; j : 105. Sim : 0.076462515; No similar. 
 rt comsabana gran lucha redaccion elespectador pensar multimedia sola vez fidelcanoco habla 2period; j : 106. Sim : 0.30366853; No similar. 
 ies lider pais alcanzando posicion 254 nivel mundial rank qs somosorgulloun topunis labelurl  ; j : 107. Sim : 0.31700745; No similar. 
 23 25 noviembre estan invitados conferencia mes2016 acceso universal energia america latin labelurl; j : 108. Sim : 0.28800786; No similar. 
 despues 10 anos marisa martins regresa cautivar publico lirica voz junto sinfonicaeafit labelurl  ; j : 109. Sim : 0.3461935; No similar. 
 rt memoriauniandes ayeryhoy nuevo bloque c edificio facultad arquituniandes throwbackthursday logro; j : 110. Sim : 0.36132148; No similar. 
 hoy 57anoseafit tambien homenajeamos empleados docentes administrativos cumplen 10 15 20 25 labelur; j : 111. Sim : 0.19988345; No similar. 
 23 25 noviembre estan invitados conferencia mes2016 acceso universal energia america latin labelurl; j : 112. Sim : 0.28800786; No similar. 
 hoy celebramos dia bacteriologo conmemoracion natalicio doctor federico lleras acosta gracias to la; j : 113. Sim : 0.37097323; No similar. 
 rt inguniandes manana 21 abril tres grandes conferencias nuevas tecnologias semanasistemasieee 2016; j : 114. Sim : 0.36938292; No similar. 
 rt apgguzman 100 kg asientos ergonomicos alta resistencia mibicipostobon entregan 90 estudiantes un; j : 115. Sim : 0.22635272; No similar. 
 rt oaduniandes ayeryhoy vista bloque g edificio roberto franco honor primer rector uniandes throwba; j : 116. Sim : 0.27272773; No similar. 
 rt oaduniandes enlamemoria maestro sergio acevedo gomez integrante coro uniandes anos 60 culturauni; j : 117. Sim : 0.3926659; No similar. 
 rt usembassybogota carolina serrano unisabana presenta buenas practicas beca 100kstrongamericas niu; j : 118. Sim : 0.43210235; No similar. 
 rt eicea felices paris aprendiendo ieseg school of management cursodeverano international fashion b; j : 119. Sim : 0.1648185; No similar. 
 rt vmanriquezul solo guajira crisis alimentaria afirma contralor general foro universidad rosario u; j : 120. Sim : 0.14662042; No similar. 
 rt uniandinosiempr colombia necesitamos liderazgo servicio oportunidad contribuir hoy frank pearl i; j : 121. Sim : 0.23541747; No similar. 
 rt economiauandes fotos hackathon desarrollo soluciones cognitivas datos abiertos gobierno dnpcolom; j : 122. Sim : 0.1963697; No similar. 
 aun saben estudiar estudiantes 10 11 12 26 27 abril invitamos experienciaeafit labelurl  ; j : 123. Sim : 0.19936392; No similar. 
 obdulio habla revistasemana serpilopaga mas palo programa ser pilo paga labelurl educacion colombia; j : 124. Sim : 0.40890005; No similar. 
 interesante articulo rector uncolombia mantillaignacio tiempo implementar grado 12 unimedios via el; j : 125. Sim : 0.43839294; No similar. 
 hace imperativo consumo droga aborde perspectiva salud publica bo mathiasen unodc foroungasscol  ; j : 126. Sim : 0.11172475; No similar. 
 rt clinunisabana participa zona libre trombosis 28 noviembre 10 manana esperamos salud prevencion  ; j : 127. Sim : 0.3342; No similar. 
 rt serpilopaga potencial pilo recuerda si credito condonable preseleccionado debes seguir pasos ser; j : 128. Sim : 0.17823929; No similar. 
 rt labatyfilms seleccion oficial fiafest videoclip tiempo extra alla vamos bogota comsabana unisaba; j : 129. Sim : 0.4449952; No similar. 
 jaime jaramillo poemas rio cauca amanecer espanol eafit poesia lector culto tambie labelurl  ; j : 130. Sim : 0.39731544; No similar. 
 rt comsabana sigabienpueda recuerden antiguo semaforo ahora nombre distinto nuevo sistema siga unis; j : 131. Sim : 0.27993396; No similar. 
 rt editorialur hoy termina filbo2017 libros destacados debes ir buscar descuentos especiales lee  ; j : 132. Sim : 0.17753996; No similar. 
 rt maesaludydiscap viernes plazo hacer parte programa unisabana si aun dudas escribenos ht  ; j : 133. Sim : 0.26328433; No similar. 
 rt editorialur libros 10 mejores libros academicos 2016 elespectador conozca top 10 aqui labelurl  ; j : 134. Sim : 0.34316805; No similar. 
 salud cundinamarca observatorio sabana centro vamos preocupan casos embarazo adolescente labelurl v; j : 135. Sim : 0.23714057; No similar. 
 rt comsabana acaba arrancar trenusabana rumbo unisabana tiempo estimado recorrido unisabana 59 minu; j : 136. Sim : 0.33605334; No similar. 
 solo 19 10 millones estudiantes colombia cursan programas alta calidad daniel payares labelurl  ; j : 137. Sim : 0.3413838; No similar. 
 rt agenciatierras manana eafit continuamos socializacion proyecto ley tierras recuerda inscripcion ; j : 138. Sim : 0.29154465; No similar. 
 articulo eric quintane seleccionado best paper proceed academy of management unidos labelurl  ; j : 139. Sim : 0.09538609; No similar. 
 invertir quieroestudiar inversion mayor retorno andres morales socio sublat franquicia subway label; j : 140. Sim : 0.29957318; No similar. 
 rt inguniandes directo periscope daniel cadena luisguzman corredores 5to lugar carrerademodossemana; j : 141. Sim : 0.39177272; No similar. 
 rt oaduniandes recordando ayeryhoy edificio mccarthy bloque j vista departamento matematicas cienbi; j : 142. Sim : 0.26340047; No similar. 
 rt hernanolano felicidades unisabana 37 anos comsabana derechousabana trenusabana alumnisabana clin; j : 143. Sim : 0.42353022; No similar. 
 pregunta parece justificable subirle tarifa tm 10 sitp 17 minimo subio 7  ; j : 144. Sim : 0.141522; No similar. 
 noticiaun unmanizales disenan brasier electronico deteccion cancer mama labelurl orgulloun via unim; j : 145. Sim : 0.7168759; Media. 
 estudiantes usingenieria construyen carro electrico amigable medio ambiente proximo destino detroit; j : 146. Sim : 0.25943497; No similar. 
 rt hernanolano hace minuto salimos itinerario trenusabana trensuburbano unisabana derechousabana tu; j : 147. Sim : 0.20364255; No similar. 
 cine lomejordelano mejores peliculas 2016 segun blog tiempo cine jeronimorivera recomendado  ; j : 148. Sim : 0.2545859; No similar. 
 noticiaun reserva van der hammen valiosa joya ambiental gonzaloandradec labelurl via unimedios  ; j : 149. Sim : 0.29490858; No similar. 
 noticiaun manizales red bibliotecas amplia inventario nuevas publicaciones unmanizales labelurl via; j : 150. Sim : 0.4789438; No similar. 
 rt oaduniandes ultimo ayeryhoy ano capilla campito san jose throwbackthursday tbt felizjueves label; j : 151. Sim : 0.38614154; No similar. 
 felices equipo usingenieria supera 10 pruebas tecnicas clasifica pruebas pista colombia labelurl  ; j : 152. Sim : 0.22701418; No similar. 
 felicitaciones paula andrea roa sanchez geraldine bustos zamora dissertum revistavirtual estudiante; j : 153. Sim : 0.42550787; No similar. 
 hace 10 anos impensables alcances videojuego comunidad global jaime h borja mediosdigitalesur  ; j : 154. Sim : 0.31853563; No similar. 
 rt usembassybogota promesacontinua2017 realizara trabajo humanitario proveera cuidado medico dental; j : 155. Sim : 0.20047654; No similar. 
 felizmiercoles ten cuenta utilizar funciones ahorro tinta vayas imprimir ahorraun conectate labelur; j : 156. Sim : 0.2852395; No similar. 
 subsidiando sistema tm sitp mas 700 mil millones pesos ano enriquepenalosa  ; j : 157. Sim : 0.28967738; No similar. 
 ocho vehiculos fabricados estudiantes ingenieria mecanica competiran segundo grand prix sabana labe; j : 158. Sim : 0.33059156; No similar. 
 rt discuniandes orgullo uniandino articulo seleccionado best paper cibse 2017 inguniandes uniandes ; j : 159. Sim : 0.20765519; No similar. 
 rt mineducacion nochedelosmejores 16 estudiantes bogota 14 estudiantes cali 4 floridablanca mejores; j : 160. Sim : 0.40948644; No similar. 
 rt oaduniandes bloque ayeryhoy hogar hermanas buen pastor hoy cienbiolandes uniandes throwbackthurs; j : 161. Sim : 0.28221747; No similar. 
 rt monsieurjournal sabana universidad privada mejor reputacion colombia segun rank merco 2016 label; j : 162. Sim : 0.47030422; No similar. 
 rt serpilopaga dudas programa serpilopaga mineducacion dispuesto do lineas telefonicas resuelvas ht; j : 163. Sim : 0.30952513; No similar. 
 15 aplicaciones moviles indispensables volver clase lista recomendada unisabana via revistadinero l; j : 164. Sim : 0.37018168; No similar. 
 rt usingenieria hoy detroit estudiantes visitan thehenryford asisten conferencias automatizacion en; j : 165. Sim : 0.13188872; No similar. 
 rt uocpsicoedu revista ethe editada uoc uniandes referente mundial educacion labelurl cc uocunivers; j : 166. Sim : 0.29845098; No similar. 
 dona libro nino casanare 3 6 abril porterias ml franco sd solidaridad organiza labelurl  ; j : 167. Sim : 0.3068537; No similar. 
 dia mundial tabaco 2017 cigarrillo adiccion deja cada ano 7 millones muertes labelurl  ; j : 168. Sim : 0.2480768; No similar. 
 rt unisabanaradio empieza hacer literatura ficcion naufragar intento historia galeon nelson f pad  ; j : 169. Sim : 0.28879443; No similar. 
 carlos gaviria profesor gastronomia eicea presenta libro tecnicas profesionales cocina colombiana l; j : 170. Sim : 0.2938127; No similar. 
 rt oaduniandes ayeryhoy talleres arquituniandes vista capilla actualmente biblioteca arq throwbackt; j : 171. Sim : 0.29886335; No similar. 
 torre seneca 628 cupos 243 apartamentos inicio funcionamiento cuenta primeros habitante labelurl  ; j : 172. Sim : 0.055400565; No similar. 
 dia mundial tabaco 2017 cada ano cigarrillo deja siete millones muertes labelurl labelurl  ; j : 173. Sim : 0.18907972; No similar. 
 rt jeronimorivera peliculas animacion jovenes ninos mas alla disney pixar labelurl texto hoy  ; j : 174. Sim : 0.45087653; No similar. 
 guerrillero va ser sancionado juzgado investigado juan carlos henao uexternado elretodelajep  ; j : 175. Sim : 0.121475905; No similar. 
 libro tecnicas cocina colombiana galardonado mejor libro cocina mundial labelurl via eltiempo  ; j : 176. Sim : 0.26534247; No similar. 
 torre seneca 628 cupos 243 apartamentos inicio funcionamiento cuenta primeros habitante labelurl  ; j : 177. Sim : 0.055400565; No similar. 
 articulo unperiodico especial san andres tres anos fallo problematico labelurl uncaribe unimedios  ; j : 178. Sim : 0.4236203; No similar. 
 rt hernanolano ponencia lista presentada unisabana derechousabana lasabanaabroad obduliovp elnuevos; j : 179. Sim : 0.14707264; No similar. 
 analistas representantes gobierno eeuu hablaron uniandes enfoque trump hacia medio oriente labelurl; j : 180. Sim : 0.165775; No similar. 
 paris estudiantes eicea summer program fashion business ieseg school of management labelurl  ; j : 181. Sim : 0.17279013; No similar. 
 rt hernanolano leyendo elnuevosiglo trenusabana unisabana derechousabana obduliovp apgguzman gracia; j : 182. Sim : 0.33217114; No similar. 
 noticiaun disenan sistema palmira vuelva ser ciudad bicicletas unpalmira labelurl via unimedios  ; j : 183. Sim : 0.53314793; Baja. 
 rumbo espana karen campos enfermeria zeury gelves fisioterapia ganaron beca santander labelurl  ; j : 184. Sim : 0.33501995; No similar. 
 educacion voz alta tiempo implementar grado 12 mantillaignacio unimedios labelurl via elespectador ; j : 185. Sim : 0.4989713; No similar. 
 hernanolano olviden inscripcion materias manana unisabana derechousabana cpoliticasus usingenieria ; j : 186. Sim : 0.4248969; No similar. 
 rt oaduniandes ayeryhoy vista bloque b pabellon antigua carcel buen pastor uniandes throwbackthursd; j : 187. Sim : 0.36786625; No similar. 
 unisabana unica universidad colombiana listado qs universidades menores 50 anos jrrodriguezgil labe; j : 188. Sim : 0.3845484; No similar. 
 jrrodriguezgil trabaje varias oportunidades rubiodave graduado unisabana consta altisima calidad pr; j : 189. Sim : 0.19324616; No similar. 
 sabor pais filbo2017 mano chef carlos gaviria autor tecnicas profesionales coci labelurl  ; j : 190. Sim : 0.30080697; No similar. 
 constitucion 91 vemos hoy gente pudo retomar espacio politico clara atehortua labelurl  ; j : 191. Sim : 0.2753221; No similar. 
 rt usembassybogota agregado militar eeuu colombia agradece apoyo estudiantes universidades mision p; j : 192. Sim : 0.33990774; No similar. 
 rt donjuancampo buena celebracion unisabanaradio 8 anos muestran camino solido futuro unisabana com; j : 193. Sim : 0.48620284; No similar. 
 nicolas calderon estudiante comsabana listo vivir grammylatino hace parte claraluna nominado labelu; j : 194. Sim : 0.3456105; No similar. 
 rt culturauniandes alosandesenbici concierto trio jazz triciclo sala ernesto martin hoy 100pm label; j : 195. Sim : 0.14562868; No similar. 
 manana auditorio fundadores sinfonicaeafit tendra v concierto temporada 2017 mass in blue l labelur; j : 196. Sim : 0.26436716; No similar. 
 rt usembassybogota equipo ccykcolombia listo mas 10 mil asistentes educacion superior nafsa16 label; j : 197. Sim : 0.37952903; No similar. 
 2015 2016 disminucion inversion vivienda pasando 24 16 2016 piedad retrepo labelurl  ; j : 198. Sim : 0.3730205; No similar. 
 rt unimedios jose felix patino medico educacion labelurl via elespectador unimedios uncolombia unal; j : 199. Sim : 0.55223024; Baja. 
 rt innpulsacol hoy uniandes conociendo exito transferencia tecnologia proyecto phycore apoyado innp; j : 200. Sim : 0.25702432; No similar. 
 comunidad tarde viernes vamos tras huellas virginia gutierrez pineda labelurl via elespectador  ; j : 201. Sim : 0.36852536; No similar. 
 puedan ayudar transformar procesos educacion jovenes deben ser parte compromiso andre labelurl  ; j : 202. Sim : 0.1902472; No similar. 
 noticiaun aplicacion anular filas supermercados idea innovadora premiada uninnova vriun unmedellin ; j : 203. Sim : 0.36385658; No similar. 
 rt cerosetenta plan semana tranquilo aca estan los5de070 labelurl cc uniandes indiebogota armandore; j : 204. Sim : 0.40080586; No similar. 
 rt comsabana cinefilia quinto libro jeronimorivera hoy presenta cinetonalabog hoy promocion cuesta ; j : 205. Sim : 0.17624152; No similar. 
 rt oaduniandes ayeryhoy bloque rgc actualmente facultad biblioteca derecho uniandes throwbackthursd; j : 206. Sim : 0.276131; No similar. 
 rt hernanolano facultad cumple 5 anos gracias equipo profesores colaboradores unisabana unisabanara; j : 207. Sim : 0.3477962; No similar. 
 modo mision sabana contamos ayuda puedes llevar donacion edificio dejarla secr labelurl  ; j : 208. Sim : 0.27036455; No similar. 
 nacional mejor universidad colombia segun rank qs labelurl mantillaignacio mineducacion via eltiemp; j : 209. Sim : 0.47067735; No similar. 
 noticiaun viviendas espacio publico activan entorno estacion metro labelurl via unimedios territori; j : 210. Sim : 0.4182559; No similar. 
 si genera empleo vamos ser capaces pais reducir pobreza brucemacmaster andicolombia labelurl  ; j : 211. Sim : 0.19674611; No similar. 
 concierto bienestarsabana tamar lalo daniel oyarzabal josetxu obregon presentaran campus 30 s label; j : 212. Sim : 0.32110852; No similar. 
 universidad nacional realiza concursos dar solucion proyectos empresariales unmedellin labelurl via; j : 213. Sim : 0.26615512; No similar. 
 rt fasecoldaoficia unisabana hace lanzamiento cuarta edicion libro seguros temas esenciales labelur; j : 214. Sim : 0.2707731; No similar. 
