Modulo nnlm-es-dim128-with-normalization-2
Topicos : unisabana colombia estudiantes mas social innovacion ser investigacion profesores 
 1998 francisco santos participo manera activa acuerdos puerta cielo eln carlos velandia gestor paz ; j : 1. Sim : 0.34114444; No similar. 
 senora dice vote ustedes van hacer ustedes arreglan francisco santos exvicepresidente colombia  ; j : 57. Sim : 0.34094268; No similar. 
 prueba nuevo combo restauranteescuela sandwich pollo galleta mantequilla mani coca cola ed labelurl; j : 58. Sim : 0.11227941; No similar. 
 rt derechousabana ii jornadas internacionales propiedad intelectual cedepi cordobamarentes juancmar; j : 59. Sim : 0.47022757; No similar. 
 terreno civil estable sociedad democratica c tognato director centro nicanor restrepo santamaria pa; j : 60. Sim : 0.41093215; No similar. 
 rt educaunisabana grata visita estudiante maestria pedagogia guajira laura henriquez bienvenida cas; j : 61. Sim : 0.40468228; No similar. 
 rt facisouniandes si ingles aun fortalezas pueden mejorarlo mientras disfrutan cafecito miprimerdia; j : 62. Sim : 0.18292177; No similar. 
 rt inguniandes peatones van correr 9k uniandes llegar podio crees ganaran carrerademodos semanadela; j : 63. Sim : 0.05498388; No similar. 
 nefastos numeros paro camionero ana maria olaya eicea via eltiempo labelurl colombia parocamionero ; j : 64. Sim : 0.38860422; No similar. 
 va mas humanismo mas sensible piensa solo terminos matematicos maria clara aristizabal  ; j : 65. Sim : 0.4164708; No similar. 
 rt educaunisabana ciroparram maestros reto ayudar lograr lapaz pais ustedes estan construyendo pais; j : 66. Sim : 0.5698589; Baja. 
 rt fcardioinfantil acuerdo permitira estudiantes medicina pongan practica conocimientos dr santiago; j : 67. Sim : 0.48508075; No similar. 
 rt uremprende si podemos hacer cosas cambien queremos ser agente cambio carolinaavila lideresempren; j : 68. Sim : 0.14254142; No similar. 
 generarle confianza farc ayer dio primer paso amnistia llegue francisco santos exvicepresidente  ; j : 69. Sim : 0.22525516; No similar. 
 hijos tecnologia infancia 10 tip ser familia digital responsable articulo via lafamiliainfo labelur; j : 70. Sim : 0.4914568; No similar. 
 espacio publico requiere habitantes calidad accesibilidad poder ofrecer interaccion social salud re; j : 71. Sim : 0.44388294; No similar. 
 rt congresovisible diadelamujer datos clave percepcion roles genero colombia trabajo mujeres congre; j : 72. Sim : 0.556912; Baja. 
 educaunisabana profesor jeffergm explica podemos ayudar disminuir contaminacion bogota via citytv u; j : 73. Sim : 0.49182793; No similar. 
 rt comsabana ser profesora asistente nuevo escalafon unisabana da estilo bien representados cristio; j : 74. Sim : 0.3953083; No similar. 
 rt educaunisabana profesor johnalba25 cierra jornada avances resultados proyectos institucionales u; j : 75. Sim : 0.3790252; No similar. 
 rt unisabanaradio 10k twitter muchas gracias permitirnos llevarles tantas historias medio radio usr; j : 76. Sim : 0.21737224; No similar. 
 ser victima sufren ciudadanos 10 anos llore miles victimas francisco santos exvicepresidente  ; j : 77. Sim : 0.49905336; No similar. 
 derecho penal trabajo mirada doble via autores ana munoz ricardo posada labelurl investigacionunian; j : 78. Sim : 0.33766258; No similar. 
 rt hernanolano uchile vi congreso latinoamericano historia derecho derechousabana unisabana obdulio; j : 79. Sim : 0.24697718; No similar. 
 carolinaareyes hola lamentamos sucedido puede informarnos lugar campus encontraba informaremos plan; j : 80. Sim : 0.24535021; No similar. 
 mateo moya cristhian mendoza comsabana participan corto galaxia smart film vota aqui labelurl  ; j : 81. Sim : 0.24771012; No similar. 
 rt aniromerowills 28 alumnos diferentes regiones pais ecuador maestria asesoria familiar ifaunisaba; j : 82. Sim : 0.6341343; Baja. 
 pot puso peaton arriba piramide seguir fortaleciendo santiago ortega escuela ingenieria sosporelair; j : 83. Sim : 0.41119155; No similar. 
 rt serpilopaga toma decision programa academico cursar informado conoce tip ayudaran decision serpi; j : 84. Sim : 0.3473293; No similar. 
 sondeo usted acuerdo proyecto ciudad can retira predios da unal opine aqui labelurl  ; j : 85. Sim : 0.20160303; No similar. 
 mikemartin1984 cursos pueden tomar totalmente gratis plataforma cobra caso quiera obtener certifica; j : 86. Sim : 0.20262083; No similar. 
 rt tciceu summer school comunita sviluppo locale pronti partire eafitsocial oecdcfe sumschool17 lab; j : 87. Sim : 0.31147277; No similar. 
 presidente santos bajo umbral dejo opcion abstenernos obligo ir francisco santos  ; j : 88. Sim : 0.26587558; No similar. 
 cumbiera intelectual cantante kevin johansen nominado tres veces grammy sono andes labelurl  ; j : 89. Sim : 0.35673293; No similar. 
 rt cicrco urosarionews arranca panel dih jep danilorojas201 restrepojcamilo juanc foreroalberto fer; j : 90. Sim : 0.043781973; No similar. 
 ayer triunfadores perdedores mensaje entendi tan grande pacto benidorm francisco santos  ; j : 91. Sim : 0.3022516; No similar. 
 enfriar atomos obtener reloj mas preciso mundo visita nobelprize wiiliam phillips labelurl  ; j : 92. Sim : 0.16440667; No similar. 
 rt alumnisabana asi culmina trilogia encuentros alumni eicea gracias habernos acompanado administra; j : 93. Sim : 0.3262151; No similar. 
 rt samuelespinal95 asi vivio donaton mocoa urosarionews gracias demostrar significa formacion huma ; j : 94. Sim : 0.32958126; No similar. 
 rt angelamaria29 conversatorio podemos esperar visita papa panelistas unisabana prensaurosario unij; j : 95. Sim : 0.42257807; No similar. 
 ser pilo paga sera politica presidente santos reunio rectores evaluar iniciativa labelurl  ; j : 96. Sim : 0.5191933; Baja. 
 dilema casa debido tareas escolares columna tany fernandez guayana profesora ifaunisabana labelurl ; j : 97. Sim : 0.38884047; No similar. 
 serie grandes maestros fals borda intelectual influencio ciencias sociales labelurl via elespectado; j : 98. Sim : 0.51013327; Baja. 
 participa conferencia new and reemerging infectious diseases risk responses and consequences labelu; j : 99. Sim : 0.16253102; No similar. 
 rt hernanolano reunion alumnisabana chile 10 graduados usingenieria usabanamedicina unisabana derec; j : 100. Sim : 0.4389979; No similar. 
 rt ifaunisabana hora estudiantes unisabana hablan noticiero rcnradio hablando ser voluntarios visit; j : 101. Sim : 0.46304664; No similar. 
 colombianos dieron semejante leccion democratica semejante leccion dignidad francisco santos exvice; j : 102. Sim : 0.47261158; No similar. 
 podemos ser agentes criticos cambio decir cosas generen cambio tpaffenholz investigacionesparalapaz; j : 103. Sim : 0.2998848; No similar. 
 opusdeicolombia gracias labelurl gracias narra tres minutos trazos vida mons javier echevarria  ; j : 104. Sim : 0.041008044; No similar. 
 destacamos oscar guillermo garcia rivas alumno distinguido facultad filosofia ciencias humanas labe; j : 105. Sim : 0.5940267; Baja. 
 rt unisabanaradio sintonice hora vocesdelahistoria bajo direccion alba sachica profesora facultad f; j : 106. Sim : 0.28716; No similar. 
 hablar beneficios paz prediccion increiblemente abstracta humberto calle jefe equipopazgob benefici; j : 107. Sim : 0.27853015; No similar. 
 familia matrimonio hijos primera medicion sondeo termometro familia ifaunisabana via elespectador l; j : 108. Sim : 0.35439444; No similar. 
 munur16 guillermo fernandez representante adjunto oficina colombia naciones unidas dd hh labelurl  ; j : 109. Sim : 0.39947227; No similar. 
 hagamos mercadeo entorno capitalismo consciente mercadeo debe ser siempre social davidescobara labe; j : 110. Sim : 0.29878038; No similar. 
 rt serpilopaga opciones puedes optar ser pilo paga profe tenlos present piloprofe labelurl  ; j : 111. Sim : 0.23065121; No similar. 
 guerrilla institucionalidad va poder dar salto calidad necesitamos sergio guarin ideaspaz  ; j : 112. Sim : 0.19806267; No similar. 
 lourdes flamarique profesora titular filosofia universidad navarra unav visito facultad filosof lab; j : 113. Sim : 0.5326632; Baja. 
 rt facisouniandes pablo patino ciencias sociales dice mepongolostenis apoyemos carrera senek labelu; j : 114. Sim : 0.41445568; No similar. 
 paz compromiso social implica conocimiento mas alla manipulacion emociones nicolas montero  ; j : 115. Sim : 0.5724585; Baja. 
 trie edi mulyani exembajadora indonesia colombia hablo eafit empoderamiento mujeres esce labelurl  ; j : 116. Sim : 0.38845167; No similar. 
 gael giraud economista jefe afd comienza intervencion macroeconomics and climate crecimientoverde l; j : 117. Sim : 0.24955453; No similar. 
 salud clinunisabana aprende identificar sintomas accidente cerebro vascular puedes salvar vida labe; j : 118. Sim : 0.27414754; No similar. 
 carlos enrique vimos llevar mensaje vision compartida da humanidad administracion ami labelurl  ; j : 119. Sim : 0.43230695; No similar. 
 rt bienestarsabana dale segunda oportunidad ropa juguetes utilizas casa familias misionsabana caj  ; j : 120. Sim : 0.16831233; No similar. 
 the social dynamics of civil war profesor jeffrey checkel sfu canada labelurl labelurl  ; j : 121. Sim : 0.3064727; No similar. 
 medellininvestiga 2016 exalta labor investigativa michel hermelin arbaux profesor emerito universi ; j : 122. Sim : 0.36695144; No similar. 
 advertencias reintegracion alp ozerdem centre for peace and reconciliation study covcampus labelurl; j : 123. Sim : 0.18728553; No similar. 
 quiza mas correcto decir posplebiscito modificado expectativas situacion politica manera dramatica ; j : 124. Sim : 0.4857783; No similar. 
 profesora andes nueva vicepresidenta academy of pavement science and engineer excelenciauniandes la; j : 125. Sim : 0.3135456; No similar. 
 labor ximenapena cambio vida varias mujeres pais descubra apoye causa solidaridaduniandes labelurl ; j : 126. Sim : 0.33598247; No similar. 
 rt educaunisabana sigue presentacion investigaciones profesores mineducacion realizaron maestria pe; j : 127. Sim : 0.58512634; Baja. 
 rt jrestrp expresidente cesar gaviria debateplebiscitour urosarionews eltiempo pnudcolombia fundaci; j : 128. Sim : 0.20808555; No similar. 
 papel ustedes si ven mezquindad pensando 2018 salir movilizarse francisco santos  ; j : 129. Sim : 0.27281946; No similar. 
 ganadores decimo primera version concurso iniciativas empresariales reciben incentivo continuar sue; j : 130. Sim : 0.44792783; No similar. 
 jeffrey checkel sfu urosario conferencia the social dynamics of civil war labelurl labelurl  ; j : 131. Sim : 0.19077829; No similar. 
 sigue preservar cese hostilidades mas importante cuidarlo guantes seda francisco santos  ; j : 132. Sim : 0.18726653; No similar. 
 rt samvaguirre ambas universidades rosario salamanca sido innovadoras autonomas mentes visionarias ; j : 133. Sim : 0.46464226; No similar. 
 rt hernanolano jueves pasadoxv congreso filosofia derecho cidunal derechousabana historiavoces filo; j : 134. Sim : 0.07579181; No similar. 
 barbara oakley coautora aprendiendo aprender visito uniandes compartio mejores tecnicas estudio lab; j : 135. Sim : 0.31324103; No similar. 
 maria camila gallego graduada alumnisabana filosofia beneficiaria colfuturo estudia maestria escoci; j : 136. Sim : 0.45960543; No similar. 
 ley procedimientoabreviado da pasos hacia reforma politica criminal nestor humberto martinez labelu; j : 137. Sim : 0.41047692; No similar. 
 rt redcarolinacol acompanando preludio celebracion viii centenario universidad salamanca alma mater; j : 138. Sim : 0.41377586; No similar. 
 rt uniandinosiempr sueno generacion paz utopia alejandro rojas graduando inguniandes gradosuniandes; j : 139. Sim : 0.5147846; Baja. 
 rt malgorzata2505 excelente participacion comunidad ur lanzamiento crai ur urosarionews jrestrp viv; j : 140. Sim : 0.22382791; No similar. 
 rt nlincolombia muchas gracias fliporg itmmedellin eafit westwingbz dosorio2011 apoyo organizacion ; j : 141. Sim : 0.3258135; No similar. 
 rt bogoshorts miles emociones bajo cielo estrellado pierda bogoshortsbajolaluna plazoleta cai unian; j : 142. Sim : 0.008631663; No similar. 
 rt jrestrp lanzamiento nuevo pregrado urosarionews maccurosario paso adelante innovacion volviendo ; j : 143. Sim : 0.3075959; No similar. 
 ingenieros uniandinos trabajan proyecto lsst large synoptic survey telescope mapear universo labelu; j : 144. Sim : 0.22822613; No similar. 
 educacion debe ser mas integral hablar pedagogia mas dialogante julian zubiria labelurl  ; j : 145. Sim : 0.5906895; Baja. 
 rt ulasallista metrodemedellin g8 creando alianzas colegiaturacol upbcolombia universidadces univer; j : 146. Sim : 0.17368697; No similar. 
 rt maluechavez asi formamos estudiantes urosario busqueda transformacion social ser parte cambio  ; j : 147. Sim : 0.6164026; Baja. 
 rt dvelasco82 grandes analistas sector publico privado academico forofinanciacionctei urosarionews ; j : 148. Sim : 0.45666304; No similar. 
 nadie pueden llevar dejar armas despues cambiarle reglas juego claralopezobre lospresidenciables201; j : 149. Sim : 0.13401264; No similar. 
 rt economiauandes perdido estudiante miguel rodriguez barajas accidente trafico siempre estara htt ; j : 150. Sim : 0.36595422; No similar. 
 rt educaunisabana profesores socializacion analisis intertextual clase seminario investigacion imae; j : 151. Sim : 0.5888351; Baja. 
 clave ser buen padre amar hijos columna andres cano profesor ifaunisabana labelurl  ; j : 152. Sim : 0.33522764; No similar. 
 asi salida parque jaime duque asistieron estudiantes cursos libres fotografia profesor labelurl  ; j : 153. Sim : 0.49514326; No similar. 
 podemos pretender cada actor via carril propio si podemos optimizar infraestructura  ; j : 154. Sim : 0.09060479; No similar. 
 rt cideruniandes centro interdisciplinario debe trabajar regiones generando lazos comunidades javie; j : 155. Sim : 0.22525448; No similar. 
 rt duartepalacios gracias uniandes beneficiario programa oportunidades talento nacionalabuelo quier; j : 156. Sim : 0.19424479; No similar. 
 rt culturauniandes buenosdias recibimos hoy martesenvivo xaviermartinex guitarrista compositor cale; j : 157. Sim : 0.020387983; No similar. 
 hilda arango ortega decana eicea nueva presidenta consejo latinoamericano escuelas administracion l; j : 158. Sim : 0.36295527; No similar. 
 bogota ciudad mas casos violencia intrafamiliar pais estudio ifaunisabana via eltiempo labelurl  ; j : 159. Sim : 0.5852336; Baja. 
 alexxpino saludos debe enviar solicitud autorizacion escrita firmada graduado correo admcertificado; j : 160. Sim : 0.22553504; No similar. 
 noticiaun prototipo colombiano crear panel solares mas eficientes base aguacate mora labelurl  ; j : 161. Sim : 0.32976428; No similar. 
 rt eafitpereira hacer curso puedes organizar trabajo tareas datos tomar mejores decisiones labelurl; j : 162. Sim : 0.27205014; No similar. 
 rt cesepulvedar urosarionews lanzamiento pregrado matematicas aplicadas ciencias computacion gran a; j : 163. Sim : 0.5402308; Baja. 
 rt oeccuninorte continua ciclo ponencias experiencias innovacion investigacion yasbley segovia unis; j : 164. Sim : 0.56857455; Baja. 
 rt unisabanaradio dime escuchas dire profesores administrativos plasmaron musica favorita playlists; j : 165. Sim : 0.45360586; No similar. 
 creemos fervorosamente nuevos instrumentos combatir crimen ser eficientes martinez fiscaliacol labe; j : 166. Sim : 0.44771132; No similar. 
 cumbiera intelectual cantante kjohansen nominado tres veces grammy sono andes labelurl  ; j : 167. Sim : 0.31695986; No similar. 
 rt hernanolano villavicencio seminariospapaunisabana unisabana vaticanes newsvaes episcopadocol gob; j : 168. Sim : 0.17351961; No similar. 
 ciberbullying aumentan adolescencia tardia disminuyen edad adulta gordon ingram facisouniandes labe; j : 169. Sim : 0.33263278; No similar. 
 radio magica validadora alejovillalobos do generaciones sola radio consejoech echur labelurl  ; j : 170. Sim : 0.21860358; No similar. 
 radio lugar ir indacastellanos conversatorio do generaciones sola radio echur labelurl  ; j : 171. Sim : 0.26269147; No similar. 
 comision verdad ser totalmente independiente gobierno farc poner comisionados f santos  ; j : 172. Sim : 0.5408846; Baja. 
 visita sitio periodico nova et vetera disfruta mejores contenidos linea labelurl labelurl  ; j : 173. Sim : 0.24326107; No similar. 
 creo eleccion mas informada dado colombia francisco santos exvicepresidente republica  ; j : 174. Sim : 0.533239; Baja. 
 interesa conocer mas debida diligencia herramienta prevenir soborno transnacional visita labelurl  ; j : 175. Sim : 0.2925669; No similar. 
 enrique bayer presidente asociacion amigos movilidadbogota cablenoticias periodista juliana luchi l; j : 176. Sim : 0.40123922; No similar. 
 puedes disfrutar mas destacado nueva edicion revista nova et vetera labelurl labelurl  ; j : 177. Sim : 0.2435867; No similar. 
 fcvitanic profesor facultad filosofia ciencias humanas invitado elespectador analizar pos labelurl ; j : 178. Sim : 0.45014596; No similar. 
 rt aniromerowills revista apuntes familia mirada paz relaciones familiares ifaunisabana unisabana l; j : 179. Sim : 0.38398033; No similar. 
 reviva transmision evento sigue despues plebiscito francisco santos carlos velandia labelurl  ; j : 180. Sim : 0.40249947; No similar. 
 grandes maestros fals borda intelectual influencio ciencias sociales labelurl via elespectador  ; j : 181. Sim : 0.5121392; Baja. 
 paz desafios colombia editorial nueva edicion revista nova et vetera labelurl  ; j : 182. Sim : 0.41996452; No similar. 
 tecnologia pedagogia espacios personales aprendizaje elementos nueva sala aprendizaje activo labelu; j : 183. Sim : 0.44914573; No similar. 
 programa paiis facultad derecho enfoca igualdad inclusion social ddhh apoyelo labelurl  ; j : 184. Sim : 0.5205938; Baja. 
 profesor fcvitanic facultad filosofia ciencias humanas ascendio categoria profesor asistente labelu; j : 185. Sim : 0.52459997; Baja. 
 rt prensaurosario hombres enamoran ojos mujeres oido drpalacios14 dementescuriosas urosarionews adn; j : 186. Sim : 0.17801948; No similar. 
 aprendiendo ensenar asi preparan 56 nuevos integrantes programa semillero profesores labelurl  ; j : 187. Sim : 0.5080931; Baja. 
 asi produce queso parmesano summercourses eicea italy ucscinternational ucscsummer2016 experiencia ; j : 188. Sim : 0.047195263; No similar. 
 rt inguniandes battlewaternetworks wdsa2016 profbohorquez explica estudiantes profesores solucionar; j : 189. Sim : 0.34761378; No similar. 
 rt economiauandes minutos lanzamiento libro idealista pragmatico odisea albert hirschman envivo lab; j : 190. Sim : 0.092462175; No similar. 
 rt hernanolano honrado recibir monasterio candelaria oarecoletos distincion unisabana cristovision ; j : 191. Sim : 0.3375101; No similar. 
 darwin cortes juan m gallego profesores econurosario cuya investigacion publicada guardian labelurl; j : 192. Sim : 0.515022; Baja. 
 francia segunda patria casos vincent van gogh frederic chopin labelurl frcol2017 labelurl  ; j : 193. Sim : 0.41514608; No similar. 
 gatos pardos publicacion jose rodriguez iturbe mirada culturalpolitica realidad latinoamericana lab; j : 194. Sim : 0.45534375; No similar. 
 rt soyandresacosta participando carrera senek podran apoyar beca quiero estudiar labelurl mepongolo; j : 195. Sim : 0.34889716; No similar. 
 grupo misionchina eicea visita baosteel empresa acero mas grandes mundo labelurl  ; j : 196. Sim : 0.32561383; No similar. 
 katherine ramirez graduada eicea encontro agro negocios campo investigacion estudio labelurl  ; j : 197. Sim : 0.53855616; Baja. 
 apoyo mas 6000 donantes quieroestudiar cumplido cientos suenos conozcalos solidaridaduniandes label; j : 198. Sim : 0.41480574; No similar. 
 tres profesores ur participaran encuentro premios nobel economia lindau alemania labelurl  ; j : 199. Sim : 0.57666963; Baja. 
 jugamos cartas pusieron cuantos avisos viste campana francisco santos promotor  ; j : 200. Sim : 0.18988968; No similar. 
 94 profesores rutadeformacion mineducacion comenzaron maestria educaunisabana suenos futuro colombi; j : 201. Sim : 0.59441435; Baja. 
 vicerrectora stephanie lavaux reflexion responsabilidad social urosario anuario corresponsables 201; j : 202. Sim : 0.48581785; No similar. 
 rt hablemosdepazur interviene marlene orjuela defensora ddhh especializada cultura paz hablemosdepa; j : 203. Sim : 0.14075276; No similar. 
 rt uniandinosiempr conscientes responsabilidad privilegio uniandinos luchen etica julian nino gradu; j : 204. Sim : 0.4776563; No similar. 
 rt lasabanaabroad investigadores unisabana participando webinar pitch research w faffrobert from uq; j : 205. Sim : 0.38077554; No similar. 
 cuide do nuevas especies marsupiales descubiertas cientifico paisa labelurl via noticiascaracol  ; j : 206. Sim : 0.28172526; No similar. 
 largo camino alcanzar metas innovacion colombia nidia garcia profesora eicea labelurl labelurl  ; j : 207. Sim : 0.476159; No similar. 
 tres profesores urosario participaran encuentro premios nobel economia lindau alemania labelurl  ; j : 208. Sim : 0.55714446; Baja. 
 bob dylan gano nobel literatura opinion profesor historia rock luisferalgarra labelurl  ; j : 209. Sim : 0.44783044; No similar. 
 muchas empresas optamos respetar cultura negocios adquirimos preservar filosofia transve labelurl  ; j : 210. Sim : 0.31186104; No similar. 
 justicia restaurativa reparar dano oportunidad manejo ciberbullying caropineros redpapaz respetoenr; j : 211. Sim : 0.37201476; No similar. 
 pais escindido politica opinion comprension real conocimiento camino nicolas montero  ; j : 212. Sim : 0.5663825; Baja. 
 rt icfescol felicidades estudiantes ganadores propuestas investigacion seran financiadas icfes inve; j : 213. Sim : 0.6215495; Baja. 
 clave exito curiosidad labelurl william phillips premio nobel fisica 1997 cate labelurl  ; j : 214. Sim : 0.4071348; No similar. 
 javier bermudez profesor educaunisabana obtuvo titulo doctor gobierno cultura organizaciones labelu; j : 215. Sim : 0.44587842; No similar. 
 the social dynamics of civil war profesor jeffrey checkel politicaur labelurl  ; j : 216. Sim : 0.2907505; No similar. 
 alfonso aza jacome lanzamiento libro drogas politicas publicas legalizacion prohibicion labelurl  ; j : 217. Sim : 0.5683888; Baja. 
 rt usingenieria unisabana primera universidad colombia participa shellecomarathon2017 listos ir det; j : 218. Sim : 0.44210064; No similar. 
 eafit vivo labelurl panel empresarios pactoglobal isaconexiones gruponutresa gruposura epmestamosah; j : 219. Sim : 0.3005118; No similar. 
