Modulo nnlm-es-dim128-with-normalization-2
Topicos : unisabana colombia mas estudiantes paz educacion social cambio investigacion innovacion ser carlos santos 
 1998 francisco santos participo manera activa acuerdos puerta cielo eln carlos velandia gestor paz ; j : 1. Sim : 0.5766231; Baja. 
 unico creia iba ganar partido incluyendo alvaro uribe francisco santos exvicepresidente colombia  ; j : 39. Sim : 0.58983254; Baja. 
 politicos pusieron peso pusieron teja zinc bulto cemento expreso opinion francisco santos  ; j : 40. Sim : 0.3943815; No similar. 
 rt deuniandes medallista olimpico oscar figueroa visito u dejo mensaje estudiantes curso practica s; j : 41. Sim : 0.5270107; Baja. 
 rt minjusticiaco aestahora ministro enriquegilbgil participa foro plandecenal justicia organizado c; j : 42. Sim : 0.29726073; No similar. 
 rt fcardioinfantil acuerdo permitira estudiantes medicina pongan practica conocimientos dr santiago; j : 43. Sim : 0.52314866; Baja. 
 primero sonreir edna hurtado cesar yepes juan pablo soche charla formacion volunta labelurl  ; j : 44. Sim : 0.4783024; No similar. 
 josefina agudelo podemos hacer panorama retador portafolios iniciativas idi ser sostenibles colombi; j : 45. Sim : 0.31560054; No similar. 
 veces quemar naves seguir adelante dejar hacer mismo cambiar diadelperiodista creatividad mtascon  ; j : 46. Sim : 0.2013968; No similar. 
 rt unisabanaradio 10k twitter muchas gracias permitirnos llevarles tantas historias medio radio usr; j : 47. Sim : 0.25792265; No similar. 
 aceptemos reto desarmar ninos soldados colombia paz colombia neila diaz profesora psicosabana1 labe; j : 48. Sim : 0.70649016; Media. 
 domingo hablo dolor pais elecciones mas limpias transparentes pesar desequilibrio francisco santos ; j : 49. Sim : 0.57376564; Baja. 
 rt cespedeslinam magistrado consejo francia facultad jurisprudencia urosarionews catedra inaugural ; j : 50. Sim : 0.4340189; No similar. 
 paz etapa posterior mas compleja mas larga humberto calle jefe equipopazgob beneficiosdelapaz  ; j : 51. Sim : 0.4010009; No similar. 
 rt concejodebogota hora ivan dario gomez lee delegado conciliacion administrativa pgncol interviene; j : 52. Sim : 0.38844296; No similar. 
 reglas juego rama judicial operan jep rafael nieto loaiza ex vicemin justicia labelurl  ; j : 53. Sim : 0.42932475; No similar. 
 rt economiauandes documentocede no26 land child labor and schoolinglongitudinal evidence from colom; j : 54. Sim : 0.1598431; No similar. 
 aun tal proceso totalmente atipico mundo parezca carlos velandia gestor paz eln  ; j : 55. Sim : 0.44303307; No similar. 
 rt cancilleriaur jeroen roodenburg embajador reino paises bajos colombia urosarionews explorando pr; j : 56. Sim : 0.2435478; No similar. 
 espacio publico requiere habitantes calidad accesibilidad poder ofrecer interaccion social salud re; j : 57. Sim : 0.45283067; No similar. 
 va mas humanismo mas sensible piensa solo terminos matematicos maria clara aristizabal  ; j : 58. Sim : 0.5150137; Baja. 
 rt uremprende si podemos hacer cosas cambien queremos ser agente cambio carolinaavila lideresempren; j : 59. Sim : 0.23670599; No similar. 
 rt facisouniandes si ingles aun fortalezas pueden mejorarlo mientras disfrutan cafecito miprimerdia; j : 60. Sim : 0.21257494; No similar. 
 6400000 brutos mal informados bueno sigue pensando respuesta francisco santos interpelacion asisten; j : 61. Sim : 0.38835165; No similar. 
 rt ministeriotic conectese siga vivo panel conductas estudiantes rede sociales uniandes respetoenre; j : 62. Sim : 0.31137967; No similar. 
 rt francisccardona columna ciro parra decano facultad educacion unisabana ser pilo paga verdad labe; j : 63. Sim : 0.64686376; Baja. 
 rt secredistmujer acuerdo 1 oportunidad superar brechas genero violencias mujeres martha ordonez ce; j : 64. Sim : 0.43241876; No similar. 
 rt congresovisible diadelamujer datos clave percepcion roles genero colombia trabajo mujeres congre; j : 65. Sim : 0.5684398; Baja. 
 mensaje victoria derrota mensaje politico mas bello puede mandar sociedad vamos altura  ; j : 66. Sim : 0.4634142; No similar. 
 ciudadanos aca ir campo ver verde tomine va ser parque espectacular enriquepenalosa  ; j : 67. Sim : 0.31618387; No similar. 
 congestion autopista altura peaje nortesur carro averiado via tomar vias alternas bogotasemueve  ; j : 68. Sim : 0.11217764; No similar. 
 rt upbcolombia aumento parque automotor principales razones aumento contaminacion aire maria victor; j : 69. Sim : 0.29445583; No similar. 
 rt educaunisabana ciroparram maestros reto ayudar lograr lapaz pais ustedes estan construyendo pais; j : 70. Sim : 0.5889246; Baja. 
 rt jrestrp felicitaciones cristina pardo egresada profesora urosarionews eleccion magistrada corte ; j : 71. Sim : 0.39672902; No similar. 
 crecimientoverde mas union comunidades cientifica generadora politicas mejor mitigacion cambio clim; j : 72. Sim : 0.70932966; Media. 
 rt innpulsacol implementamos metodologia rede uniandes pilar metodologia produccion mas limpia apre; j : 73. Sim : 0.4425288; No similar. 
 rt inguniandes construiran progamaran crearan optimizaran emprenderan haran mejor pais bienvenidos ; j : 74. Sim : 0.36782402; No similar. 
 pais exceso normas prioridad debe ir personas mas responsabilidades jorge giraldo policiaparalapaz ; j : 75. Sim : 0.56538665; Baja. 
 rt comsabana ser profesora asistente nuevo escalafon unisabana da estilo bien representados cristio; j : 76. Sim : 0.35179898; No similar. 
 terreno civil estable sociedad democratica c tognato director centro nicanor restrepo santamaria pa; j : 77. Sim : 0.50488263; Baja. 
 premios gemis reconocen mejores proyectos finales ingenieria sistemas vea gala hoy 500pm labelurl  ; j : 78. Sim : 0.33411118; No similar. 
 rt aniromerowills 28 alumnos diferentes regiones pais ecuador maestria asesoria familiar ifaunisaba; j : 79. Sim : 0.568728; Baja. 
 senora dice vote ustedes van hacer ustedes arreglan francisco santos exvicepresidente colombia  ; j : 80. Sim : 0.47446004; No similar. 
 carolinaareyes hola lamentamos sucedido puede informarnos lugar campus encontraba informaremos plan; j : 81. Sim : 0.22890782; No similar. 
 educaunisabana profesor jeffergm explica podemos ayudar disminuir contaminacion bogota via citytv u; j : 82. Sim : 0.44033715; No similar. 
 aceptemos reto desarmar ninos soldado pais columna neila diaz psicosabana1 via eltiempo labelurl  ; j : 83. Sim : 0.60909814; Baja. 
 generarle confianza farc ayer dio primer paso amnistia llegue francisco santos exvicepresidente  ; j : 84. Sim : 0.4257184; No similar. 
 hoy edad promedio seres humanos aparecen rede sociales 3 meses gestacion jcdiazbohorquez ifaunisaba; j : 85. Sim : 0.39687207; No similar. 
 rt derechousabana ii jornadas internacionales propiedad intelectual cedepi cordobamarentes juancmar; j : 86. Sim : 0.3850836; No similar. 
 pot puso peaton arriba piramide seguir fortaleciendo santiago ortega escuela ingenieria sosporelair; j : 87. Sim : 0.57055664; Baja. 
 rt economiauandes 400pm perspectiva fiscal colombia reforma tributaria estructural gasto publico co; j : 88. Sim : 0.48889056; No similar. 
 derecho penal trabajo mirada doble via autores ana munoz ricardo posada labelurl investigacionunian; j : 89. Sim : 0.4494841; No similar. 
 rt elpulso congreso internacional salud tic 30 eafit mayor informacion comunicarse 35305852 salud20; j : 90. Sim : 0.29990843; No similar. 
 rt arqdisua viaje traves arquitectura india ruta corbusier profesora invitada maria cecila obyrne l; j : 91. Sim : 0.35897577; No similar. 
 cumbiera intelectual cantante kevin johansen nominado tres veces grammy sono andes labelurl  ; j : 92. Sim : 0.38905388; No similar. 
 presidente santos bajo umbral dejo opcion abstenernos obligo ir francisco santos  ; j : 93. Sim : 0.45828798; No similar. 
 rt cicrco urosarionews arranca panel dih jep danilorojas201 restrepojcamilo juanc foreroalberto fer; j : 94. Sim : 0.026131846; No similar. 
 rt angelamaria29 conversatorio podemos esperar visita papa panelistas unisabana prensaurosario unij; j : 95. Sim : 0.42674497; No similar. 
 invertir quieroestudiar inversion mayor retorno andres morales socio sublat franquicia subway label; j : 96. Sim : 0.4591521; No similar. 
 conocimiento conductas terceros civiles jep rafael nieto loaiza ex vicemin justicia labelurl  ; j : 97. Sim : 0.47461665; No similar. 
 enfriar atomos obtener reloj mas preciso mundo visita nobelprize wiiliam phillips labelurl  ; j : 98. Sim : 0.24119788; No similar. 
 colombianos dieron semejante leccion democratica semejante leccion dignidad francisco santos exvice; j : 99. Sim : 0.61839783; Baja. 
 rt igarzonvallejo letra menuda columna elespectador reacciones fallo cconstitucional fast track htt; j : 100. Sim : 0.13605812; No similar. 
 ayer triunfadores perdedores mensaje entendi tan grande pacto benidorm francisco santos  ; j : 101. Sim : 0.48813775; No similar. 
 rt fcardioinfantil integrar urosarionews fcardioinfantil unico equipo multidisciplinario podemos lo; j : 102. Sim : 0.2721002; No similar. 
 rt alumnisabana asi culmina trilogia encuentros alumni eicea gracias habernos acompanado administra; j : 103. Sim : 0.3692518; No similar. 
 hablar beneficios paz prediccion increiblemente abstracta humberto calle jefe equipopazgob benefici; j : 104. Sim : 0.46193168; No similar. 
 congresodefamilia mas nineras electronicas mas biberones digitales encargados educar hijos jcdiazbo; j : 105. Sim : 0.50412506; Baja. 
 hagamos mercadeo entorno capitalismo consciente mercadeo debe ser siempre social davidescobara labe; j : 106. Sim : 0.35333607; No similar. 
 rt unisabanaradio sintonice hora vocesdelahistoria bajo direccion alba sachica profesora facultad f; j : 107. Sim : 0.31663007; No similar. 
 dilema casa debido tareas escolares columna tany fernandez guayana profesora ifaunisabana labelurl ; j : 108. Sim : 0.40618524; No similar. 
 participa conferencia new and reemerging infectious diseases risk responses and consequences labelu; j : 109. Sim : 0.12023502; No similar. 
 podemos ser agentes criticos cambio decir cosas generen cambio tpaffenholz investigacionesparalapaz; j : 110. Sim : 0.42154488; No similar. 
 rt samuelespinal95 asi vivio donaton mocoa urosarionews gracias demostrar significa formacion huma ; j : 111. Sim : 0.3599227; No similar. 
 serie grandes maestros fals borda intelectual influencio ciencias sociales labelurl via elespectado; j : 112. Sim : 0.49294755; No similar. 
 rt industrialandes recreobog proyecto desarrollado conjunto copa epiandes busca fomentar actividad ; j : 113. Sim : 0.31179264; No similar. 
 munur16 guillermo fernandez representante adjunto oficina colombia naciones unidas dd hh labelurl  ; j : 114. Sim : 0.52569854; Baja. 
 seminario investigacion fcnm molecular basis of adaptive phenotypes in tropical butterfly labelurl ; j : 115. Sim : 0.22993727; No similar. 
 molecular basis of adaptive phenotypes in tropical butterfly seminario investigacion fcnm labelurl ; j : 116. Sim : 0.22993729; No similar. 
 ricardojllo puede contactar repres telefono 2619500 ext 9020 correo representanteseafiteduco 22  ; j : 117. Sim : 0.16368817; No similar. 
 macartizaron justicia paz triste quedaron aprendizajes pasaron cosas interesantes francisco santos ; j : 118. Sim : 0.42725196; No similar. 
 jurisdiccion especial paz prospectiva piensa futuro juan carlos forero decano jurisprudencia labelu; j : 119. Sim : 0.5703607; Baja. 
 90 votaron quieren paz paz distinta pido entiendan mensaje francisco santos  ; j : 120. Sim : 0.48658347; No similar. 
 trie edi mulyani exembajadora indonesia colombia hablo eafit empoderamiento mujeres esce labelurl  ; j : 121. Sim : 0.4838031; No similar. 
 ingenieros uniandinos trabajan proyecto lsst large synoptic survey telescope mapear universo labelu; j : 122. Sim : 0.14811513; No similar. 
 sigue preservar cese hostilidades mas importante cuidarlo guantes seda francisco santos  ; j : 123. Sim : 0.41118217; No similar. 
 grupos copa epiandes apoyan proyecto recreovias inteligencia analitica toma decisiones idr labelurl; j : 124. Sim : 0.28101707; No similar. 
 directivos hacemos buen uso correo electronico reflexion ciro gomez profesor inalde labelurl  ; j : 125. Sim : 0.5942332; Baja. 
 ofrecemos 22 moocs educacion finanzas mercadeo fisica literatura emprendimiento desarrollo videojue; j : 126. Sim : 0.50668633; Baja. 
 juan carlos visbal morales cirujano gastroenterologo clinunisabana explica abc cancer colon labelur; j : 127. Sim : 0.44804478; No similar. 
 rt fuerzasmilcol fuerzasmilitares participan foro justicia especial paz realizado urosarionews jep ; j : 128. Sim : 0.32549146; No similar. 
 carlos arevalo profesor maestriaderintl compartio punto vista decision brexit via bluradioco labelu; j : 129. Sim : 0.45440426; No similar. 
 profesora andes nueva vicepresidenta academy of pavement science and engineer excelenciauniandes la; j : 130. Sim : 0.27678424; No similar. 
 grupos copa epiandes apoyan proyecto recreovias inteligencia analitica toma decisiones idrd labelur; j : 131. Sim : 0.2812611; No similar. 
 opusdeicolombia gracias labelurl gracias narra tres minutos trazos vida mons javier echevarria  ; j : 132. Sim : 0.18068261; No similar. 
 rt uniandinosiempr defrauden demas nunca defrauden ustedes mismos frank pearl invitado gradosuniand; j : 133. Sim : 0.36352262; No similar. 
 carlos enrique vimos llevar mensaje vision compartida da humanidad administracion ami labelurl  ; j : 134. Sim : 0.5913395; Baja. 
 jeffrey checkel sfu urosario conferencia the social dynamics of civil war labelurl labelurl  ; j : 135. Sim : 0.18781286; No similar. 
 paz compromiso social implica conocimiento mas alla manipulacion emociones nicolas montero  ; j : 136. Sim : 0.71151954; Media. 
 labor ximenapena cambio vida varias mujeres pais descubra apoye causa solidaridaduniandes labelurl ; j : 137. Sim : 0.4202412; No similar. 
 the social dynamics of civil war profesor jeffrey checkel sfu canada labelurl labelurl  ; j : 138. Sim : 0.2834349; No similar. 
 rt bogoshorts miles emociones bajo cielo estrellado pierda bogoshortsbajolaluna plazoleta cai unian; j : 139. Sim : 0.099652626; No similar. 
 jurisdiccion especial paz juan carlos forero decano facultad jurisprudencia urosario beneficiosdela; j : 140. Sim : 0.55510473; Baja. 
 rt unisabanaradio felicidades pat pauliscs nicolas bello ganar categoria direccion fotografia proye; j : 141. Sim : 0.5199839; Baja. 
 servicio empresa asi evento customer phd academy ximena campos estudiantes administracion labelurl ; j : 142. Sim : 0.5073898; Baja. 
 dinamica empresarial servicios educativos ubicacion geografica potencial fortalezas region sabanace; j : 143. Sim : 0.5279041; Baja. 
 lothar witte director fundacionfescol mpachoncv decana politicaur apertura seminario reforma seg la; j : 144. Sim : 0.24110119; No similar. 
 rt dvelasco82 grandes analistas sector publico privado academico forofinanciacionctei urosarionews ; j : 145. Sim : 0.36609975; No similar. 
 universidad lugar lideres futuro aprenden ser agentes cambio maria emilia correa labelurl  ; j : 146. Sim : 0.6039025; Baja. 
 rt nlincolombia muchas gracias fliporg itmmedellin eafit westwingbz dosorio2011 apoyo organizacion ; j : 147. Sim : 0.36418518; No similar. 
 destacamos oscar guillermo garcia rivas alumno distinguido facultad filosofia ciencias humanas labe; j : 148. Sim : 0.62506986; Baja. 
 rt hernanolano jueves pasadoxv congreso filosofia derecho cidunal derechousabana historiavoces filo; j : 149. Sim : 0.15136962; No similar. 
 familia matrimonio hijos primera medicion sondeo termometro familia ifaunisabana via elespectador l; j : 150. Sim : 0.41556793; No similar. 
 rt unisabanaradio dime escuchas dire profesores administrativos plasmaron musica favorita playlists; j : 151. Sim : 0.3889851; No similar. 
 salud clinunisabana aprende identificar sintomas accidente cerebro vascular puedes salvar vida labe; j : 152. Sim : 0.28514522; No similar. 
 maria camila gallego graduada alumnisabana filosofia beneficiaria colfuturo estudia maestria escoci; j : 153. Sim : 0.5058136; Baja. 
 huggerisland magico simple gracias eafit eafitegresados compartir sueno lee articulo completo  ; j : 154. Sim : 0.4747122; No similar. 
 diplomados programas forum mercadeo ventas gerencia estrategia finanzas gestion humana tecnologia l; j : 155. Sim : 0.49118754; No similar. 
 rt economiauandes inicia intervencion cesar mantilla cesarmant profesor econurosario simposio creci; j : 156. Sim : 0.35732362; No similar. 
 barbara oakley coautora aprendiendo aprender visito uniandes compartio mejores tecnicas estudio lab; j : 157. Sim : 0.3183249; No similar. 
 salud impacta social economico politico pais debemos ver posconflicto cara futuro l labelurl  ; j : 158. Sim : 0.59798354; Baja. 
 rt mediuniandes dr londono entrevista cmilanoticia calidad aire impacto buena salud fsfbsalud label; j : 159. Sim : 0.33794555; No similar. 
 rt ulasallista metrodemedellin g8 creando alianzas colegiaturacol upbcolombia universidadces univer; j : 160. Sim : 0.17902805; No similar. 
 apps emprendimiento sergiollanoa profesor comsabana jurado the world summit award wsaoffice labelur; j : 161. Sim : 0.19593336; No similar. 
 gael giraud economista jefe afd comienza intervencion macroeconomics and climate crecimientoverde l; j : 162. Sim : 0.279812; No similar. 
 ninguna campana presente hoja vida tampoco tenia ningun requisito posesionarme enriquepenalosa  ; j : 163. Sim : 0.36072206; No similar. 
 muevete virtualmente forma facil dinamica atractiva practicar diferentes tipos actividad fisica lab; j : 164. Sim : 0.37598953; No similar. 
 guerrilla institucionalidad va poder dar salto calidad necesitamos sergio guarin ideaspaz  ; j : 165. Sim : 0.3634357; No similar. 
 senor rodrigo londono vuelvo decir timochenko haciendo transito sociedad importante f santos  ; j : 166. Sim : 0.534789; Baja. 
 rt alumnisabana unisabana sigue respondiendo sociedad desarrollo institucion decana eicea hilda ara; j : 167. Sim : 0.50747216; Baja. 
 rt bienestarsabana dale segunda oportunidad ropa juguetes utilizas casa familias misionsabana caj  ; j : 168. Sim : 0.22455491; No similar. 
 manuel sanchez comparte seminariospapaunisabana 7 lecciones pontifex comunicar fe comunicacion abie; j : 169. Sim : 0.53464687; Baja. 
 rt jimenahurtado mundo virtual mundo tejiendo relaciones mundo mas real diana agudelo d  ; j : 170. Sim : 0.346834; No similar. 
 advertencias reintegracion alp ozerdem centre for peace and reconciliation study covcampus labelurl; j : 171. Sim : 0.18682285; No similar. 
 rt sicsuper sic otorgo patente invencion uniandes hospital universitario san ignacio chudelyon labe; j : 172. Sim : 0.40213814; No similar. 
 rt unisabanaradio futuros padres unisabana van llegando k1 enkrretate especial contados minutos  ; j : 173. Sim : 0.18061654; No similar. 
 educacion debe ser mas integral hablar pedagogia mas dialogante julian zubiria labelurl  ; j : 174. Sim : 0.6638885; Baja. 
 debemos ser hacer cambio queremos ver mundo andres morales solidaridaduniandes quieroestudiar label; j : 175. Sim : 0.43889886; No similar. 
 rt msftcolombia urosarionews casarinmarco gracias capacidad acceder informacion podemos prevenir pr; j : 176. Sim : 0.18249011; No similar. 
 rt facisouniandes pablo patino ciencias sociales dice mepongolostenis apoyemos carrera senek labelu; j : 177. Sim : 0.40197444; No similar. 
 rt uniandinosiempr sueno generacion paz utopia alejandro rojas graduando inguniandes gradosuniandes; j : 178. Sim : 0.6283633; Baja. 
 supresion costos conflicto implica si beneficio humberto calle jefe equipopazgob beneficiosdelapaz ; j : 179. Sim : 0.41249862; No similar. 
 rt filmmedellin acompanamos ceremonia premiacion clausura primer espectacular fismed eafit miraense; j : 180. Sim : 0.33666316; No similar. 
 karemvip alumnisabana tambien puedes mandar datos dm contactaremos gracias inter saludo  ; j : 181. Sim : 0.2927952; No similar. 
 medellininvestiga 2016 exalta labor investigativa michel hermelin arbaux profesor emerito universi ; j : 182. Sim : 0.30716598; No similar. 
 rt gastronomiacol libro cocina colombiano elegido mejor texto gastronomico mundo unisabana labelurl; j : 183. Sim : 0.35900804; No similar. 
 hambre contemporanea mas violenta historia pues causa carencia sino concentracion bienes  ; j : 184. Sim : 0.520783; Baja. 
 asi feria laboral virtual alumnisabana espacio permite graduados construir plan carrera labelurl  ; j : 185. Sim : 0.35624883; No similar. 
 rt timelinetv hoy acompana set timeline abogado docente eafit david suarez tamayo labelurl  ; j : 186. Sim : 0.4292226; No similar. 
 rt jrestrp expresidente cesar gaviria debateplebiscitour urosarionews eltiempo pnudcolombia fundaci; j : 187. Sim : 0.30449438; No similar. 
 hoy retos inclusion social respecto temas ambientales clara ligia solano subdirectora labelurl  ; j : 188. Sim : 0.3769424; No similar. 
 rt profebarreto unisabana educaunisabana ciroparram participa panel cumbre lideres educacion 2016 s; j : 189. Sim : 0.38246122; No similar. 
 rt jrestrp lanzamiento nuevo pregrado urosarionews maccurosario paso adelante innovacion volviendo ; j : 190. Sim : 0.28224826; No similar. 
 rt oeccuninorte continua ciclo ponencias experiencias innovacion investigacion yasbley segovia unis; j : 191. Sim : 0.48703396; No similar. 
 rt paulocepeda siempre mepongolostenis correr 10k quieroestudiar uniandes toda senek uniandinosiemp; j : 192. Sim : 0.13772516; No similar. 
 alexxpino saludos debe enviar solicitud autorizacion escrita firmada graduado correo admcertificado; j : 193. Sim : 0.20226058; No similar. 
 hilda arango ortega decana eicea nueva presidenta consejo latinoamericano escuelas administracion l; j : 194. Sim : 0.45949525; No similar. 
 rt urbameafit plataforma puede flotar permanecer tierra respondiendo situaciones inundacion patente; j : 195. Sim : 0.19655444; No similar. 
 rt eafitpereira hacer curso puedes organizar trabajo tareas datos tomar mejores decisiones labelurl; j : 196. Sim : 0.20363447; No similar. 
 rt cideruniandes ix seminario internacional investigacion urbanismo bogota barcelona mas informacio; j : 197. Sim : 0.59344935; Baja. 
 cumbiera intelectual cantante kjohansen nominado tres veces grammy sono andes labelurl  ; j : 198. Sim : 0.31798503; No similar. 
 demandamos justicia aparato judicial consolidado nestor humberto martinez fiscaliacol procedimiento; j : 199. Sim : 0.55741596; Baja. 
 jamas pense pueblo colombiano pudiera encima dirigentes demostraron francisco santos  ; j : 200. Sim : 0.5113907; Baja. 
 conozca microalgas intentaran descontaminar cienaga complejo cenagoso santiago apostol sucre labelu; j : 201. Sim : 0.17474046; No similar. 
 profesor fcvitanic facultad filosofia ciencias humanas ascendio categoria profesor asistente labelu; j : 202. Sim : 0.44250464; No similar. 
 ciberbullying aumentan adolescencia tardia disminuyen edad adulta gordon ingram facisouniandes labe; j : 203. Sim : 0.25670743; No similar. 
 creo eleccion mas informada dado colombia francisco santos exvicepresidente republica  ; j : 204. Sim : 0.6764114; Media. 
 rae incorporar nuevos terminos castellano debe responder nuevas necesidades expresivas labelurl  ; j : 205. Sim : 0.19598152; No similar. 
 creemos fervorosamente nuevos instrumentos combatir crimen ser eficientes martinez fiscaliacol labe; j : 206. Sim : 0.438229; No similar. 
 rt prensaurosario hombres enamoran ojos mujeres oido drpalacios14 dementescuriosas urosarionews adn; j : 207. Sim : 0.16704111; No similar. 
 reviva transmision evento sigue despues plebiscito francisco santos carlos velandia labelurl  ; j : 208. Sim : 0.61856705; Baja. 
 fcvitanic profesor facultad filosofia ciencias humanas invitado elespectador analizar pos labelurl ; j : 209. Sim : 0.40211856; No similar. 
 rt catalinalassor ascenciolina miedo amor amor precursor cambio pesar miedo urosarionews labelurl  ; j : 210. Sim : 0.2374409; No similar. 
 rt hernanolano villavicencio seminariospapaunisabana unisabana vaticanes newsvaes episcopadocol gob; j : 211. Sim : 0.19268073; No similar. 
 rt aniromerowills revista apuntes familia mirada paz relaciones familiares ifaunisabana unisabana l; j : 212. Sim : 0.3901129; No similar. 
 rt derechousabana participa tercera version diplomado derecho laboral unisabana visionotri benvicen; j : 213. Sim : 0.32466632; No similar. 
 rt facisouniandes podemos atacar cambiar cualquier problema magico tomar accion nobelpazenlosandes ; j : 214. Sim : 0.3166501; No similar. 
 visita sitio periodico nova et vetera disfruta mejores contenidos linea labelurl labelurl  ; j : 215. Sim : 0.30583706; No similar. 
 generacion solo consume sino modifica va consumir mauricio pino generacionquetransforma labelurl  ; j : 216. Sim : 0.27662024; No similar. 
 katherine ramirez graduada eicea encontro agro negocios campo investigacion estudio labelurl  ; j : 217. Sim : 0.5499068; Baja. 
 rt profebarreto estudiantes profesores unisabana educaunisabana arna2017 grandes aprendizajes exper; j : 218. Sim : 0.38018462; No similar. 
