Modulo nnlm-es-dim128-with-normalization-2
Topicos : favor gracias mensaje cuentanos detalles escribirnos directo ayudarte ocurrido dm informacion numero 
 bandrespardoa we expect authorities to secure passage of significant structural tax reform to prese; j : 1. Sim : 0.23039268; No similar. 
 andamago hola anderson permitenos ayudarte amplianos favor informacion acerca ocurrido dm alli labe; j : 92. Sim : 0.65804; Baja. 
 daviddafer hola daviddafer gustaria brindarte mas informacion favor siguenos poder enviarte mensaje; j : 93. Sim : 0.7076464; Media. 
 lxmorales hola lxmorales gustaria brindarte mas informacion favor siguenos poder enviarte mensaje d; j : 94. Sim : 0.69959813; Media. 
 jfalvarezr hola pepe gracias escribirnos amplianos favor informacion acerca ocurrido dm all labelur; j : 95. Sim : 0.7231157; Media. 
 unsabinero hola mario permitenos ayudarte amplianos favor informacion acerca ocurrido dm alli t lab; j : 96. Sim : 0.65371424; Baja. 
 anyemas asobancaria sfcsupervisor hola anyela permitenos ayudarte escribenos favor dm alli pedire l; j : 97. Sim : 0.52175146; Baja. 
 juancaavil sfcsupervisor hola juan avila amplianos favor detalles sucedido dm alli pediremos labelu; j : 98. Sim : 0.5980634; Baja. 
 vivslicious hola vivs permitenos ayudarte amplianos favor informacion acerca ocurrido dm val labelu; j : 99. Sim : 0.64694047; Baja. 
 jahzeel1490 hola jahzeel permitenos ayudarte escribenos favor dm detalles ocurrido poder esc labelu; j : 100. Sim : 0.65884334; Baja. 
 hydrocan buen dia favor escribenos mensaje interno contandonos inconveniente presentaste poder labe; j : 101. Sim : 0.53943485; Baja. 
 bambino0710 hola bambino permitenos ayudarte amplianos favor informacion acerca ocurrido dm all lab; j : 102. Sim : 0.6177389; Baja. 
 cabm1204 sfcsupervisor buen dia gracias publicacion detectamos inconsistencia informacion mostrada ; j : 103. Sim : 0.61305726; Baja. 
 soyjfmc hola montes gracias escribirnos amplianos favor informacion acerca ocurrido dm alli labelur; j : 104. Sim : 0.7327966; Media. 
 aqmoncaleano cajerosath buen dia gracias publicacion detectamos inconsistencia informacion mostrada; j : 105. Sim : 0.58720297; Baja. 
 hydrocan buen dia favor escribenos mensaje interno contandonos inconveniente presentaste poder labe; j : 106. Sim : 0.53943485; Baja. 
 jersteyler hola romero permitenos ayudarte amplianos favor informacion acerca ocurrido dm alli labe; j : 107. Sim : 0.67040247; Media. 
 sergioirock alegra saludarte sergioirock envianos mensaje directo numero cedula podremos rev labelu; j : 108. Sim : 0.68970144; Media. 
 jairovr sicsuper alegra saludarte jairovr envianos mensaje directo numero cedula podremos labelurl ; j : 109. Sim : 0.63382256; Baja. 
 diegorduna hola diego permitenos ayudarte amplianos favor detalles sucedido dm alli pedire labelurl; j : 110. Sim : 0.6264625; Baja. 
 lizamandalb hola liz permitenos ayudarte cuentanos favor dm detalles ocurrido revisar cas labelurl ; j : 111. Sim : 0.70460725; Media. 
 beleon74 alegra saludarte beleon74 envianos mensaje directo numero cedula podremos resolver labelur; j : 112. Sim : 0.67097104; Media. 
 oscarevivas hola oscar eduardo gracias escribirnos permitenos ayudarte amplianos favor informacion ; j : 113. Sim : 0.6393012; Baja. 
 stebanlf alegra saludarte stebanlf envianos mensaje directo numero cedula podremos resolver labelur; j : 114. Sim : 0.71508944; Media. 
 javifgomez hola javier permitenos ayudarte amplianos favor informacion acerca ocurrido dm alli labe; j : 115. Sim : 0.6754922; Media. 
 juandavidvr hola juan david amplianos favor informacion acerca ocurrido dm alli pediremos labelurl ; j : 116. Sim : 0.63828284; Baja. 
 luisfmolina hola luis f permitenos ayudarte amplianos favor informacion acerca ocurrido dm alli lab; j : 117. Sim : 0.631818; Baja. 
 donborji indicanos favor numero cedula traves mensaje directo ayudaremos solicitud est labelurl  ; j : 118. Sim : 0.7102481; Media. 
 carousecher sicsuper hola carolina permitenos ayudarte escribenos favor dm detalles ocurrido par la; j : 119. Sim : 0.6377974; Baja. 
 johans811 hola johans811 alegra leerte escribenos consulta mensaje directo poder asesorarte qu labe; j : 120. Sim : 0.6225085; Baja. 
 luchoolivares hola luis permitenos ayudarte amplianos favor informacion acerca ocurrido dm all labe; j : 121. Sim : 0.61842227; Baja. 
 kathykampm buen doble recuerda puedes participar mas vez sube mas fotos doble famos labelurl  ; j : 122. Sim : 0.42877668; No similar. 
 manolosnake buen doble recuerda puedes participar mas vez sube mas fotos doble famo labelurl  ; j : 123. Sim : 0.37020954; No similar. 
 soyelalejo lamentamos molestias compartenos mensaje directo mas detalles ocurrido tomar reporte ate; j : 124. Sim : 0.67839265; Media. 
 timgachupin buen doble recuerda puedes participar mas vez sube mas fotos doble famo labelurl  ; j : 125. Sim : 0.36940387; No similar. 
 lamaratorre buen doble recuerda puedes participar mas vez sube mas fotos doble famo labelurl  ; j : 126. Sim : 0.383181; No similar. 
 timgachupin buen doble recuerda puedes participar mas vez sube mas fotos doble famo labelurl  ; j : 127. Sim : 0.36940387; No similar. 
 soyelalejo lamentamos molestias compartenos mensaje directo mas detalles ocurrido tomar reporte ate; j : 128. Sim : 0.67839265; Media. 
 jesyjey1822 buen doble recuerda puedes participar mas vez sube mas fotos doble famo labelurl  ; j : 129. Sim : 0.38177043; No similar. 
 magicauldron buen doble recuerda puedes participar mas vez sube mas fotos doble fam labelurl  ; j : 130. Sim : 0.43014938; No similar. 
 leidyossa buen doble recuerda puedes participar mas vez sube mas fotos doble famos labelurl  ; j : 131. Sim : 0.4584592; No similar. 
 timgachupin buen doble recuerda puedes participar mas vez sube mas fotos doble famo labelurl  ; j : 132. Sim : 0.36940387; No similar. 
 danifuckyouu buen doble recuerda puedes participar mas vez sube mas fotos doble fam labelurl  ; j : 133. Sim : 0.46283007; No similar. 
 danielsix buen doble recuerda puedes participar mas vez sube mas fotos doble famos labelurl  ; j : 134. Sim : 0.42697784; No similar. 
 aliaskikesin buen doble recuerda puedes participar mas vez sube mas fotos doble fam labelurl  ; j : 135. Sim : 0.52764803; Baja. 
 ximenota17 buen doble recuerda puedes participar mas vez sube mas fotos doble famos labelurl  ; j : 136. Sim : 0.44185126; No similar. 
 caronovoa7 buen doble recuerda puedes participar mas vez sube mas fotos doble famos labelurl  ; j : 137. Sim : 0.4571491; No similar. 
 emilyslaver buen doble recuerda puedes participar mas vez sube mas fotos doble famo labelurl  ; j : 138. Sim : 0.40289167; No similar. 
 mariademalas buen doble recuerda puedes participar mas vez sube mas fotos doble fam labelurl  ; j : 139. Sim : 0.485674; No similar. 
 nathaliecf buen doble recuerda puedes participar mas vez sube mas fotos doble famos labelurl  ; j : 140. Sim : 0.44504288; No similar. 
 zuluagajorge zuluagajorge queremos ayudarte validar caso indicanos favor numero cedula mens labelur; j : 141. Sim : 0.5672267; Baja. 
 feiiini lawneira buen doble recuerda puedes participar mas vez sube mas fotos dobl labelurl  ; j : 142. Sim : 0.46127066; No similar. 
 cebralehit lawneira kimkardashian buen doble recuerda puedes participar mas vez sube mas fotos labe; j : 143. Sim : 0.3148021; No similar. 
 soldierspoem buen doble recuerda puedes participar mas vez sube mas fotos doble fa labelurl  ; j : 144. Sim : 0.4521692; No similar. 
 pilarquinche buen doble recuerda puedes participar mas vez sube mas fotos doble fam labelurl  ; j : 145. Sim : 0.51446503; Baja. 
 soldierspoem buen doble recuerda puedes participar mas vez sube mas fotos doble fa labelurl  ; j : 146. Sim : 0.4521692; No similar. 
 mrdavidnight lawneira valdedrama buen doble recuerda puedes participar mas vez sube mas fotos label; j : 147. Sim : 0.43916923; No similar. 
 giovannymelog buen doble recuerda puedes participar mas vez sube mas fotos doble fa labelurl  ; j : 148. Sim : 0.44903874; No similar. 
 pilarquinche buen doble recuerda puedes participar mas vez sube mas fotos doble fam labelurl  ; j : 149. Sim : 0.51446503; Baja. 
 titinasuarez buen doble recuerda puedes participar mas vez sube mas fotos doble fa labelurl  ; j : 150. Sim : 0.46201894; No similar. 
 santisalazar buen doble recuerda puedes participar mas vez sube mas fotos doble fa labelurl  ; j : 151. Sim : 0.4290905; No similar. 
 pachecotito hola jorge permitenos ayudarte amplianos favor informacion acerca ocurrido dm alli labe; j : 152. Sim : 0.638423; Baja. 
 locorojas hola andres permitenos ayudarte escribenos mensaje interno acerca requerimiento quedamos ; j : 153. Sim : 0.6360499; Baja. 
 carloscasa14 hola carlos permitenos ayudarte amplianos favor informacion acerca ocurrido dm all lab; j : 154. Sim : 0.64039165; Baja. 
 g3rbar hola german permitenos ayudarte amplianos favor dm detalles ocurrido escalar revisa labelurl; j : 155. Sim : 0.5861758; Baja. 
 al3xloaiza hola alexander gracias escribirnos ampianos favor dm informacion ocurrido quedamos atent; j : 156. Sim : 0.7719634; Media. 
 psychpipe luhegomez hola pippe permitenos ayudarte envianos favor traves mensaje interno detalles l; j : 157. Sim : 0.7044548; Media. 
 psychpipe luhegomez hola jpippe permitenos ayudarte envianos favor traves mensaje interno detalles ; j : 158. Sim : 0.69885594; Media. 
 andresfpadilla hola andres gracias escribirnos amplianos favor detalles ocurrido dm quedamos atento; j : 159. Sim : 0.737001; Media. 
 andresubaque buen doble recuerda puedes participar mas vez sube mas fotos doble fam labelurl  ; j : 160. Sim : 0.49288678; No similar. 
 luciamontero hola lucia permitenos ayudarte escribenos favor dm detalles sucedido quedamos atentos ; j : 161. Sim : 0.69575083; Media. 
 leroquiroga buen doble recuerda puedes participar mas vez sube mas fotos doble famo labelurl  ; j : 162. Sim : 0.41965303; No similar. 
 lennalazaro626 lawneira montanerevaluna buen doble recuerda puedes participar mas vez sube ma label; j : 163. Sim : 0.30833226; No similar. 
 sinlogos hola logos permitenos ayudarte amplianos favor informacion ocurrido dm quedamos atentos  ; j : 164. Sim : 0.7087004; Media. 
 dreamerboyzzz buen doble recuerda puedes participar mas vez sube mas fotos doble fa labelurl  ; j : 165. Sim : 0.44008917; No similar. 
 yeimylorenaer hola lorena permitenos ayudarte amplianos favor informacion ocurrido dm quedamos aten; j : 166. Sim : 0.66813135; Baja. 
 luchoman911 sfcsupervisor hola luis enrique permitenos ayudarte amplianos favor detalles sucedido p; j : 167. Sim : 0.6028998; Baja. 
 ceasmu1 buen dia favor escribenos medio mensaje interno inconveniente presentaste pode labelurl  ; j : 168. Sim : 0.516111; Baja. 
 alebelg buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 169. Sim : 0.39093086; No similar. 
 alejaem12 buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 170. Sim : 0.4299992; No similar. 
 mamuecas buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 171. Sim : 0.4363266; No similar. 
 delporvee buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 172. Sim : 0.40744004; No similar. 
 betomin buen doble recuerda puedes participar mas vez sube mas fotos doble famoso p labelurl  ; j : 173. Sim : 0.40222389; No similar. 
 poligvb buen doble recuerda puedes participar mas vez sube mas fotos doble famoso p labelurl  ; j : 174. Sim : 0.41205567; No similar. 
 araffan94 buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 175. Sim : 0.40820515; No similar. 
 aikia buen doble recuerda puedes participar mas vez sube mas fotos doble famoso p labelurl  ; j : 176. Sim : 0.37326765; No similar. 
 alejaem12 buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 177. Sim : 0.4299992; No similar. 
 linazapa buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 178. Sim : 0.38322774; No similar. 
 alebelg buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 179. Sim : 0.39093086; No similar. 
 wolroots buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 180. Sim : 0.4235728; No similar. 
 oyuela18 buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 181. Sim : 0.44344968; No similar. 
 guapacho buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 182. Sim : 0.43447655; No similar. 
 dimeeli buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 183. Sim : 0.40632972; No similar. 
 rojakanna buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 184. Sim : 0.42039713; No similar. 
 linazapa buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 185. Sim : 0.38322774; No similar. 
 adelgadom buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 186. Sim : 0.35797963; No similar. 
 karito917514 hola ratona amplianos favor detalles sucedido dm alli pediremos datos adici labelurl  ; j : 187. Sim : 0.6312844; Baja. 
 barbachans hola matias amplianos favor detalles sucedido dm alli pediremos datos adicion labelurl  ; j : 188. Sim : 0.7251665; Media. 
 karito917514 hola ratona amplianos favor detalles sucedido dm alli pediremos datos adici labelurl  ; j : 189. Sim : 0.6312844; Baja. 
 estigma buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 190. Sim : 0.40804794; No similar. 
 calmeseviejo hola camilo permitenos ayudarte amplianos favor informacion acerca ocurrido dm all lab; j : 191. Sim : 0.59679544; Baja. 
 arturowagner1 hola arturo permitenos ayudarte cuentanos favor detalle ocurrido dm quedamos atentos ; j : 192. Sim : 0.7322893; Media. 
 paojoaqui hola paola amplianos favor detalles sucedido dm alli pediremos datos adiciona labelurl  ; j : 193. Sim : 0.6842707; Media. 
 nvelezta hola norbey amplianos favor detalles sucedido dm alli pediremos datos adicional labelurl  ; j : 194. Sim : 0.66466683; Baja. 
 asaninh hola alejandra amplianos favor detalles sucedido dm alli pediremos datos adicion labelurl  ; j : 195. Sim : 0.7118819; Media. 
 laupareja colconsumidor sfcsupervisor hola laura permitenos ayudarte escribenos favor dm alli so la; j : 196. Sim : 0.49910393; No similar. 
 juankramone hola juan camilo permitenos ayudarte amplianos favor informacion acerca ocurrido dm lab; j : 197. Sim : 0.6532833; Baja. 
 jennypedraza11 hola jenny permitenos ayudarte cuentanos favor dm detalles ocurrido quedamos atentos; j : 198. Sim : 0.70588374; Media. 
 nvelezta hola norbey amplianos favor detalles sucedido dm alli pediremos datos adicional labelurl  ; j : 199. Sim : 0.66466683; Baja. 
 jatakeh buen dia cuentanos medio mensaje interno inconveniente presentaste poder asesorarte labelur; j : 200. Sim : 0.57948345; Baja. 
 sebasfucks sfcsupervisor sicsuper hola sebastian permitenos ayudarte cuentanos dm detalles caso par; j : 201. Sim : 0.58028764; Baja. 
 evelioburgos dominasas hola amplianos favor detalles sucedido dm alli pediremos datos ad labelurl  ; j : 202. Sim : 0.66130316; Baja. 
 lorddaven buen doble recuerda puedes participar mas vez sube mas fotos doble famoso labelurl  ; j : 203. Sim : 0.45087972; No similar. 
 idalar hola cuentanos favor via dm detalles informacion solicitas validar podemos ayudar labelurl  ; j : 204. Sim : 0.7663437; Media. 
 paojoaqui hola paola amplianos favor detalles sucedido dm alli pediremos datos adicional labelurl  ; j : 205. Sim : 0.71381587; Media. 
 evelioburgos dominasas hola amplianos favor detalles sucedido dm alli pediremos datos ad labelurl  ; j : 206. Sim : 0.66130316; Baja. 
 ktycastellanos favor compartenos numero cedula mensaje directo revisaremos juntos caso quedamo labe; j : 207. Sim : 0.64159465; Baja. 
 luisfmolina hola luisefe permitenos ayudarte escribenos favor dm alli pediremos datos adicio labelu; j : 208. Sim : 0.5560737; Baja. 
 ktycastellanos favor compartenos numero cedula mensaje directo revisaremos juntos caso quedamo labe; j : 209. Sim : 0.64159465; Baja. 
 cebralehit lawneira dualipa buen doble recuerda puedes participar mas vez sube mas fotos labelurl  ; j : 210. Sim : 0.33188283; No similar. 
 evelioburgos hola evelio permitenos ayudarte escribenos favor dm alli solicitaremos datos adi label; j : 211. Sim : 0.60081244; Baja. 
 anacathe sfcsupervisor hola ana cathe permitenos ayudarte amplianos favor informacion acerca ocurri; j : 212. Sim : 0.5470811; Baja. 
