Modulo nnlm-es-dim128-with-normalization-2
Topicos : informe diario andrespardoa colombia eeuu 2018 inflacion 2017 inconvenientes 2014 ofrecemos disculpas tasa 
 bandrespardoa uncertainty over the approval of structural tax reform in the 2nd half of 2016 could ; j : 1. Sim : 0.13900378; No similar. 
 informe diario agosto 24 2015 lunes negro shanghai composite cayo 85 china mayor descenso 2007 labe; j : 37. Sim : 0.31496322; No similar. 
 andrespardoa brasil economia crecio 07 trimestral 4to trimestre 2013 19 anual crecimiento 2013 23 m; j : 38. Sim : 0.3984025; No similar. 
 andrespardoa eurozona nuevas proyecciones economicas 2014 equipo tecnico banco central europeo pib ; j : 39. Sim : 0.47571242; No similar. 
 informe diario agosto 20 2015 ventas vivienda usada eeuu aumentaron 103 aa mejor nivel 2007 labelur; j : 40. Sim : 0.46563837; No similar. 
 andrespardoa habra relajamiento cuantitativo eurozona ecb qe will it happen and what next labelurl ; j : 41. Sim : 0.28047118; No similar. 
 andrespardoa menor riesgo inflacion lcvelez fenomeno nino sera debil ultimos meses ano asegura idea; j : 42. Sim : 0.55591255; Baja. 
 andrespardoa eurozona inflacion cae 05 anual marzo mas baja 4 anos nucleo 07 minimo historico aumen; j : 43. Sim : 0.53543353; Baja. 
 andrespardoa eeuu economia contrajo 29 1er trimestre revision final estimamos pib crecera solo 15 2; j : 44. Sim : 0.5643149; Baja. 
 intimesias indago quedo quieto pregunta fallecido pizano nestor humberto martinez quieto responde h; j : 45. Sim : 0.30390385; No similar. 
 informe diario enero 29 2015 tasa desempleo colombia subio 87 diciembre frente 84 hace ano labelurl; j : 46. Sim : 0.5307726; Baja. 
 informe diario junio 15 2016 feed mantuvo tasas inter inalteradas dio senales menor ritmo alzas lab; j : 47. Sim : 0.3820138; No similar. 
 moveconcertsco drive rain nuevos temas trae slash feat myles kennedy and the conspirators nuevo dis; j : 48. Sim : -0.031400062; No similar. 
 moveconcertsco drive rain nuevos temas trae slash feat myles kennedy and the conspirators nuevo dis; j : 49. Sim : -0.056035135; No similar. 
 andrespardoa colombia inversion fija tambien acelero fuertemente crecer 146 1er trimestre esperabam; j : 50. Sim : 0.42063212; No similar. 
 informe diario agosto 3 2015 inflacion pce eeuu subio 03 aa mientras nucleo mantuvo 13 aanlabelurl ; j : 51. Sim : 0.64242935; Baja. 
 andrespardoa colombia ventas minoristas crecieron 65 personal ocupado crecio 3 ventas vehiculos cre; j : 52. Sim : 0.34122366; No similar. 
 informe diario octubre 27 2015 pedidos bienes durables continuaron cayendo eeuu 12 mm septiembrenla; j : 53. Sim : 0.50718904; Baja. 
 informe diario noviembre 26 2014 ordenes bienes durables eeuu registraron alza 04 mm octubre labelu; j : 54. Sim : 0.50554496; Baja. 
 informe diario enero 30 2014 pib eeuu desacelera 4t13 pmi manufacturero china deteriora enero label; j : 55. Sim : 0.49584356; No similar. 
 informe diario mayo 15 2014 crecimiento eurozona 1t14 02 tt inferior expectativa 04 tt labelurl  ; j : 56. Sim : 0.4615337; No similar. 
 informe inflacion septiembre 11 2015 almentos volvio presionar pronostico sep 030 mm 492 aa labelur; j : 57. Sim : 0.36165372; No similar. 
 informe diario agosto 19 2014 importaciones crecen 149 aa ubicandose 49549 millones dolares juniola; j : 58. Sim : 0.39877546; No similar. 
 informe diario septiembre 8 2015 eurozona crecio 04 tt 15 aa 2t15 levemente superior esperado label; j : 59. Sim : 0.39545995; No similar. 
 informe diario mayo 4 2015 ipp colombia cayo 106 aa abril inferior 232 aa marzo labelurl  ; j : 60. Sim : 0.37066075; No similar. 
 informe diario agosto 27 2015 pib 2t15 eeuu crecio 37 tt superior esperado mercado labelurl  ; j : 61. Sim : 0.5592065; Baja. 
 informe diario enero 28 2016 eeuu pedidos bienes durables registraron caida 51 mm diciembre labelur; j : 62. Sim : 0.4878309; No similar. 
 informe diario septiembre 17 2015 feed mantiene tasa inter reduce proyecciones tasas 2016 2017 labe; j : 63. Sim : 0.50306004; Baja. 
 informe diario enero 26 2016 pmi compuesto eeuu 537 enero reflejando deterioro pmi servicios labelu; j : 64. Sim : 0.2497244; No similar. 
 informe diario abril 30 2014 feed recorta qe crecimiento economico eeuu baja 01 1t14 labelurl  ; j : 65. Sim : 0.53539574; Baja. 
 informe diario agosto 4 2015 ipp colombia cayo 124 mm julio inferior 205 mm junionlabelurl  ; j : 66. Sim : 0.38218758; No similar. 
 informe diario octubre 19 2015 pib 3t15 china crecio 69 aa debajo trimestre anterior labelurl  ; j : 67. Sim : 0.43423873; No similar. 
 informe diario abril 13 2015 superavit comercial china disminuyo 308 mil millones dolares marzo lab; j : 68. Sim : 0.45071217; No similar. 
 informe diario agosto 26 2015 julio pedidos bienes durables crecieron 2 mm inferior mes previo labe; j : 69. Sim : 0.27070704; No similar. 
 informe diario octubre 29 2015 economia eeuu crecio 15 tt 3t15 menor 16 t t esperado labelurl  ; j : 70. Sim : 0.5298362; Baja. 
 informe diario diciembre 21 2015 deficit comercial colombia subio 159 mil millones dolares octubren; j : 71. Sim : 0.5065157; Baja. 
 informe diario febrero 18 2016 ocde redujo pronostico crecimiento mundial 2016 03 pp 30 labelurl  ; j : 72. Sim : 0.46204147; No similar. 
 informe diario noviembre 24 2015 pib 3t15 eeuu crecio 21 tt linea esperado mercado labelurl  ; j : 73. Sim : 0.5715348; Baja. 
 informe diario junio 19 2014la economia colombia crecio 64 aa 1t14 superando expectativa mercado la; j : 74. Sim : 0.51422536; Baja. 
 andrespardoa colombia ventas menor crecieron 83 marzo 2014 vehiculos crecieron 59 vehiculos crecier; j : 75. Sim : 0.35320875; No similar. 
 informe diario mayo 20 2015 minutas feed revelan baja probabilidad aumento tasas inter junio labelu; j : 76. Sim : 0.4197132; No similar. 
 informe diario julio 30 2015 economia eeuu crecio 23 segundo trimestre vs expectativa 25nlabelurl  ; j : 77. Sim : 0.55715895; Baja. 
 informe diario julio 31 2014 banrep eleva tasa inter 425 proyeccion crecimiento pib 2014 5 labelurl; j : 78. Sim : 0.55630684; Baja. 
 informe diario junio 18 2015 inflacion eeuu positiva mayo 003 aa despues 4 meses negativos labelurl; j : 79. Sim : 0.52452666; Baja. 
 informe diario enero 19 2016 fmi reviso baja proyeccion crecimiento mundial 2016 36 34 labelurl  ; j : 80. Sim : 0.40985414; No similar. 
 andrespardoa segun encuesta eoic andicolombia produccion ventas total crecieron 36 mayo continua re; j : 81. Sim : 0.48275653; No similar. 
 informe diario mayo 11 2015 banco central china redujo tasa referencia 25 pbs 510 labelurl  ; j : 82. Sim : 0.36940137; No similar. 
 andrespardoa eeuu feed revisa baja proyecciones promedio crecimiento pib 4t4t 2014 22 21 2015 3  ; j : 83. Sim : 0.4777674; No similar. 
 informe diario marzo 10 2016 economia colombia crecio 31 2015 menor crecimiento 44 2014 labelurl  ; j : 84. Sim : 0.54918635; Baja. 
 andrespardoa colombia inflacion anual acelera 213 enero 232 febrero esperabamos 229 sigue correccio; j : 85. Sim : 0.5019032; Baja. 
 andrespardoa colombia ventas vehiculos aumentaron 89 anual febrero 2014 sigue recuperacion consumo ; j : 86. Sim : 0.49639747; No similar. 
 andrespardoa porquenosubirtasas 1c deficit externo 2t16 habria caido mas esperaba banrep pues preci; j : 87. Sim : 0.45721757; No similar. 
 informe diario noviembre 20 2014 inflacion eeuu crece 17 aa octubre linea mes anterior labelurl  ; j : 88. Sim : 0.5253365; Baja. 
 informe diario julio 30 2014 pib eeuu 2t14 crecio 4 feed deja inalterada tasa 025 labelurl  ; j : 89. Sim : 0.588376; Baja. 
 informe diario septiembre 1 2015 caixin pmi china cayo agosto 473 puntos menor dato 6 anos labelurl; j : 90. Sim : 0.32616562; No similar. 
 andrespardoa colombia ventas minoristas vehiculos crecieron 52 febrero ventas vehiculos crecieron 1; j : 91. Sim : 0.39208558; No similar. 
 informe diario marzo 2 2016 reporte adp indico crearon 214 mil empleos privados agricolas eeuu labe; j : 92. Sim : 0.526067; Baja. 
 informe diario octubre 28 2014 confianza consumidor eeuu aumenta 945 puntos nivel maximo 7 anos lab; j : 93. Sim : 0.54606736; Baja. 
 informe diario noviembre 27 2014 opep deja techo produccion petroleo 30 millones barriles diariosla; j : 94. Sim : 0.39925244; No similar. 
 andrespardoa dada crisis ucraniarusia vale pena resaltar importancia ucrania mercado mundial trigo ; j : 95. Sim : 0.25231063; No similar. 
 informe diario diciembre 7 2015 petroleo minimo 6 anos empujo dolar maximo historico copusd 3324 nl; j : 96. Sim : 0.54523844; Baja. 
 andrespardoa andrespardoa banco central europeo mantiene tasa inter 025 euro aprecia nivel mas alto; j : 97. Sim : 0.2989938; No similar. 
 informe diario febrero 22 2016 pmi manufacturero eeuu 51 puntos febrero nivel mas bajo 3 anos label; j : 98. Sim : 0.4016477; No similar. 
 informe diario noviembre 23 2015 pmi manufacturero noviembre eeuu registro menor nivel do anosnlabe; j : 99. Sim : 0.41721326; No similar. 
 informe diario abril 29 2015 primera estimacion pib 1t15 crecio moderadamente eeuu 02 tt labelurl  ; j : 100. Sim : 0.5575294; Baja. 
 informe diario diciembre 16 2015 feed anuncio hoy aumento tasa referencia 25 pbs nlabelurl  ; j : 101. Sim : 0.40810794; No similar. 
 informe diario julio 22 2015 venta vivienda usada eeuu junio mas alta ultimos ocho anos labelurl  ; j : 102. Sim : 0.4471133; No similar. 
 bbancorepublica menos mes alumnos grados 10 11 12 participen banca escolar banca central juanpab  ; j : 103. Sim : 0.15841602; No similar. 
 monitor banquero central junio 21 2016 esperamos banrep suba tasa manana 725 750 nlabelurl  ; j : 104. Sim : 0.3135878; No similar. 
 informe diario octubre 27 2014 confianza empresas alemania cae sexta vez 1032 puntos octubre labelu; j : 105. Sim : 0.33177736; No similar. 
 informe diario febrero 15 2016 mario draghi anuncia esfuerzos politica enfrentar retos eurozona nla; j : 106. Sim : 0.4109422; No similar. 
 rodrigouprimny aordonezm nombro esposa bustos procuradora judicial ii luego hizo corte suprema bust; j : 107. Sim : 0.19448914; No similar. 
 informe diario julio 15 2014 yellen reitera politica monetaria eeuu sera laxa tiempo prolongado lab; j : 108. Sim : 0.54390997; Baja. 
 informe inflacion octubre 9 2015 mal tiempo mala cara pronostico octubre 043 mm 563 aa labelurl  ; j : 109. Sim : 0.40295044; No similar. 
 informe diario octubre 28 2015 feed mantuvo tasa inter dio senal posible aumento diciembrenlabelurl; j : 110. Sim : 0.44674185; No similar. 
 cancela seminario semanal economia num 546 monetary policy surprise and monetary policy uncertainty; j : 111. Sim : 0.29312408; No similar. 
 informe diario marzo 28 2016 inflacion pce eeuu disminuyo medio reduccion precios energia nlabelurl; j : 112. Sim : 0.60864156; Baja. 
 us ipc total yoy 16 cuenta aumentos energia ipc basico 21 cede menor consumo labelurl  ; j : 113. Sim : 0.43308115; No similar. 
 uriasv espana aumenta salario minimo 22 mexico 16 aqui uribistas razgan vestiduras modesto 6 asi  ; j : 114. Sim : 0.5851023; Baja. 
 andrespardoa porquenosubirtasas 1b deficit externo 2t16 habria caido aun mas 1t16 segun sugieren da; j : 115. Sim : 0.50834805; Baja. 
 publicacion dtseru 261 jaime alfredo bonet moron gerson javier perez valbuena diana ricciulli marin; j : 116. Sim : 0.4351552; No similar. 
 bandrespardoa venimos diciendo dias compartimos apreciacion financialtimes imf on em selloff dont p; j : 117. Sim : 0.32376218; No similar. 
 informe diario marzo 29 2016 segun yellen feed debera tomar decisiones tasas inter cautela labelurl; j : 118. Sim : 0.41338658; No similar. 
 informe diario enero 28 2015 feed sera paciente subir tasas mayores preocupaciones baja inflacion l; j : 119. Sim : 0.5131172; Baja. 
 informe diario julio 28 2015 pmi compuesto eeuu crecio julio ubico 552 puntosnlabelurl  ; j : 120. Sim : 0.41756535; No similar. 
 informe diario septiembre 25 2014 ordenes bienes durables registraron decrecimiento 182 mm agosto l; j : 121. Sim : 0.40077874; No similar. 
 informe diario septiembre 15 2015 eeuu produccion industrial continuo contrayendose 04 mm agostonla; j : 122. Sim : 0.42435637; No similar. 
 informe diario abril 23 2014 pmi manufacturero china eurozona eeuu permanecen estables abril labelu; j : 123. Sim : 0.4071759; No similar. 
 informe diario febrero 3 2016 pmi compuesto eeuu refleja menor expansion economica octubre 2013 lab; j : 124. Sim : 0.42107317; No similar. 
 informe diario agosto 26 2014 ordenes bienes durables eeuu crecieron 226 mm julio labelurl  ; j : 125. Sim : 0.48163295; No similar. 
 informe diario noviembre 10 2015 eeuu inventarios ventas mayoristas crecieron 05 mm septiembrenlabe; j : 126. Sim : 0.47616366; No similar. 
 informe diario agosto 18 2015 inflacion reino unido 02 mm 01 aa julio labelurl  ; j : 127. Sim : 0.39143693; No similar. 
 informe diario abril 14 2015 colombia ventas minoristas moderan produccion industrial cae febrero l; j : 128. Sim : 0.47661558; No similar. 
 informe diario julio 14 2015 dato anticipado ventas minoristas eeuu caen inesperadamente junio labe; j : 129. Sim : 0.45080683; No similar. 
 informe diario octubre 10 2017 reino unido produccion industrial crecio 16 aa agostonlabelurl  ; j : 130. Sim : 0.407164; No similar. 
 informe inflacion enero 9 2015 enero 2015 esperamos inflacion situe 064 mm 381 aa labelurl  ; j : 131. Sim : 0.411656; No similar. 
 informe diario septiembre 28 2015 inflacion pce total nucleo eeuu permanecieron estables agosto lab; j : 132. Sim : 0.5703359; Baja. 
 informe diario mayo 25 2015 deficit balanza comercial japon inferior esperado mercado abril labelur; j : 133. Sim : 0.41270292; No similar. 
 informe diario julio 23 2015 dato anticipado confianza consumidor eurozona julio cae fuertemente la; j : 134. Sim : 0.33629823; No similar. 
 informe inflacion noviembre 11 2015 aceleracion cedenpronostico noviembre 033 mm 61 aa nlabelurl  ; j : 135. Sim : 0.34296882; No similar. 
 informe diario noviembre 29 2017 eeuu pib revisado alza 33 tt anualizado 3t17nlabelurl  ; j : 136. Sim : 0.5687032; Baja. 
 informe diario octubre 5 2015 ipp colombia cae 602 aa septiembre 672 aa agosto labelurl  ; j : 137. Sim : 0.34483716; No similar. 
 informe inflacion febrero 2015 febrero 2015 esperamos inflacion situe 065 mm 384 aa labelurl  ; j : 138. Sim : 0.41240984; No similar. 
 informe diario abril 15 2015 produccion industrial eeuu registro peor caida mediados 2009 labelurl ; j : 139. Sim : 0.51469153; Baja. 
 informe diario mayo 14 2015 colombia ventas minoristas aumentan produccion industrial cae marzo lab; j : 140. Sim : 0.4958122; No similar. 
 informe diario abril 14 2016 produccion industrial colombia mantuvo crecimiento 82 aa febrero label; j : 141. Sim : 0.46590373; No similar. 
 informe diario febrero 10 2014principales bolsas cierran alza continua expectativa pib 4t13 eurozon; j : 142. Sim : 0.44686666; No similar. 
 informe diario marzo 27 2014 economia eeuu crecio 19 2013 26 anualizado 4t13 labelurl  ; j : 143. Sim : 0.5816474; Baja. 
 informe diario abril 21 2015 indice zew alemania redujo abril despues 5 meses incrementos labelurl ; j : 144. Sim : 0.4394054; No similar. 
 informe diario noviembre 25 2015 inflacion pce total nucleo eeuu permanecieron estables octubre lab; j : 145. Sim : 0.5829598; Baja. 
 informe diario febrero 26 2014 mercados expectantes segunda revision crecimiento pib 2013 eeuu labe; j : 146. Sim : 0.5357731; Baja. 
 informe diario septiembre 2 2015 adp eeuu mostro contrataciones 190 mil agosto menor expectativasnl; j : 147. Sim : 0.49599013; No similar. 
 precios consumidor disminuyeron noviembre situarse 22 aa frente dato previo 25 aa dad labelurl  ; j : 148. Sim : 0.23670399; No similar. 
 informe inflacion marzo 12 2015 presiones transitorias pronostico marzo 065 mm 460 aa labelurl  ; j : 149. Sim : 0.4349419; No similar. 
 informe diario septiembre 16 2014 pib colombia crecio 43 aa segundo trimestre 2014 labelurl  ; j : 150. Sim : 0.5917246; Baja. 
 informe diario noviembre 12 2015 inventarios petroleo crecieron eeuu llegando 487 millones barriles; j : 151. Sim : 0.5234195; Baja. 
 informe diario julio 22 2014 inflacion eeuu junio 21 aa linea expectativas mercado labelurl  ; j : 152. Sim : 0.5391627; Baja. 
 indice precios consumidor zona euro aumento mayo 19 aa encima 12 aa registrado labelurl  ; j : 153. Sim : 0.24009518; No similar. 
 informe diario junio 2 2015 inflacion eurozona mayo ubico terreno positivo tras 5 meses negativos l; j : 154. Sim : 0.3835866; No similar. 
 monitor banquero central mayo 21 2015 esperamos tasa politica monetaria mantenga 45 nlabelurl  ; j : 155. Sim : 0.32373315; No similar. 
 monitor banquero central julio 30 2015 esperamos tasa politica monetaria mantenga 45 nlabelurl  ; j : 156. Sim : 0.31212583; No similar. 
 informe diario octubre 26 2015 eeuu ventas viviendas nuevas registraron fuerte caida septiembre lab; j : 157. Sim : 0.43228593; No similar. 
 informe diario junio 24 2015 banrep mantuvo inalterada tasa politica monetaria 45 junio labelurl  ; j : 158. Sim : 0.5189412; Baja. 
 andrespardoa eeuu flojo dato gasto hogares julio cayendo 01 mensual vs expectativa 02  ; j : 159. Sim : 0.4805877; No similar. 
 informe diario enero 13 2015 moodys rebaja calificacion riesgo soberano venezuela caa1 caa3nlabelur; j : 160. Sim : 0.5615502; Baja. 
 informe diario marzo 17 2015 economia colombiana crecio 35 aa cuarto trimestre 2014 labelurl  ; j : 161. Sim : 0.51706284; Baja. 
 monitor banquero central marzo 19 2015 esperamos tasa politica monetaria mantenga 45 nlabelurl  ; j : 162. Sim : 0.29771495; No similar. 
 andrespardoa porquenosubirtasas 2a crecimiento indice ise desestacionalizado proxy mensual pib cayo; j : 163. Sim : 0.52494997; Baja. 
 informe diario septiembre 29 2015 confianza consumidor subio eeuu ubico 103 puntos septiembre label; j : 164. Sim : 0.5054592; Baja. 
 informe diario octubre 6 2015 exportaciones colombianas cayeron 416 aa agosto mayor caida ano label; j : 165. Sim : 0.41839778; No similar. 
 informe diario septiembre 15 2014 industria ventas menor colombia crecieron 16 52 julio labelurl  ; j : 166. Sim : 0.46672407; No similar. 
 informe diario abril 29 2014 mercados expectativa dato pib eeuu 1t14 reunion feed labelurl  ; j : 167. Sim : 0.57921106; Baja. 
 informe diario abril 14 2014 mercados cierran alza despues conocerse resultados positivos eeuu labe; j : 168. Sim : 0.56249493; Baja. 
 andrespardoa colombia produccion industrial crecio 16 ventas crecieron 41 feb2014segun encuesta eoi; j : 169. Sim : 0.49933895; No similar. 
 andrespardoa colombia inflacion agosto 020 mensual vs pronostico 011 inflacion anual acelero 289  ; j : 170. Sim : 0.58880407; Baja. 
 informe diario julio 24 2017 fmi crecimiento mundial seria 35 2017 36 2018nlabelurl  ; j : 171. Sim : 0.44969118; No similar. 
 informe diario enero 7 2016 fuerte volatilidad china acciones cayeron 71 yuan deprecio 057 labelurl; j : 172. Sim : 0.2645141; No similar. 
 andrespardoa caida d tasa d tesoros 10 anosde 3 enero 246 hoyevidencia q mercado sobrerreacciono an; j : 173. Sim : 0.3587869; No similar. 
 informe diario diciembre 16 2014 construccion nuevas viviendas eeuu contrajo 16 mm noviembre labelu; j : 174. Sim : 0.46230134; No similar. 
 informe diario julio 25 2016 caida petroleo empuja dolar encima 3 mil pesos nuevamentenlabelurl  ; j : 175. Sim : 0.50676423; Baja. 
 informe diario noviembre 21 2017 eeuu ventas vivienda usada crecieron 20 mm octubrenlabelurl  ; j : 176. Sim : 0.45296618; No similar. 
 informe diario agosto 20 2014 indices bursatiles resultados mixtos tras minutas feed boe labelurl  ; j : 177. Sim : 0.51130706; Baja. 
 informe diario septiembre 30 2015 inflacion eurozona vuelve negativo ubico 01 aa septiembre labelur; j : 178. Sim : 0.45101407; No similar. 
 informe diario marzo 22 2016 pmi manufacturero eeuu continua mostrando crecimiento moderado sector ; j : 179. Sim : 0.39087546; No similar. 
 andrespardoa china economia crecio 74 primer trimestre 2014 nivel mas bajo 6 trimestres superando e; j : 180. Sim : 0.45804933; No similar. 
 informe inflacion agosto 14 2015 presion dolar pronostico agosto 027 mm 453 aa labelurl  ; j : 181. Sim : 0.49366194; No similar. 
 andrespardoa eeuu crecimiento pib 4to trimestre 2013 revisado baja 32 24 linea expectativa  ; j : 182. Sim : 0.5823755; Baja. 
 informe diario junio 29 2017 eeuu pib 1t17 revisado alza estimacion final nlabelurl  ; j : 183. Sim : 0.5817568; Baja. 
 informe diario junio 25 2014 revision final revelo economia eeuu contrajo 29 1t14 labelurl  ; j : 184. Sim : 0.54098684; Baja. 
 monitor banquero central abril 27 2016 esperamos banrep suba tasa intervencion 65 675 labelurl  ; j : 185. Sim : 0.33684698; No similar. 
 andrespardoa colombia produccion industrial cayo 06 nov13 mal dato contraccion moderando menor q ca; j : 186. Sim : 0.5488352; Baja. 
 informe diario marzo 20 2014 economia colombiana crecio 43 2013 linea expectativa 42 labelurl  ; j : 187. Sim : 0.5840695; Baja. 
 andrespardoa eurozona equipo tecnico eurosistema bajo pronostico crecimiento pib 2014 12 1 inflacio; j : 188. Sim : 0.5667283; Baja. 
 informe diario abril 20 2016 ventas vivienda existente eeuu crecieron 51 mm marzo labelurl  ; j : 189. Sim : 0.3893809; No similar. 
 top 3 impacto economico pib china crecio 67 segundo trimestre anoganancias bank of ameri labelurl  ; j : 190. Sim : 0.36311325; No similar. 
 informe diario septiembre 29 2014 gasto consumo personal eeuu crece 05 mm agosto labelurl  ; j : 191. Sim : 0.49098215; No similar. 
 informe diario junio 25 2015 gasto consumo personal eeuu crece encima expectativas mayo labelurl  ; j : 192. Sim : 0.46745276; No similar. 
 informe diario septiembre 23 2014 pmi manufacturero eeuu mantiene nivel mas alto abril 2010 labelur; j : 193. Sim : 0.47710735; No similar. 
 informe diario marzo 30 2015 gasto consumo personal eeuu crece debajo expectativas febrero labelurl; j : 194. Sim : 0.42612827; No similar. 
 andrespardoa colombia inflacion mayo 048 292 anual vs expectativa 036 esperamos bancorepublica elev; j : 195. Sim : 0.4455819; No similar. 
 andrespardoa colombia ventas minoristas crecieron 67 febrero sigue repunte ratifica estimacion mayo; j : 196. Sim : 0.478625; No similar. 
 informe diario febrero 26 2018 ventas vivienda nueva eeuu cayeron 78 mm eneronlabelurl  ; j : 197. Sim : 0.4507558; No similar. 
 informe diario octubre 6 2014 banco mundial revisa baja crecimiento china 2014 76 74 labelurl  ; j : 198. Sim : 0.367659; No similar. 
 informe diario agosto 23 2017 eeuu ventas vivienda nueva cayeron 937 mm julionlabelurl  ; j : 199. Sim : 0.5076065; Baja. 
 informe diario octubre 26 2016 eeuu ventas vivienda nueva crecen 31 mm septiembre labelurl  ; j : 200. Sim : 0.3557681; No similar. 
 informe diario julio 15 2015 janet yellen ratifico expectativa incremento tasas presente ano labelu; j : 201. Sim : 0.5175793; Baja. 
