Modulo nnlm-es-dim128-with-normalization-2
Topicos : caso dm gracias bancorepublica atentos quedamos datos area colaborarte envianos saludos encargada 
 julianabdiaz lugar evento cambiado realizara hotel radisson avenida 60 2299 salon ar total bogota d; j : 1. Sim : 0.26274642; No similar. 
 erimarcor buenos dias erica permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 21. Sim : 0.71000034; Media. 
 fiajeniffer permitenos ayudarte envianos caso datos contacto dm revisar caso area encargada saludos; j : 22. Sim : 0.77753794; Media. 
 nstriana buenos dias nayhua permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 23. Sim : 0.69013005; Media. 
 sarahtoroe hola sarah gracias escribirnos envianos datos dm gestionar caso area encaragada quedamos; j : 24. Sim : 0.81069136; Media. 
 kaka1255 buenos dias daniel permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 25. Sim : 0.7059671; Media. 
 henryluisp buenos dias henry permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 26. Sim : 0.6912541; Media. 
 jforero2 sfcsupervisor hola jimmy permitenos ayudarte envianos caso datos contacto dm colaborarte q; j : 27. Sim : 0.7532635; Media. 
 lugar evento cambiado realizara hotel radisson avenida 60 2299 salon ar total bogota d labelurl  ; j : 28. Sim : 0.2610345; No similar. 
 eltapaman hola si deseas envianos datos contacto dm enviar caso area encargada quedamos atentos  ; j : 29. Sim : 0.78038573; Media. 
 gydoar buenos dias andres permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 30. Sim : 0.7145655; Media. 
 imhenry sfcsupervisor hola henry permitenos ayudarte envianos caso dm revisarlo area encargada qued; j : 31. Sim : 0.69467986; Media. 
 carlcat17 sfcsupervisor carlos permitenos ayudarte envianos datos contacto dm revisar caso area enc; j : 32. Sim : 0.6900736; Media. 
 diariodecas ninos escuela porfia recibieron kit escolares parte secretaria educacion yopal gloria f; j : 33. Sim : 0.16043745; No similar. 
 jeantmedrano buenos dias jeant permitenos ayudarte envianos caso datos contacto dm quedamos atentos; j : 34. Sim : 0.7330014; Media. 
 evento bogota seminariodeeconomia 499 credit risk and monetary passthrough evidence from chile 0111; j : 35. Sim : 0.3631279; No similar. 
 lopeztelar u2 andres permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atent; j : 36. Sim : 0.7109939; Media. 
 jerobledo hechos estan dando razon declararnos oposicion gobierno hoy rueda prensa organizada banca; j : 37. Sim : 0.26541567; No similar. 
 lorespitia gracias reporte lorena pasaremos area encargada arreglen danos mas pronto posible feliz ; j : 38. Sim : 0.48951852; No similar. 
 carlcat17 sfcsupervisor carlos gusto enviaremos caso datos contacto area encargada colaborarte feli; j : 39. Sim : 0.57223016; Baja. 
 jorgoconrobledo puede haber ninguna duda cicaterias mezquindades debe reparar toda zona afectada es; j : 40. Sim : 0.05822719; No similar. 
 gobertolima apoyada bcooccidente sec planeacion tic hace entrega kit escolares marco celebracion di; j : 41. Sim : 0.40656218; No similar. 
 mloreguti desarrollo mercado capitales romperia barrera ser pais ingreso medio motor emprendimiento; j : 42. Sim : 0.13142778; No similar. 
 hola gretelaleman seguiremos haciendo mejor conseguirlo muchas gracias buenos deseos feliz navidad ; j : 43. Sim : 0.3057126; No similar. 
 pilitarojas hola pilar permitenos colaborarte envianos caso datos contacto dm colaborarte quedamos ; j : 44. Sim : 0.76805115; Media. 
 lufeviga83 lupe permitenos colaborarte envianos caso datos contacto dm colaborarte quedamos atentos; j : 45. Sim : 0.72300005; Media. 
 sebasea buenos dias sebas envianos comentas dm revisarlo area encargada quedamos atentos  ; j : 46. Sim : 0.6718135; Media. 
 carito2012ley carolina permitenos colaborarte envianos caso datos contacto dm colaborarte quedamos ; j : 47. Sim : 0.69612527; Media. 
 diarionocturno nicolas permitenos colaborarte envianos caso datos contacto dm colaborarte quedamos ; j : 48. Sim : 0.7127709; Media. 
 jblasdoxt buenos dias diana envianos caso dm revisarlo area encargada quedamos atentos  ; j : 49. Sim : 0.7570423; Media. 
 carloswaltherr carlos gracias reportarnos caso revisaremos area encargada poder darte respuesta sal; j : 50. Sim : 0.6516525; Baja. 
 jennifergutiers hola jennifer gracias escribirnos envianos caso datos contacto dm colaborarte queda; j : 51. Sim : 0.8548913; Alta. 
 isabelitarh isabel permitenos ayudarte envianos caso dm gestionarlo area encargada quedamos atentos; j : 52. Sim : 0.6903779; Media. 
 edwardrico68 hola edward permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos a; j : 53. Sim : 0.73977816; Media. 
 jsant84 jennifer permitenos ayudarte envianos caso dm datos contacto colaborarte quedamos atentos  ; j : 54. Sim : 0.75164014; Media. 
 ginamarce hola gigi permitenos ayudarte envianos caso dm revisarlo area encargada quedamos atentos ; j : 55. Sim : 0.7340403; Media. 
 raulfdrodriguez hola raul permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos ; j : 56. Sim : 0.7295791; Media. 
 notcarlosperez carlos gracias escribirnos envianos caso datos contacto dm colaborarte quedamos aten; j : 57. Sim : 0.7885293; Media. 
 namontanop nelson permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atentos ; j : 58. Sim : 0.7377383; Media. 
 henryluisp hola henry permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos aten; j : 59. Sim : 0.7275364; Media. 
 jamankind hola jose permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atento; j : 60. Sim : 0.72713053; Media. 
 joselvilladiego jose permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atent; j : 61. Sim : 0.71622294; Media. 
 diarionocturno pibegeek sfcsupervisor atentos colaborarte caso via dm necesitamos datos personales ; j : 62. Sim : 0.6559464; Baja. 
 natipatilla hola gracias escribirnos envianos dm caso junto datos contacto colaborarte quedamos ate; j : 63. Sim : 0.8237323; Media. 
 almehandrag hola aleja permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos ate; j : 64. Sim : 0.70874107; Media. 
 paulandreab hola paula permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos ate; j : 65. Sim : 0.7397104; Media. 
 fraruiz21 buenos dias francisco envianos datos contacto dm asesores comunique contigo saludos  ; j : 66. Sim : 0.6504557; Baja. 
 solucionatico hola permitenos colaborarte envianos caso datos contacto dm verificar sucedio quedamo; j : 67. Sim : 0.7836162; Media. 
 evento recuerde cita manana bogota seminariodeeconomia 501 specialization pattern in international ; j : 68. Sim : 0.27793324; No similar. 
 banrepeduca lanza 10a version concurso ensayo banca escolar banca central dirigido est labelurl  ; j : 69. Sim : 0.18014245; No similar. 
 lukasmeluk muchas gracias reporte lukas pasamos area encargada sulucionen mas pronto posible saludo; j : 70. Sim : 0.572567; Baja. 
 linapiedrahita5 lina cuentanos detalle caso dm envianos soportes datos contacto quedamos atentos  ; j : 71. Sim : 0.7108873; Media. 
 yucolsa seminario nuevo regimen cambios internacionales sera trasmitido via stream siganos pr label; j : 72. Sim : 0.33316955; No similar. 
 cavendish09 hola walter permitenos ayudarte envianos caso datos contacto dm quedamos atentos saludo; j : 73. Sim : 0.72392356; Media. 
 hola fabiandevia interesa conocer motivo comentario puedes escribirnos via dm conocer detalle caso ; j : 74. Sim : 0.55916184; Baja. 
 hola silviavalenti interesa conocer detalle caso darte soluciones puedes escribirnos via dm saludos; j : 75. Sim : 0.59623; Baja. 
 cristiangbd2 ponemos trabas queremos agilizar proceso poder darle esposa solucion mas pronto posibl; j : 76. Sim : 0.24935864; No similar. 
 estan ofreciendo ganancias fijas altas corto tiempo invertir criptomonedas cuidado anda ma labelurl; j : 77. Sim : 0.17586982; No similar. 
 bucaramanga pierda proximo 20 marzo simposio economia agricola desarrollo rural tendra lu labelurl ; j : 78. Sim : 0.19827645; No similar. 
 mdgarzon miguel permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 79. Sim : 0.71410775; Media. 
 bucaramanga pierda proximo 20 marzo simposio economia agricola desarrollo rural tendra lu labelurl ; j : 80. Sim : 0.19827645; No similar. 
 nicolasescandoh salvamento voto magistrado cortesupremaj gerardo botero zuluaga demuestra rigor deb; j : 81. Sim : 0.11077621; No similar. 
 pazupersonica hola paz permitenos ayudarte envianos consulta datos contacto dm colaborarte quedamos; j : 82. Sim : 0.70205367; Media. 
 estan ofreciendo ganancias fijas altas corto tiempo si invierte criptomonedas cuidado and labelurl ; j : 83. Sim : 0.197058; No similar. 
 jotamorales julio permitenos ayudarte envianos dm caso datos contacto colaborarte quedamos atentos ; j : 84. Sim : 0.7140942; Media. 
 damos bienvenida daniel nino fundador pyxis economica conectese siguiente enlace conocer mas deta l; j : 85. Sim : 0.34337544; No similar. 
 bde banca escolar banca central hace parte programa educacion economica financiera banrepeduca labe; j : 86. Sim : 0.19255215; No similar. 
 dreunal conferencia banco republica npatrocinio estudiar exterior posgrado derecho economicon21 mar; j : 87. Sim : 0.08191552; No similar. 
 bel ensayo participa banca escolar banca central debe ser escrito espanol inedito labelurl  ; j : 88. Sim : 0.17522548; No similar. 
 bel concurso banca escolar banca central hace parte programa educacion economica financiera labelur; j : 89. Sim : 0.16234627; No similar. 
 colombia1319 hola puedes enviar datos personales dm pasar reporte asi brindarte ayuda saludos  ; j : 90. Sim : 0.60169077; Baja. 
 si notas presencia personas sospechosas dentro banco alguien ceda varias veces turno labelurl  ; j : 91. Sim : 0.12077815; No similar. 
 carlgarnn latamco carlos envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 92. Sim : 0.7543708; Media. 
 jporfavor buenos dias envianos caso dm revisarlo area encargada quedamos atentos  ; j : 93. Sim : 0.7783953; Media. 
 violacea hola envianos datos contacto dm revisar caso area encargada quedamos atentos  ; j : 94. Sim : 0.84572184; Alta. 
 juandrb buenos dias juan diego gusto enviaremos recomendacion area encargada saludos  ; j : 95. Sim : 0.46997398; No similar. 
 pilpintutintaya angelica manejando caso dm enviamos nuevo respuesta area encargada saludos  ; j : 96. Sim : 0.59664404; Baja. 
 gomezfreddy1 atentado oleoducto trasandino altura nvereda coataquer municipio mallama narino ecopet; j : 97. Sim : 0.0716412; No similar. 
 alejandroperes hola jorge permitenos colaborarte envianos caso dm datos contacto quedamos atentos  ; j : 98. Sim : 0.7328007; Media. 
 proximos dias ciudadanos quieran radicar peticion queja reclamo pqr bancorepublica po labelurl  ; j : 99. Sim : 0.42527378; No similar. 
 giraldo23 tolstoiocoro navarrowolff bancorepublica vinculo iniciativa r3 busca explorar posibles ap; j : 100. Sim : 0.2285443; No similar. 
 proximos dias ciudadanos quieran radicar peticion queja reclamo pqr bancorepublica po labelurl  ; j : 101. Sim : 0.42527378; No similar. 
 evento bucaramanga hoy asista seminariodeeconomia 9 presentado rafael isidro parrapena entrada libr; j : 102. Sim : 0.2058845; No similar. 
 1butterflygirl hola lina muchas gracias reporte pasaremos area encargada pronta solucion saludos  ; j : 103. Sim : 0.61434627; Baja. 
 bancorepublica miembros junta directiva lamentan profundamente muerte clara isabel botero cuerv lab; j : 104. Sim : 0.13057308; No similar. 
 crislondone4a cristian permitenos colaborarte envianos caso datos contacto dm quedamos atentos  ; j : 105. Sim : 0.73063785; Media. 
 economia nororiente santander boyaca norte santander arauca registro panorama positivo inic labelur; j : 106. Sim : 0.24843471; No similar. 
 eebedoya edward permitenos ayudarte envianos caso soportes dm colaborarte quedamos atentos  ; j : 107. Sim : 0.67256856; Media. 
 gabolosada buenos dias gracias escribirnos envianos caso dm colaborarte quedamos atentos  ; j : 108. Sim : 0.782336; Media. 
 lauraporfavor sfcsupervisor laura envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 109. Sim : 0.7492067; Media. 
 marguiomend margarita permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 110. Sim : 0.70939004; Media. 
 nazlycata hola nazly permitenos ayudarte envianos dm caso datos contacto quedamos atentos  ; j : 111. Sim : 0.74078715; Media. 
 cortesmarce marcela permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 112. Sim : 0.6848972; Media. 
 mianca08 hola permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 113. Sim : 0.77026993; Media. 
 carlosochoa1985 hola carlos permitenos ayudarte envianos caso dm envialo siguiente correo serviciob; j : 114. Sim : 0.53831357; Baja. 
 samefa sara gracias escribirnos envianos caso dm colaborarte quedamos atentos saludos  ; j : 115. Sim : 0.7852232; Media. 
 wmatuk jorge permitenos ayudarte envianos dm caso datos contacto quedamos atentos  ; j : 116. Sim : 0.7192126; Media. 
 rubhers13 sfcsupervisor cholovalderrama omargamboa ruben envianos caso dm colaborarte quedamos aten; j : 117. Sim : 0.6722596; Media. 
 gabrh colpensiones gabriel comunicaremos dm contigo solicitarte datos personales mama porvenirteres; j : 118. Sim : 0.54899395; Baja. 
 pipegomezsan hola felipe permitenos ayudarte envianos dm caso datos contacto quedamos atentos  ; j : 119. Sim : 0.7178538; Media. 
 medios pueden participar rueda prensa dara hoy finalizar reunion junta directiva labelurl  ; j : 120. Sim : 0.27099338; No similar. 
 gabrh colpensiones gabriel comunicaremos dm contigo solicitarte datos personales mama porvenirteres; j : 121. Sim : 0.54899395; Baja. 
 medios comunicacion pueden participar rueda prensa dara hoy finalizar reunion junta labelurl  ; j : 122. Sim : 0.3318575; No similar. 
 damos bienvenida francisco miranda director fundador eme tres comunicaciones conectese siguiente la; j : 123. Sim : 0.31232142; No similar. 
 melbalcardenasb hola melba permitenos ayudarte envianos dm pantallazo comentas envianos datos conta; j : 124. Sim : 0.6311381; Baja. 
 jhonacj hola jhon gracias interesarte productos envianos datos contacto dm brindarte asesoria  ; j : 125. Sim : 0.69779986; Media. 
 macrisgc1 maria cristina permitenos colaborarte cuentanos experiencia dm colaborarte quedamos atent; j : 126. Sim : 0.49085435; No similar. 
 ganancias fijas altas corto tiempo invertir criptomonedas cuidado anda mal informese labelurl  ; j : 127. Sim : 0.13924809; No similar. 
 bquienes pueden participar concurso ensayo corto banca escolar banca central estudiantes labelurl  ; j : 128. Sim : 0.067682736; No similar. 
 ganancias fijas altas corto tiempo invertir criptomonedas cuidado anda mal informese labelurl  ; j : 129. Sim : 0.13924809; No similar. 
 bquienes pueden participar concurso ensayo corto banca escolar banca central estudiantes labelurl  ; j : 130. Sim : 0.067682736; No similar. 
 ganancias fijas altas corto tiempo invertir criptomonedas cuidado anda mal informese labelurl  ; j : 131. Sim : 0.13924809; No similar. 
 monomunozp hola alvaro cuentanos caso dm junto datos aclararte tarifas quedamos atentos  ; j : 132. Sim : 0.69682205; Media. 
 bcual objetivo concurso banca escolar banca central busca motivar estudiantes adqui labelurl  ; j : 133. Sim : 0.09721876; No similar. 
 darcyquinnr caracolbga caracol1170am cadena radial especial dario arismendi tendra retractarse tras; j : 134. Sim : 0.30137002; No similar. 
 juakogallardo jorgearestrepo si usted posee pruebas sustenten afirmacion invitamos utilizar cana la; j : 135. Sim : 0.2937543; No similar. 
 hola catabusta interesa conocer detalle motivo comentario puedes escribirnos via dm gracias  ; j : 136. Sim : 0.6106509; Baja. 
 realice practicas alguna sedes bancorepublica pais bogota medellin cali bucaramanga ma labelurl  ; j : 137. Sim : 0.32055283; No similar. 
 inicia rueda prensa reunion junta directiva bancorepublica mes mayo analistas peri labelurl  ; j : 138. Sim : 0.3063488; No similar. 
 angeldeantares norma usura fija articulo 305 codigo penal banco republica colo labelurl  ; j : 139. Sim : 0.20941211; No similar. 
 guerreroisabel buenos dias isabel permitenos ayudarte envianos caso dm quedamos atentos  ; j : 140. Sim : 0.5784166; Baja. 
 workingpaper 1027 by juliana jaramilloecheverri adolfo meiselroca and maria teresa ramirezgiraldo l; j : 141. Sim : 0.15143073; No similar. 
 josevbernalr si usted posee pruebas sustenten afirmacion invitamos utilizar canal denuncia q labelu; j : 142. Sim : 0.33349; No similar. 
 omaromarbu2015 si usted posee pruebas sustenten afirmacion invitamos utilizar canal denuncia labelu; j : 143. Sim : 0.32468602; No similar. 
 compartir hijos jugando podra ayudarte explicarles manera divertida economia fiananzas globalmoneyw; j : 144. Sim : 0.19256559; No similar. 
 giraldogiraldo7 norma usura fija articulo 305 codigo penal banco republica col labelurl  ; j : 145. Sim : 0.19420652; No similar. 
 banrepeduca colegio champagnat ibague ocupo tercer lugar concurso ensayo corto banca labelurl  ; j : 146. Sim : 0.111848794; No similar. 
 usted debe conocer riesgos expone si decide negociar criptomonedas saberlo puede labelurl  ; j : 147. Sim : 0.051111154; No similar. 
 usted debe conocer riesgos expone si decide negociar criptomonedas saber mas informese labelurl  ; j : 148. Sim : 0.1498935; No similar. 
 frasedeldia activo mas poderoso mente bien entrenada puede crear enormesnriquezas robert kiyosaki  ; j : 149. Sim : 0.19312455; No similar. 
 arranca participacion jaocampo celebracion xxxii dia director comercio exterior evento organizad la; j : 150. Sim : 0.3068483; No similar. 
 karemsuarezv hablemosclaro decisiones toman manera informada escoger regimen pensional convenga esc; j : 151. Sim : 0.17697637; No similar. 
 leindeciso hola cuentanos si comunicaste asesor envianos dm caso colaborarte quedamos atentos  ; j : 152. Sim : 0.7101007; Media. 
 agendese seminariosbanrep n30 mayo bogota cobrame si puedes dinamica multiplicadores fisc labelurl ; j : 153. Sim : 0.28847072; No similar. 
 traves deporte poder transmitir valores construyen paz dinos emoji ultimo deport labelurl  ; j : 154. Sim : 0.14239994; No similar. 
 si colombiano profesional areas afines musica postulese estudiar musica exterior patrocina labelurl; j : 155. Sim : 0.17826648; No similar. 
 mury800 dios gracias 2do lugar 10k circuito caixa brasilporveniroficial equipoporvenir nikerunning ; j : 156. Sim : 0.28127518; No similar. 
 mauriciocard va responder reficar usted miembro junta directiva ordenaban gastos reembo labelurl  ; j : 157. Sim : 0.14701276; No similar. 
 gerente juanjoseechavarria hace balance comite consultivo lugar hoy cali 27 emp labelurl  ; j : 158. Sim : 0.38204384; No similar. 
 empecemos ano pie derecho aprendamosmas realicemos presupuesto compensar gastos diciembre mes  ; j : 159. Sim : 0.18825929; No similar. 
 creemos buenos nuevos vientos trae agosto cuentanos plan favorito mes cometas  ; j : 160. Sim : 0.1560601; No similar. 
 asista evento proximo viernes 20102017 entrada libre conozca agenda inscribase labelurl  ; j : 161. Sim : 0.2252269; No similar. 
 mottafabian hola fabian envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 162. Sim : 0.78946525; Media. 
 jadersilvera deportesboy956 indeportesboy runningcol gobboyaca irdettunja carlosamayar chidonoticia; j : 163. Sim : 0.19716705; No similar. 
 buitragosilvia silvia envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 164. Sim : 0.78956646; Media. 
 asista evento manana viernes 20102017 entrada libre conozca agenda inscribase labelurl  ; j : 165. Sim : 0.25115266; No similar. 
 aleardila alexandra envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 166. Sim : 0.743151; Media. 
 bmanana santamarta codirector adolfomeisel presenta documento pobreza santa marta estrag labelurl  ; j : 167. Sim : 0.09864077; No similar. 
 banrep ofrece patrocinio estudiar exterior 5 cupos doctorado economia 1 cupo posgrado labelurl  ; j : 168. Sim : 0.07369089; No similar. 
 katharpo hola catalina envianos dm caso datos contacto colaborarte quedamos atentos  ; j : 169. Sim : 0.76114494; Media. 
 banrep ofrece patrocinio estudiar exterior 5 cupos doctorado economia 1 cupo posgrado labelurl  ; j : 170. Sim : 0.07369089; No similar. 
 bancorepublica miembros junta directiva lamentan profundamente muerte cecilia santa maria labelurl ; j : 171. Sim : 0.15361694; No similar. 
 andreavaliente hola andrea envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 172. Sim : 0.7684424; Media. 
 banrep ofrece patrocinio estudiar exterior 5 cupos doctorado economia 1 cupo posgrado labelurl  ; j : 173. Sim : 0.07369089; No similar. 
 saidherrera say envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 174. Sim : 0.77439994; Media. 
 banrep ofrece patrocinio estudiar exterior 5 cupos doctorado economia 1 cupo posgrado labelurl  ; j : 175. Sim : 0.07369089; No similar. 
 interesado invertir criptomonedas informese conozca riesgos estan expuestos usted din labelurl  ; j : 176. Sim : 0.30726376; No similar. 
 cali hoy miembros juntabanrep reunen empresarios valle cauca escuchar discutir s labelurl  ; j : 177. Sim : 0.20505878; No similar. 
 jofema2010 hola jose envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 178. Sim : 0.76803935; Media. 
 banrepeduca conozca comunicado prensa final decima version concurso ensayo corto b labelurl  ; j : 179. Sim : 0.30662143; No similar. 
 feliatlas felipe permitenos servirte envianos caso dm colaborarte quedamos atentos  ; j : 180. Sim : 0.6174692; Baja. 
 jhonxande hola jhon gracias palabras gusto enviaremos recomendacion area encargada saludos  ; j : 181. Sim : 0.57501864; Baja. 
 midazagarcia maria envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 182. Sim : 0.7527522; Media. 
 angienat22 hola aniie regalarias datos dm poder colaborarte inquietudes nombre comp labelurl  ; j : 183. Sim : 0.58685833; Baja. 
 finaliza reunion junta directiva bancorepublica conozca decisiones tomadas traves tran labelurl  ; j : 184. Sim : 0.376342; No similar. 
 finaliza reunion junta directiva bancorepublica conozca decisiones tomadas traves trans labelurl  ; j : 185. Sim : 0.36229745; No similar. 
 andresmania acciones bvc mas suben 22marzo2019 1nncorficolcf 6134npfcorficol 5241ngrupoaval 3243nbc; j : 186. Sim : 0.18914147; No similar. 
 finaliza reunion junta directiva bancorepublica conozca decisiones tomadas traves tran labelurl  ; j : 187. Sim : 0.376342; No similar. 
 finaliza reunion junta directiva bancorepublica conozca decisiones tomadas traves trans labelurl  ; j : 188. Sim : 0.36229745; No similar. 
 anabysevilla ruggemyrainbow gracias unirte recuerda mas seguidores don mas sera aporte est labelurl; j : 189. Sim : 0.23768924; No similar. 
 louraxlobos94 sofiaftjustin gracias unirte recuerda mas seguidores don mas sera aporte est labelurl; j : 190. Sim : 0.24992707; No similar. 
 marilynlizeth7 alelovescache gracias unirte recuerda mas seguidores don mas sera aporte est labelur; j : 191. Sim : 0.20892715; No similar. 
 castawayherron irwindarkside gracias unirte recuerda mas seguidores don mas sera aporte est labelur; j : 192. Sim : 0.23993011; No similar. 
 erikavalerialp1 cacheesvidaa gracias unirte recuerda mas seguidores don mas sera aporte est labelur; j : 193. Sim : 0.23475468; No similar. 
 karlix70913202 marbjaramillo gracias unirte recuerda mas seguidores don mas sera aporte est labelur; j : 194. Sim : 0.21370618; No similar. 
 fatima04891491 svmysalvation gracias unirte recuerda mas seguidores don mas sera aporte est labelur; j : 195. Sim : 0.20403373; No similar. 
 ben santamarta codirector adolfomeisel inicia presentacion documento pobreza santa marta l labelurl; j : 196. Sim : 0.18626513; No similar. 
 quiere hacer doctorado economia bancorepublica ofrece cinco patrocinios profesionales pregrado labe; j : 197. Sim : 0.16485165; No similar. 
 finaliza participacion gerente bancorepublica juntabanrep comision iii senado conozca tod labelurl ; j : 198. Sim : 0.31149614; No similar. 
 quiere hacer doctorado economia bancorepublica ofrece cinco patrocinios profesionales pregrado labe; j : 199. Sim : 0.16485165; No similar. 
 muchilon hola andres envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 200. Sim : 0.7776822; Media. 
 quiere hacer doctorado economia bancorepublica ofrece cinco patrocinios profesionales pregrado labe; j : 201. Sim : 0.16485165; No similar. 
 gerardopp hola gerardo regalarias datos dm poder colaborarte inquietudes nombre com labelurl  ; j : 202. Sim : 0.5718611; Baja. 
 quiere hacer doctorado economia bancorepublica ofrece cinco patrocinios profesionales pregrado labe; j : 203. Sim : 0.16485165; No similar. 
 inicia presentacion reporte estabilidad financiera estabilidadfinanciera cargo juan jose echavarria; j : 204. Sim : 0.27115914; No similar. 
 gerardopp hola gerardo regalarias datos dm poder colaborarte inquietudes nombre com labelurl  ; j : 205. Sim : 0.5718611; Baja. 
 quiere hacer doctorado economia bancorepublica ofrece cinco patrocinios profesionales pregrado labe; j : 206. Sim : 0.16485165; No similar. 
 evento bucaramanga asista seminariosbanrep presentado camilo pecha g entrada libre 09022018 labelur; j : 207. Sim : 0.15432559; No similar. 
 asesoriasmlz bancorepublica vinculo iniciativa r3 busca explorar posibles aplicaciones tecnolog lab; j : 208. Sim : 0.29353932; No similar. 
 donconchito diego envianos datos contacto dm poder colaborarte quedamos atentos  ; j : 209. Sim : 0.70070034; Media. 
 evento bucaramanga asista seminariosbanrep presentado camilo pecha g entrada libre 09022018 labelur; j : 210. Sim : 0.15432559; No similar. 
 junta directiva hoy reunion jdbr consulte frecuentemente portal conocer decisiones labelurl  ; j : 211. Sim : 0.31046697; No similar. 
 reportesdelemisor quiere saber region nororiente santander boyaca norte santander arauca labelurl  ; j : 212. Sim : 0.17308454; No similar. 
 johnarleycano hola dado respuesta dm revisa bandeja entrada conocer caso saludos  ; j : 213. Sim : 0.5435706; Baja. 
 junta directiva hoy reunion jdbr consulte frecuentemente portal conocer decisiones labelurl  ; j : 214. Sim : 0.31046697; No similar. 
 banco republica busca estudiantes universitarios pregrado destacados desempeno academico habi label; j : 215. Sim : 0.11422292; No similar. 
 agendese participe seminariosbanrepnbogota 6 marzo basilea iv reformas poscrisis nmayor inform labe; j : 216. Sim : 0.15383089; No similar. 
