Modulo nnlm-es-dim128-with-normalization-2
Topicos : andrespardoa colombia analisis portafolioco sistema bancorepublica invitamos tasa hoy corficolombiana inflacion economia 
 andrespardoa decline in gdp growth or more pressure on external accountsbeyond our baseline scenari; j : 1. Sim : 0.30006486; No similar. 
 andrespardoa oferta neta bonos tesoro cae fuerte ano apoyando estimacion tasas bajas 2016mi analisi; j : 17. Sim : 0.5371222; Baja. 
 andrespardoa colombia encuesta datexco eltiempo wradiocolombia 1a vuelta santos 277 zuluaga 256 2a ; j : 18. Sim : 0.31562176; No similar. 
 andrespardoa brasil economia cayo 06 trimestral 09 anual 2do trimestre crecimiento trimestral 1er t; j : 19. Sim : 0.6101528; Baja. 
 andrespardoa sondeo reuters expectativas inflacionarias colombia cierre 2014 subieron 302 vs 299 me; j : 20. Sim : 0.44706777; No similar. 
 andrespardoa colombia hoy 11 be publica pib 4to trimestre 2013 esperamos crecimiento 5 analisis aqu; j : 21. Sim : 0.6912611; Media. 
 andrespardoa colombia manana 11 be publica pib 4to trimestre 2013 esperamos crecimiento 5 analisis ; j : 22. Sim : 0.68724644; Media. 
 andrespardoa colombia ventas minoristas crecieron 65 personal ocupado crecio 3 ventas vehiculos cre; j : 23. Sim : 0.38059714; No similar. 
 andrespardoa colombia gobierno anuncia 126mil nuevos cupos subsidios tasas creditos vivienda media ; j : 24. Sim : 0.5746921; Baja. 
 andrespardoa inflacion 050 mensual abril esperabamos 075 inflacion anual bajo 798 793 respiro tempo; j : 25. Sim : 0.47738746; No similar. 
 culturaet mercedes barcha viuda nobel literatura dono biblioteca luis angel arango coleccion privad; j : 26. Sim : 0.35390413; No similar. 
 binvestigacionesbanrep borrador 1049 an auctionbased test of private information in an interdealer ; j : 27. Sim : 0.34279767; No similar. 
 andrespardoa colombia pib habria crecido cerca 48 1er trimestre bancorepublica via larepublicaco es; j : 28. Sim : 0.71675265; Media. 
 andrespardoa insisto lenguaje d feed implica tasas bajas tiempo considerable afecta tasa d cambio a; j : 29. Sim : 0.44284075; No similar. 
 andrespardoa cuanto crecio economia colombiana 1er trimestre manana sabra 9 be pronostico 53 analis; j : 30. Sim : 0.7027285; Media. 
 andrespardoa colombia jueves conocera dato crecimiento pib 1er trimestre 2014 esperamos 53 analisis; j : 31. Sim : 0.6642377; Baja. 
 andrespardoa cuanto crecio economia colombiana 1er trimestre manana publica 9 be pronostico 53 anal; j : 32. Sim : 0.6952557; Media. 
 andrespardoa dato pib 2do trimestre podria sorprender requerir nuevo aumento tasa bancorepublica an; j : 33. Sim : 0.63529116; Baja. 
 hoy 10 be 430 pm economista jefe andrespardoa hablara inflacion bancorepublica cara sello cablenoti; j : 34. Sim : 0.5410379; Baja. 
 andrespardoa banco central europeo anuncia nuevas medidas estimulo monetario segun anticipamos exce; j : 35. Sim : 0.4124885; No similar. 
 andrespardoa minhacienda bancorepublica creen tener claro q calculo flujos usd x alza colombia indi; j : 36. Sim : 0.6116978; Baja. 
 valdedrama oye bebe dono teleton2018 elfotis dona pues alguien sumar 3000 pesos movamonosporteleton; j : 37. Sim : -0.003631281; No similar. 
 andrespardoa tsunami euros anuncio hoy banco central europeo puede ser mayor futuro cercano norma  ; j : 38. Sim : 0.29166484; No similar. 
 roberto junguito antonio hernandez armando montenegro hugo palacios leonardo villar olga lucia acos; j : 39. Sim : 0.27884534; No similar. 
 andrespardoa datos 4to trim sugieren menor desaceleracion consumo privado gasto publico tasa bancor; j : 40. Sim : 0.6085627; Baja. 
 andrespardoa argentina juego gallina deuda publica argentina in game of chicken over debt labelurl ; j : 41. Sim : 0.2792516; No similar. 
 andrespardoa colombia analisis cifras crecimiento economico 4to trimestre 2013 reveladas semana pas; j : 42. Sim : 0.6181467; Baja. 
 andrespardoa colombia hueco 125 billones columna opinion mariaisabel rueda eltiempo reforma tributa; j : 43. Sim : 0.4906789; No similar. 
 andrespardoa mala deflacionno mejor q precios bajen xa aumentar capacidad gastolo explico portafoli; j : 44. Sim : 0.47161078; No similar. 
 andrespardoa fmi recorta prevision crecimiento economia china imf cut china growth forecast labelur; j : 45. Sim : 0.6124798; Baja. 
 andrespardoa video resumen charla bvccolombia liquidez global turbulencia emergentes dolar tasa int; j : 46. Sim : 0.5295874; Baja. 
 andrespardoa amplia liquidez global mas tiempo significa q col mantendra tasas bajas mitad 2014deta; j : 47. Sim : 0.47966695; No similar. 
 andrespardoa colombia aceleracion consumo privado 1er trimestre debe principalmente fuerte repunte ; j : 48. Sim : 0.48828703; No similar. 
 andrespardoa colombia 2si fuerte caida trm dio principalmente x aumento ponderacion bonos locales i; j : 49. Sim : 0.5005867; Baja. 
 andrespardoa comparto columna hoy portafolioco bancorepublica vera forzado seguir subiendo tasa ref; j : 50. Sim : 0.46374562; No similar. 
 economiaunab invitados manana simposio economia agricola aud menor unabonline 830 be mgafarog leona; j : 51. Sim : 0.5181519; Baja. 
 andrespardoa colombia pib construccion principal motor economia 2do trimestre crecer 102 esperabamo; j : 52. Sim : 0.6573495; Baja. 
 economiaunab invitados manana simposio economia agricola aud menor unabonline 830 be mgafarog leona; j : 53. Sim : 0.5181519; Baja. 
 mloreguti hoy hotelesestelar inauguracion 51 sky bar cartagena unico bar colombia cartagena region ; j : 54. Sim : 0.48101535; No similar. 
 publication read the second edition of the governorsreport new quarterly publication by jjechavarri; j : 55. Sim : 0.21821578; No similar. 
 andrespardoa manana publicara crecimiento economia colombiana 2do trimestre 2014 esperamos 49 anali; j : 56. Sim : 0.65598065; Baja. 
 andrespardoa colombia produccion industrial cayo 06 nov13 mal dato contraccion moderando menor q ca; j : 57. Sim : 0.5759633; Baja. 
 andrespardoa nuevos pronosticos crecimiento economico mundial regiones fmi mejor europa empeora lat; j : 58. Sim : 0.5918144; Baja. 
 andrespardoa hoy publicara crecimiento economia colombiana 2do trimestre 2014 esperamos 49 analisis; j : 59. Sim : 0.65608543; Baja. 
 andrespardoa normalizacion monetaria global eurozona japon estan ampliar liquidez proximos 6 meses ; j : 60. Sim : 0.5935469; Baja. 
 hollmanmorris asi quedaron ayer pasillos universidad cauca templos saber llenos represion dictadura; j : 61. Sim : 0.35692945; No similar. 
 andrespardoa bancorepublica dio entender podria hacer nuevos ajustes alza tasa inter analisis http ; j : 62. Sim : 0.5789995; Baja. 
 hollmanmorris asi quedaron ayer pasillos universidad cauca templos saber llenos represion dictadura; j : 63. Sim : 0.35692945; No similar. 
 andrespardoa amplia liquidez global x mas tiempo inglaterra anuncio tasas bajas x mas tiempo mesdet; j : 64. Sim : 0.4896846; No similar. 
 andrespardoa tasas bonos eeuu dicen mercado what mr bond be tell the market labelurl v  ; j : 65. Sim : 0.46120813; No similar. 
 andrespardoa economia colombia desacelera 2do trimestre banco central frenaria alza tasa labelurl v; j : 66. Sim : 0.68778336; Media. 
 andrespardoa mayor fortaleza euro impulsa necesidad estimulo coeure bce labelurl via reuters fin am; j : 67. Sim : 0.53276455; Baja. 
 andrespardoa colombia cierre dolar 1883 pesos mas bajo mas 7 meses tal retiro liquidez financiera g; j : 68. Sim : 0.4186952; No similar. 
 frasedeldia reunirse comienzo permanecer juntos progreso trabajar juntos exito henry ford empresari; j : 69. Sim : 0.23480818; No similar. 
 bfdbedout pildorita memoriael jefe daspor ser departamento administrativo solo recibia ordenes daba; j : 70. Sim : 0.26772738; No similar. 
 blas curvas laffer senalan siempre do tasas impositivas producen mismos ingresos fiscales bor label; j : 71. Sim : 0.38969594; No similar. 
 andrespardoa inflacion baja parece ser positivo demasiado baja vuelve problema aqui explicacion htt; j : 72. Sim : 0.4178623; No similar. 
 andrespardoa colombia 1 habiamos anticipado fuerte caida trm porq vendria diferenciacion economias ; j : 73. Sim : 0.5856878; Baja. 
 andrespardoa banco central europeo aumenta monto compra mensual activos 60 80 mil millones  ; j : 74. Sim : 0.26838005; No similar. 
 andrespardoa japon lleva 15 anos deflacion economia solo crecido 08 anual explico portafolioco labe; j : 75. Sim : 0.58820045; Baja. 
 andrespardoa porquenosubirtasas 5a mayoria codirectores cree q alza previas sido importantes puede ; j : 76. Sim : 0.33860305; No similar. 
 juego identidad dia negros personas pintan cara cosmetico negro dia blancos cubren talco  ; j : 77. Sim : 0.13067563; No similar. 
 andrespardoa banco central europeo recorta tasa inter referencia 005 0 tasa depositos 03 04  ; j : 78. Sim : 0.49314955; No similar. 
 moveconcertsco sabianque show roger water contara sonido envolvente 11 puntos relevo 7 graderia 4 c; j : 79. Sim : 0.095110394; No similar. 
 andrespardoa recomendado reporte estabilidad financiera global fmi impulso mercados pasa liquidez c; j : 80. Sim : 0.5182547; Baja. 
 moveconcertsco sabianque show roger water contara sonido envolvente 11 puntos relevo 7 graderia 4 c; j : 81. Sim : 0.15170926; No similar. 
 andrespardoa crecimiento eurozona debil generar mas empleos eurozone growth too weak to lift job la; j : 82. Sim : 0.49072373; No similar. 
 frasedeldia darle inicio unnuevocomienzo reto futuro sigue siendo rapidez andy grove cofundador int; j : 83. Sim : 0.14247325; No similar. 
 sediceyaak ser aprobado congreso seria 5 centavos 10 centavos 20 centavos 50 centavos respectivamen; j : 84. Sim : 0.25718912; No similar. 
 andrespardoa colombia publicara mes recomendaciones xa reformar rentabilidad minima d fondos pensio; j : 85. Sim : 0.51013637; Baja. 
 andrespardoa porquenosubirtasas 2a crecimiento indice ise desestacionalizado proxy mensual pib cayo; j : 86. Sim : 0.6031803; Baja. 
 petrogustavo cierto bajando impuestos gran capital crece empleo hecho ultimas decadas todas dere  ; j : 87. Sim : 0.31022686; No similar. 
 andrespardoa colombia aunque bancorepublica sorprendio elevando tasa inter creemos debia hacerlo an; j : 88. Sim : 0.6559109; Baja. 
 andrespardoa colombia gobierno realiza operacion manejo deuda tesoro nacional 134 billones via minh; j : 89. Sim : 0.59600526; Baja. 
 blaudestereo mauricio pena jefe seccion musica biblioteca luis angel arango banrepcultural habla pr; j : 90. Sim : 0.43675572; No similar. 
 claucarizas dijo infraestructura ah si haciendo puentes desploman dejando vias medias leydivillamiz; j : 91. Sim : 0.34072852; No similar. 
 top 2 impacto economico inflacion japon mantuvo estable bce considera prematuro dar senales camb la; j : 92. Sim : 0.45884615; No similar. 
 banrepcultural biblioteca gabriel garcia marquez inaugurada 2001 cuenta sala general sala lectura p; j : 93. Sim : 0.33386827; No similar. 
 andrespardoa si economia colombiana casi potencial cree bancorepublica tasa referencia debe seguir ; j : 94. Sim : 0.59290993; Baja. 
 andrespardoa experiencia qe1 qe2 muestra q puede descartar caida tasa d tesoros feed reduzca qe3l  ; j : 95. Sim : 0.4467818; No similar. 
 andrespardoa analisis deuda publica 2probabilidad mas estimulo monetario europa japon positivo tes ; j : 96. Sim : 0.6264606; Baja. 
 andrespardoa ojo poner esperanzas d devaluacion desaceleracion chinaeso determinando precio d petro; j : 97. Sim : 0.4289902; No similar. 
 top 3 impacto economico confianza consumidor zona euro retrocedio desempleo uk subio lige labelurl ; j : 98. Sim : 0.4652689; No similar. 
 andrespardoa eurozona anuncio mas estimulo monetario q genera mas presion revaluacion peso colombia; j : 99. Sim : 0.584399; Baja. 
 andrespardoa ojo poner esperanzas devaluacion retiro liquidez paises avanzadoseso pasando columna h; j : 100. Sim : 0.48064917; No similar. 
 andrespardoa aumenta riesgo d deflacion europa d mas liquidezmas presion d revaluacion peso colombi; j : 101. Sim : 0.54965144; Baja. 
 andrespardoa tasa cambio colombia operandose 1842 pesos dolar tal comenzado normalizacion monetari ; j : 102. Sim : 0.5089591; Baja. 
 top 3 impacto economico gobierno japones vuelve nombrar kuroda jefe confianza consumidor co labelur; j : 103. Sim : 0.35458416; No similar. 
 andrespardoa manana esperen analisis explicando pronostico 53 crecimiento pib colombia 1er trim  ; j : 104. Sim : 0.6504809; Baja. 
 andrespardoa colombia jpmorgan anuncia q ponderacion tes aumentara sustancialmente indices globales; j : 105. Sim : 0.59608084; Baja. 
 eventosclavedelajornadademananan zona euro 400 markit pmi manufactureron eeuu 845 markit pmi manufa; j : 106. Sim : 0.27675033; No similar. 
 eventosclavedelajornadademanana zona euro 400 markit pmi manufactureron eeuu 845 markit pmi manufac; j : 107. Sim : 0.33014402; No similar. 
 andrespardoa aunque bancorepublica sorprendio elevando tasa inter creemos hora analisis portafolioc; j : 108. Sim : 0.6373782; Baja. 
 andrespardoa analisis medidas aumento liquidez europa mayor presion revaluacion peso colombiano htt; j : 109. Sim : 0.5448236; Baja. 
 andrespardoa analisis semana 1 nuevas medidas estimulo monetario eurozona apreciacion peso colombia; j : 110. Sim : 0.51243216; Baja. 
 andrespardoa significan cifras fiscales plan financiero 20142015 titulos deuda publica analisis htt; j : 111. Sim : 0.5496495; Baja. 
 andrespardoa 1 fmi bajo pronostico crecimiento pib mundial 36 34 esperabamos bajaran 33  ; j : 112. Sim : 0.48907423; No similar. 
 andrespardoa amplia liquidez global x mas tiempola feed discutio posibilidad d pausar desmonte d es; j : 113. Sim : 0.44755355; No similar. 
 andrespardoa porquenosubirtasas 5bmayoria d codirectores dijo q alza 75 apuntalar convergencia meta; j : 114. Sim : 0.28301683; No similar. 
 andrespardoa dada crisis ucraniarusia vale pena resaltar importancia rusia mercado mundial petroleo; j : 115. Sim : 0.40799356; No similar. 
 andrespardoa bancorepublica reconoce qu fuerte caida confianza consumidor genera mayor incertidumbr; j : 116. Sim : 0.38113877; No similar. 
 andrespardoa sondeo reuters pib colombia habria expandido 5 primer trimestre 2014 via bocanegranels; j : 117. Sim : 0.5741392; Baja. 
 andrespardoa venezuela agrisanti bcv seguira financiando gobierno pdvsa empresas publicas escenario; j : 118. Sim : 0.61071354; Baja. 
 andrespardoa colombia ventas x menor crecieron 53 nov13 87 vehiculosconfirma expectativa mayor recu; j : 119. Sim : 0.43695474; No similar. 
 eventosclavedelajornadademananan zona euro reunion politica monetaria bcen zona euro 400 pmi markit; j : 120. Sim : 0.46681556; No similar. 
 andrespardoa crisis ucraniarusia resalto importancia rusia suministro gas europa mitad pasa ucrania; j : 121. Sim : 0.46967015; No similar. 
 andrespardoa analisis peligro deflacion europa corficolombiana infsemanalene 20 2014 profesion peli; j : 122. Sim : 0.62268114; Baja. 
 eventosclavedelajornadademananan zona euro 400 markit pmi servicios n eeuu 945 markit pmi servicios; j : 123. Sim : 0.38537988; No similar. 
 andrespardoa colombia 6 jpmorgan simplemente dio empujon decision reflejo solidez colombia dentro m; j : 124. Sim : 0.55082536; Baja. 
 andrespardoa pensamos reciente devaluacion peso colombiano turbulencia mercados emergentes lealo aq; j : 125. Sim : 0.5035717; Baja. 
 banrepcultural biblioteca gabriel garcia marquez edificio 5000 m alberga coleccion 40000 ejemplares; j : 126. Sim : 0.32579634; No similar. 
 andrespardoa colombia 3pero ajuste bonos locales indices jpmorgan dio mejoras fundamentales regulat; j : 127. Sim : 0.42456716; No similar. 
 andrespardoa ver revaluacion peso colombiano ultimas medidas banco central europeo analisis htt  ; j : 128. Sim : 0.47838813; No similar. 
 andrespardoa inflacion eurozona cae 05 labelurl via ft viene mas estimulo monetario jueves retiro  ; j : 129. Sim : 0.58253866; Baja. 
 andrespardoa coincido argumento principal revistadinero bancorepublica debe seguir elevando tasa in; j : 130. Sim : 0.44249535; No similar. 
 andrespardoa analisis portafolioco medidas aumento liquidez europalas cuales presionan revaluacion ; j : 131. Sim : 0.44941163; No similar. 
 top 3 impacto economico bce mantendria tasa inter estable proxima reunion politica monetaria labelu; j : 132. Sim : 0.62196684; Baja. 
 andrespardoa colombia esperamos bancorepublica revise alza pronostico crecimiento pib 2014 hoy 43  ; j : 133. Sim : 0.69905794; Media. 
 presidente china xi xinping discurso dado foro economico boao asia prometio acelerar labelurl  ; j : 134. Sim : 0.40987396; No similar. 
 alpuntojl tasas mercado venido bajando empresas bajado mismo ritmo creditos consumo muc  ; j : 135. Sim : 0.40546378; No similar. 
 top 3 impacto economico congreso eeuu voto medida gasto evitar cierre administrativo aumenta d labe; j : 136. Sim : 0.41959354; No similar. 
 manana partir 510 pm siga facebook live vea lanzamiento libro ensayos crecimien labelurl  ; j : 137. Sim : 0.2699392; No similar. 
 andrespardoa elespectador anif preve alza tasas inter labelurl corficolombiana preve alza 375 mayo ; j : 138. Sim : 0.5988924; Baja. 
 ministros economia finanzas zona euro eligieron ministro espanol economia luis guindos pa labelurl ; j : 139. Sim : 0.5857895; Baja. 
 imassmco pleno lecciones empresariales uniandinos ravilapinto mhcolombia miguel largacha silvia esc; j : 140. Sim : 0.41320458; No similar. 
 andrespardoa colombia inflacion marzo 039 251 anual vs expectativas 028 esperabamos 027  ; j : 141. Sim : 0.59562683; Baja. 
 jaocampo desaceleracion economica choque petrolero terminado crecimiento esperado sigue siendo infe; j : 142. Sim : 0.35207257; No similar. 
 andrespardoa inflacion zona euro desacelera 04 anual nivel mas bajo 5 anos aleja mas meta 2  ; j : 143. Sim : 0.44031966; No similar. 
 fondosdepension carolina gonzalezvelosa especialista division mercados laborales elbid colombia hab; j : 144. Sim : 0.3700488; No similar. 
 manten deudas dia evita report centrales riesgo conociendo valor exacto fechas oportunas labelurl  ; j : 145. Sim : 0.22931452; No similar. 
 fondosdepension carolina gonzalezvelosa especialista division mercados laborales elbid colombia hab; j : 146. Sim : 0.34599698; No similar. 
 andrespardoa mas liquidez proveniente eurozona implica mayor presion revaluacion peso colombiano an; j : 147. Sim : 0.54297596; Baja. 
 andrespardoa eurozona inflacion cae 05 mayo viene mas estimulo monetario jueves mas presion revalua; j : 148. Sim : 0.56754345; Baja. 
 andrespardoa sondeo reuters inflacion colombia abril avanzaria 032 mensual via bocanegranelson espe; j : 149. Sim : 0.6613887; Baja. 
 bogeldorado muestra busca nacionales extranjeros aprecien riqueza arte colombiano minutos gran inau; j : 150. Sim : 0.19756715; No similar. 
 banrepeduca marzo 1923 presidente pedro nel ospina contrato grupo expertos presidido profes labelur; j : 151. Sim : 0.20724958; No similar. 
 fdbedout quiera explicar significado termino borrachera poder solo necesita ensenar video noticiasu; j : 152. Sim : 0.15028135; No similar. 
 acuerdo ultimo reporte mercado laboral economia anadio 155 mil nuevos puestos trabajo labelurl  ; j : 153. Sim : 0.4594572; No similar. 
 andrespardoa colombia tarifa impuesto patrimonio subiria 15 225 grandes capitales confirmo mauricio; j : 154. Sim : 0.53792596; Baja. 
 banco inglaterra mantuvo estable jueves tipos inter reino unido 075 mientras anuncio labelurl  ; j : 155. Sim : 0.27386585; No similar. 
 gustavobolivar dado batallas duras faltan muchas q darlas altura aunq mortifique sabor amargo d i  ; j : 156. Sim : 0.08685127; No similar. 
 andrespardoa porquenosubirtasas 2d crecimiento produccion cemento concreto trimestre movil mayo neg; j : 157. Sim : 0.37712234; No similar. 
 exito significa siempre ver lado positivo creer poder hacer situaciones negativas mejor  ; j : 158. Sim : 0.21470074; No similar. 
 bse publicado proyecto regulacion cambiaria reporte saldos operaciones dsifdcin usted puede conoce ; j : 159. Sim : 0.42013872; No similar. 
 imagen libro nina bonita ana maria machado decorara sala infantil nuevo banrepcultural labelurl  ; j : 160. Sim : 0.14658822; No similar. 
 goguiadeocio llega magia creatividad hechas artesania expoartesanias nn14 dias recorrer 5 pabellone; j : 161. Sim : 0.3201141; No similar. 
 andrespardoa datos pib inflacion eurozona aumentado probabilidad mas estimulo monetario proximos 2 ; j : 162. Sim : 0.59710324; Baja. 
 goguiadeocio llega magia creatividad hechas artesania expoartesanias nn14 dias recorrer 5 pabellone; j : 163. Sim : 0.3201141; No similar. 
 mloreguti gusto inaugurar restaurante acento hotel intercontinental cali hotelesestelar acompanaron; j : 164. Sim : 0.2732842; No similar. 
 andrespardoa analisis portafolioco crecimiento economico colombia 4to trimestre 2013 juliocromeroa ; j : 165. Sim : 0.7455967; Media. 
 apartes charla andrespardoa bvccolombia liquidez global turbulencia emergentes dolar tasas inter la; j : 166. Sim : 0.52572805; Baja. 
 andrespardoa apartes charla bvccolombia liquidez global turbulencia emergentes dolar tasas inter la; j : 167. Sim : 0.52572805; Baja. 
 andrespardoa crisis bonos argentinos enciende alarmas mercado global deuda labelurl via wsjamericas; j : 168. Sim : 0.40480408; No similar. 
 eventosclavedelajornadademananan zona euro 500 expectativas encuesta zew n japon 1850 balanza comer; j : 169. Sim : 0.47604832; No similar. 
 top 3 impacto economicoel ministro interior aleman da ultimatum merkelultima encuesta bloomberg lab; j : 170. Sim : 0.2976768; No similar. 
 andrespardoa ojo poner esperanzas devaluacion peso retiro d liquidez paises avanzadosninguno retira; j : 171. Sim : 0.44134924; No similar. 
 eventosclavedelajornadademananan zona euro 500 inflacionn eeuu 830 produccion industrial neeuu 830 ; j : 172. Sim : 0.27504694; No similar. 
 andrespardoa fmi colombia podria aumentar tasa inter recaudo impuestos labelurl via cablenoticias  ; j : 173. Sim : 0.64064497; Baja. 
 eventosclavedelajornadademananan eeuu 830 inflacionn japon 1850 pib n zona 500 produccion indu labe; j : 174. Sim : 0.507182; Baja. 
 eventosclavedelajornadademananan zona euro 500 inflacionn eeuu 830 produccion industrial neeuu 830 ; j : 175. Sim : 0.27504694; No similar. 
 andrespardoa version impresa analisis portafolioco escepticismo q pib potencial mas alto d q cree h; j : 176. Sim : 0.58410794; Baja. 
 andrespardoa resumen charla bvccolombia liquidez global turbulencia emergentes dolar tasas inter la; j : 177. Sim : 0.5072545; Baja. 
 seguirle pulso economia recomendamos seguir twitter andrespardoa gerente investigaciones economicas; j : 178. Sim : 0.4753338; No similar. 
 top 3 impacto economico actividad economica zona euro sigue expansion desaceleracion precios labelu; j : 179. Sim : 0.56612027; Baja. 
 seguirle pulso economia recomendamos seguir twitter andrespardoa gerente investigaciones economicas; j : 180. Sim : 0.4753338; No similar. 
 top 3 impacto economicobanco central japon boj mantuvo estable politica monetariameta crecimient la; j : 181. Sim : 0.37395093; No similar. 
 seguirle pulso economia recomendamos seguir twitter andrespardoa gerente investigaciones economicas; j : 182. Sim : 0.4753338; No similar. 
 andrespardoa analisis portafolioco devaluacion peso argentino impacto mercados financieros emergent; j : 183. Sim : 0.49391922; No similar. 
 andrespardoa colombia analisis rebalanceo indices jpmorgan impacto mercado deuda publica http  ; j : 184. Sim : 0.695725; Media. 
 seguirle pulso economia recomendamos seguir twitter andrespardoa gerente investigaciones economicas; j : 185. Sim : 0.4753338; No similar. 
 eventosclavedelajornadademananan zona euro 500 produccion industrial octn eeuu 830 indice preci lab; j : 186. Sim : 0.46323422; No similar. 
 andrespardoa colombia analisis portafolioco pronostico pib 4to trimestre 2013 publica hoy labelurl ; j : 187. Sim : 0.711655; Media. 
 seguirle pulso economia recomendamos seguir twitter andrespardoa gerente investigaciones economicas; j : 188. Sim : 0.4753338; No similar. 
 eventosclavedelajornadademananan zona euro 500 expectativas encuesta zewn eeuu 900 ordenes fabric l; j : 189. Sim : 0.4203049; No similar. 
 eventosclavedelajornadademanan zona euro 400 confianza consumidor reino unido 700 decision tasa lab; j : 190. Sim : 0.3346178; No similar. 
 andrespardoa analisis portafolioco riesgos baja inflacion peligro deflacion zona euro http  ; j : 191. Sim : 0.5687337; Baja. 
 andrespardoa analisis mayor peso colombia indice jpmorganni bancorepublica claro flujos estima  ; j : 192. Sim : 0.58620495; Baja. 
 andrespardoa ojo poner esperanzas devaluacion peso desaceleracion chinaeso determinando precio petr; j : 193. Sim : 0.43578035; No similar. 
 andrespardoa analisis semana devaluacion peso argentino impacto mercados financieros emergentes htt; j : 194. Sim : 0.46525586; No similar. 
 eventosclavedelajornadademananan zona euro 500 produccion industrialn eeuu 830 ordenes bienes dur l; j : 195. Sim : 0.3917119; No similar. 
 corficolombiana llevo cabo rueda prensa hotel estelar villavicencio mencionaron aspectos im labelur; j : 196. Sim : 0.055076767; No similar. 
 andrespardoa problema inflacion baja europa debe evitarla mas estimulo monetariomi analisis htt  ; j : 197. Sim : 0.6060381; Baja. 
 andrespardoa problema inflacion baja europa debe evitarla mas estimulo monetario analisis http  ; j : 198. Sim : 0.60800654; Baja. 
 corficolombiana llevo cabo rueda prensa hotel estelar villavicencio mencionaron aspectos im labelur; j : 199. Sim : 0.055076767; No similar. 
 eventosclavedelajornadademananan zona euro 500 produccion industrialn eeuu 830 ordenes bienes dur l; j : 200. Sim : 0.3917119; No similar. 
 asi salio publicado analisis version impresa ayer portafolioco tan claro andrespardoa labelurl  ; j : 201. Sim : 0.46022472; No similar. 
 andrespardoa asi salio publicado analisis hoy version impresa portafolioco estimulo ahi labelurl  ; j : 202. Sim : 0.63302416; Baja. 
 frente nina bonita ilustracion emblematica narrativa pacifico sala infantil centro cultur labelurl ; j : 203. Sim : 0.29470554; No similar. 
 top 3 impacto economico solicitudes subsidios desempleo eeuu cayeronventas minoristas reino uni lab; j : 204. Sim : 0.4820591; No similar. 
 andrespardoa asi turbulencia mercados emergentes podria desatar crisis bancaria via qz labelurl  ; j : 205. Sim : 0.46521926; No similar. 
 bse publicado proyecto apoyos transitorios liquidez busca ajustar normas actualizar regulac labelur; j : 206. Sim : 0.21025348; No similar. 
 andrespardoa analisis urgencia combata baja inflacion eurozona solo riesgo deflacion http  ; j : 207. Sim : 0.58890784; Baja. 
 exito contratar personas adecuadas busca gente quiera cambiar mundo marc benloff  ; j : 208. Sim : 0.21394408; No similar. 
 eventosclavedelajornadaneeuu 900 indice manufacturero pmi sepnzona euro 400 tasa desempleo agonco l; j : 209. Sim : 0.429235; No similar. 
 andrespardoa colombia crecera 5 2014 cepal labelurl via elespectador q une nuesto pronosticoel juev; j : 210. Sim : 0.42882285; No similar. 
 andrespardoa lenguaje feed implica tasas bajas eeuu tiempo considerable analisis portafolioco label; j : 211. Sim : 0.50646466; Baja. 
