Modulo nnlm-es-dim128-with-normalization-2
Topicos : caso dm gracias bancorepublica atentos quedamos datos area colaborarte 
 julianabdiaz lugar evento cambiado realizara hotel radisson avenida 60 2299 salon ar total bogota d; j : 1. Sim : 0.18399064; No similar. 
 alrola hola alvaro gracias escribirnos envianos dm caso junto datos contacto colaborarte quedamos a; j : 18. Sim : 0.75628805; Media. 
 jhonmera jhon permitenos ayudarte envianos dm caso junto datos contacto colaborarte quedamos atento; j : 19. Sim : 0.71952003; Media. 
 andresmunozaym buenos dias permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos; j : 20. Sim : 0.6964289; Media. 
 erimarcor buenos dias erica permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 21. Sim : 0.6624879; Baja. 
 fiajeniffer permitenos ayudarte envianos caso datos contacto dm revisar caso area encargada saludos; j : 22. Sim : 0.6781944; Media. 
 nstriana buenos dias nayhua permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 23. Sim : 0.6315556; Baja. 
 sarahtoroe hola sarah gracias escribirnos envianos datos dm gestionar caso area encaragada quedamos; j : 24. Sim : 0.747928; Media. 
 kaka1255 buenos dias daniel permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 25. Sim : 0.6438581; Baja. 
 henryluisp buenos dias henry permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 26. Sim : 0.64886314; Baja. 
 jforero2 sfcsupervisor hola jimmy permitenos ayudarte envianos caso datos contacto dm colaborarte q; j : 27. Sim : 0.7273869; Media. 
 lugar evento cambiado realizara hotel radisson avenida 60 2299 salon ar total bogota d labelurl  ; j : 28. Sim : 0.18263194; No similar. 
 eltapaman hola si deseas envianos datos contacto dm enviar caso area encargada quedamos atentos  ; j : 29. Sim : 0.6543916; Baja. 
 gydoar buenos dias andres permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 30. Sim : 0.6692737; Baja. 
 imhenry sfcsupervisor hola henry permitenos ayudarte envianos caso dm revisarlo area encargada qued; j : 31. Sim : 0.62409955; Baja. 
 carlcat17 sfcsupervisor carlos permitenos ayudarte envianos datos contacto dm revisar caso area enc; j : 32. Sim : 0.60397893; Baja. 
 diariodecas ninos escuela porfia recibieron kit escolares parte secretaria educacion yopal gloria f; j : 33. Sim : 0.11581701; No similar. 
 jeantmedrano buenos dias jeant permitenos ayudarte envianos caso datos contacto dm quedamos atentos; j : 34. Sim : 0.6871504; Media. 
 evento bogota seminariodeeconomia 499 credit risk and monetary passthrough evidence from chile 0111; j : 35. Sim : 0.38610142; No similar. 
 lopeztelar u2 andres permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atent; j : 36. Sim : 0.68382; Media. 
 jerobledo hechos estan dando razon declararnos oposicion gobierno hoy rueda prensa organizada banca; j : 37. Sim : 0.25891194; No similar. 
 lorespitia gracias reporte lorena pasaremos area encargada arreglen danos mas pronto posible feliz ; j : 38. Sim : 0.41105485; No similar. 
 carlcat17 sfcsupervisor carlos gusto enviaremos caso datos contacto area encargada colaborarte feli; j : 39. Sim : 0.5014392; Baja. 
 jorgoconrobledo puede haber ninguna duda cicaterias mezquindades debe reparar toda zona afectada es; j : 40. Sim : 0.042382784; No similar. 
 gobertolima apoyada bcooccidente sec planeacion tic hace entrega kit escolares marco celebracion di; j : 41. Sim : 0.32604063; No similar. 
 mloreguti desarrollo mercado capitales romperia barrera ser pais ingreso medio motor emprendimiento; j : 42. Sim : 0.16439; No similar. 
 hola gretelaleman seguiremos haciendo mejor conseguirlo muchas gracias buenos deseos feliz navidad ; j : 43. Sim : 0.27522388; No similar. 
 pilitarojas hola pilar permitenos colaborarte envianos caso datos contacto dm colaborarte quedamos ; j : 44. Sim : 0.7319006; Media. 
 lufeviga83 lupe permitenos colaborarte envianos caso datos contacto dm colaborarte quedamos atentos; j : 45. Sim : 0.7115876; Media. 
 sebasea buenos dias sebas envianos comentas dm revisarlo area encargada quedamos atentos  ; j : 46. Sim : 0.5977407; Baja. 
 carito2012ley carolina permitenos colaborarte envianos caso datos contacto dm colaborarte quedamos ; j : 47. Sim : 0.6907213; Media. 
 diarionocturno nicolas permitenos colaborarte envianos caso datos contacto dm colaborarte quedamos ; j : 48. Sim : 0.69416; Media. 
 jblasdoxt buenos dias diana envianos caso dm revisarlo area encargada quedamos atentos  ; j : 49. Sim : 0.68405724; Media. 
 carloswaltherr carlos gracias reportarnos caso revisaremos area encargada poder darte respuesta sal; j : 50. Sim : 0.5519964; Baja. 
 jennifergutiers hola jennifer gracias escribirnos envianos caso datos contacto dm colaborarte queda; j : 51. Sim : 0.78742933; Media. 
 isabelitarh isabel permitenos ayudarte envianos caso dm gestionarlo area encargada quedamos atentos; j : 52. Sim : 0.60994846; Baja. 
 edwardrico68 hola edward permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos a; j : 53. Sim : 0.70160174; Media. 
 jsant84 jennifer permitenos ayudarte envianos caso dm datos contacto colaborarte quedamos atentos  ; j : 54. Sim : 0.71964186; Media. 
 ginamarce hola gigi permitenos ayudarte envianos caso dm revisarlo area encargada quedamos atentos ; j : 55. Sim : 0.6407597; Baja. 
 raulfdrodriguez hola raul permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos ; j : 56. Sim : 0.698516; Media. 
 notcarlosperez carlos gracias escribirnos envianos caso datos contacto dm colaborarte quedamos aten; j : 57. Sim : 0.73939997; Media. 
 namontanop nelson permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atentos ; j : 58. Sim : 0.7172516; Media. 
 henryluisp hola henry permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos aten; j : 59. Sim : 0.6896872; Media. 
 jamankind hola jose permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atento; j : 60. Sim : 0.6534325; Baja. 
 joselvilladiego jose permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atent; j : 61. Sim : 0.6680297; Baja. 
 diarionocturno pibegeek sfcsupervisor atentos colaborarte caso via dm necesitamos datos personales ; j : 62. Sim : 0.65968704; Baja. 
 natipatilla hola gracias escribirnos envianos dm caso junto datos contacto colaborarte quedamos ate; j : 63. Sim : 0.7717903; Media. 
 almehandrag hola aleja permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos ate; j : 64. Sim : 0.6664896; Baja. 
 paulandreab hola paula permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos ate; j : 65. Sim : 0.7143823; Media. 
 fraruiz21 buenos dias francisco envianos datos contacto dm asesores comunique contigo saludos  ; j : 66. Sim : 0.505431; Baja. 
 solucionatico hola permitenos colaborarte envianos caso datos contacto dm verificar sucedio quedamo; j : 67. Sim : 0.7333628; Media. 
 evento recuerde cita manana bogota seminariodeeconomia 501 specialization pattern in international ; j : 68. Sim : 0.22537103; No similar. 
 banrepeduca lanza 10a version concurso ensayo banca escolar banca central dirigido est labelurl  ; j : 69. Sim : 0.17584069; No similar. 
 lukasmeluk muchas gracias reporte lukas pasamos area encargada sulucionen mas pronto posible saludo; j : 70. Sim : 0.49335366; No similar. 
 linapiedrahita5 lina cuentanos detalle caso dm envianos soportes datos contacto quedamos atentos  ; j : 71. Sim : 0.653999; Baja. 
 yucolsa seminario nuevo regimen cambios internacionales sera trasmitido via stream siganos pr label; j : 72. Sim : 0.336436; No similar. 
 cavendish09 hola walter permitenos ayudarte envianos caso datos contacto dm quedamos atentos saludo; j : 73. Sim : 0.63406026; Baja. 
 hola fabiandevia interesa conocer motivo comentario puedes escribirnos via dm conocer detalle caso ; j : 74. Sim : 0.48175332; No similar. 
 hola silviavalenti interesa conocer detalle caso darte soluciones puedes escribirnos via dm saludos; j : 75. Sim : 0.5096715; Baja. 
 cristiangbd2 ponemos trabas queremos agilizar proceso poder darle esposa solucion mas pronto posibl; j : 76. Sim : 0.22776337; No similar. 
 estan ofreciendo ganancias fijas altas corto tiempo invertir criptomonedas cuidado anda ma labelurl; j : 77. Sim : 0.15991406; No similar. 
 bucaramanga pierda proximo 20 marzo simposio economia agricola desarrollo rural tendra lu labelurl ; j : 78. Sim : 0.19927227; No similar. 
 mdgarzon miguel permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 79. Sim : 0.66038907; Baja. 
 bucaramanga pierda proximo 20 marzo simposio economia agricola desarrollo rural tendra lu labelurl ; j : 80. Sim : 0.19927227; No similar. 
 nicolasescandoh salvamento voto magistrado cortesupremaj gerardo botero zuluaga demuestra rigor deb; j : 81. Sim : 0.105672255; No similar. 
 pazupersonica hola paz permitenos ayudarte envianos consulta datos contacto dm colaborarte quedamos; j : 82. Sim : 0.60405487; Baja. 
 estan ofreciendo ganancias fijas altas corto tiempo si invierte criptomonedas cuidado and labelurl ; j : 83. Sim : 0.17466766; No similar. 
 jotamorales julio permitenos ayudarte envianos dm caso datos contacto colaborarte quedamos atentos ; j : 84. Sim : 0.6775408; Media. 
 damos bienvenida daniel nino fundador pyxis economica conectese siguiente enlace conocer mas deta l; j : 85. Sim : 0.27942652; No similar. 
 bde banca escolar banca central hace parte programa educacion economica financiera banrepeduca labe; j : 86. Sim : 0.21242915; No similar. 
 dreunal conferencia banco republica npatrocinio estudiar exterior posgrado derecho economicon21 mar; j : 87. Sim : 0.115212865; No similar. 
 bel ensayo participa banca escolar banca central debe ser escrito espanol inedito labelurl  ; j : 88. Sim : 0.1658889; No similar. 
 bel concurso banca escolar banca central hace parte programa educacion economica financiera labelur; j : 89. Sim : 0.1851494; No similar. 
 colombia1319 hola puedes enviar datos personales dm pasar reporte asi brindarte ayuda saludos  ; j : 90. Sim : 0.49058855; No similar. 
 si notas presencia personas sospechosas dentro banco alguien ceda varias veces turno labelurl  ; j : 91. Sim : 0.0947487; No similar. 
 carlgarnn latamco carlos envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 92. Sim : 0.7150698; Media. 
 jporfavor buenos dias envianos caso dm revisarlo area encargada quedamos atentos  ; j : 93. Sim : 0.705347; Media. 
 violacea hola envianos datos contacto dm revisar caso area encargada quedamos atentos  ; j : 94. Sim : 0.7327697; Media. 
 juandrb buenos dias juan diego gusto enviaremos recomendacion area encargada saludos  ; j : 95. Sim : 0.3284066; No similar. 
 pilpintutintaya angelica manejando caso dm enviamos nuevo respuesta area encargada saludos  ; j : 96. Sim : 0.497362; No similar. 
 gomezfreddy1 atentado oleoducto trasandino altura nvereda coataquer municipio mallama narino ecopet; j : 97. Sim : 0.114089616; No similar. 
 alejandroperes hola jorge permitenos colaborarte envianos caso dm datos contacto quedamos atentos  ; j : 98. Sim : 0.69414383; Media. 
 proximos dias ciudadanos quieran radicar peticion queja reclamo pqr bancorepublica po labelurl  ; j : 99. Sim : 0.41853324; No similar. 
 giraldo23 tolstoiocoro navarrowolff bancorepublica vinculo iniciativa r3 busca explorar posibles ap; j : 100. Sim : 0.23269066; No similar. 
 proximos dias ciudadanos quieran radicar peticion queja reclamo pqr bancorepublica po labelurl  ; j : 101. Sim : 0.41853324; No similar. 
 evento bucaramanga hoy asista seminariodeeconomia 9 presentado rafael isidro parrapena entrada libr; j : 102. Sim : 0.15890087; No similar. 
 1butterflygirl hola lina muchas gracias reporte pasaremos area encargada pronta solucion saludos  ; j : 103. Sim : 0.5195612; Baja. 
 bancorepublica miembros junta directiva lamentan profundamente muerte clara isabel botero cuerv lab; j : 104. Sim : 0.15506537; No similar. 
 crislondone4a cristian permitenos colaborarte envianos caso datos contacto dm quedamos atentos  ; j : 105. Sim : 0.7065358; Media. 
 economia nororiente santander boyaca norte santander arauca registro panorama positivo inic labelur; j : 106. Sim : 0.25992268; No similar. 
 eebedoya edward permitenos ayudarte envianos caso soportes dm colaborarte quedamos atentos  ; j : 107. Sim : 0.6515797; Baja. 
 gabolosada buenos dias gracias escribirnos envianos caso dm colaborarte quedamos atentos  ; j : 108. Sim : 0.7412092; Media. 
 lauraporfavor sfcsupervisor laura envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 109. Sim : 0.72416246; Media. 
 marguiomend margarita permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 110. Sim : 0.6542641; Baja. 
 nazlycata hola nazly permitenos ayudarte envianos dm caso datos contacto quedamos atentos  ; j : 111. Sim : 0.65507865; Baja. 
 cortesmarce marcela permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 112. Sim : 0.62985617; Baja. 
 mianca08 hola permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 113. Sim : 0.72729456; Media. 
 carlosochoa1985 hola carlos permitenos ayudarte envianos caso dm envialo siguiente correo serviciob; j : 114. Sim : 0.45605925; No similar. 
 samefa sara gracias escribirnos envianos caso dm colaborarte quedamos atentos saludos  ; j : 115. Sim : 0.7215669; Media. 
 wmatuk jorge permitenos ayudarte envianos dm caso datos contacto quedamos atentos  ; j : 116. Sim : 0.66409385; Baja. 
 rubhers13 sfcsupervisor cholovalderrama omargamboa ruben envianos caso dm colaborarte quedamos aten; j : 117. Sim : 0.69726646; Media. 
 gabrh colpensiones gabriel comunicaremos dm contigo solicitarte datos personales mama porvenirteres; j : 118. Sim : 0.5015799; Baja. 
 pipegomezsan hola felipe permitenos ayudarte envianos dm caso datos contacto quedamos atentos  ; j : 119. Sim : 0.64740235; Baja. 
 medios pueden participar rueda prensa dara hoy finalizar reunion junta directiva labelurl  ; j : 120. Sim : 0.1752619; No similar. 
 gabrh colpensiones gabriel comunicaremos dm contigo solicitarte datos personales mama porvenirteres; j : 121. Sim : 0.5015799; Baja. 
 medios comunicacion pueden participar rueda prensa dara hoy finalizar reunion junta labelurl  ; j : 122. Sim : 0.23493564; No similar. 
 damos bienvenida francisco miranda director fundador eme tres comunicaciones conectese siguiente la; j : 123. Sim : 0.21832411; No similar. 
 melbalcardenasb hola melba permitenos ayudarte envianos dm pantallazo comentas envianos datos conta; j : 124. Sim : 0.5186773; Baja. 
 jhonacj hola jhon gracias interesarte productos envianos datos contacto dm brindarte asesoria  ; j : 125. Sim : 0.5753496; Baja. 
 macrisgc1 maria cristina permitenos colaborarte cuentanos experiencia dm colaborarte quedamos atent; j : 126. Sim : 0.5244681; Baja. 
 ganancias fijas altas corto tiempo invertir criptomonedas cuidado anda mal informese labelurl  ; j : 127. Sim : 0.12418942; No similar. 
 bquienes pueden participar concurso ensayo corto banca escolar banca central estudiantes labelurl  ; j : 128. Sim : 0.09646882; No similar. 
 ganancias fijas altas corto tiempo invertir criptomonedas cuidado anda mal informese labelurl  ; j : 129. Sim : 0.12418942; No similar. 
 bquienes pueden participar concurso ensayo corto banca escolar banca central estudiantes labelurl  ; j : 130. Sim : 0.09646882; No similar. 
 ganancias fijas altas corto tiempo invertir criptomonedas cuidado anda mal informese labelurl  ; j : 131. Sim : 0.12418942; No similar. 
 monomunozp hola alvaro cuentanos caso dm junto datos aclararte tarifas quedamos atentos  ; j : 132. Sim : 0.664345; Baja. 
 bcual objetivo concurso banca escolar banca central busca motivar estudiantes adqui labelurl  ; j : 133. Sim : 0.096273854; No similar. 
 darcyquinnr caracolbga caracol1170am cadena radial especial dario arismendi tendra retractarse tras; j : 134. Sim : 0.21367061; No similar. 
 juakogallardo jorgearestrepo si usted posee pruebas sustenten afirmacion invitamos utilizar cana la; j : 135. Sim : 0.25497586; No similar. 
 hola catabusta interesa conocer detalle motivo comentario puedes escribirnos via dm gracias  ; j : 136. Sim : 0.5199819; Baja. 
 realice practicas alguna sedes bancorepublica pais bogota medellin cali bucaramanga ma labelurl  ; j : 137. Sim : 0.33063573; No similar. 
 inicia rueda prensa reunion junta directiva bancorepublica mes mayo analistas peri labelurl  ; j : 138. Sim : 0.26395172; No similar. 
 angeldeantares norma usura fija articulo 305 codigo penal banco republica colo labelurl  ; j : 139. Sim : 0.21237488; No similar. 
 guerreroisabel buenos dias isabel permitenos ayudarte envianos caso dm quedamos atentos  ; j : 140. Sim : 0.5508839; Baja. 
 workingpaper 1027 by juliana jaramilloecheverri adolfo meiselroca and maria teresa ramirezgiraldo l; j : 141. Sim : 0.14550623; No similar. 
 josevbernalr si usted posee pruebas sustenten afirmacion invitamos utilizar canal denuncia q labelu; j : 142. Sim : 0.28217688; No similar. 
 omaromarbu2015 si usted posee pruebas sustenten afirmacion invitamos utilizar canal denuncia labelu; j : 143. Sim : 0.27893662; No similar. 
 compartir hijos jugando podra ayudarte explicarles manera divertida economia fiananzas globalmoneyw; j : 144. Sim : 0.16212445; No similar. 
 giraldogiraldo7 norma usura fija articulo 305 codigo penal banco republica col labelurl  ; j : 145. Sim : 0.20614092; No similar. 
 banrepeduca colegio champagnat ibague ocupo tercer lugar concurso ensayo corto banca labelurl  ; j : 146. Sim : 0.06240679; No similar. 
 usted debe conocer riesgos expone si decide negociar criptomonedas saberlo puede labelurl  ; j : 147. Sim : -0.004526057; No similar. 
 usted debe conocer riesgos expone si decide negociar criptomonedas saber mas informese labelurl  ; j : 148. Sim : 0.08367163; No similar. 
 frasedeldia activo mas poderoso mente bien entrenada puede crear enormesnriquezas robert kiyosaki  ; j : 149. Sim : 0.20012045; No similar. 
 arranca participacion jaocampo celebracion xxxii dia director comercio exterior evento organizad la; j : 150. Sim : 0.20207058; No similar. 
 karemsuarezv hablemosclaro decisiones toman manera informada escoger regimen pensional convenga esc; j : 151. Sim : 0.12529571; No similar. 
 leindeciso hola cuentanos si comunicaste asesor envianos dm caso colaborarte quedamos atentos  ; j : 152. Sim : 0.6506228; Baja. 
 agendese seminariosbanrep n30 mayo bogota cobrame si puedes dinamica multiplicadores fisc labelurl ; j : 153. Sim : 0.27952725; No similar. 
 traves deporte poder transmitir valores construyen paz dinos emoji ultimo deport labelurl  ; j : 154. Sim : 0.111519255; No similar. 
 si colombiano profesional areas afines musica postulese estudiar musica exterior patrocina labelurl; j : 155. Sim : 0.15784808; No similar. 
 mury800 dios gracias 2do lugar 10k circuito caixa brasilporveniroficial equipoporvenir nikerunning ; j : 156. Sim : 0.2751557; No similar. 
 mauriciocard va responder reficar usted miembro junta directiva ordenaban gastos reembo labelurl  ; j : 157. Sim : 0.071226195; No similar. 
 gerente juanjoseechavarria hace balance comite consultivo lugar hoy cali 27 emp labelurl  ; j : 158. Sim : 0.31629768; No similar. 
 empecemos ano pie derecho aprendamosmas realicemos presupuesto compensar gastos diciembre mes  ; j : 159. Sim : 0.16478343; No similar. 
 creemos buenos nuevos vientos trae agosto cuentanos plan favorito mes cometas  ; j : 160. Sim : 0.14163235; No similar. 
 asista evento proximo viernes 20102017 entrada libre conozca agenda inscribase labelurl  ; j : 161. Sim : 0.11983898; No similar. 
 mottafabian hola fabian envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 162. Sim : 0.74351156; Media. 
 jadersilvera deportesboy956 indeportesboy runningcol gobboyaca irdettunja carlosamayar chidonoticia; j : 163. Sim : 0.21796082; No similar. 
 buitragosilvia silvia envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 164. Sim : 0.7611092; Media. 
 asista evento manana viernes 20102017 entrada libre conozca agenda inscribase labelurl  ; j : 165. Sim : 0.13933921; No similar. 
 aleardila alexandra envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 166. Sim : 0.72046757; Media. 
 bmanana santamarta codirector adolfomeisel presenta documento pobreza santa marta estrag labelurl  ; j : 167. Sim : 0.07360142; No similar. 
 banrep ofrece patrocinio estudiar exterior 5 cupos doctorado economia 1 cupo posgrado labelurl  ; j : 168. Sim : 0.05012191; No similar. 
 katharpo hola catalina envianos dm caso datos contacto colaborarte quedamos atentos  ; j : 169. Sim : 0.7081377; Media. 
 banrep ofrece patrocinio estudiar exterior 5 cupos doctorado economia 1 cupo posgrado labelurl  ; j : 170. Sim : 0.05012191; No similar. 
 bancorepublica miembros junta directiva lamentan profundamente muerte cecilia santa maria labelurl ; j : 171. Sim : 0.16668876; No similar. 
 andreavaliente hola andrea envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 172. Sim : 0.7143634; Media. 
 banrep ofrece patrocinio estudiar exterior 5 cupos doctorado economia 1 cupo posgrado labelurl  ; j : 173. Sim : 0.05012191; No similar. 
 saidherrera say envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 174. Sim : 0.7214038; Media. 
 banrep ofrece patrocinio estudiar exterior 5 cupos doctorado economia 1 cupo posgrado labelurl  ; j : 175. Sim : 0.05012191; No similar. 
 interesado invertir criptomonedas informese conozca riesgos estan expuestos usted din labelurl  ; j : 176. Sim : 0.28398213; No similar. 
 cali hoy miembros juntabanrep reunen empresarios valle cauca escuchar discutir s labelurl  ; j : 177. Sim : 0.18269958; No similar. 
 jofema2010 hola jose envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 178. Sim : 0.7145998; Media. 
 banrepeduca conozca comunicado prensa final decima version concurso ensayo corto b labelurl  ; j : 179. Sim : 0.25585157; No similar. 
 feliatlas felipe permitenos servirte envianos caso dm colaborarte quedamos atentos  ; j : 180. Sim : 0.5864296; Baja. 
 jhonxande hola jhon gracias palabras gusto enviaremos recomendacion area encargada saludos  ; j : 181. Sim : 0.42449945; No similar. 
 midazagarcia maria envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 182. Sim : 0.73471117; Media. 
 angienat22 hola aniie regalarias datos dm poder colaborarte inquietudes nombre comp labelurl  ; j : 183. Sim : 0.5468202; Baja. 
 finaliza reunion junta directiva bancorepublica conozca decisiones tomadas traves tran labelurl  ; j : 184. Sim : 0.3498701; No similar. 
 finaliza reunion junta directiva bancorepublica conozca decisiones tomadas traves trans labelurl  ; j : 185. Sim : 0.31467983; No similar. 
 andresmania acciones bvc mas suben 22marzo2019 1nncorficolcf 6134npfcorficol 5241ngrupoaval 3243nbc; j : 186. Sim : 0.19651063; No similar. 
 finaliza reunion junta directiva bancorepublica conozca decisiones tomadas traves tran labelurl  ; j : 187. Sim : 0.3498701; No similar. 
 finaliza reunion junta directiva bancorepublica conozca decisiones tomadas traves trans labelurl  ; j : 188. Sim : 0.31467983; No similar. 
 anabysevilla ruggemyrainbow gracias unirte recuerda mas seguidores don mas sera aporte est labelurl; j : 189. Sim : 0.20771612; No similar. 
 louraxlobos94 sofiaftjustin gracias unirte recuerda mas seguidores don mas sera aporte est labelurl; j : 190. Sim : 0.21360111; No similar. 
 marilynlizeth7 alelovescache gracias unirte recuerda mas seguidores don mas sera aporte est labelur; j : 191. Sim : 0.17498523; No similar. 
 castawayherron irwindarkside gracias unirte recuerda mas seguidores don mas sera aporte est labelur; j : 192. Sim : 0.19445589; No similar. 
 erikavalerialp1 cacheesvidaa gracias unirte recuerda mas seguidores don mas sera aporte est labelur; j : 193. Sim : 0.1889625; No similar. 
 karlix70913202 marbjaramillo gracias unirte recuerda mas seguidores don mas sera aporte est labelur; j : 194. Sim : 0.17642866; No similar. 
 fatima04891491 svmysalvation gracias unirte recuerda mas seguidores don mas sera aporte est labelur; j : 195. Sim : 0.1588581; No similar. 
 ben santamarta codirector adolfomeisel inicia presentacion documento pobreza santa marta l labelurl; j : 196. Sim : 0.13990812; No similar. 
 quiere hacer doctorado economia bancorepublica ofrece cinco patrocinios profesionales pregrado labe; j : 197. Sim : 0.18137068; No similar. 
 finaliza participacion gerente bancorepublica juntabanrep comision iii senado conozca tod labelurl ; j : 198. Sim : 0.27355713; No similar. 
 quiere hacer doctorado economia bancorepublica ofrece cinco patrocinios profesionales pregrado labe; j : 199. Sim : 0.18137068; No similar. 
 muchilon hola andres envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 200. Sim : 0.72729117; Media. 
 quiere hacer doctorado economia bancorepublica ofrece cinco patrocinios profesionales pregrado labe; j : 201. Sim : 0.18137068; No similar. 
 gerardopp hola gerardo regalarias datos dm poder colaborarte inquietudes nombre com labelurl  ; j : 202. Sim : 0.5330219; Baja. 
 quiere hacer doctorado economia bancorepublica ofrece cinco patrocinios profesionales pregrado labe; j : 203. Sim : 0.18137068; No similar. 
 inicia presentacion reporte estabilidad financiera estabilidadfinanciera cargo juan jose echavarria; j : 204. Sim : 0.20476292; No similar. 
 gerardopp hola gerardo regalarias datos dm poder colaborarte inquietudes nombre com labelurl  ; j : 205. Sim : 0.5330219; Baja. 
 quiere hacer doctorado economia bancorepublica ofrece cinco patrocinios profesionales pregrado labe; j : 206. Sim : 0.18137068; No similar. 
 evento bucaramanga asista seminariosbanrep presentado camilo pecha g entrada libre 09022018 labelur; j : 207. Sim : 0.082243696; No similar. 
 asesoriasmlz bancorepublica vinculo iniciativa r3 busca explorar posibles aplicaciones tecnolog lab; j : 208. Sim : 0.31593734; No similar. 
 donconchito diego envianos datos contacto dm poder colaborarte quedamos atentos  ; j : 209. Sim : 0.64071983; Baja. 
 evento bucaramanga asista seminariosbanrep presentado camilo pecha g entrada libre 09022018 labelur; j : 210. Sim : 0.082243696; No similar. 
 junta directiva hoy reunion jdbr consulte frecuentemente portal conocer decisiones labelurl  ; j : 211. Sim : 0.22643141; No similar. 
 reportesdelemisor quiere saber region nororiente santander boyaca norte santander arauca labelurl  ; j : 212. Sim : 0.1682454; No similar. 
 johnarleycano hola dado respuesta dm revisa bandeja entrada conocer caso saludos  ; j : 213. Sim : 0.45269972; No similar. 
 junta directiva hoy reunion jdbr consulte frecuentemente portal conocer decisiones labelurl  ; j : 214. Sim : 0.22643141; No similar. 
 banco republica busca estudiantes universitarios pregrado destacados desempeno academico habi label; j : 215. Sim : 0.12394009; No similar. 
 agendese participe seminariosbanrepnbogota 6 marzo basilea iv reformas poscrisis nmayor inform labe; j : 216. Sim : 0.129612; No similar. 
