Modulo nnlm-es-dim128-with-normalization-2
Topicos : caso dm gracias atentos quedamos datos bancorepublica si saludos envianos 
 colcapital so happy to have our special guest ralphsimon1 in our annual assembly colcapital with th; j : 1. Sim : 0.18297713; No similar. 
 jotamorales julio permitenos ayudarte envianos dm caso datos contacto colaborarte quedamos atentos ; j : 120. Sim : 0.67698914; Media. 
 macrisgc1 maria cristina cuentanos caso dm ayudarte tomar medidas necesarias quedamos atentos  ; j : 121. Sim : 0.45554695; No similar. 
 bel ensayo participa banca escolar banca central debe ser escrito espanol inedito labelurl  ; j : 122. Sim : 0.13452628; No similar. 
 lindaenamo cuentanos dm caso poder ayudarte escalarlo encontrar solucion mas pronto posible atentos; j : 123. Sim : 0.45105204; No similar. 
 bancorepublica analistas mercado financiero pueden participar rueda prensa dara hoy finalizar reuni; j : 124. Sim : 0.2791194; No similar. 
 nicolasescandoh salvamento voto magistrado cortesupremaj gerardo botero zuluaga demuestra rigor deb; j : 125. Sim : 0.11626131; No similar. 
 sala infantil tendra mobiliario colecciones especiales ninos ademas ventana panoramica vista mar  ; j : 126. Sim : 0.23168202; No similar. 
 si notas presencia personas sospechosas dentro banco alguien ceda varias veces turno labelurl  ; j : 127. Sim : 0.2151328; No similar. 
 blisa schineller comenta contexto cambios gobierno varios paises region do retos im labelurl  ; j : 128. Sim : 0.1661865; No similar. 
 si notas presencia personas sospechosas dentro banco alguien ceda varias veces turno labelurl  ; j : 129. Sim : 0.2151328; No similar. 
 acerca fin ano regalos vacaciones mas gastos daran espera conoce 3 reglas poder cumpl labelurl  ; j : 130. Sim : 0.3528535; No similar. 
 juanc80 noticiasrcn hola juan pudiste pedir cita si aun hecho ingresa siguiente enlace  ; j : 131. Sim : 0.39691752; No similar. 
 fulanozuluaga hola juan usa aporte 16 salarion 16 115 va cuenta individual afiliado  ; j : 132. Sim : 0.14763455; No similar. 
 valdedrama vacaciones estres hacer vueltas banco va quitar felicidad gracias vida hacerme  ; j : 133. Sim : 0.2969208; No similar. 
 caminogales tuboletanews camila cuentanos caso dm envianos datos contacto colaborarte quedamos aten; j : 134. Sim : 0.6809433; Media. 
 andrespardoa lira jump as turkey double down with rate rise via ft labelurl  ; j : 135. Sim : 0.19923826; No similar. 
 carlgarnn latamco carlos envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 136. Sim : 0.7318032; Media. 
 violacea hola envianos datos contacto dm revisar caso area encargada quedamos atentos  ; j : 137. Sim : 0.7863982; Media. 
 jporfavor buenos dias envianos caso dm revisarlo area encargada quedamos atentos  ; j : 138. Sim : 0.6991786; Media. 
 alejandroperes hola jorge permitenos colaborarte envianos caso dm datos contacto quedamos atentos  ; j : 139. Sim : 0.7021923; Media. 
 pilpintutintaya angelica manejando caso dm enviamos nuevo respuesta area encargada saludos  ; j : 140. Sim : 0.50470006; Baja. 
 juandrb buenos dias juan diego gusto enviaremos recomendacion area encargada saludos  ; j : 141. Sim : 0.41040966; No similar. 
 anovasa albert manejando caso dm area encargada nueva respuesta notificaremos saludos  ; j : 142. Sim : 0.5075431; Baja. 
 crislondone4a cristian permitenos colaborarte envianos caso datos contacto dm quedamos atentos  ; j : 143. Sim : 0.701239; Media. 
 casagrandecarib promueve desarrollo cinco areas educacion nutricion salud saneamiento basico financ; j : 144. Sim : 0.16144189; No similar. 
 todd walker universidad indiana invitado especial entrada libre conozca agenda inscribase labelurl ; j : 145. Sim : 0.14077367; No similar. 
 proximos dias ciudadanos quieran radicar peticion queja reclamo pqr bancorepublica po labelurl  ; j : 146. Sim : 0.43084213; No similar. 
 todd walker universidad indiana invitado especial entrada libre conozca agenda inscribase labelurl ; j : 147. Sim : 0.14077367; No similar. 
 proximos dias ciudadanos quieran radicar peticion queja reclamo pqr bancorepublica po labelurl  ; j : 148. Sim : 0.43084213; No similar. 
 gomezfreddy1 atentado oleoducto trasandino altura nvereda coataquer municipio mallama narino ecopet; j : 149. Sim : -0.020759394; No similar. 
 evento bucaramanga hoy asista seminariodeeconomia 9 presentado rafael isidro parrapena entrada libr; j : 150. Sim : 0.17499644; No similar. 
 gabrh colpensiones gabriel comunicaremos dm contigo solicitarte datos personales mama porvenirteres; j : 151. Sim : 0.5655935; Baja. 
 albamarinarueda alba gusto enviaremos area encargada comentas tomar medidas respectivas saludos  ; j : 152. Sim : 0.34489667; No similar. 
 gabrh colpensiones gabriel comunicaremos dm contigo solicitarte datos personales mama porvenirteres; j : 153. Sim : 0.5655935; Baja. 
 1butterflygirl hola lina muchas gracias reporte pasaremos area encargada pronta solucion saludos  ; j : 154. Sim : 0.53080475; Baja. 
 banrepeduca colegio champagnat ibague ocupo tercer lugar concurso ensayo corto banca labelurl  ; j : 155. Sim : 0.01118464; No similar. 
 eebedoya edward permitenos ayudarte envianos caso soportes dm colaborarte quedamos atentos  ; j : 156. Sim : 0.6476945; Baja. 
 giraldo23 tolstoiocoro navarrowolff bancorepublica vinculo iniciativa r3 busca explorar posibles ap; j : 157. Sim : 0.21677935; No similar. 
 mianca08 hola permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 158. Sim : 0.75192434; Media. 
 fallas plataformas criptomonedas usted puede perder grande nadie va respaldar informese labelurl  ; j : 159. Sim : 0.13362595; No similar. 
 lauraporfavor sfcsupervisor laura envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 160. Sim : 0.69764507; Media. 
 marguiomend margarita permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 161. Sim : 0.75801766; Media. 
 fallas plataformas criptomonedas usted puede perder grande nadie va respaldar informese labelurl  ; j : 162. Sim : 0.13362595; No similar. 
 nazlycata hola nazly permitenos ayudarte envianos dm caso datos contacto quedamos atentos  ; j : 163. Sim : 0.7765633; Media. 
 caso presentarse fallas plataformas criptomonedas usted puede perder dinero nadie respond labelurl ; j : 164. Sim : 0.22249582; No similar. 
 cortesmarce marcela permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 165. Sim : 0.71409994; Media. 
 caso presentarse fallas plataformas criptomonedas usted puede perder dinero nadie respond labelurl ; j : 166. Sim : 0.22249582; No similar. 
 guerreroisabel buenos dias isabel permitenos ayudarte envianos caso dm quedamos atentos  ; j : 167. Sim : 0.6017685; Baja. 
 carlosochoa1985 hola carlos permitenos ayudarte envianos caso dm envialo siguiente correo serviciob; j : 168. Sim : 0.52435577; Baja. 
 wmatuk jorge permitenos ayudarte envianos dm caso datos contacto quedamos atentos  ; j : 169. Sim : 0.7512413; Media. 
 medios pueden participar rueda prensa dara hoy finalizar reunion junta directiva labelurl  ; j : 170. Sim : 0.18851496; No similar. 
 gabolosada buenos dias gracias escribirnos envianos caso dm colaborarte quedamos atentos  ; j : 171. Sim : 0.7579453; Media. 
 pipegomezsan hola felipe permitenos ayudarte envianos dm caso datos contacto quedamos atentos  ; j : 172. Sim : 0.77875406; Media. 
 medios comunicacion pueden participar rueda prensa dara hoy finalizar reunion junta labelurl  ; j : 173. Sim : 0.2438238; No similar. 
 bla pobreza santa marta estragos bien 3 objetivos caracterizar espacialmente pobreza invest labelur; j : 174. Sim : 0.03346956; No similar. 
 rubhers13 sfcsupervisor cholovalderrama omargamboa ruben envianos caso dm colaborarte quedamos aten; j : 175. Sim : 0.59692997; Baja. 
 evento cartagena 15022018 asista seminariosbanrep presentado jose antonio ocampo entrada libre labe; j : 176. Sim : 0.11780259; No similar. 
 compartir hijos jugando podra ayudarte explicarles manera divertida economia fiananzas globalmoneyw; j : 177. Sim : 0.19801228; No similar. 
 corficolombiana llevo cabo rueda prensa hotel estelar villavicencio mencionaron aspectos im labelur; j : 178. Sim : 0.092522085; No similar. 
 juakogallardo jorgearestrepo si usted posee pruebas sustenten afirmacion invitamos utilizar cana la; j : 179. Sim : 0.32864526; No similar. 
 bquienes pueden participar concurso ensayo corto banca escolar banca central estudiantes labelurl  ; j : 180. Sim : -0.000128366; No similar. 
 elmetallico buenos dias cuentanos caso dm enviarlo area encargada quedamos atentos  ; j : 181. Sim : 0.626227; Baja. 
 bancorepublica miembros junta directiva lamentan profundamente muerte clara isabel botero cuerv lab; j : 182. Sim : 0.15587932; No similar. 
 ganancias fijas altas corto tiempo invertir criptomonedas cuidado anda mal informese labelurl  ; j : 183. Sim : 0.13304543; No similar. 
 melbalcardenasb hola melba permitenos ayudarte envianos dm pantallazo comentas envianos datos conta; j : 184. Sim : 0.68370324; Media. 
 jaimebonet lanzamiento libro estudios sociales pacifico colombiano bancorepublica quibdo luisgalvis; j : 185. Sim : 0.23582639; No similar. 
 bcual objetivo concurso banca escolar banca central busca motivar estudiantes adqui labelurl  ; j : 186. Sim : 0.03801457; No similar. 
 samefa sara gracias escribirnos envianos caso dm colaborarte quedamos atentos saludos  ; j : 187. Sim : 0.7486041; Media. 
 macrisgc1 maria cristina permitenos colaborarte cuentanos experiencia dm colaborarte quedamos atent; j : 188. Sim : 0.356211; No similar. 
 bcual objetivo concurso banca escolar banca central busca motivar estudiantes adqui labelurl  ; j : 189. Sim : 0.03801457; No similar. 
 jhonacj hola jhon gracias interesarte productos envianos datos contacto dm brindarte asesoria  ; j : 190. Sim : 0.69104046; Media. 
 frasedeldia activo mas poderoso mente bien entrenada puede crear enormesnriquezas robert kiyosaki  ; j : 191. Sim : 0.15089405; No similar. 
 monomunozp hola alvaro cuentanos caso dm junto datos aclararte tarifas quedamos atentos  ; j : 192. Sim : 0.7397735; Media. 
 tragaentero acaso sienten silencio mediatico calculado vergonzosa propuesta comisionista consejogre; j : 193. Sim : 0.13345875; No similar. 
 hola catabusta interesa conocer detalle motivo comentario puedes escribirnos via dm gracias  ; j : 194. Sim : 0.5709235; Baja. 
 leindeciso hola cuentanos si comunicaste asesor envianos dm caso colaborarte quedamos atentos  ; j : 195. Sim : 0.70049506; Media. 
 julianbactor hola julian permitenos colaborarte envianos caso datos contacto dm quedo atenta  ; j : 196. Sim : 0.6567004; Baja. 
 eidergarcia1 jerobledo si usted posee pruebas sustenten afirmacion invitamos utilizar canal labelur; j : 197. Sim : 0.2898715; No similar. 
 omaromarbu2015 si usted posee pruebas sustenten afirmacion invitamos utilizar canal denuncia labelu; j : 198. Sim : 0.3949473; No similar. 
 josevbernalr si usted posee pruebas sustenten afirmacion invitamos utilizar canal denuncia q labelu; j : 199. Sim : 0.4157679; No similar. 
 hoy queremos compartir contigo 5 claves puedas pensionar anticipadamente si fondo privado labelurl ; j : 200. Sim : 0.3215072; No similar. 
 darcyquinnr caracolbga caracol1170am cadena radial especial dario arismendi tendra retractarse tras; j : 201. Sim : 0.22269993; No similar. 
 mloreguti visita plantacion caucho mavalle corficolombiana gracias marlene forero compromiso amor h; j : 202. Sim : 0.16325659; No similar. 
 struxnathy buenos dias nathy esten ganadores publicados gusto compartiremos feliz dia  ; j : 203. Sim : 0.34748945; No similar. 
 mensajes ayudaron llenar cosas positivas gran regalo navideno queremos celebrar contigo labelurl  ; j : 204. Sim : 0.31956953; No similar. 
 ivanlombana hola ivan cuentanos detalle caso dm validarlo area encargada quedamos atentos  ; j : 205. Sim : 0.62149566; Baja. 
 economia nororiente santander boyaca norte santander arauca registro panorama positivo inic labelur; j : 206. Sim : 0.22965321; No similar. 
 consultar saldo salir twitter posible mibopop asesor mano ayuda conocer sal labelurl  ; j : 207. Sim : 0.2999418; No similar. 
 usted debe conocer riesgos expone si decide negociar criptomonedas saber mas informese labelurl  ; j : 208. Sim : 0.23138265; No similar. 
 usted debe conocer riesgos expone si decide negociar criptomonedas saberlo puede labelurl  ; j : 209. Sim : 0.14793588; No similar. 
 traves deporte poder transmitir valores construyen paz dinos emoji ultimo deport labelurl  ; j : 210. Sim : 0.17061065; No similar. 
 laviaocho envianos caso dm poder ayudarte escalarlo directamente banco quedamos atentos  ; j : 211. Sim : 0.5871931; Baja. 
 arranca participacion jaocampo celebracion xxxii dia director comercio exterior evento organizad la; j : 212. Sim : 0.21892634; No similar. 
 borradordeeconomia 1026 daisy j pacheco santiago d segovia ana m yaruro labelurl haganos saber pien; j : 213. Sim : 0.18246825; No similar. 
 hoy 4 pm presentara sucursal quibdo libro estudios sociales pacifico colombiano an labelurl  ; j : 214. Sim : 0.16945295; No similar. 
 ser feliz necesita paz tranquilidad deudas vida financiera desordenada roban serenidad labelurl  ; j : 215. Sim : 0.05571005; No similar. 
 ensenale hijos veces regalar creado puede causar mayor satisfaccion comprado globalmoneyweek  ; j : 216. Sim : 0.09029612; No similar. 
 imontenegro86 hola ivan gracias escribirnos envianos dm caso junto datos contacto co labelurl  ; j : 217. Sim : 0.75981486; Media. 
